"_1_Algorithm","_1_Regularization","_1_Transformation","_2_Num_Clusters","_3_Calinski_Score","_3_Silhoutte_Score","_4_Tuning","_5_Image","_Cluster_0","_Cluster_1","_Cluster_10","_Cluster_11","_Cluster_12","_Cluster_13","_Cluster_14","_Cluster_15","_Cluster_2","_Cluster_3","_Cluster_4","_Cluster_5","_Cluster_6","_Cluster_7","_Cluster_8","_Cluster_9"
"K-Means","None","None","4","3479.50539862","0.86296018609","Clusters = 4","images/KMeans_None_None_4.png","678","23","","","","","","","3","1","","","","","",""
"K-Means","None","None","6","6910.14575972","0.714421743669","Clusters = 6","images/KMeans_None_None_6.png","584","99","","","","","","","18","2","1","1","","","",""
"K-Means","None","None","8","10466.2408766","0.648072327353","Clusters = 8","images/KMeans_None_None_8.png","519","125","","","","","","","39","12","6","2","1","1","",""
"K-Means","None","None","10","11668.3259901","0.576380623926","Clusters = 10","images/KMeans_None_None_10.png","443","141","","","","","","","68","31","11","4","3","2","1","1"
"K-Means","None","None","12","11928.2838156","0.508425186194","Clusters = 12","images/KMeans_None_None_12.png","378","145","1","1","","","","","81","48","31","11","4","3","1","1"
"K-Means","None","None","14","11922.3902125","0.507292458462","Clusters = 14","images/KMeans_None_None_14.png","380","147","1","1","1","1","","","80","42","24","11","10","4","2","1"
"Affinity Propogation","None","None","324","1133.19462352","0.0575485553176","Preference = 1","","","","","","","","","","","","","","","","",""
"Affinity Propogation","None","None","332","462.433260769","0.0503021496241","Preference = 4","","","","","","","","","","","","","","","","",""
"Affinity Propogation","None","None","60","3443.5315494","0.235061031967","Preference = 7","","","","","","","","","","","","","","","","",""
"Affinity Propogation","None","None","13","11685.0556306","0.587450204661","Preference = 10","images/Affinity_None_None_10.png","487","111","1","1","1","","","","54","30","10","4","3","1","1","1"
"Affinity Propogation","None","None","19","7262.04843575","0.262276294105","Preference = 13","","248","113","12","11","5","4","3","1","63","50","46","37","32","31","30","16"
"Affinity Propogation","None","None","324","228.478063536","0.0512296259988","Preference = 16","","","","","","","","","","","","","","","","",""
"Affinity Propogation","None","None","10","10135.0106234","0.666278321659","Preference = 19","images/Affinity_None_None_19.png","565","87","","","","","","","31","11","4","3","1","1","1","1"
"Affinity Propogation","None","None","10","10135.0106234","0.666278321659","Preference = 22","images/Affinity_None_None_22.png","565","87","","","","","","","31","11","4","3","1","1","1","1"
