Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,20.450001,21.049999,20.450001,20.950001,20.950001,49056.0
2015-01-02,20.700001,23.1,20.700001,22.299999,22.299999,182209.0
2015-01-05,22.85,24.65,22.85,23.950001,23.950001,347370.0
2015-01-06,23.700001,23.700001,22.700001,22.799999,22.799999,130266.0
2015-01-07,22.5,23.6,22.5,22.950001,22.950001,67753.0
2015-01-08,23.15,23.85,23.15,23.450001,23.450001,87339.0
2015-01-09,23.15,23.75,22.799999,22.950001,22.950001,42507.0
2015-01-12,22.5,23.4,22.5,23.1,23.1,58502.0
2015-01-13,23.0,23.35,22.5,22.65,22.65,34272.0
2015-01-14,22.549999,23.0,22.0,22.200001,22.200001,65337.0
2015-01-15,22.25,22.85,21.450001,21.6,21.6,95527.0
2015-01-16,21.5,22.25,21.15,21.5,21.5,35536.0
2015-01-19,20.75,21.799999,20.75,21.5,21.5,65259.0
2015-01-20,21.4,22.200001,21.4,21.9,21.9,45680.0
2015-01-21,21.799999,22.700001,21.700001,21.9,21.9,58201.0
2015-01-22,21.799999,22.1,21.5,21.6,21.6,24046.0
2015-01-23,21.6,22.299999,21.1,21.200001,21.200001,50062.0
2015-01-27,21.200001,21.85,21.0,21.049999,21.049999,33836.0
2015-01-28,21.200001,21.450001,20.700001,20.9,20.9,28287.0
2015-01-29,20.9,21.0,20.65,20.75,20.75,32653.0
2015-01-30,21.799999,21.799999,20.5,20.75,20.75,59591.0
2015-02-02,20.6,21.200001,20.299999,20.85,20.85,35938.0
2015-02-03,20.5,21.75,20.5,20.9,20.9,40151.0
2015-02-04,20.799999,21.4,20.65,21.15,21.15,44344.0
2015-02-05,20.9,21.35,20.65,20.700001,20.700001,26742.0
2015-02-06,21.9,21.9,19.799999,19.950001,19.950001,91622.0
2015-02-09,20.0,20.0,19.549999,19.799999,19.799999,16166.0
2015-02-10,19.75,20.5,19.5,19.85,19.85,31091.0
2015-02-11,19.75,20.0,19.549999,19.9,19.9,19016.0
2015-02-12,19.799999,20.5,19.4,19.85,19.85,46380.0
2015-02-13,19.65,20.299999,19.5,19.75,19.75,54805.0
2015-02-16,19.700001,20.1,19.5,19.65,19.65,26512.0
2015-02-18,19.65,19.799999,19.4,19.65,19.65,62029.0
2015-02-19,19.950001,21.200001,19.5,20.65,20.65,198757.0
2015-02-20,21.299999,21.5,19.85,20.0,20.0,83742.0
2015-02-23,20.450001,20.799999,19.799999,20.5,20.5,37115.0
2015-02-24,20.4,20.799999,19.799999,19.950001,19.950001,27914.0
2015-02-25,20.0,20.65,19.700001,19.799999,19.799999,41876.0
2015-02-26,19.700001,20.5,19.6,19.799999,19.799999,29682.0
2015-02-27,20.4,20.4,19.5,19.85,19.85,58394.0
2015-02-28,,,,,,
2015-03-02,20.15,20.15,19.5,19.65,19.65,20856.0
2015-03-03,19.6,19.9,19.4,19.6,19.6,36127.0
2015-03-04,19.799999,20.799999,19.0,19.15,19.15,280174.0
