Date,Open,High,Low,Close,Adj Close,Volume
2015-01-08,54.0,58.0,53.0,57.950001,55.939674,853.0
2015-01-09,56.5,56.5,54.0,54.799999,52.898952,86.0
2015-01-12,,,,,,
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-27,50.0,53.900002,46.099998,49.0,47.300156,5377.0
2015-01-28,48.0,58.799999,47.75,58.799999,56.760189000000004,13800.0
2015-01-29,67.75,69.400002,61.549999,64.75,62.503780000000006,61758.0
2015-01-30,64.5,64.5,59.0,61.450001,59.318259999999995,8284.0
2015-02-02,63.0,63.0,57.049999,58.650002,56.615387,5509.0
2015-02-03,57.25,58.400002,54.099998,55.299999,53.381606999999995,13498.0
2015-02-04,53.5,56.0,52.5,53.849998,51.981903,8558.0
2015-02-05,53.0,58.0,52.049999,56.299999,54.346911999999996,18817.0
2015-02-06,57.0,57.0,52.5,55.099998,53.188545,10811.0
2015-02-09,54.0,54.0,49.5,51.299999,49.520363,6937.0
2015-02-10,50.200001,52.0,50.200001,50.5,48.748119,1004.0
2015-02-11,,,,,,
2015-02-12,55.0,55.0,51.099998,51.299999,49.520363,5703.0
2015-02-13,55.0,55.700001,52.049999,52.799999,50.968327,3304.0
2015-02-16,,,,,,
2015-02-18,56.049999,56.049999,56.049999,56.049999,54.105591000000004,0.0
2015-02-19,54.0,57.950001,53.049999,53.200001,51.354454,1290.0
2015-02-20,,,,,,
2015-02-23,51.349998,53.150002,51.349998,51.599998,49.809959,2494.0
2015-02-24,,,,,,
2015-02-25,51.0,55.0,50.099998,54.099998,52.223232,1943.0
2015-02-26,56.450001,56.5,51.799999,52.099998,50.573055,1424.0
2015-02-27,50.849998,53.700001,50.849998,53.5,51.932021999999996,402.0
2015-02-28,,,,,,
2015-03-02,,,,,,
2015-03-03,53.950001,53.950001,50.549999,51.200001,49.699428999999995,5342.0
2015-03-04,51.0,53.650002,49.25,51.25,49.747966999999996,7103.0
2015-03-05,50.5,53.349998,50.150002,53.299999,51.737885,1420.0
2015-03-09,53.299999,53.299999,53.299999,53.299999,51.737885,0.0
2015-03-10,,,,,,
2015-03-11,53.950001,55.0,51.200001,51.799999,50.281845000000004,6516.0
2015-03-12,,,,,,
2015-03-13,50.0,50.0,48.950001,49.0,47.563908000000005,250.0
2015-03-16,,,,,,
2015-03-17,,,,,,
2015-03-18,49.650002,51.0,48.950001,49.0,47.563908000000005,5906.0
2015-03-19,,,,,,
2015-03-20,,,,,,
2015-03-23,,,,,,
2015-03-24,,,,,,
