Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,14.55,14.55,13.6,13.6,13.6,949.0
2015-01-02,13.8,14.0,13.5,14.0,14.0,59721.0
2015-01-05,14.45,14.5,14.05,14.05,14.05,1452.0
2015-01-06,13.6,14.0,13.3,13.3,13.3,4827.0
2015-01-07,13.2,13.95,13.0,13.25,13.25,17320.0
2015-01-08,13.0,14.0,13.0,13.7,13.7,55498.0
2015-01-09,13.6,15.9,12.7,13.1,13.1,87244.0
2015-01-12,12.75,13.9,12.75,13.75,13.75,12723.0
2015-01-13,13.7,13.85,13.2,13.8,13.8,12903.0
2015-01-14,13.35,13.75,13.3,13.65,13.65,5558.0
2015-01-15,13.9,13.9,13.15,13.7,13.7,3070.0
2015-01-16,13.7,13.7,13.2,13.45,13.45,6233.0
2015-01-19,13.75,14.5,13.7,14.1,14.1,91361.0
2015-01-20,14.1,15.0,14.1,14.45,14.45,54869.0
2015-01-21,14.45,14.45,13.7,13.9,13.9,4037.0
2015-01-22,13.0,14.25,13.0,14.0,14.0,11023.0
2015-01-23,13.8,13.8,13.05,13.4,13.4,10470.0
2015-01-27,13.4,14.5,13.3,13.55,13.55,19218.0
2015-01-28,13.0,15.15,13.0,14.3,14.3,30832.0
2015-01-29,14.0,15.0,14.0,14.75,14.75,8630.0
2015-01-30,14.5,15.2,14.5,14.95,14.95,23850.0
2015-02-02,14.0,15.5,14.0,14.65,14.65,1194.0
2015-02-03,14.95,15.0,14.55,14.55,14.55,6318.0
2015-02-04,14.25,14.95,14.25,14.95,14.95,7801.0
2015-02-05,14.05,15.95,14.05,14.7,14.7,21497.0
2015-02-06,14.2,15.95,14.2,15.75,15.75,41418.0
2015-02-09,14.8,15.75,14.5,14.9,14.9,24394.0
2015-02-10,13.5,16.299999,13.5,15.95,15.95,22667.0
2015-02-11,15.0,17.450001,15.0,16.4,16.4,38642.0
2015-02-12,15.65,16.700001,15.1,15.35,15.35,21525.0
2015-02-13,12.35,12.35,12.3,12.3,12.3,40089.0
2015-02-16,9.85,10.7,9.85,10.1,10.1,285362.0
2015-02-18,10.1,11.1,10.0,10.4,10.4,104892.0
2015-02-19,10.9,11.0,10.0,10.3,10.3,12574.0
2015-02-20,10.05,11.3,10.05,11.3,11.3,73757.0
2015-02-23,11.3,11.9,11.1,11.6,11.6,26271.0
2015-02-24,11.25,12.75,11.25,12.7,12.7,148017.0
2015-02-25,13.2,13.2,12.1,12.1,12.1,27561.0
2015-02-26,12.65,12.65,11.5,11.5,11.5,115024.0
2015-02-27,11.3,12.05,11.0,11.75,11.75,134061.0
2015-02-28,,,,,,
2015-03-02,11.0,11.5,10.85,11.3,11.3,16002.0
2015-03-03,10.75,11.4,10.75,10.75,10.75,17389.0
2015-03-04,10.5,11.2,10.5,10.7,10.7,76925.0
2015-03-05,10.85,10.95,10.5,10.85,10.85,5353.0
2015-03-09,10.85,11.35,10.5,11.2,11.2,4655.0
2015-03-10,11.35,11.65,10.85,11.4,11.4,44396.0
2015-03-11,11.0,11.0,10.85,10.85,10.85,11189.0
2015-03-12,11.0,11.0,10.45,10.5,10.5,2088.0
2015-03-13,11.0,11.0,10.5,10.7,10.7,6718.0
2015-03-16,10.2,11.1,10.2,10.9,10.9,4636.0
2015-03-17,11.35,11.35,10.4,10.4,10.4,4155.0
2015-03-18,10.9,10.9,10.0,10.6,10.6,6024.0
2015-03-19,10.85,11.0,10.2,10.65,10.65,6093.0
2015-03-20,10.3,10.5,10.15,10.5,10.5,14030.0
2015-03-23,10.1,10.5,10.0,10.5,10.5,3550.0
2015-03-24,10.5,10.5,10.0,10.4,10.4,6239.0
2015-03-25,10.0,10.4,10.0,10.0,10.0,10605.0
2015-03-26,9.8,10.0,9.8,10.0,10.0,67285.0
2015-03-27,9.5,10.3,9.5,10.0,10.0,3505.0
2015-03-30,10.0,10.5,10.0,10.45,10.45,816.0
2015-03-31,10.7,10.7,10.0,10.6,10.6,566.0
2015-04-01,10.6,10.95,10.5,10.75,10.75,23600.0
2015-04-06,10.75,11.0,10.25,10.75,10.75,2431.0
2015-04-07,,,,,,
2015-04-08,11.15,11.75,11.05,11.45,11.45,15375.0
2015-04-09,10.7,11.5,10.7,11.2,11.2,1337.0
2015-04-10,10.2,11.4,10.2,11.4,11.4,221.0
2015-04-13,11.5,11.5,11.1,11.1,11.1,3403.0
2015-04-15,11.1,11.5,10.75,10.8,10.8,4556.0
2015-04-16,11.1,11.25,10.7,11.25,11.25,1552.0
2015-04-17,11.2,11.25,10.75,10.75,10.75,200.0
2015-04-20,11.0,11.0,10.75,10.95,10.95,4375.0
2015-04-21,11.65,11.65,10.05,10.15,10.15,1825.0
2015-04-22,10.25,10.25,10.1,10.25,10.25,534.0
2015-04-23,9.25,11.25,9.25,10.45,10.45,3512.0
2015-04-24,10.35,10.75,10.35,10.75,10.75,1400.0
2015-04-27,10.35,10.7,10.35,10.55,10.55,758.0
2015-04-28,10.7,11.0,10.1,10.85,10.85,1496.0
2015-04-29,,,,,,
2015-04-30,,,,,,
2015-05-04,10.15,10.7,10.0,10.05,10.05,3544.0
2015-05-05,,,,,,
2015-05-06,10.05,10.15,10.0,10.0,10.0,2572.0
2015-05-07,10.0,10.0,10.0,10.0,10.0,3776.0
2015-05-08,,,,,,
2015-05-11,,,,,,
2015-05-12,10.0,10.9,10.0,10.05,10.05,1171.0
2015-05-13,,,,,,
2015-05-14,8.7,10.0,8.7,10.0,10.0,1201.0
2015-05-15,11.2,11.2,9.3,10.0,10.0,3068.0
2015-05-18,9.85,10.05,9.85,10.0,10.0,12786.0
2015-05-19,10.45,10.45,10.0,10.0,10.0,3076.0
2015-05-20,,,,,,
2015-05-21,10.0,10.4,10.0,10.35,10.35,2786.0
2015-05-22,9.9,10.65,9.35,10.0,10.0,2242.0
2015-05-25,,,,,,
2015-05-26,10.4,10.5,10.0,10.5,10.5,7199.0
2015-05-27,10.5,11.9,10.5,11.1,11.1,28031.0
2015-05-28,,,,,,
2015-05-29,,,,,,
2015-06-01,10.7,11.0,10.1,10.5,10.5,17700.0
2015-06-02,10.55,11.0,10.5,10.6,10.6,78527.0
2015-06-03,10.25,10.75,10.25,10.3,10.3,5163.0
2015-06-04,10.4,10.4,10.0,10.25,10.25,11835.0
2015-06-05,10.0,10.4,10.0,10.1,10.1,2275.0
2015-06-08,10.1,11.4,10.0,10.45,10.45,8650.0
2015-06-09,,,,,,
2015-06-10,10.9,10.9,10.3,10.3,10.3,265.0
2015-06-11,10.1,10.3,10.0,10.0,10.0,3142.0
2015-06-12,,,,,,
2015-06-15,,,,,,
2015-06-16,,,,,,
2015-06-17,10.1,10.45,10.0,10.0,10.0,4106.0
2015-06-18,,,,,,
2015-06-19,,,,,,
2015-06-22,,,,,,
2015-06-23,,,,,,
2015-06-24,10.15,10.5,10.0,10.35,10.35,5496.0
2015-06-25,,,,,,
2015-06-26,,,,,,
2015-06-29,10.0,10.5,10.0,10.45,10.45,1800.0
2015-06-30,,,,,,
2015-07-01,,,,,,
2015-07-02,10.3,10.3,10.05,10.05,10.05,5647.0
2015-07-03,,,,,,
2015-07-06,,,,,,
2015-07-07,,,,,,
2015-07-08,,,,,,
2015-07-09,,,,,,
2015-07-10,,,,,,
2015-07-13,,,,,,
2015-07-14,,,,,,
2015-07-15,10.45,10.45,9.95,10.0,10.0,4532.0
2015-07-16,,,,,,
2015-07-17,10.35,10.35,10.1,10.1,10.1,401.0
2015-07-20,,,,,,
2015-07-21,,,,,,
2015-07-22,,,,,,
2015-07-23,,,,,,
2015-07-24,,,,,,
2015-07-27,,,,,,
2015-07-28,,,,,,
2015-07-29,,,,,,
2015-07-30,,,,,,
2015-07-31,,,,,,
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,9.7,10.25,9.15,9.15,9.15,11881.0
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-12,7.6,7.95,6.95,7.3,7.3,24469.0
2015-08-13,7.0,8.75,7.0,8.75,8.75,46832.0
2015-08-14,9.5,9.5,8.25,8.55,8.55,20535.0
2015-08-17,8.25,9.2,8.25,9.0,9.0,7263.0
2015-08-18,9.45,10.3,9.0,9.8,9.8,26085.0
2015-08-19,9.6,10.2,9.5,9.75,9.75,26342.0
2015-08-20,9.5,9.5,9.05,9.05,9.05,511.0
2015-08-21,8.9,10.25,8.9,9.85,9.85,68665.0
2015-08-24,9.2,9.2,8.8,8.9,8.9,5513.0
2015-08-25,8.5,9.55,8.5,9.0,9.0,4528.0
2015-08-26,8.7,9.25,8.65,9.25,9.25,3540.0
2015-08-27,8.75,9.0,8.75,9.0,9.0,401.0
2015-08-28,9.6,9.6,8.05,9.55,9.55,11404.0
2015-08-31,9.2,9.5,9.2,9.5,9.5,1561.0
