Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,10.0,10.6,10.0,10.45,10.45,6941145.0
2015-01-02,10.55,10.85,10.45,10.5,10.5,6133859.0
2015-01-05,10.5,10.7,10.4,10.5,10.5,3900122.0
2015-01-06,10.35,10.4,9.95,10.0,10.0,6259767.0
2015-01-07,10.0,10.3,9.95,10.0,10.0,5185011.0
2015-01-08,10.05,10.3,10.0,10.05,10.05,4420106.0
2015-01-09,10.15,10.2,9.85,9.9,9.9,5453543.0
2015-01-12,9.95,11.55,9.95,11.25,11.25,41289409.0
2015-01-13,11.35,11.7,10.7,10.8,10.8,15177168.0
2015-01-14,11.15,11.6,10.7,10.8,10.8,16217009.0
2015-01-15,11.25,11.3,10.75,10.85,10.85,7280127.0
2015-01-16,10.85,10.85,10.55,10.65,10.65,6480004.0
2015-01-19,10.75,10.85,10.4,10.45,10.45,4779911.0
2015-01-20,10.5,10.7,10.35,10.45,10.45,5656352.0
2015-01-21,10.45,10.55,10.2,10.4,10.4,6025757.0
2015-01-22,10.35,10.4,10.0,10.1,10.1,6341023.0
2015-01-23,10.15,10.25,9.9,10.0,10.0,6025807.0
2015-01-27,10.0,10.15,9.7,9.8,9.8,7441101.0
2015-01-28,9.8,10.3,9.7,9.9,9.9,7243377.0
2015-01-29,9.85,10.1,9.75,9.8,9.8,5800773.0
2015-01-30,9.95,10.25,9.9,10.05,10.05,8872493.0
2015-02-02,10.1,10.3,10.0,10.05,10.05,5727681.0
2015-02-03,10.1,10.2,9.9,9.95,9.95,4823802.0
2015-02-04,10.05,10.2,9.95,10.0,10.0,7671198.0
2015-02-05,10.1,10.15,9.8,9.85,9.85,5901868.0
2015-02-06,9.85,10.0,9.75,9.75,9.75,3974232.0
2015-02-09,9.7,9.75,9.5,9.5,9.5,3441903.0
2015-02-10,9.45,9.7,9.3,9.4,9.4,4045722.0
2015-02-11,9.45,9.85,9.4,9.75,9.75,4363351.0
2015-02-12,9.6,9.65,9.15,9.25,9.25,7874070.0
2015-02-13,9.35,9.7,9.25,9.35,9.35,4792681.0
2015-02-16,9.35,9.45,9.2,9.25,9.25,4058826.0
2015-02-18,9.25,9.6,9.25,9.35,9.35,6686721.0
2015-02-19,9.4,9.45,9.1,9.2,9.2,5527774.0
2015-02-20,9.25,9.85,9.2,9.5,9.5,8654075.0
2015-02-23,9.6,9.7,9.25,9.3,9.3,3937522.0
2015-02-24,9.35,9.4,9.05,9.1,9.1,4892855.0
2015-02-25,9.15,9.2,8.9,8.95,8.95,6893852.0
2015-02-26,8.95,9.15,8.85,8.9,8.9,4630271.0
2015-02-27,9.0,9.35,8.85,8.95,8.95,10030759.0
2015-02-28,,,,,,
2015-03-02,9.05,9.1,8.8,8.9,8.9,5747326.0
2015-03-03,8.9,9.0,8.6,8.65,8.65,6761240.0
2015-03-04,8.8,8.85,8.55,8.65,8.65,21358549.0
2015-03-05,8.75,10.1,8.75,9.95,9.95,63637080.0
2015-03-09,9.95,10.1,9.15,9.2,9.2,15564875.0
2015-03-10,9.3,9.55,8.95,9.1,9.1,12078073.0
2015-03-11,9.2,9.2,8.7,8.75,8.75,6932916.0
2015-03-12,8.9,9.05,8.75,8.8,8.8,6159354.0
2015-03-13,8.9,9.0,8.5,8.55,8.55,6833436.0
2015-03-16,8.6,8.65,8.1,8.2,8.2,8510318.0
2015-03-17,8.3,8.5,8.0,8.2,8.2,10374403.0
2015-03-18,8.25,8.3,8.0,8.15,8.15,6353520.0
2015-03-19,8.25,8.25,8.0,8.0,8.0,3313168.0
2015-03-20,8.05,8.05,7.6,7.65,7.65,7596212.0
2015-03-23,7.7,7.85,6.4,7.0,7.0,36156747.0
2015-03-24,7.0,7.15,6.85,6.95,6.95,9379042.0
2015-03-25,7.0,7.05,6.8,6.85,6.85,4364299.0
2015-03-26,6.85,7.05,6.6,6.85,6.85,10757713.0
2015-03-27,6.9,7.1,6.6,6.7,6.7,9523274.0
2015-03-30,6.8,7.25,6.8,7.15,7.15,10357617.0
2015-03-31,7.2,7.6,7.2,7.4,7.4,8068010.0
2015-04-01,7.5,8.2,7.4,7.95,7.95,8145264.0
2015-04-06,7.95,8.3,7.9,8.2,8.2,7966244.0
2015-04-07,8.3,8.4,7.95,8.25,8.25,5295630.0
2015-04-08,8.3,8.4,8.2,8.35,8.35,4524338.0
2015-04-09,8.4,9.05,8.3,8.65,8.65,12705553.0
2015-04-10,8.65,9.0,8.45,8.65,8.65,10045644.0
2015-04-13,8.75,8.95,8.4,8.65,8.65,5406651.0
2015-04-15,8.65,8.75,8.35,8.4,8.4,3437789.0
