Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,1.35,1.35,1.35,1.35,1.35,100.0
2015-01-02,1.5,1.5,1.5,1.5,1.5,200.0
2015-01-05,1.5,1.5,1.5,1.5,1.5,0.0
2015-01-06,1.4,1.4,1.4,1.4,1.4,650.0
2015-01-07,1.5,1.5,1.5,1.5,1.5,500.0
2015-01-08,1.5,1.55,1.55,1.55,1.55,500.0
2015-01-09,1.5,1.5,1.5,1.5,1.5,250.0
2015-01-12,1.75,1.75,1.4,1.75,1.75,3264.0
2015-01-13,1.65,1.55,1.5,1.55,1.55,1950.0
2015-01-14,1.7,1.7,1.7,1.7,1.7,12025.0
2015-01-15,1.7,1.75,1.7,1.7,1.7,5685.0
2015-01-16,1.7,1.7,1.7,1.7,1.7,11682.0
2015-01-19,2.0,2.0,1.7,2.0,2.0,300.0
2015-01-20,1.75,1.75,1.75,1.75,1.75,150.0
2015-01-21,1.65,1.65,1.6,1.65,1.65,1158.0
2015-01-22,1.65,1.8,1.65,1.65,1.65,3922.0
2015-01-23,1.55,1.55,1.55,1.55,1.55,341.0
2015-01-27,1.55,1.85,1.5,1.85,1.85,1200.0
2015-01-28,1.6,1.7,1.6,1.6,1.6,3500.0
2015-01-29,1.65,1.7,1.55,1.65,1.65,1780.0
2015-01-30,1.65,1.65,1.65,1.65,1.65,11000.0
2015-02-02,1.95,1.95,1.65,1.95,1.95,300.0
2015-02-03,2.3,2.3,2.0,2.3,2.3,22336.0
2015-02-04,2.5,2.5,2.35,2.5,2.5,59985.0
2015-02-05,2.6,2.6,2.4,2.6,2.6,106350.0
2015-02-06,2.4,2.4,2.4,2.4,2.4,56000.0
2015-02-09,2.4,2.6,2.3,2.5,2.5,14200.0
2015-02-10,2.55,2.55,2.5,2.55,2.55,58400.0
2015-02-11,2.45,2.5,2.45,2.45,2.45,2300.0
2015-02-12,2.25,2.4,2.25,2.25,2.25,108210.0
2015-02-13,2.15,2.2,2.05,2.15,2.15,11500.0
2015-02-16,2.0,2.25,1.95,2.0,2.0,60499.0
2015-02-18,2.0,2.1,2.0,2.05,2.05,65900.0
2015-02-19,2.05,2.05,1.95,2.05,2.05,40800.0
2015-02-20,2.1,2.1,2.0,2.1,2.1,23212.0
2015-02-23,2.0,2.0,2.0,2.0,2.0,1500.0
2015-02-24,2.0,2.0,2.0,2.0,2.0,0.0
2015-02-25,1.95,1.95,1.95,1.95,1.95,1310.0
2015-02-26,1.95,1.95,1.95,1.95,1.95,0.0
2015-02-27,1.95,1.95,1.95,1.95,1.95,0.0
2015-02-28,,,,,,
2015-03-02,1.95,1.95,1.95,1.95,1.95,404.0
2015-03-03,2.0,2.0,2.0,2.0,2.0,2020.0
2015-03-04,2.1,2.1,2.0,2.1,2.1,1326.0
2015-03-05,2.1,2.1,2.1,2.1,2.1,0.0
2015-03-09,2.1,2.3,2.0,2.3,2.3,5430.0
2015-03-10,2.1,2.1,2.1,2.1,2.1,1150.0
2015-03-11,2.1,2.1,2.1,2.1,2.1,0.0
2015-03-12,2.1,2.1,2.1,2.1,2.1,0.0
2015-03-13,1.95,2.1,2.1,2.1,2.1,5.0
2015-03-16,2.1,2.1,2.1,2.1,2.1,0.0
2015-03-17,2.15,2.15,2.0,2.15,2.15,20482.0
2015-03-18,2.1,2.1,2.1,2.1,2.1,15000.0
2015-03-19,2.0,2.1,2.0,2.0,2.0,22360.0
2015-03-20,2.0,2.0,1.95,2.0,2.0,2000.0
2015-03-23,1.9,1.9,1.9,1.9,1.9,450.0
2015-03-24,1.85,1.85,1.85,1.85,1.85,9196.0
2015-03-25,1.9,1.9,1.9,1.9,1.9,11798.0
2015-03-26,1.9,1.9,1.9,1.9,1.9,0.0
2015-03-27,1.9,1.9,1.9,1.9,1.9,1269.0
2015-03-30,1.9,1.9,1.9,1.9,1.9,5900.0
2015-03-31,1.9,1.9,1.9,1.9,1.9,0.0
2015-04-01,1.85,1.85,1.85,1.85,1.85,1050.0
2015-04-06,1.85,1.9,1.85,1.9,1.9,100.0
2015-04-07,1.95,1.95,1.95,1.95,1.95,50.0
2015-04-08,1.95,1.95,1.95,1.95,1.95,500.0
2015-04-09,1.9,1.9,1.9,1.9,1.9,4264.0
2015-04-10,1.9,1.9,1.9,1.9,1.9,0.0
2015-04-13,1.9,1.9,1.9,1.9,1.9,0.0
2015-04-15,1.9,1.9,1.9,1.9,1.9,0.0
2015-04-16,1.9,1.9,1.9,1.9,1.9,0.0
2015-04-17,1.85,1.85,1.85,1.85,1.85,1000.0
2015-04-20,1.9,1.9,1.9,1.9,1.9,3.0
2015-04-21,1.9,1.9,1.9,1.9,1.9,2000.0
2015-04-22,1.95,1.95,1.85,1.95,1.95,8900.0
2015-04-23,1.95,1.95,1.95,1.95,1.95,0.0
2015-04-24,1.95,1.95,1.95,1.95,1.95,0.0
2015-04-27,1.95,1.95,1.95,1.95,1.95,0.0
