Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,11.7,11.85,11.15,11.5,11.5,75288.0
2015-01-02,11.2,11.8,11.1,11.3,11.3,56762.0
2015-01-05,11.3,11.65,10.95,11.0,11.0,48358.0
2015-01-06,10.9,11.0,10.5,10.8,10.8,35554.0
2015-01-07,10.75,11.15,10.5,10.7,10.7,58273.0
2015-01-08,11.15,11.7,10.75,10.95,10.95,29270.0
2015-01-09,10.95,11.0,10.6,10.75,10.75,37289.0
2015-01-12,10.8,11.1,10.5,10.8,10.8,37671.0
2015-01-13,11.0,11.4,10.8,10.8,10.8,86373.0
2015-01-14,10.8,12.3,10.8,11.55,11.55,219404.0
2015-01-15,11.5,11.8,10.95,11.45,11.45,80232.0
2015-01-16,11.55,11.55,11.15,11.3,11.3,54135.0
2015-01-19,11.4,11.4,10.85,11.25,11.25,64496.0
2015-01-20,11.5,11.5,11.15,11.25,11.25,74500.0
2015-01-21,11.05,11.4,10.9,11.0,11.0,32142.0
2015-01-22,10.95,11.2,10.85,11.05,11.05,33651.0
2015-01-23,11.0,11.15,10.75,11.05,11.05,49550.0
2015-01-27,11.05,11.25,10.9,10.95,10.95,35191.0
2015-01-28,11.0,11.0,10.7,10.75,10.75,39083.0
2015-01-29,10.75,10.75,10.35,10.55,10.55,40265.0
2015-01-30,10.5,11.1,10.35,10.7,10.7,47023.0
2015-02-02,11.0,11.0,10.55,10.95,10.95,50384.0
2015-02-03,11.05,11.05,10.5,10.55,10.55,50075.0
2015-02-04,10.55,10.9,10.5,10.7,10.7,36918.0
2015-02-05,10.6,10.7,10.2,10.3,10.3,26379.0
2015-02-06,10.35,10.5,9.95,10.1,10.1,40616.0
2015-02-09,10.0,10.1,9.8,9.9,9.9,30704.0
2015-02-10,9.8,10.1,9.7,9.85,9.85,39159.0
2015-02-11,9.9,10.0,9.6,9.75,9.75,37748.0
2015-02-12,9.9,9.9,9.6,9.8,9.8,25792.0
2015-02-13,9.7,9.9,9.65,9.8,9.8,63633.0
2015-02-16,9.7,9.95,9.6,9.7,9.7,29536.0
2015-02-18,9.7,9.85,9.55,9.75,9.75,32267.0
2015-02-19,10.0,10.4,9.75,9.9,9.9,28556.0
