Date,Open,High,Low,Close,Adj Close,Volume
2015-01-27,26.799999,28.0,26.1,26.1,26.1,668.0
2015-01-28,25.6,26.049999,25.6,26.049999,26.049999,401.0
2015-01-29,26.75,26.75,26.75,26.75,26.75,200.0
2015-01-30,28.049999,28.049999,27.549999,28.049999,28.049999,1949.0
2015-02-02,29.299999,29.450001,29.299999,29.450001,29.450001,4761.0
2015-02-03,30.450001,30.450001,29.5,29.5,29.5,1275.0
2015-02-04,28.25,30.0,28.25,29.5,29.5,3925.0
2015-02-05,29.5,29.6,29.0,29.0,29.0,2814.0
2015-02-06,28.1,28.5,27.700001,27.700001,27.700001,1027.0
2015-02-09,28.0,28.9,28.0,28.0,28.0,1300.0
2015-02-10,,,,,,
2015-02-11,26.799999,28.6,26.799999,28.6,28.6,975.0
2015-02-12,,,,,,
2015-02-13,,,,,,
2015-02-16,28.5,28.5,27.200001,28.0,28.0,3753.0
2015-02-18,27.5,28.049999,27.5,28.0,28.0,1110.0
2015-02-19,,,,,,
2015-02-20,,,,,,
2015-02-23,,,,,,
2015-02-24,,,,,,
2015-02-25,,,,,,
2015-02-26,,,,,,
2015-02-27,,,,,,
2015-02-28,,,,,,
2015-03-02,,,,,,
2015-03-03,,,,,,
2015-03-04,,,,,,
2015-03-05,23.4,24.0,23.25,23.65,23.65,1541.0
2015-03-09,22.75,23.0,22.5,22.65,22.65,2503.0
2015-03-10,,,,,,
2015-03-11,,,,,,
2015-03-12,23.0,24.0,23.0,23.5,23.5,1250.0
2015-03-13,,,,,,
2015-03-16,,,,,,
2015-03-17,22.549999,24.5,22.5,24.5,24.5,4562.0
2015-03-18,23.299999,23.9,23.299999,23.9,23.9,26.0
2015-03-19,,,,,,
2015-03-20,,,,,,
2015-03-23,,,,,,
2015-03-24,21.85,23.0,21.85,23.0,23.0,640.0
2015-03-25,,,,,,
2015-03-26,,,,,,
2015-03-27,,,,,,
2015-03-30,24.0,24.0,24.0,24.0,24.0,0.0
2015-03-31,,,,,,
2015-04-01,,,,,,
2015-04-06,24.049999,24.049999,24.049999,24.049999,24.049999,0.0
2015-04-07,,,,,,
2015-04-08,24.0,24.0,24.0,24.0,24.0,100.0
2015-04-09,24.200001,24.200001,23.299999,23.299999,23.299999,149.0
2015-04-10,,,,,,
2015-04-13,,,,,,
2015-04-15,,,,,,
2015-04-16,,,,,,
2015-04-17,,,,,,
2015-04-20,,,,,,
2015-04-21,,,,,,
2015-04-22,,,,,,
2015-04-23,,,,,,
2015-04-24,23.0,23.0,23.0,23.0,23.0,100.0
2015-04-27,22.049999,22.049999,22.049999,22.049999,22.049999,100.0
2015-04-28,22.0,23.15,22.0,23.15,23.15,2050.0
2015-04-29,,,,,,
2015-04-30,,,,,,
2015-05-04,,,,,,
2015-05-05,,,,,,
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-05-08,,,,,,
2015-05-11,,,,,,
2015-05-12,,,,,,
2015-05-13,,,,,,
2015-05-14,24.35,24.35,24.35,24.35,24.35,100.0
2015-05-15,24.1,24.9,24.1,24.4,24.4,700.0
2015-05-18,25.5,25.6,25.0,25.6,25.6,1590.0
2015-05-19,26.5,26.5,25.799999,26.0,26.0,1700.0
2015-05-20,27.0,27.0,26.9,26.9,26.9,75.0
2015-05-21,27.15,27.200001,27.15,27.200001,27.200001,2750.0
2015-05-22,26.15,28.25,26.15,27.799999,27.799999,2600.0
2015-05-25,27.549999,27.549999,27.0,27.0,27.0,500.0
2015-05-26,27.5,27.5,26.1,26.1,26.1,2800.0
2015-05-27,26.799999,26.799999,26.0,26.0,26.0,3670.0
2015-05-28,25.0,27.0,25.0,27.0,27.0,199.0
2015-05-29,,,,,,
2015-06-01,24.5,26.6,24.5,26.6,26.6,303.0
2015-06-02,25.4,25.4,25.4,25.4,25.4,25.0
2015-06-03,,,,,,
2015-06-04,23.5,25.450001,23.5,24.0,24.0,1004.0
2015-06-05,24.0,24.1,24.0,24.0,24.0,1153.0
2015-06-08,,,,,,
2015-06-09,23.5,23.5,23.5,23.5,23.5,0.0
2015-06-10,,,,,,
2015-06-11,23.75,23.799999,23.75,23.799999,23.799999,219.0
2015-06-12,24.549999,24.549999,24.549999,24.549999,24.549999,50.0
2015-06-15,24.549999,24.549999,24.549999,24.549999,24.549999,0.0
2015-06-16,,,,,,
2015-06-17,25.65,25.65,25.65,25.65,25.65,0.0
2015-06-18,,,,,,
2015-06-19,,,,,,
2015-06-22,24.0,24.950001,23.35,24.950001,24.950001,3302.0
2015-06-23,23.9,24.0,23.799999,23.799999,23.799999,441.0
2015-06-24,23.799999,23.799999,23.799999,23.799999,23.799999,500.0
2015-06-25,24.9,24.9,23.799999,23.799999,23.799999,151.0
2015-06-26,24.0,24.799999,24.0,24.4,24.4,1822.0
2015-06-29,25.0,25.5,24.5,25.450001,25.450001,3290.0
2015-06-30,26.700001,26.700001,26.700001,26.700001,26.700001,1263.0
2015-07-01,28.0,28.0,28.0,28.0,28.0,431.0
2015-07-02,29.4,29.4,29.4,29.4,29.4,1180.0
2015-07-03,,,,,,
2015-07-06,32.0,32.25,30.5,30.75,30.75,8539.0
2015-07-07,,,,,,
2015-07-08,,,,,,
2015-07-09,27.85,27.85,27.85,27.85,27.85,2.0
2015-07-10,,,,,,
2015-07-13,,,,,,
2015-07-14,,,,,,
2015-07-15,30.15,30.200001,29.0,29.0,29.0,702.0
2015-07-16,,,,,,
2015-07-17,30.299999,30.4,29.0,30.0,30.0,4034.0
2015-07-20,30.35,30.35,28.549999,28.65,28.65,775.0
2015-07-21,,,,,,
2015-07-22,,,,,,
2015-07-23,,,,,,
2015-07-24,,,,,,
2015-07-27,,,,,,
2015-07-28,27.6,30.450001,27.6,29.15,29.15,1362.0
2015-07-29,,,,,,
2015-07-30,,,,,,
2015-07-31,30.0,30.0,30.0,30.0,30.0,300.0
2015-08-03,29.0,31.5,28.5,30.799999,30.799999,8450.0
2015-08-04,,,,,,
2015-08-05,,,,,,
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-12,,,,,,
2015-08-13,,,,,,
2015-08-14,,,,,,
2015-08-17,,,,,,
2015-08-18,,,,,,
2015-08-19,,,,,,
2015-08-20,,,,,,
2015-08-21,,,,,,
2015-08-24,,,,,,
2015-08-25,31.9,32.0,29.25,29.25,29.25,5850.0
2015-08-26,29.25,29.25,28.5,28.5,28.5,1285.0
2015-08-27,27.9,29.0,27.1,28.4,28.4,7591.0
2015-08-28,28.0,29.799999,28.0,28.9,28.9,1534.0
2015-08-31,28.049999,28.049999,28.0,28.049999,28.049999,450.0
2015-09-01,27.5,29.450001,27.5,29.200001,29.200001,1699.0
2015-09-02,28.25,28.5,28.25,28.5,28.5,400.0
2015-09-03,27.549999,27.549999,27.200001,27.200001,27.200001,250.0
2015-09-04,28.0,28.0,26.5,26.549999,26.549999,3035.0
2015-09-07,25.75,25.75,25.65,25.65,25.65,625.0
2015-09-08,25.0,26.1,24.6,26.1,26.1,600.0
2015-09-09,25.5,25.5,25.5,25.5,25.5,600.0
2015-09-10,25.5,25.5,25.25,25.35,25.35,2377.0
2015-09-11,25.15,25.15,25.15,25.15,25.15,50.0
2015-09-14,25.35,26.4,25.35,26.4,26.4,400.0
2015-09-15,26.4,26.4,26.4,26.4,26.4,0.0
2015-09-16,26.299999,26.4,25.5,26.0,26.0,1600.0
2015-09-18,,,,,,
2015-09-21,26.700001,26.700001,26.700001,26.700001,26.700001,0.0
2015-09-22,27.5,27.5,26.35,26.35,26.35,1025.0
2015-09-23,,,,,,
2015-09-24,27.950001,27.950001,26.65,26.65,26.65,1501.0
2015-09-28,26.65,27.9,26.65,27.9,27.9,25.0
2015-09-29,28.049999,28.049999,28.049999,28.049999,28.049999,100.0
2015-09-30,,,,,,
2015-10-01,29.4,29.4,29.4,29.4,29.4,0.0
2015-10-05,28.0,29.1,28.0,28.049999,28.049999,10040.0
2015-10-06,28.15,28.25,27.5,27.5,27.5,5063.0
2015-10-07,28.0,28.0,28.0,28.0,28.0,5662.0
2015-10-08,29.0,29.4,27.25,27.5,27.5,300.0
2015-10-09,,,,,,
2015-10-12,,,,,,
2015-10-13,28.0,29.0,27.5,28.0,28.0,3760.0
2015-10-14,,,,,,
2015-10-15,,,,,,
2015-10-16,28.799999,28.799999,27.6,27.6,27.6,103.0
2015-10-19,,,,,,
2015-10-20,,,,,,
2015-10-21,,,,,,
2015-10-23,29.0,29.0,29.0,29.0,29.0,0.0
2015-10-26,,,,,,
2015-10-27,,,,,,
2015-10-28,,,,,,
2015-10-29,,,,,,
2015-10-30,29.450001,29.5,29.450001,29.5,29.5,201.0
2015-11-02,,,,,,
2015-11-03,,,,,,
2015-11-04,,,,,,
2015-11-05,,,,,,
2015-11-06,,,,,,
2015-11-09,,,,,,
2015-11-10,,,,,,
2015-11-13,,,,,,
2015-11-16,,,,,,
2015-11-17,29.65,29.65,29.65,29.65,29.65,55.0
2015-11-18,,,,,,
2015-11-19,,,,,,
2015-11-20,31.299999,31.299999,30.5,30.5,30.5,17733.0
2015-11-23,31.0,31.0,29.549999,29.549999,29.549999,1537.0
2015-11-24,28.6,30.0,28.6,30.0,30.0,1006.0
2015-11-26,30.0,31.5,29.9,30.9,30.9,4110.0
2015-11-27,30.5,31.5,30.049999,30.450001,30.450001,1465.0
2015-11-30,29.5,31.6,29.5,30.450001,30.450001,312.0
2015-12-01,31.4,31.5,31.4,31.5,31.5,1157.0
2015-12-02,30.5,30.5,29.950001,29.950001,29.950001,2105.0
2015-12-03,29.950001,29.950001,29.950001,29.950001,29.950001,0.0
2015-12-04,29.25,30.65,28.700001,29.35,29.35,1351.0
2015-12-07,30.25,30.25,27.950001,29.35,29.35,1531.0
2015-12-08,29.9,29.9,29.0,29.0,29.0,693.0
2015-12-09,29.799999,29.799999,27.799999,27.799999,27.799999,101.0
2015-12-10,29.15,29.15,28.25,28.25,28.25,45.0
2015-12-11,27.35,27.5,27.35,27.5,27.5,2.0
2015-12-14,28.85,28.85,28.85,28.85,28.85,1.0
2015-12-15,28.049999,29.0,27.5,29.0,29.0,626.0
2015-12-16,29.0,29.0,29.0,29.0,29.0,100.0
2015-12-17,29.5,29.700001,27.799999,29.0,29.0,276.0
2015-12-18,27.85,29.450001,27.85,29.450001,29.450001,1065.0
2015-12-21,28.450001,29.6,28.0,28.1,28.1,306.0
2015-12-22,29.5,29.5,29.25,29.5,29.5,1045.0
2015-12-23,29.5,30.9,29.299999,30.1,30.1,1654.0
2015-12-24,30.0,30.0,29.0,29.0,29.0,29.0
2015-12-28,29.0,30.450001,29.0,30.0,30.0,700.0
2015-12-29,31.4,31.4,28.6,29.4,29.4,2491.0
2015-12-30,29.4,30.0,29.15,30.0,30.0,2237.0
2015-12-31,30.0,30.299999,30.0,30.299999,30.299999,110.0
2016-01-01,30.25,30.25,30.25,30.25,30.25,75.0
2016-01-04,30.200001,30.35,30.200001,30.299999,30.299999,350.0
2016-01-05,31.450001,31.799999,30.799999,31.799999,31.799999,13534.0
2016-01-06,33.299999,33.349998,32.0,32.299999,32.299999,11647.0
2016-01-07,33.0,33.0,30.700001,30.700001,30.700001,2700.0
2016-01-08,32.0,32.150002,31.1,32.150002,32.150002,2113.0
2016-01-11,33.450001,33.450001,32.150002,32.799999,32.799999,2773.0
2016-01-12,34.400002,34.400002,32.849998,33.0,33.0,8387.0
2016-01-13,34.400002,34.400002,32.049999,32.049999,32.049999,1503.0
2016-01-14,30.450001,32.299999,30.450001,30.6,30.6,1155.0
2016-01-15,29.6,29.799999,29.15,29.450001,29.450001,1960.0
2016-01-18,28.0,29.5,28.0,28.0,28.0,2511.0
2016-01-19,27.1,29.4,27.1,29.15,29.15,708.0
2016-01-20,30.0,30.0,30.0,30.0,30.0,1.0
2016-01-21,30.450001,30.450001,28.5,28.5,28.5,2.0
2016-01-22,28.5,28.5,28.5,28.5,28.5,500.0
2016-01-25,29.9,29.9,27.299999,28.65,28.65,1605.0
2016-01-27,28.65,30.0,28.65,29.950001,29.950001,2006.0
2016-01-28,29.1,30.85,29.1,29.950001,29.950001,3.0
2016-01-29,31.25,31.25,31.25,31.25,31.25,220.0
2016-02-01,30.0,32.799999,30.0,31.950001,31.950001,6028.0
2016-02-02,33.5,33.5,30.549999,30.549999,30.549999,1494.0
2016-02-03,29.65,29.65,29.65,29.65,29.65,100.0
2016-02-04,29.1,29.1,28.65,28.65,28.65,1000.0
2016-02-05,27.549999,28.85,27.25,28.85,28.85,6032.0
2016-02-08,29.5,29.5,28.049999,28.1,28.1,23.0
2016-02-09,29.4,29.4,29.4,29.4,29.4,1.0
2016-02-10,27.950001,27.950001,27.950001,27.950001,27.950001,950.0
2016-02-11,27.0,29.049999,26.6,27.799999,27.799999,1456.0
2016-02-12,26.450001,27.5,26.450001,26.65,26.65,654.0
2016-02-15,25.35,27.6,25.35,26.299999,26.299999,633.0
2016-02-16,26.25,27.6,25.15,26.15,26.15,1650.0
2016-02-17,24.85,24.85,24.85,24.85,24.85,1870.0
2016-02-18,24.049999,25.0,24.049999,24.049999,24.049999,1055.0
2016-02-19,23.5,23.5,23.5,23.5,23.5,75.0
2016-02-22,23.5,23.5,23.5,23.5,23.5,50.0
2016-02-23,22.65,23.25,22.65,23.25,23.25,180.0
2016-02-24,23.25,23.25,23.25,23.25,23.25,0.0
2016-02-25,23.25,23.25,23.25,23.25,23.25,0.0
2016-02-26,22.799999,22.799999,22.799999,22.799999,22.799999,4.0
2016-02-29,22.799999,22.799999,22.799999,22.799999,22.799999,0.0
2016-03-01,22.799999,22.799999,22.799999,22.799999,22.799999,0.0
2016-03-02,22.799999,23.9,22.799999,23.9,23.9,202.0
2016-03-03,23.9,23.9,23.9,23.9,23.9,0.0
2016-03-04,25.049999,25.049999,25.049999,25.049999,25.049999,2.0
2016-03-08,25.049999,26.299999,25.049999,26.299999,26.299999,101.0
