Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,24.0,24.85,23.549999,24.549999,24.549999,120405.0
2015-01-02,24.6,27.200001,24.450001,26.6,26.6,414465.0
2015-01-05,26.049999,28.15,25.6,26.15,26.15,535819.0
2015-01-06,26.1,26.1,24.85,25.049999,25.049999,177467.0
2015-01-07,25.200001,25.700001,24.4,24.950001,24.950001,110733.0
2015-01-08,25.65,25.799999,25.15,25.6,25.6,113428.0
2015-01-09,25.799999,26.0,25.25,25.35,25.35,89027.0
2015-01-12,25.65,25.950001,25.35,25.65,25.65,158366.0
2015-01-13,25.6,25.75,24.1,24.700001,24.700001,93685.0
2015-01-14,24.6,26.4,24.299999,25.6,25.6,249702.0
2015-01-15,26.450001,28.0,25.65,27.049999,27.049999,660974.0
2015-01-16,27.15,27.75,26.0,26.4,26.4,234082.0
2015-01-19,26.5,27.25,26.200001,26.299999,26.299999,148417.0
2015-01-20,26.950001,27.4,26.25,27.200001,27.200001,183801.0
2015-01-21,27.35,28.0,26.700001,26.85,26.85,180230.0
2015-01-22,26.85,27.299999,26.5,26.75,26.75,59726.0
2015-01-23,27.0,27.200001,26.15,26.4,26.4,77368.0
2015-01-27,26.4,26.85,25.6,25.75,25.75,58424.0
2015-01-28,25.65,26.15,25.200001,25.25,25.25,152663.0
2015-01-29,25.299999,26.75,25.299999,26.049999,26.049999,124028.0
2015-01-30,26.450001,27.799999,26.35,26.6,26.6,446590.0
2015-02-02,26.799999,29.4,26.65,28.200001,28.200001,463171.0
2015-02-03,28.6,28.700001,26.9,27.049999,27.049999,156553.0
2015-02-04,27.35,29.1,26.85,27.6,27.6,370844.0
2015-02-05,27.65,28.35,26.4,26.700001,26.700001,172468.0
2015-02-06,26.65,27.450001,24.25,26.25,26.25,224216.0
2015-02-09,27.0,27.0,25.049999,25.299999,25.299999,73060.0
2015-02-10,25.049999,26.35,24.9,25.700001,25.700001,91618.0
2015-02-11,25.5,28.450001,25.5,26.9,26.9,1168443.0
2015-02-12,27.549999,29.299999,27.5,28.549999,28.549999,629427.0
2015-02-13,28.85,31.35,28.85,29.9,29.9,754922.0
2015-02-16,30.0,30.35,29.15,29.35,29.35,172300.0
2015-02-18,29.35,30.5,29.15,29.85,29.85,206735.0
2015-02-19,29.75,30.299999,28.65,29.200001,29.200001,86162.0
2015-02-20,29.450001,30.0,28.5,29.450001,29.450001,171596.0
2015-02-23,29.450001,29.950001,26.65,28.25,28.25,224126.0
2015-02-24,28.9,29.299999,28.4,28.700001,28.700001,161860.0
2015-02-25,29.0,29.6,28.0,28.25,28.25,128090.0
2015-02-26,28.6,28.9,27.799999,28.0,28.0,71728.0
2015-02-27,28.4,29.85,27.9,29.6,29.6,243662.0
2015-02-28,,,,,,
2015-03-02,28.75,29.549999,28.5,29.35,29.35,207146.0
2015-03-03,29.700001,29.950001,28.85,29.15,29.15,127408.0
2015-03-04,29.9,29.9,28.15,28.35,28.35,159983.0
2015-03-05,28.65,28.85,26.799999,28.200001,28.200001,113867.0
2015-03-09,28.200001,28.200001,27.25,27.549999,27.549999,102256.0
2015-03-10,27.9,28.0,27.0,27.15,27.15,38844.0
2015-03-11,27.299999,27.549999,26.549999,26.85,26.85,65932.0
2015-03-12,26.799999,27.4,26.450001,27.0,27.0,98741.0
2015-03-13,27.35,27.4,26.0,26.15,26.15,141627.0
2015-03-16,26.25,26.450001,25.299999,25.85,25.85,74232.0
2015-03-17,26.5,26.5,25.15,25.5,25.5,59731.0
2015-03-18,25.65,26.0,25.6,25.65,25.65,90399.0
2015-03-19,25.950001,26.35,24.549999,24.85,24.85,79789.0
2015-03-20,24.700001,25.200001,23.549999,23.85,23.85,166437.0
2015-03-23,24.200001,24.200001,23.0,23.299999,23.299999,71242.0
2015-03-24,24.75,24.75,22.799999,23.0,23.0,83389.0
2015-03-25,22.6,23.450001,22.6,22.700001,22.700001,293315.0
2015-03-26,22.6,22.75,22.0,22.200001,22.200001,107268.0
2015-03-27,22.049999,23.4,22.0,22.85,22.85,140255.0
2015-03-30,23.15,24.25,23.15,23.6,23.6,100664.0
2015-03-31,23.6,24.450001,23.299999,23.549999,23.549999,74735.0
2015-04-01,23.450001,24.0,23.450001,23.799999,23.799999,76723.0
2015-04-06,23.799999,26.25,23.65,25.85,25.85,221254.0
2015-04-07,25.5,25.85,24.799999,25.299999,25.299999,205092.0
2015-04-08,25.6,26.799999,25.1,26.049999,26.049999,126203.0
2015-04-09,26.1,26.450001,25.799999,26.0,26.0,68604.0
2015-04-10,26.049999,27.4,25.799999,27.15,27.15,157898.0
2015-04-13,27.25,27.5,26.6,26.9,26.9,133595.0
2015-04-15,26.9,27.75,26.200001,26.700001,26.700001,195808.0
2015-04-16,26.75,26.85,25.799999,26.0,26.0,90387.0
2015-04-17,25.9,26.200001,25.35,25.549999,25.549999,54289.0
2015-04-20,25.299999,25.9,24.799999,25.049999,25.049999,94601.0
2015-04-21,25.049999,25.6,24.75,24.9,24.9,67145.0
2015-04-22,25.299999,25.450001,23.799999,24.1,24.1,191263.0
2015-04-23,24.35,24.65,24.1,24.25,24.25,35024.0
2015-04-24,24.5,24.5,23.5,23.549999,23.549999,56679.0
2015-04-27,23.549999,23.549999,21.75,21.950001,21.950001,88641.0
2015-04-28,22.200001,22.9,22.0,22.799999,22.799999,81130.0
2015-04-29,22.799999,23.6,22.4,23.15,23.15,63812.0
2015-04-30,22.9,23.5,22.799999,23.200001,23.200001,172777.0
2015-05-04,23.200001,25.1,23.0,24.75,24.75,156610.0
2015-05-05,25.299999,25.299999,24.1,24.35,24.35,121932.0
2015-05-06,24.0,24.049999,22.799999,23.0,23.0,82772.0
2015-05-07,22.65,23.0,21.85,22.1,22.1,96096.0
2015-05-08,22.6,23.1,22.5,22.65,22.65,42714.0
2015-05-11,22.700001,23.299999,22.549999,22.75,22.75,104163.0
2015-05-12,23.0,23.0,22.200001,22.299999,22.299999,56971.0
2015-05-13,22.5,23.25,22.299999,22.4,22.4,154438.0
2015-05-14,22.4,22.9,22.25,22.65,22.65,35494.0
2015-05-15,22.75,23.200001,22.700001,22.85,22.85,54936.0
2015-05-18,22.85,23.15,22.700001,22.85,22.85,62210.0
2015-05-19,22.85,23.200001,22.700001,22.75,22.75,118783.0
2015-05-20,22.6,23.0,22.6,22.700001,22.700001,23774.0
2015-05-21,22.700001,22.950001,22.700001,22.75,22.75,47995.0
2015-05-22,22.700001,22.950001,22.700001,22.700001,22.700001,53998.0
2015-05-25,22.700001,23.0,22.049999,22.6,22.6,91619.0
2015-05-26,22.799999,22.85,22.25,22.65,22.65,23229.0
2015-05-27,22.5,22.75,22.0,22.6,22.6,38523.0
2015-05-28,22.25,23.0,22.25,22.450001,22.450001,40792.0
2015-05-29,22.35,22.799999,22.35,22.65,22.65,38987.0
2015-06-01,23.0,23.0,22.15,22.299999,22.299999,34074.0
2015-06-02,22.65,22.65,21.75,21.9,21.9,49329.0
2015-06-03,21.799999,22.4,19.700001,20.450001,20.450001,205841.0
2015-06-04,20.85,20.85,19.5,20.049999,20.049999,76592.0
2015-06-05,20.25,20.5,20.1,20.25,20.25,40446.0
2015-06-08,20.5,20.5,19.5,19.950001,19.950001,140424.0
2015-06-09,19.700001,20.25,19.200001,19.5,19.5,98096.0
2015-06-10,19.75,20.200001,19.549999,19.950001,19.950001,34456.0
2015-06-11,20.4,20.700001,18.75,19.200001,19.200001,352047.0
2015-06-12,19.25,19.6,18.299999,18.700001,18.700001,98535.0
2015-06-15,18.700001,18.85,18.15,18.5,18.5,70276.0
2015-06-16,18.299999,18.549999,17.25,18.1,18.1,68191.0
2015-06-17,18.450001,18.6,18.0,18.4,18.4,52463.0
2015-06-18,18.700001,19.299999,18.4,19.0,19.0,137450.0
2015-06-19,19.549999,19.549999,18.9,19.049999,19.049999,73199.0
2015-06-22,19.9,20.85,19.35,20.299999,20.299999,147912.0
2015-06-23,20.549999,20.75,19.9,20.4,20.4,74234.0
2015-06-24,20.700001,20.9,19.75,20.1,20.1,93812.0
2015-06-25,20.1,20.6,19.6,20.299999,20.299999,62991.0
2015-06-26,20.299999,21.1,19.4,20.049999,20.049999,124867.0
2015-06-29,19.799999,19.799999,18.799999,19.25,19.25,65452.0
2015-06-30,19.65,20.85,17.4,17.700001,17.700001,1117221.0
2015-07-01,18.0,18.4,16.75,17.049999,17.049999,1090398.0
2015-07-02,17.299999,18.0,17.25,17.9,17.9,462217.0
2015-07-03,18.1,18.4,17.6,17.700001,17.700001,106256.0
2015-07-06,17.75,17.75,17.200001,17.65,17.65,204596.0
2015-07-07,18.0,18.700001,17.700001,18.15,18.15,203191.0
2015-07-08,17.950001,18.799999,17.6,18.200001,18.200001,128552.0
2015-07-09,18.450001,18.6,17.85,18.1,18.1,97908.0
2015-07-10,18.35,18.450001,18.049999,18.15,18.15,106845.0
2015-07-13,18.1,18.4,18.0,18.1,18.1,129631.0
2015-07-14,18.1,18.950001,18.049999,18.200001,18.200001,267336.0
2015-07-15,18.700001,18.950001,18.450001,18.700001,18.700001,170700.0
2015-07-16,18.9,19.049999,18.299999,18.4,18.4,58237.0
2015-07-17,18.799999,18.799999,18.200001,18.299999,18.299999,101699.0
2015-07-20,18.299999,18.799999,18.049999,18.25,18.25,118442.0
2015-07-21,18.450001,18.549999,17.700001,17.799999,17.799999,112782.0
2015-07-22,18.0,18.200001,17.35,18.1,18.1,70810.0
2015-07-23,18.4,18.4,18.1,18.25,18.25,65564.0
2015-07-24,18.15,18.25,17.85,17.950001,17.950001,39272.0
2015-07-27,18.200001,18.200001,17.5,17.65,17.65,47705.0
2015-07-28,17.65,17.85,17.35,17.450001,17.450001,41611.0
2015-07-29,17.4,17.700001,17.15,17.35,17.35,40492.0
2015-07-30,17.799999,17.950001,17.4,17.75,17.75,67838.0
2015-07-31,18.0,18.4,17.799999,18.15,18.15,105705.0
2015-08-03,18.65,19.4,18.15,18.950001,18.950001,185017.0
2015-08-04,19.299999,19.450001,18.6,18.950001,18.950001,83275.0
2015-08-05,18.65,20.25,18.65,19.950001,19.950001,325951.0
2015-08-06,20.049999,21.4,20.049999,20.299999,20.299999,321108.0
2015-08-07,20.299999,21.0,19.6,19.799999,19.799999,279459.0
2015-08-10,20.35,20.35,19.6,19.75,19.75,69269.0
2015-08-11,19.9,19.9,19.15,19.15,19.15,82973.0
2015-08-12,19.1,19.1,17.049999,17.75,17.75,255327.0
2015-08-13,17.700001,18.450001,17.25,17.4,17.4,74897.0
2015-08-14,17.950001,18.200001,17.0,17.9,17.9,181979.0
2015-08-17,18.6,18.6,17.049999,17.549999,17.549999,75246.0
2015-08-18,17.75,18.35,17.65,18.049999,18.049999,63114.0
2015-08-19,18.200001,18.85,17.75,18.15,18.15,178922.0
2015-08-20,18.35,19.299999,17.799999,17.9,17.9,255194.0
2015-08-21,17.5,18.200001,17.4,17.950001,17.950001,57835.0
2015-08-24,17.5,17.5,15.65,15.95,15.95,123396.0
2015-08-25,16.0,16.5,15.1,15.95,15.95,96108.0
2015-08-26,16.0,16.450001,15.55,16.049999,16.049999,43139.0
2015-08-27,16.299999,16.9,16.200001,16.549999,16.549999,55221.0
2015-08-28,16.9,17.4,16.75,16.950001,16.950001,99068.0
2015-08-31,17.4,17.4,16.15,16.450001,16.450001,81185.0
2015-09-01,16.4,16.65,15.6,15.85,15.85,108241.0
2015-09-02,16.299999,16.299999,15.5,15.55,15.55,82411.0
2015-09-03,16.1,16.299999,15.7,16.0,16.0,54846.0
2015-09-04,15.9,16.15,15.3,15.7,15.7,93995.0
2015-09-07,15.8,16.299999,15.65,15.95,15.95,178663.0
2015-09-08,15.8,16.450001,15.55,16.35,16.35,42785.0
2015-09-09,16.35,16.65,15.9,16.0,16.0,88563.0
2015-09-10,15.55,16.4,15.55,16.049999,16.049999,40362.0
2015-09-11,16.799999,16.799999,15.9,16.1,16.1,62784.0
2015-09-14,16.299999,16.4,15.9,16.0,16.0,38170.0
2015-09-15,16.0,16.25,15.9,15.95,15.95,369274.0
2015-09-16,16.6,16.6,16.049999,16.1,16.1,21229.0
2015-09-18,16.1,17.1,16.0,16.799999,16.799999,96425.0
2015-09-21,16.5,16.75,15.9,16.4,16.4,103208.0
2015-09-22,16.200001,16.65,16.1,16.200001,16.200001,47687.0
2015-09-23,16.25,16.4,15.7,16.200001,16.200001,21067.0
2015-09-24,16.15,16.5,16.1,16.25,16.25,19510.0
2015-09-28,16.25,17.1,16.15,16.549999,16.549999,116213.0
2015-09-29,16.299999,17.4,16.25,17.15,17.15,105867.0
2015-09-30,17.299999,17.549999,16.450001,16.799999,16.799999,123854.0
2015-10-01,16.799999,17.35,16.4,16.65,16.65,61828.0
2015-10-05,16.65,17.9,16.65,17.4,17.4,149676.0
2015-10-06,17.200001,18.700001,17.200001,18.35,18.35,206383.0
2015-10-07,18.799999,19.700001,18.35,19.1,19.1,211046.0
2015-10-08,19.450001,20.35,19.0,20.049999,20.049999,276700.0
2015-10-09,20.4,20.75,20.049999,20.15,20.15,108992.0
2015-10-12,20.0,20.35,19.25,19.4,19.4,67681.0
2015-10-13,18.799999,19.799999,18.799999,19.65,19.65,52753.0
2015-10-14,19.299999,20.700001,19.299999,20.299999,20.299999,85941.0
2015-10-15,20.4,20.700001,19.85,20.0,20.0,60722.0
2015-10-16,20.25,20.450001,19.15,19.700001,19.700001,62608.0
2015-10-19,20.25,20.25,19.5,19.85,19.85,48039.0
2015-10-20,20.0,21.65,19.700001,21.35,21.35,299776.0
2015-10-21,21.0,21.0,20.299999,20.450001,20.450001,161887.0
2015-10-23,20.450001,20.799999,20.1,20.299999,20.299999,63884.0
2015-10-26,20.65,20.700001,19.299999,19.5,19.5,41373.0
2015-10-27,19.299999,19.75,19.200001,19.299999,19.299999,19668.0
2015-10-28,19.450001,19.6,18.950001,19.1,19.1,60992.0
2015-10-29,19.15,19.450001,18.65,18.85,18.85,67078.0
2015-10-30,19.1,19.1,18.65,19.0,19.0,61416.0
2015-11-02,19.5,19.5,18.549999,18.950001,18.950001,31458.0
2015-11-03,19.15,19.15,18.75,18.85,18.85,20466.0
2015-11-04,18.9,19.15,18.75,18.9,18.9,44185.0
2015-11-05,19.4,19.4,18.15,18.299999,18.299999,27027.0
2015-11-06,18.700001,18.700001,17.6,17.85,17.85,30666.0
2015-11-09,17.049999,17.9,16.700001,17.65,17.65,44776.0
2015-11-10,18.4,19.35,17.35,18.049999,18.049999,82688.0
2015-11-13,18.049999,18.549999,18.0,18.4,18.4,31590.0
2015-11-16,18.9,18.950001,18.049999,18.75,18.75,52011.0
2015-11-17,18.85,19.15,18.1,18.6,18.6,75719.0
