Date,Open,High,Low,Close,Adj Close,Volume
2015-01-06,131.0,132.0,128.0,129.0,129.0,1824.0
2015-01-07,,,,,,
2015-01-08,,,,,,
2015-01-09,129.0,132.949997,129.0,131.699997,131.699997,4065.0
2015-01-12,,,,,,
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,126.75,130.050003,126.75,130.0,130.0,4830.0
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-27,125.0,129.899994,123.0,128.100006,128.100006,761.0
2015-01-28,125.0,129.949997,125.0,125.699997,125.699997,354.0
2015-01-29,124.650002,124.949997,122.099998,123.0,123.0,1292.0
2015-01-30,122.0,124.949997,121.25,122.900002,122.900002,939.0
2015-02-02,125.0,127.5,118.199997,126.199997,126.199997,1323.0
2015-02-03,125.400002,127.199997,124.0,125.300003,125.300003,3311.0
2015-02-04,129.850006,129.850006,123.650002,124.050003,124.050003,552.0
2015-02-05,131.800003,131.899994,123.25,123.25,123.25,422.0
2015-02-06,124.449997,124.449997,122.099998,122.300003,122.300003,1294.0
2015-02-09,,,,,,
2015-02-10,120.0,122.5,120.0,122.5,122.5,201.0
2015-02-11,120.0,120.0,112.0,115.650002,115.650002,3324.0
2015-02-12,115.699997,116.800003,114.050003,114.5,114.5,593.0
2015-02-13,113.150002,116.949997,110.849998,112.449997,112.449997,6587.0
2015-02-16,112.599998,114.849998,108.050003,110.0,110.0,1199.0
2015-02-18,110.0,110.0,110.0,110.0,110.0,0.0
2015-02-19,112.0,114.0,109.150002,110.949997,110.949997,689.0
2015-02-20,109.400002,112.0,109.400002,109.699997,109.699997,2084.0
2015-02-23,105.0,108.949997,105.0,108.900002,108.900002,136.0
2015-02-24,115.900002,115.900002,109.0,110.0,110.0,570.0
2015-02-25,,,,,,
2015-02-26,110.0,113.449997,109.0,110.099998,110.099998,2056.0
2015-02-27,108.050003,113.400002,108.050003,111.5,111.5,1314.0
2015-02-28,,,,,,
2015-03-02,,,,,,
2015-03-03,111.949997,112.0,108.949997,109.150002,109.150002,2524.0
2015-03-04,,,,,,
2015-03-05,108.0,108.0,105.25,105.900002,105.900002,1766.0
2015-03-09,,,,,,
2015-03-10,,,,,,
2015-03-11,108.0,108.900002,103.050003,104.650002,104.650002,2088.0
2015-03-12,105.0,105.0,101.050003,105.0,105.0,135.0
2015-03-13,103.650002,109.0,103.099998,104.849998,104.849998,2352.0
2015-03-16,,,,,,
2015-03-17,101.050003,106.0,100.300003,102.050003,102.050003,1399.0
2015-03-18,,,,,,
2015-03-19,,,,,,
2015-03-20,101.400002,103.900002,100.5,102.650002,102.650002,3994.0
2015-03-23,,,,,,
2015-03-24,,,,,,
2015-03-25,,,,,,
2015-03-26,,,,,,
2015-03-27,100.099998,103.949997,100.0,100.0,100.0,538.0
2015-03-30,,,,,,
2015-03-31,104.849998,105.0,99.5,100.650002,100.650002,1149.0
2015-04-01,,,,,,
2015-04-06,,,,,,
2015-04-07,106.75,106.75,102.25,102.300003,102.300003,1577.0
2015-04-08,,,,,,
2015-04-09,103.75,109.699997,103.75,108.699997,108.699997,1598.0
2015-04-10,106.800003,109.0,106.800003,109.0,109.0,226.0
2015-04-13,,,,,,
2015-04-15,106.550003,111.099998,106.550003,111.099998,111.099998,962.0
2015-04-16,108.349998,109.0,106.75,107.099998,107.099998,930.0
2015-04-17,,,,,,
2015-04-20,,,,,,
2015-04-21,,,,,,
2015-04-22,,,,,,
2015-04-23,,,,,,
2015-04-24,,,,,,
2015-04-27,,,,,,
2015-04-28,,,,,,
2015-04-29,,,,,,
2015-04-30,,,,,,
2015-05-04,,,,,,
2015-05-05,100.150002,104.650002,99.800003,101.099998,101.099998,2104.0
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-05-08,102.0,102.0,94.300003,96.25,96.25,500.0
2015-05-11,,,,,,
2015-05-12,,,,,,
2015-05-13,,,,,,
2015-05-14,112.5,112.5,108.0,110.0,110.0,108.0
2015-05-15,108.25,110.099998,108.25,110.099998,110.099998,344.0
2015-05-18,110.0,110.0,103.150002,105.75,105.75,322.0
2015-05-19,109.900002,109.900002,104.050003,104.150002,104.150002,1062.0
2015-05-20,104.199997,105.900002,101.949997,102.099998,102.099998,1856.0
2015-05-21,105.25,105.25,102.199997,102.900002,102.900002,575.0
2015-05-22,102.5,104.949997,102.5,102.599998,102.599998,174.0
2015-05-25,100.0,100.0,98.099998,99.699997,99.699997,420.0
2015-05-26,,,,,,
2015-05-27,98.0,101.449997,98.0,100.5,100.5,458.0
2015-05-28,101.0,101.0,99.099998,99.900002,99.900002,148.0
2015-05-29,98.099998,100.099998,97.150002,98.599998,98.599998,545.0
2015-06-01,107.5,107.5,99.0,99.0,99.0,703.0
2015-06-02,,,,,,
2015-06-03,101.849998,101.849998,90.0,99.5,99.5,1849.0
2015-06-04,101.900002,101.900002,94.099998,98.0,98.0,62.0
2015-06-05,,,,,,
2015-06-08,,,,,,
2015-06-09,95.050003,101.900002,95.050003,101.25,101.25,1722.0
2015-06-10,,,,,,
2015-06-11,101.5,104.0,100.099998,102.550003,102.550003,2583.0
2015-06-12,102.900002,103.0,100.050003,100.050003,100.050003,672.0
2015-06-15,95.5,103.0,95.5,100.0,100.0,348.0
2015-06-16,100.0,103.900002,100.0,100.0,100.0,2676.0
2015-06-17,,,,,,
2015-06-18,98.099998,100.0,98.099998,100.0,100.0,67.0
2015-06-19,,,,,,
2015-06-22,,,,,,
2015-06-23,100.0,104.800003,99.0,100.099998,100.099998,275.0
2015-06-24,,,,,,
2015-06-25,100.0,103.800003,100.0,103.0,103.0,604.0
2015-06-26,100.099998,104.0,100.0,100.0,100.0,571.0
2015-06-29,,,,,,
2015-06-30,,,,,,
2015-07-01,100.0,101.0,100.0,100.0,100.0,85.0
2015-07-02,,,,,,
2015-07-03,100.050003,105.0,100.050003,102.699997,102.699997,7223.0
2015-07-06,,,,,,
2015-07-07,110.0,113.0,106.300003,112.300003,112.300003,1427.0
2015-07-08,106.0,114.0,105.050003,110.0,110.0,2535.0
2015-07-09,,,,,,
2015-07-10,108.0,108.0,105.699997,106.599998,106.599998,256.0
2015-07-13,,,,,,
2015-07-14,,,,,,
2015-07-15,,,,,,
2015-07-16,100.5,102.75,99.900002,100.25,100.25,1923.0
2015-07-17,,,,,,
2015-07-20,100.699997,102.949997,100.349998,100.349998,100.349998,1175.0
2015-07-21,,,,,,
2015-07-22,100.400002,104.0,99.150002,101.099998,101.099998,11202.0
2015-07-23,,,,,,
2015-07-24,,,,,,
2015-07-27,100.5,101.0,99.0,100.900002,100.900002,64047.0
2015-07-28,,,,,,
2015-07-29,,,,,,
2015-07-30,,,,,,
2015-07-31,,,,,,
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,105.25,110.5,105.099998,109.300003,109.300003,1187.0
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-12,,,,,,
2015-08-13,,,,,,
2015-08-14,,,,,,
2015-08-17,,,,,,
2015-08-18,,,,,,
2015-08-19,,,,,,
2015-08-20,,,,,,
2015-08-21,,,,,,
2015-08-24,,,,,,
2015-08-25,110.400002,123.349998,101.0,118.150002,118.150002,701.0
2015-08-26,116.0,116.0,109.0,112.5,112.5,707.0
2015-08-27,109.0,118.0,109.0,112.849998,112.849998,540.0
2015-08-28,110.900002,117.0,110.900002,113.75,113.75,918.0
2015-08-31,111.25,117.099998,111.199997,117.099998,117.099998,47.0
2015-09-01,114.050003,116.800003,111.0,114.199997,114.199997,1792.0
2015-09-02,113.050003,113.099998,113.050003,113.050003,113.050003,647.0
2015-09-03,114.050003,116.0,112.0,115.949997,115.949997,94.0
2015-09-04,112.050003,115.949997,110.0,113.599998,113.599998,1963.0
