Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,5.4,5.5,5.25,5.4,5.4,779334.0
2015-01-02,5.5,5.6,5.3,5.35,5.35,1019736.0
2015-01-05,5.4,5.4,5.05,5.05,5.05,1150114.0
2015-01-06,5.0,5.0,4.7,4.75,4.75,949114.0
2015-01-07,4.75,5.0,4.7,4.85,4.85,547203.0
2015-01-08,4.85,5.0,4.85,4.95,4.95,272361.0
2015-01-09,4.95,5.0,4.85,4.9,4.9,355312.0
2015-01-12,4.9,5.85,4.85,5.5,5.5,3586372.0
2015-01-13,5.5,5.6,5.15,5.25,5.25,1004813.0
2015-01-14,5.2,5.4,5.2,5.25,5.25,549962.0
2015-01-15,5.35,5.45,5.2,5.35,5.35,543800.0
2015-01-16,5.3,5.4,5.15,5.2,5.2,393866.0
2015-01-19,5.2,5.65,5.2,5.45,5.45,995179.0
2015-01-20,5.55,5.6,5.25,5.3,5.3,581726.0
2015-01-21,5.3,5.3,5.0,5.05,5.05,649945.0
2015-01-22,5.0,5.1,4.9,4.95,4.95,391803.0
2015-01-23,5.0,5.05,4.75,4.8,4.8,754969.0
2015-01-27,4.8,5.25,4.7,4.95,4.95,895955.0
2015-01-28,4.9,5.1,4.85,4.9,4.9,340794.0
2015-01-29,4.85,4.9,4.8,4.85,4.85,131871.0
2015-01-30,4.9,5.05,4.85,4.85,4.85,326079.0
2015-02-02,4.85,5.1,4.8,4.9,4.9,347771.0
2015-02-03,4.9,4.95,4.8,4.8,4.8,385974.0
2015-02-04,4.8,4.95,4.75,4.8,4.8,392557.0
2015-02-05,4.8,4.9,4.7,4.75,4.75,323198.0
2015-02-06,4.85,4.9,4.6,4.6,4.6,310527.0
2015-02-09,4.5,4.6,4.45,4.55,4.55,343199.0
2015-02-10,4.6,4.7,4.45,4.55,4.55,269958.0
2015-02-11,4.5,4.65,4.5,4.6,4.6,195281.0
2015-02-12,4.6,4.65,4.4,4.45,4.45,402850.0
2015-02-13,4.5,4.75,4.5,4.55,4.55,817937.0
2015-02-16,4.6,4.65,4.45,4.45,4.45,355031.0
2015-02-18,4.45,4.65,4.45,4.55,4.55,507372.0
2015-02-19,4.6,4.7,4.5,4.65,4.65,338757.0
2015-02-20,4.7,5.25,4.65,5.05,5.05,1743480.0
2015-02-23,5.25,5.4,5.05,5.1,5.1,758465.0
2015-02-24,5.15,5.2,4.9,4.95,4.95,378906.0
2015-02-25,4.95,5.1,4.95,5.0,5.0,300329.0
2015-02-26,5.0,5.05,4.9,4.95,4.95,262175.0
2015-02-27,5.0,5.1,4.95,5.05,5.05,490035.0
2015-02-28,,,,,,
2015-03-02,4.85,4.9,4.7,4.7,4.7,398653.0
2015-03-03,4.75,4.85,4.65,4.7,4.7,354433.0
2015-03-04,4.75,4.8,4.6,4.65,4.65,383864.0
2015-03-05,4.65,4.75,4.6,4.6,4.6,495891.0
2015-03-09,4.6,4.65,4.5,4.55,4.55,368159.0
2015-03-10,4.55,4.6,4.5,4.55,4.55,359137.0
2015-03-11,4.5,4.65,4.5,4.5,4.5,337309.0
2015-03-12,4.5,4.65,4.25,4.4,4.4,2073396.0
2015-03-13,4.45,4.65,4.4,4.45,4.45,528350.0
2015-03-16,4.45,4.55,4.35,4.4,4.4,285901.0
2015-03-17,4.4,4.45,4.3,4.3,4.3,281944.0
2015-03-18,4.35,4.4,4.15,4.2,4.2,611708.0
2015-03-19,4.2,4.3,4.2,4.2,4.2,340631.0
2015-03-20,4.2,4.25,4.0,4.05,4.05,995766.0
2015-03-23,4.1,4.1,4.0,4.05,4.05,355089.0
2015-03-24,4.0,4.1,4.0,4.0,4.0,308246.0
2015-03-25,4.0,4.05,3.9,3.9,3.9,415314.0
2015-03-26,3.85,3.95,3.7,3.8,3.8,785897.0
2015-03-27,3.85,4.05,3.75,3.9,3.9,829968.0
2015-03-30,3.95,4.05,3.8,3.9,3.9,986931.0
2015-03-31,3.95,4.15,3.9,4.05,4.05,585742.0
2015-04-01,4.05,4.3,4.05,4.3,4.3,476091.0
2015-04-06,4.3,4.45,4.2,4.3,4.3,215602.0
2015-04-07,4.3,4.35,4.2,4.25,4.25,286410.0
2015-04-08,4.25,4.4,4.25,4.3,4.3,469667.0
2015-04-09,4.35,4.7,4.3,4.6,4.6,1095084.0
2015-04-10,4.6,4.85,4.45,4.65,4.65,1149948.0
2015-04-13,4.7,4.75,4.5,4.55,4.55,305258.0
2015-04-15,4.55,4.65,4.5,4.55,4.55,352784.0
2015-04-16,4.5,4.55,4.35,4.4,4.4,289307.0
2015-04-17,4.4,4.4,4.2,4.25,4.25,336318.0
2015-04-20,4.3,4.35,4.15,4.15,4.15,277370.0
2015-04-21,4.15,4.2,4.1,4.2,4.2,259010.0
2015-04-22,4.2,4.4,4.1,4.2,4.2,618957.0
2015-04-23,4.25,4.3,4.15,4.15,4.15,243814.0
2015-04-24,4.15,4.3,4.05,4.2,4.2,490017.0
2015-04-27,4.2,4.25,4.0,4.05,4.05,260920.0
2015-04-28,4.0,4.15,3.95,4.1,4.1,385634.0
2015-04-29,4.15,4.2,4.05,4.1,4.1,233010.0
2015-04-30,4.15,4.15,4.05,4.05,4.05,200038.0
2015-05-04,4.05,4.25,4.05,4.2,4.2,197156.0
2015-05-05,4.25,4.25,4.1,4.1,4.1,143723.0
2015-05-06,4.2,4.2,4.0,4.0,4.0,238624.0
2015-05-07,4.0,4.05,3.85,3.9,3.9,476726.0
2015-05-08,4.15,4.15,3.95,3.95,3.95,298126.0
2015-05-11,4.05,4.1,3.9,3.95,3.95,433287.0
2015-05-12,4.0,4.0,3.8,3.85,3.85,357425.0
2015-05-13,3.9,4.0,3.75,4.0,4.0,607348.0
2015-05-14,3.9,4.0,3.85,3.9,3.9,164175.0
2015-05-15,4.0,4.0,3.85,3.9,3.9,234234.0
2015-05-18,3.9,4.05,3.9,3.95,3.95,611491.0
2015-05-19,4.0,4.0,3.9,4.0,4.0,218771.0
2015-05-20,4.0,4.0,3.9,3.9,3.9,186869.0
2015-05-21,3.95,4.0,3.85,3.95,3.95,184218.0
2015-05-22,3.95,4.0,3.85,3.85,3.85,181296.0
2015-05-25,3.9,3.9,3.8,3.85,3.85,111234.0
2015-05-26,3.9,3.9,3.8,3.85,3.85,166287.0
2015-05-27,3.8,3.9,3.75,3.8,3.8,152392.0
2015-05-28,3.85,3.85,3.75,3.75,3.75,175739.0
2015-05-29,3.8,3.85,3.75,3.75,3.75,184115.0
2015-06-01,3.75,3.8,3.7,3.75,3.75,194963.0
2015-06-02,3.8,3.8,3.65,3.7,3.7,190450.0
2015-06-03,3.7,3.7,3.4,3.55,3.55,726438.0
2015-06-04,3.65,3.65,3.45,3.55,3.55,240436.0
2015-06-05,3.5,3.65,3.5,3.5,3.5,260340.0
2015-06-08,3.5,3.6,3.4,3.5,3.5,191036.0
2015-06-09,3.5,3.55,3.4,3.45,3.45,221947.0
2015-06-10,3.4,3.65,3.4,3.6,3.6,169108.0
2015-06-11,3.6,3.65,3.45,3.55,3.55,149246.0
2015-06-12,3.55,3.6,3.3,3.35,3.35,440442.0
2015-06-15,3.3,3.5,3.3,3.35,3.35,272773.0
2015-06-16,3.4,3.6,3.35,3.5,3.5,347866.0
2015-06-17,3.55,3.55,3.45,3.45,3.45,91646.0
