Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,11.2,11.95,10.4,10.6,10.6,544.0
2015-01-02,10.7,11.5,10.7,10.85,10.85,13.0
2015-01-05,11.5,11.7,10.75,11.4,11.4,1904.0
2015-01-06,10.5,10.5,10.5,10.5,10.5,200.0
2015-01-07,10.05,11.95,10.0,10.65,10.65,4040.0
2015-01-08,11.4,11.4,10.65,10.65,10.65,1805.0
2015-01-09,10.55,11.45,10.55,11.45,11.45,300.0
2015-01-12,10.5,11.0,10.1,10.95,10.95,2213.0
2015-01-13,10.9,11.2,10.9,11.2,11.2,300.0
2015-01-14,10.6,11.1,10.5,10.5,10.5,479.0
2015-01-15,10.55,10.75,10.25,10.5,10.5,42.0
2015-01-16,10.55,10.55,10.15,10.45,10.45,100.0
2015-01-19,10.25,10.6,10.15,10.5,10.5,2325.0
2015-01-20,10.15,11.3,10.15,11.25,11.25,4733.0
2015-01-21,10.5,11.3,10.5,10.65,10.65,639.0
2015-01-22,10.65,11.0,10.65,10.65,10.65,952.0
2015-01-23,10.55,10.55,10.1,10.15,10.15,7269.0
2015-01-27,10.15,11.25,10.15,11.25,11.25,7585.0
2015-01-28,11.1,11.35,10.6,11.3,11.3,2014.0
2015-01-29,10.9,11.25,10.3,11.25,11.25,2259.0
2015-01-30,11.25,11.25,11.25,11.25,11.25,0.0
2015-02-02,10.4,10.4,10.4,10.4,10.4,200.0
2015-02-03,10.3,10.3,10.3,10.3,10.3,17.0
2015-02-04,10.3,10.3,10.3,10.3,10.3,0.0
2015-02-05,10.25,10.25,10.25,10.25,10.25,600.0
2015-02-06,10.25,10.25,10.25,10.25,10.25,0.0
2015-02-09,10.0,10.7,9.7,10.5,10.5,733.0
2015-02-10,9.6,9.6,9.6,9.6,9.6,290.0
2015-02-11,9.6,9.6,9.6,9.6,9.6,0.0
2015-02-12,10.5,10.5,9.65,10.15,10.15,862.0
2015-02-13,9.5,10.25,9.5,10.25,10.25,101.0
2015-02-16,9.75,10.0,9.25,9.8,9.8,12400.0
2015-02-18,9.8,9.8,8.85,9.0,9.0,700.0
2015-02-19,9.15,9.2,9.15,9.2,9.2,57.0
2015-02-20,9.3,9.95,9.3,9.95,9.95,15917.0
2015-02-23,10.0,10.0,9.55,9.6,9.6,3655.0
2015-02-24,10.25,10.25,9.1,9.85,9.85,621.0
2015-02-25,9.15,9.3,9.15,9.3,9.3,415.0
2015-02-26,10.0,10.0,10.0,10.0,10.0,200.0
2015-02-27,10.0,10.0,9.25,9.25,9.25,2.0
2015-02-28,,,,,,
