Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,10.0833,10.0833,9.81667,10.0,7.110972,714.0
2015-01-02,9.98333,9.98333,9.98333,9.98333,7.099117999999999,18.0
2015-01-05,9.5,10.4667,9.5,10.4667,7.4428410000000005,3330.0
2015-01-06,9.95833,10.8333,9.95833,10.8333,7.703529,2100.0
2015-01-07,11.375,11.375,11.375,11.375,8.088732,6.0
2015-01-08,10.8083,11.0,10.8083,10.8083,7.685752000000001,1470.0
2015-01-09,10.8333,10.8333,10.3333,10.3333,7.347981,240.0
2015-01-12,10.3333,10.3333,9.81667,9.81667,6.980607000000001,1146.0
2015-01-13,9.81667,9.81667,9.81667,9.81667,6.980607000000001,0.0
2015-01-14,10.2917,10.2917,10.2917,10.2917,7.318399,60.0
2015-01-15,10.2917,10.2917,10.2917,10.2917,7.318399,0.0
2015-01-16,10.2917,10.2917,10.2917,10.2917,7.318399,0.0
2015-01-19,10.2917,10.2917,10.2917,10.2917,7.318399,0.0
2015-01-20,10.2917,10.2917,10.2917,10.2917,7.318399,0.0
2015-01-21,10.2917,10.7917,10.2917,10.7917,7.673947999999999,510.0
2015-01-22,10.7917,10.7917,10.7917,10.7917,7.673947999999999,0.0
2015-01-23,10.7917,10.7917,10.7917,10.7917,7.673947999999999,0.0
2015-01-27,10.7917,10.7917,10.7917,10.7917,7.673947999999999,0.0
2015-01-28,10.7917,10.7917,10.7917,10.7917,7.673947999999999,0.0
2015-01-29,10.7917,10.7917,10.7917,10.7917,7.673947999999999,0.0
2015-01-30,10.7917,10.7917,10.7917,10.7917,7.673947999999999,0.0
2015-02-02,10.3333,10.3333,10.3333,10.3333,7.347981,30.0
2015-02-03,10.3333,10.3333,10.3333,10.3333,7.347981,0.0
2015-02-04,10.3333,10.3333,10.3333,10.3333,7.347981,0.0
2015-02-05,10.0,10.0,10.0,10.0,7.110972,1200.0
2015-02-06,9.5,9.5,9.5,9.5,6.7554240000000005,1200.0
2015-02-09,9.5,9.975,9.5,9.975,7.093194,1800.0
2015-02-10,9.975,9.975,9.975,9.975,7.093194,0.0
2015-02-11,9.975,9.975,9.975,9.975,7.093194,0.0
2015-02-12,10.0,10.0,10.0,10.0,7.110972,6.0
2015-02-13,10.0,10.0,10.0,10.0,7.110972,0.0
2015-02-16,10.0,10.0,10.0,10.0,7.110972,0.0
2015-02-18,10.0,10.0,10.0,10.0,7.110972,354.0
2015-02-19,10.0,10.0,10.0,10.0,7.110972,30.0
2015-02-20,10.0,10.0,10.0,10.0,7.110972,0.0
2015-02-23,10.0,10.0,10.0,10.0,7.110972,0.0
2015-02-24,9.5,9.5,9.5,9.5,6.7554240000000005,12.0
2015-02-25,9.83333,9.83333,9.83333,9.83333,6.9924539999999995,600.0
2015-02-26,10.0,10.0,10.0,10.0,7.110972,6.0
2015-02-27,10.0,10.0,10.0,10.0,7.110972,0.0
2015-02-28,,,,,,
2015-03-02,9.5,9.5,9.5,9.5,6.7554240000000005,90.0
2015-03-03,9.5,9.5,9.5,9.5,6.7554240000000005,0.0
2015-03-04,9.66667,9.66667,9.16667,9.16667,6.518394,414.0
2015-03-05,8.75,8.75,8.70833,8.70833,6.19247,2346.0
2015-03-09,8.70833,8.70833,8.28333,8.29167,5.896184,720.0
2015-03-10,8.23333,8.29167,8.23333,8.23333,5.854698,4812.0
2015-03-11,8.23333,8.23333,8.23333,8.23333,5.854698,240.0
2015-03-12,8.23333,8.23333,8.23333,8.23333,5.854698,0.0
2015-03-13,8.64167,8.64167,8.64167,8.64167,6.145068,120.0
2015-03-16,8.66667,8.66667,8.33333,8.33333,5.925808,792.0
2015-03-17,8.33333,8.5,8.23333,8.23333,5.854698,474.0
2015-03-18,8.23333,8.23333,7.825,7.825,5.564335,228.0
2015-03-19,7.99167,8.15833,7.99167,8.15833,5.801366000000001,12.0
2015-03-20,8.15833,8.15833,8.15833,8.15833,5.801366000000001,192.0
2015-03-23,8.15833,8.15833,8.15833,8.15833,5.801366000000001,0.0
2015-03-24,8.15833,8.15833,8.15833,8.15833,5.801366000000001,0.0
2015-03-25,8.15833,8.15833,8.15833,8.15833,5.801366000000001,0.0
2015-03-26,8.15833,8.15833,8.15833,8.15833,5.801366000000001,0.0
2015-03-27,8.15833,8.15833,8.15833,8.15833,5.801366000000001,0.0
2015-03-30,8.15833,8.15833,8.15833,8.15833,5.801366000000001,0.0
2015-03-31,8.15833,8.15833,8.15833,8.15833,5.801366000000001,0.0
2015-04-01,8.15833,8.15833,8.15833,8.15833,5.801366000000001,0.0
2015-04-06,8.15833,8.15833,8.15833,8.15833,5.801366000000001,0.0
2015-04-07,8.15833,8.15833,8.15833,8.15833,5.801366000000001,0.0
