Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,17.799999,18.25,16.5,18.0,18.0,3016.0
2015-01-02,18.700001,18.700001,17.450001,17.799999,17.799999,9918.0
2015-01-05,18.799999,19.299999,17.35,18.700001,18.700001,9362.0
2015-01-06,18.700001,18.700001,17.450001,18.5,18.5,3383.0
2015-01-07,18.0,18.0,17.299999,17.700001,17.700001,3707.0
2015-01-08,17.5,19.5,17.4,18.5,18.5,11243.0
2015-01-09,18.0,18.65,17.4,17.950001,17.950001,4681.0
2015-01-12,18.35,18.35,17.5,17.549999,17.549999,4175.0
2015-01-13,17.799999,21.049999,17.0,20.35,20.35,106114.0
2015-01-14,20.450001,22.0,18.65,20.950001,20.950001,59078.0
2015-01-15,20.700001,21.6,17.6,18.65,18.65,36648.0
2015-01-16,18.65,21.0,18.049999,19.700001,19.700001,54943.0
2015-01-19,19.5,20.65,18.9,19.450001,19.450001,6844.0
2015-01-20,20.75,20.75,17.799999,18.5,18.5,18529.0
2015-01-21,18.549999,18.950001,18.299999,18.6,18.6,5436.0
2015-01-22,18.0,19.25,18.0,18.4,18.4,5534.0
2015-01-23,18.5,18.6,17.65,17.9,17.9,10207.0
2015-01-27,17.9,18.4,17.450001,18.25,18.25,5396.0
2015-01-28,18.65,18.65,17.5,17.9,17.9,8574.0
2015-01-29,18.200001,18.25,17.9,18.0,18.0,7160.0
2015-01-30,18.0,18.4,17.200001,17.549999,17.549999,17861.0
2015-02-02,17.75,18.4,17.75,18.049999,18.049999,3529.0
2015-02-03,18.799999,18.799999,17.549999,18.200001,18.200001,13490.0
2015-02-04,19.9,19.9,18.049999,18.1,18.1,8033.0
2015-02-05,18.9,18.9,18.049999,18.049999,18.049999,3538.0
2015-02-06,17.9,18.1,17.549999,17.65,17.65,4900.0
2015-02-09,17.5,17.5,17.0,17.049999,17.049999,1237.0
2015-02-10,16.9,17.65,16.6,17.65,17.65,1494.0
2015-02-11,17.85,17.85,16.25,17.6,17.6,11995.0
2015-02-12,17.85,17.85,17.25,17.65,17.65,960.0
2015-02-13,17.299999,17.35,16.15,17.0,17.0,8745.0
2015-02-16,16.85,16.85,16.299999,16.4,16.4,5665.0
2015-02-18,16.4,16.549999,16.25,16.35,16.35,9410.0
2015-02-19,16.25,17.15,16.25,16.6,16.6,6720.0
2015-02-20,16.299999,17.5,16.299999,17.35,17.35,2560.0
2015-02-23,17.0,18.25,16.5,16.700001,16.700001,2749.0
2015-02-24,16.6,18.799999,16.6,16.799999,16.799999,2882.0
2015-02-25,17.950001,17.950001,16.5,16.9,16.9,3580.0
2015-02-26,18.200001,18.200001,16.299999,16.75,16.75,10117.0
2015-02-27,16.6,16.9,16.1,16.65,16.65,11095.0
2015-02-28,,,,,,
2015-03-02,16.700001,17.25,16.299999,16.85,16.85,2468.0
2015-03-03,16.700001,16.85,16.450001,16.75,16.75,583.0
2015-03-04,16.85,16.950001,15.8,16.25,16.25,16502.0
2015-03-05,16.6,16.65,16.299999,16.6,16.6,5157.0
2015-03-09,16.6,16.950001,16.0,16.299999,16.299999,5029.0
2015-03-10,16.4,16.9,16.25,16.6,16.6,819.0
2015-03-11,17.35,17.35,16.299999,16.6,16.6,2905.0
2015-03-12,17.0,17.9,16.35,17.65,17.65,8891.0
2015-03-13,17.5,17.5,16.9,17.25,17.25,2780.0
