Date,Open,High,Low,Close,Adj Close,Volume
2017-07-21,26.4,26.4,26.4,26.4,26.4,1150
2017-07-24,25.1,25.1,25.1,25.1,25.1,400
2017-07-25,23.85,23.85,23.85,23.85,23.85,1543
2017-07-26,22.700001,25.0,22.700001,23.25,23.25,43751
2017-07-27,22.200001,24.25,22.200001,22.549999,22.549999,9089
2017-07-28,21.75,23.450001,21.75,22.549999,22.549999,3787
2017-07-31,22.15,22.75,21.450001,22.5,22.5,4613
2017-08-01,21.5,22.5,21.5,21.6,21.6,17627
2017-08-02,20.700001,21.549999,20.549999,20.700001,20.700001,22905
2017-08-03,21.450001,21.450001,20.25,20.9,20.9,3567
2017-08-04,20.35,21.5,20.299999,20.549999,20.549999,4795
2017-08-07,20.25,20.5,19.700001,20.5,20.5,18138
2017-08-08,19.700001,21.5,19.5,19.9,19.9,10600
2017-08-09,20.0,20.0,19.0,19.25,19.25,12005
2017-08-10,18.5,18.5,18.5,18.5,18.5,9223
2017-08-11,18.0,19.4,17.6,18.450001,18.450001,920
2017-08-14,17.6,19.35,17.549999,18.4,18.4,27535
2017-08-16,18.4,19.200001,17.65,19.200001,19.200001,30031
2017-08-17,18.35,18.6,18.35,18.5,18.5,1275
2017-08-18,18.549999,18.9,18.4,18.549999,18.549999,5388
2017-08-21,18.25,18.35,18.25,18.25,18.25,1160
2017-08-22,18.25,18.5,18.25,18.5,18.5,3571
2017-08-23,18.25,18.799999,18.25,18.799999,18.799999,477
2017-08-24,18.549999,19.0,18.549999,19.0,19.0,750
2017-08-28,19.0,19.0,18.299999,18.299999,18.299999,1647
2017-08-29,18.299999,18.299999,18.299999,18.299999,18.299999,0
2017-08-30,18.299999,19.200001,17.4,18.85,18.85,28757
2017-08-31,18.0,19.0,17.950001,19.0,19.0,2415
2017-09-01,18.049999,19.0,18.049999,19.0,19.0,1187
2017-09-04,18.200001,19.200001,18.200001,18.5,18.5,2370
2017-09-05,19.4,19.4,18.5,18.6,18.6,2344
2017-09-06,19.5,19.5,18.25,19.25,19.25,464
2017-09-07,18.35,20.0,18.35,19.799999,19.799999,2051
2017-09-08,18.85,20.6,18.85,20.0,20.0,2310
2017-09-11,19.049999,19.6,19.0,19.0,19.0,4559
2017-09-12,18.15,19.799999,18.1,18.1,18.1,4110
2017-09-13,18.1,18.25,18.1,18.1,18.1,7650
2017-09-14,18.25,18.25,18.1,18.15,18.15,4090
2017-09-15,18.15,18.15,18.1,18.1,18.1,500
2017-09-18,18.25,18.5,18.1,18.1,18.1,1490
2017-09-19,18.1,19.0,18.1,19.0,19.0,4801
2017-09-20,19.950001,19.950001,18.5,19.549999,19.549999,5751
2017-09-21,18.6,20.5,18.6,19.950001,19.950001,1930
2017-09-22,19.1,20.0,19.1,19.950001,19.950001,925
2017-09-25,19.0,20.9,19.0,19.200001,19.200001,10370
2017-09-26,18.25,19.5,18.25,18.9,18.9,6572
2017-09-27,19.0,19.799999,18.9,19.799999,19.799999,3901
2017-09-28,18.85,19.5,18.85,18.9,18.9,1750
2017-09-29,19.5,19.799999,18.15,19.799999,19.799999,1100
2017-10-03,19.799999,19.950001,18.85,18.85,18.85,7900
2017-10-04,18.25,19.5,17.950001,18.4,18.4,67211
2017-10-05,18.1,19.299999,17.65,19.0,19.0,10426
2017-10-06,18.4,19.4,18.4,18.65,18.65,21385
2017-10-09,18.5,18.5,18.5,18.5,18.5,1912
2017-10-10,18.5,18.5,18.0,18.049999,18.049999,3265
2017-10-11,17.9,18.950001,17.299999,17.65,17.65,4290
2017-10-12,17.25,17.549999,17.200001,17.200001,17.200001,18056
2017-10-13,17.0,17.9,16.75,17.9,17.9,3703
2017-10-16,17.9,18.75,17.799999,17.9,17.9,414
2017-10-17,18.5,19.450001,17.799999,18.0,18.0,2364
2017-10-18,17.200001,18.950001,17.200001,18.950001,18.950001,2891
2017-10-19,18.25,18.25,18.25,18.25,18.25,508
2017-10-23,18.25,19.75,18.0,19.200001,19.200001,2908
2017-10-24,20.5,20.5,17.299999,18.75,18.75,9229
2017-10-25,18.25,19.4,18.25,19.0,19.0,6695
2017-10-26,19.0,19.1,18.5,18.799999,18.799999,7561
2017-10-27,20.0,20.0,19.0,19.9,19.9,16458
2017-10-30,18.799999,20.9,18.799999,19.15,19.15,3570
2017-10-31,19.0,21.049999,19.0,20.049999,20.049999,48451
2017-11-01,20.5,21.4,20.200001,21.0,21.0,20801
2017-11-02,20.200001,21.4,20.200001,21.0,21.0,28709
2017-11-03,22.0,22.0,19.799999,20.4,20.4,7193
2017-11-06,20.950001,22.4,20.5,20.6,20.6,27966
2017-11-07,20.6,22.4,19.75,20.0,20.0,66697
2017-11-08,19.200001,20.299999,19.200001,20.0,20.0,2736
2017-11-09,19.15,20.6,19.1,19.4,19.4,70900
2017-11-10,19.6,20.1,18.5,18.799999,18.799999,56968
2017-11-13,18.25,19.9,18.1,19.1,19.1,9000
2017-11-14,19.0,19.85,18.75,19.0,19.0,25824
2017-11-15,18.25,19.25,17.799999,18.35,18.35,28343
2017-11-16,18.799999,19.700001,18.25,19.15,19.15,14220
2017-11-17,19.799999,19.799999,18.5,19.450001,19.450001,1509
2017-11-20,19.799999,19.799999,18.799999,18.85,18.85,1250
