Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,2.65,2.9,2.6,2.9,2.889259,521867
2017-01-31,3.15,3.15,3.1,3.15,3.1383330000000003,746260
2017-02-01,3.45,3.45,3.15,3.45,3.437222,971463
2017-02-02,3.75,3.75,3.65,3.75,3.736111,620258
2017-02-03,3.9,3.9,3.6,3.65,3.636482,957875
2017-02-06,3.55,3.55,3.5,3.5,3.4870370000000004,81062
2017-02-07,3.35,3.35,3.35,3.35,3.337592,54799
2017-02-08,3.2,3.2,3.2,3.2,3.188148,91380
2017-02-09,3.05,3.35,3.05,3.35,3.337592,1346570
2017-02-10,3.5,3.5,3.2,3.2,3.188148,960140
2017-02-13,3.05,3.1,3.05,3.05,3.038704,183278
2017-02-14,2.9,3.2,2.9,3.05,3.038704,437407
2017-02-15,2.95,3.15,2.9,3.05,3.038704,180058
2017-02-16,2.9,3.1,2.9,3.05,3.038704,88402
2017-02-17,3.1,3.2,3.0,3.1,3.088518,171898
2017-02-20,3.1,3.15,3.0,3.05,3.038704,104051
2017-02-21,2.95,3.2,2.95,3.2,3.188148,151262
2017-02-22,3.15,3.2,3.05,3.05,3.038704,199201
2017-02-23,3.0,3.15,2.9,3.1,3.088518,372828
2017-02-27,3.1,3.1,2.95,2.95,2.939074,76445
2017-02-28,2.85,3.05,2.85,2.9,2.889259,81224
2017-03-01,2.9,3.0,2.85,3.0,2.988889,204344
2017-03-02,2.95,3.0,2.9,2.9,2.889259,87182
2017-03-03,2.9,3.0,2.8,2.9,2.889259,142447
2017-03-06,2.95,3.0,2.8,2.9,2.889259,151067
2017-03-07,2.85,2.9,2.8,2.85,2.839444,59517
2017-03-08,2.8,2.85,2.75,2.75,2.739815,64469
2017-03-09,2.75,2.8,2.65,2.65,2.640185,132409
2017-03-10,2.6,2.65,2.55,2.55,2.540555,129800
2017-03-14,2.55,2.65,2.5,2.6,2.59037,68396
2017-03-15,2.6,2.7,2.5,2.7,2.69,233785
2017-03-16,2.65,2.8,2.65,2.7,2.69,207509
2017-03-17,2.7,2.75,2.6,2.65,2.640185,87684
2017-03-20,2.6,2.75,2.6,2.6,2.59037,149646
2017-03-21,2.65,2.65,2.55,2.55,2.540555,147782
2017-03-22,2.55,2.65,2.45,2.65,2.640185,260580
2017-03-23,2.6,2.75,2.6,2.7,2.69,106601
2017-03-24,2.65,2.75,2.6,2.65,2.640185,212934
2017-03-27,2.7,2.7,2.55,2.6,2.59037,97442
2017-03-28,2.6,2.6,2.5,2.5,2.490741,235329
2017-03-29,2.55,2.6,2.4,2.4,2.391111,165788
2017-03-30,2.45,2.5,2.4,2.5,2.490741,113144
2017-03-31,2.55,2.6,2.55,2.6,2.59037,61141
2017-04-03,2.65,2.7,2.6,2.65,2.640185,179252
2017-04-05,2.65,2.7,2.55,2.6,2.59037,505814
2017-04-06,2.65,2.7,2.6,2.65,2.640185,203353
2017-04-07,2.7,2.75,2.6,2.65,2.640185,110988
2017-04-10,2.65,2.8,2.65,2.7,2.69,108060
2017-04-11,2.8,2.85,2.7,2.75,2.739815,81961
2017-04-12,2.75,2.75,2.6,2.7,2.69,72315
2017-04-13,2.75,2.75,2.55,2.6,2.59037,63880
2017-04-17,2.6,2.65,2.55,2.65,2.640185,73540
2017-04-18,2.7,2.7,2.6,2.65,2.640185,118391
2017-04-19,2.6,2.65,2.55,2.65,2.640185,76985
2017-04-20,2.6,2.7,2.55,2.55,2.540555,90912
2017-04-21,2.6,2.8,2.55,2.8,2.789629,305399
2017-04-24,2.9,3.0,2.75,2.8,2.789629,203777
2017-04-25,2.85,2.85,2.7,2.75,2.739815,80472
2017-04-26,2.8,2.8,2.65,2.7,2.69,114701
2017-04-27,2.8,2.95,2.65,2.95,2.939074,257534
2017-04-28,2.95,3.0,2.75,2.8,2.789629,338858
2017-05-02,2.8,2.95,2.8,2.9,2.889259,97759
2017-05-03,2.8,2.9,2.8,2.8,2.789629,108349
