Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,334.75,338.799988,328.0,332.200012,318.087067,39811.0
2015-01-02,,,,,,
2015-01-05,,,,,,
2015-01-06,,,,,,
2015-01-07,,,,,,
2015-01-08,,,,,,
2015-01-09,,,,,,
2015-01-12,324.5,327.950012,318.25,326.100006,312.246216,17900.0
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-27,341.0,341.0,324.100006,330.799988,316.74649,45133.0
2015-01-28,331.0,339.899994,329.700012,335.649994,321.39050299999997,70544.0
2015-01-29,340.0,341.25,326.5,330.75,316.698639,69924.0
2015-01-30,326.899994,337.5,326.899994,335.899994,321.629852,50737.0
2015-02-02,334.0,339.0,333.0,336.149994,321.869263,76627.0
2015-02-03,336.5,346.950012,318.950012,343.950012,329.337891,100230.0
2015-02-04,342.549988,344.25,338.950012,342.100006,327.566467,22414.0
2015-02-05,336.600006,344.899994,336.600006,340.549988,326.082306,39758.0
2015-02-06,345.0,351.0,333.049988,335.0,320.768097,350302.0
2015-02-09,332.950012,333.0,312.0,314.299988,300.94751,34051.0
2015-02-10,,,,,,
2015-02-11,,,,,,
2015-02-12,,,,,,
2015-02-13,322.950012,327.799988,318.600006,324.600006,310.809967,30165.0
2015-02-16,322.049988,331.0,322.049988,329.799988,315.789001,28338.0
2015-02-18,329.799988,339.0,327.0,329.350006,315.358154,91766.0
2015-02-19,333.899994,335.0,316.100006,325.950012,312.1026,80336.0
2015-02-20,,,,,,
2015-02-23,321.899994,323.950012,310.0,312.149994,298.888855,20042.0
2015-02-24,314.0,318.549988,294.0,304.350006,291.42019700000003,85566.0
2015-02-25,307.399994,309.049988,303.200012,308.0,294.91513100000003,185460.0
2015-02-26,311.25,312.5,300.0,309.600006,296.447174,54304.0
2015-02-27,,,,,,
2015-02-28,,,,,,
2015-03-02,,,,,,
2015-03-03,315.5,316.899994,308.0,308.75,295.63330099999996,34997.0
2015-03-04,,,,,,
2015-03-05,,,,,,
2015-03-09,315.0,317.0,308.600006,314.450012,301.091156,35086.0
2015-03-10,,,,,,
2015-03-11,326.5,330.0,317.950012,321.100006,307.458618,43059.0
2015-03-12,323.700012,332.950012,317.0,329.100006,315.11877400000003,38331.0
2015-03-13,,,,,,
2015-03-16,327.649994,327.649994,320.0,321.799988,308.128876,17103.0
2015-03-17,323.0,324.75,318.0,318.799988,305.25631699999997,13205.0
2015-03-18,,,,,,
2015-03-19,,,,,,
2015-03-20,,,,,,
2015-03-23,,,,,,
2015-03-24,,,,,,
2015-03-25,,,,,,
2015-03-26,,,,,,
2015-03-27,309.799988,313.799988,306.950012,310.299988,297.117462,28174.0
2015-03-30,,,,,,
2015-03-31,311.0,312.899994,306.200012,307.700012,294.62793,46063.0
2015-04-01,,,,,,
2015-04-06,,,,,,
2015-04-07,,,,,,
2015-04-08,313.299988,334.600006,313.299988,322.25,308.559753,248874.0
2015-04-09,,,,,,
2015-04-10,,,,,,
2015-04-13,,,,,,
2015-04-15,,,,,,
2015-04-16,,,,,,
2015-04-17,,,,,,
2015-04-20,,,,,,
2015-04-21,,,,,,
2015-04-22,,,,,,
2015-04-23,,,,,,
2015-04-24,,,,,,
2015-04-27,,,,,,
2015-04-28,,,,,,
2015-04-29,,,,,,
2015-04-30,307.600006,318.0,302.950012,306.450012,293.431,33293.0
2015-05-04,,,,,,
2015-05-05,,,,,,
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-05-08,,,,,,
2015-05-11,,,,,,
2015-05-12,,,,,,
2015-05-13,,,,,,
2015-05-14,324.950012,335.0,319.950012,322.850006,309.134277,178060.0
2015-05-15,323.600006,325.0,318.0,322.799988,309.08639500000004,66012.0
2015-05-18,322.799988,334.700012,322.0,331.850006,317.751923,87383.0
2015-05-19,330.850006,339.0,326.399994,333.100006,318.948853,64811.0
2015-05-20,336.0,341.899994,335.0,340.049988,325.603546,87320.0
2015-05-21,342.0,342.0,337.0,339.25,324.837555,25797.0
2015-05-22,341.950012,349.0,340.100006,345.5,330.822021,67122.0
2015-05-25,345.5,356.649994,345.0,353.100006,338.099152,80153.0
2015-05-26,353.700012,356.0,345.0,349.200012,334.364868,74460.0
2015-05-27,349.100006,350.5,331.149994,335.399994,321.151093,31563.0
2015-05-28,,,,,,
2015-05-29,342.049988,364.950012,340.0,359.149994,343.89215099999996,258084.0
2015-06-01,363.5,364.899994,346.5,348.950012,334.12548799999996,133902.0
2015-06-02,350.450012,350.799988,337.0,341.149994,326.65682999999996,141614.0
2015-06-03,340.899994,340.899994,315.600006,329.600006,315.597534,82666.0
2015-06-04,332.850006,336.399994,323.0,325.649994,311.815308,332545.0
2015-06-05,,,,,,
2015-06-08,321.5,324.899994,316.0,320.350006,306.740479,17248.0
2015-06-09,,,,,,
2015-06-10,,,,,,
2015-06-11,,,,,,
2015-06-12,335.0,335.0,323.0,327.850006,313.921844,33477.0
2015-06-15,325.25,331.799988,323.75,325.450012,311.62384,12101.0
2015-06-16,,,,,,
2015-06-17,336.0,343.700012,331.0,341.75,327.231354,44711.0
2015-06-18,341.75,354.799988,340.0,352.149994,337.18951400000003,45918.0
2015-06-19,,,,,,
2015-06-22,,,,,,
2015-06-23,346.100006,356.0,341.5,354.649994,339.583282,40863.0
2015-06-24,356.799988,356.799988,346.0,347.850006,333.072205,18055.0
2015-06-25,,,,,,
2015-06-26,344.899994,347.5,341.100006,344.350006,329.720886,13120.0
2015-06-29,,,,,,
2015-06-30,330.549988,340.0,327.299988,330.950012,316.890167,35083.0
2015-07-01,,,,,,
2015-07-02,,,,,,
2015-07-03,,,,,,
2015-07-06,,,,,,
2015-07-07,,,,,,
2015-07-08,,,,,,
2015-07-09,330.100006,333.0,328.299988,329.799988,315.789001,13113.0
2015-07-10,,,,,,
2015-07-13,326.0,328.0,320.100006,326.100006,317.052948,19429.0
2015-07-14,,,,,,
2015-07-15,,,,,,
2015-07-16,,,,,,
2015-07-17,,,,,,
2015-07-20,330.0,331.5,328.5,330.600006,321.42810099999997,15991.0
2015-07-21,,,,,,
2015-07-22,,,,,,
2015-07-23,334.149994,338.899994,333.0,334.649994,325.365723,15372.0
2015-07-24,,,,,,
2015-07-27,,,,,,
2015-07-28,,,,,,
