Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,2.6,2.8,2.55,2.75,2.75,22122.0
2015-01-02,2.6,2.85,2.6,2.8,2.8,41776.0
2015-01-05,2.8,2.85,2.7,2.8,2.8,45207.0
2015-01-06,2.65,2.7,2.25,2.6,2.6,94286.0
2015-01-07,2.4,2.7,2.4,2.5,2.5,13871.0
2015-01-08,2.45,2.7,2.45,2.6,2.6,25501.0
2015-01-09,2.6,2.75,2.55,2.7,2.7,15643.0
2015-01-12,2.75,2.75,2.45,2.5,2.5,58255.0
2015-01-13,2.5,2.8,2.5,2.7,2.7,39060.0
2015-01-14,2.6,2.85,2.6,2.7,2.7,45676.0
2015-01-15,2.75,3.0,2.65,2.95,2.95,118073.0
2015-01-16,2.75,3.25,2.75,2.85,2.85,206634.0
2015-01-19,2.55,2.95,2.55,2.9,2.9,46291.0
2015-01-20,2.7,3.0,2.7,2.95,2.95,31235.0
2015-01-21,2.6,3.0,2.6,2.75,2.75,57253.0
2015-01-22,2.9,2.9,2.75,2.75,2.75,14159.0
2015-01-23,2.8,2.8,2.65,2.75,2.75,45588.0
2015-01-27,2.75,2.9,2.65,2.8,2.8,24236.0
2015-01-28,2.8,2.8,2.7,2.75,2.75,40332.0
2015-01-29,2.55,2.95,2.55,2.8,2.8,36868.0
2015-01-30,2.8,3.0,2.65,2.95,2.95,81544.0
2015-02-02,2.95,3.0,2.7,2.8,2.8,47803.0
2015-02-03,2.9,3.0,2.7,2.95,2.95,18143.0
2015-02-04,2.8,2.95,2.8,2.85,2.85,24620.0
2015-02-05,2.75,2.95,2.7,2.8,2.8,18784.0
2015-02-06,2.7,2.9,2.55,2.65,2.65,47934.0
2015-02-09,2.65,2.85,2.5,2.6,2.6,30206.0
2015-02-10,2.6,2.8,2.55,2.6,2.6,15822.0
2015-02-11,2.55,2.65,2.5,2.6,2.6,15048.0
2015-02-12,2.7,2.75,2.6,2.7,2.7,34508.0
2015-02-13,2.75,2.8,2.5,2.6,2.6,58290.0
2015-02-16,2.75,3.1,2.6,2.9,2.9,113089.0
2015-02-18,2.9,2.95,2.7,2.85,2.85,54623.0
2015-02-19,2.85,2.95,2.7,2.9,2.9,44921.0
2015-02-20,2.75,3.05,2.7,2.85,2.85,34661.0
2015-02-23,2.8,2.95,2.75,2.8,2.8,27151.0
2015-02-24,2.95,2.95,2.8,2.8,2.8,23474.0
2015-02-25,2.75,2.85,2.7,2.8,2.8,31365.0
2015-02-26,2.8,2.8,2.5,2.65,2.65,159416.0
2015-02-27,2.65,2.75,2.5,2.75,2.75,85614.0
2015-02-28,,,,,,
2015-03-02,2.65,2.85,2.65,2.7,2.7,30845.0
