Date,Open,High,Low,Close,Adj Close,Volume
2015-01-06,2615.0,2615.0,2570.050049,2600.0,2600.0,34.0
2015-01-07,,,,,,
2015-01-08,,,,,,
2015-01-09,,,,,,
2015-01-12,,,,,,
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,2662.0,2714.800049,2662.0,2670.050049,2670.050049,43.0
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-27,2638.199951,2698.649902,2638.199951,2642.399902,2642.399902,35.0
2015-01-28,2716.0,2716.0,2642.0,2675.0,2675.0,50.0
2015-01-29,,,,,,
2015-01-30,2698.0,2699.0,2628.399902,2653.350098,2653.350098,58.0
2015-02-02,2694.949951,2694.949951,2637.0,2640.050049,2640.050049,163.0
2015-02-03,2686.899902,2714.699951,2648.0,2698.949951,2698.949951,10.0
2015-02-04,2691.0,2691.0,2616.050049,2623.149902,2623.149902,46.0
2015-02-05,2689.0,2694.449951,2628.199951,2670.0,2670.0,142.0
2015-02-06,,,,,,
2015-02-09,2595.0,2665.800049,2595.0,2665.800049,2665.800049,35.0
2015-02-10,,,,,,
2015-02-11,2668.0,2696.649902,2592.5,2596.25,2596.25,42.0
2015-02-12,,,,,,
2015-02-13,2583.899902,2600.0,2565.0,2600.0,2600.0,62.0
2015-02-16,,,,,,
2015-02-18,,,,,,
2015-02-19,2644.0,2644.0,2562.649902,2570.0,2570.0,14.0
2015-02-20,2644.0,2644.0,2545.0,2549.300049,2549.300049,52.0
2015-02-23,2742.0,2742.0,2537.050049,2593.0,2593.0,9.0
2015-02-24,,,,,,
2015-02-25,,,,,,
2015-02-26,,,,,,
2015-02-27,,,,,,
2015-02-28,,,,,,
2015-03-02,,,,,,
2015-03-03,,,,,,
2015-03-04,,,,,,
2015-03-05,2664.0,2664.0,2517.149902,2526.149902,2526.149902,317.0
2015-03-09,,,,,,
2015-03-10,2524.899902,2524.899902,2472.0,2474.199951,2474.199951,21.0
2015-03-11,2514.0,2514.0,2500.0,2500.0,2500.0,17.0
2015-03-12,,,,,,
2015-03-13,,,,,,
2015-03-16,,,,,,
2015-03-17,2452.050049,2485.0,2452.050049,2485.0,2485.0,213.0
2015-03-18,2497.5,2497.5,2450.0,2452.850098,2452.850098,30.0
2015-03-19,2466.0,2498.0,2466.0,2480.0,2480.0,58.0
2015-03-20,,,,,,
2015-03-23,,,,,,
2015-03-24,,,,,,
2015-03-25,2465.0,2515.050049,2465.0,2515.0,2515.0,242.0
2015-03-26,2571.0,2580.0,2489.050049,2575.350098,2575.350098,46.0
2015-03-27,,,,,,
2015-03-30,,,,,,
2015-03-31,,,,,,
2015-04-01,,,,,,
2015-04-06,,,,,,
2015-04-07,,,,,,
2015-04-08,,,,,,
2015-04-09,2528.5,2580.0,2507.350098,2510.0,2510.0,45.0
2015-04-10,2565.0,2565.0,2560.0,2560.0,2560.0,14.0
2015-04-13,,,,,,
2015-04-15,2570.0,2570.0,2570.0,2570.0,2570.0,2.0
2015-04-16,,,,,,
2015-04-17,,,,,,
2015-04-20,,,,,,
2015-04-21,,,,,,
2015-04-22,,,,,,
2015-04-23,,,,,,
2015-04-24,,,,,,
2015-04-27,,,,,,
2015-04-28,,,,,,
2015-04-29,,,,,,
2015-04-30,,,,,,
2015-05-04,,,,,,
2015-05-05,,,,,,
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-05-08,,,,,,
2015-05-11,,,,,,
2015-05-12,,,,,,
2015-05-13,,,,,,
2015-05-14,2586.300049,2638.0,2585.0,2585.800049,2585.800049,320.0
2015-05-15,2630.0,2630.0,2630.0,2630.0,2630.0,1.0
2015-05-18,2600.050049,2640.0,2600.050049,2635.0,2635.0,55.0
2015-05-19,2645.0,2645.0,2597.199951,2598.75,2598.75,469.0
2015-05-20,2619.949951,2619.949951,2564.0,2573.100098,2573.100098,166.0
2015-05-21,2579.0,2613.0,2575.0,2586.600098,2586.600098,22.0
2015-05-22,2575.149902,2585.0,2575.0,2575.0,2575.0,13.0
2015-05-25,2601.0,2601.0,2600.949951,2600.949951,2600.949951,7.0
2015-05-26,2613.899902,2613.899902,2566.0,2580.0,2580.0,87.0
2015-05-27,2594.5,2594.5,2535.050049,2579.75,2579.75,6.0
2015-05-28,2540.699951,2582.0,2540.100098,2540.100098,2540.100098,10.0
2015-05-29,,,,,,
2015-06-01,,,,,,
2015-06-02,,,,,,
2015-06-03,2598.949951,2598.949951,2535.5,2537.050049,2537.050049,55.0
2015-06-04,2599.0,2599.0,2526.300049,2594.949951,2594.949951,36.0
2015-06-05,,,,,,
2015-06-08,,,,,,
2015-06-09,,,,,,
2015-06-10,,,,,,
2015-06-11,2593.649902,2593.649902,2520.0,2520.0,2520.0,35.0
