Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,4.95,4.95,4.95,4.95,4.95,201.0
2015-01-02,5.4,5.4,5.05,5.4,5.4,10445.0
2015-01-05,5.05,5.9,5.05,5.65,5.65,760.0
2015-01-06,5.6,5.65,5.1,5.65,5.65,1054.0
2015-01-07,5.65,5.65,5.65,5.65,5.65,150.0
2015-01-08,5.65,5.75,5.2,5.65,5.65,1217.0
2015-01-09,5.65,5.95,5.1,5.25,5.25,821.0
2015-01-12,5.25,5.25,5.25,5.25,5.25,0.0
2015-01-13,5.25,5.25,5.25,5.25,5.25,0.0
2015-01-14,5.0,5.0,5.0,5.0,5.0,1.0
2015-01-15,5.0,5.0,5.0,5.0,5.0,0.0
2015-01-16,5.0,5.0,5.0,5.0,5.0,0.0
2015-01-19,5.0,5.5,5.0,5.0,5.0,102.0
2015-01-20,5.0,5.0,5.0,5.0,5.0,0.0
2015-01-21,5.5,5.5,5.5,5.5,5.5,320.0
2015-01-22,6.05,6.05,6.05,6.05,6.05,534.0
2015-01-23,6.05,6.05,6.05,6.05,6.05,0.0
2015-01-27,6.05,6.05,6.05,6.05,6.05,0.0
2015-01-28,6.05,6.05,6.05,6.05,6.05,0.0
2015-01-29,6.65,6.65,6.65,6.65,6.65,500.0
2015-01-30,6.0,6.0,6.0,6.0,6.0,300.0
2015-02-02,6.6,6.6,6.6,6.6,6.6,1000.0
2015-02-03,6.6,6.6,6.6,6.6,6.6,0.0
2015-02-04,6.6,6.6,6.6,6.6,6.6,0.0
2015-02-05,6.6,6.6,6.6,6.6,6.6,0.0
2015-02-06,7.0,7.0,7.0,7.0,7.0,1083.0
2015-02-09,7.0,7.0,7.0,7.0,7.0,0.0
2015-02-10,7.0,7.0,7.0,7.0,7.0,0.0
2015-02-11,7.0,7.0,7.0,7.0,7.0,0.0
2015-02-12,8.2,8.2,8.2,8.2,8.2,1.0
2015-02-13,8.2,8.2,8.2,8.2,8.2,0.0
2015-02-16,8.2,8.2,8.2,8.2,8.2,0.0
