Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,35.049999,36.5,34.25,36.0,36.0,2859.0
2015-01-02,36.0,36.0,33.75,35.099998,35.099998,1119.0
2015-01-05,35.75,36.900002,34.5,35.700001,35.700001,1160.0
2015-01-06,35.099998,35.099998,33.099998,33.450001,33.450001,6793.0
2015-01-07,34.849998,34.849998,32.75,33.0,33.0,1859.0
2015-01-08,37.5,37.5,33.099998,33.950001,33.950001,3333.0
2015-01-09,34.900002,34.900002,33.049999,34.0,34.0,781.0
2015-01-12,33.5,34.700001,32.950001,33.299999,33.299999,638.0
2015-01-13,34.700001,35.0,33.650002,34.599998,34.599998,1982.0
2015-01-14,34.400002,35.0,33.099998,33.25,33.25,3771.0
2015-01-15,33.099998,35.299999,31.6,33.0,33.0,14498.0
2015-01-16,34.700001,36.900002,32.599998,32.75,32.75,6708.0
2015-01-19,33.5,34.5,28.950001,30.15,30.15,18194.0
2015-01-20,30.049999,32.900002,29.049999,29.549999,29.549999,18104.0
2015-01-21,33.299999,33.299999,28.450001,30.0,30.0,3950.0
2015-01-22,30.15,30.700001,28.1,29.35,29.35,14159.0
2015-01-23,29.15,29.15,28.5,28.950001,28.950001,5827.0
2015-01-27,28.950001,28.950001,26.799999,27.0,27.0,17133.0
2015-01-28,26.5,29.4,26.5,26.950001,26.950001,8020.0
2015-01-29,28.0,28.0,26.950001,27.5,27.5,1783.0
2015-01-30,27.5,28.950001,26.200001,27.9,27.9,6938.0
2015-02-02,27.0,29.65,27.0,28.799999,28.799999,3091.0
2015-02-03,28.4,28.4,26.5,27.200001,27.200001,15654.0
2015-02-04,28.799999,32.599998,28.5,29.299999,29.299999,79549.0
2015-02-05,29.9,29.950001,26.65,27.15,27.15,17120.0
2015-02-06,29.9,29.9,26.799999,27.1,27.1,2059.0
2015-02-09,27.200001,27.299999,26.0,26.15,26.15,8192.0
2015-02-10,25.700001,27.049999,25.1,25.65,25.65,8835.0
2015-02-11,29.799999,29.799999,24.200001,25.450001,25.450001,8989.0
2015-02-12,28.950001,28.950001,24.75,24.9,24.9,14965.0
2015-02-13,24.049999,27.299999,24.049999,26.450001,26.450001,9389.0
2015-02-16,26.200001,27.65,24.65,26.0,26.0,6088.0
2015-02-18,26.0,26.35,24.799999,25.35,25.35,16052.0
2015-02-19,25.25,26.25,25.25,25.9,25.9,6497.0
2015-02-20,25.4,27.450001,25.35,26.700001,26.700001,5158.0
2015-02-23,26.5,28.200001,24.9,25.299999,25.299999,12850.0
