Date,Open,High,Low,Close,Adj Close,Volume
2015-01-15,176.449997,177.0,172.100006,173.699997,169.95993,32716.0
2015-01-16,,,,,,
2015-01-19,168.149994,173.949997,167.0,168.800003,165.165436,80056.0
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-27,175.0,177.949997,174.0,176.399994,172.601791,34159.0
2015-01-28,175.050003,177.449997,175.0,175.050003,171.280853,40241.0
2015-01-29,175.050003,176.899994,173.100006,175.5,171.721176,47611.0
2015-01-30,177.899994,186.399994,176.300003,178.949997,175.096893,153665.0
2015-02-02,179.0,181.550003,178.300003,180.300003,176.417831,52760.0
2015-02-03,178.199997,193.0,178.199997,188.449997,184.392319,284167.0
2015-02-04,188.449997,189.649994,183.199997,184.800003,180.820923,59765.0
2015-02-05,186.050003,187.600006,185.0,185.050003,181.065536,67988.0
2015-02-06,186.649994,186.649994,182.300003,185.050003,181.065536,89524.0
2015-02-09,,,,,,
2015-02-10,184.0,186.949997,183.199997,186.199997,182.93219,53519.0
2015-02-11,,,,,,
2015-02-12,185.199997,187.899994,183.850006,186.050003,182.784821,38314.0
2015-02-13,187.649994,187.699997,185.0,185.0,181.75325,63046.0
2015-02-16,,,,,,
2015-02-18,185.050003,190.449997,184.100006,187.600006,184.307648,101330.0
2015-02-19,188.0,189.949997,185.449997,185.649994,182.391861,31268.0
2015-02-20,185.0,189.800003,185.0,185.899994,182.637436,108673.0
2015-02-23,185.300003,187.699997,185.0,185.800003,182.53921499999998,60410.0
2015-02-24,185.0,188.949997,184.199997,186.350006,183.07955900000002,106960.0
2015-02-25,,,,,,
2015-02-26,,,,,,
2015-02-27,184.5,185.899994,184.5,185.0,181.75325,64498.0
2015-02-28,,,,,,
2015-03-02,,,,,,
2015-03-03,185.600006,186.5,185.0,185.0,181.75325,39405.0
2015-03-04,,,,,,
2015-03-05,185.600006,187.800003,185.0,185.0,181.75325,30439.0
2015-03-09,186.0,186.0,185.0,185.050003,181.80238300000002,28637.0
2015-03-10,185.550003,185.75,180.5,182.199997,179.00241100000002,79845.0
2015-03-11,,,,,,
2015-03-12,,,,,,
2015-03-13,195.25,196.850006,187.25,188.5,185.19181799999998,47379.0
2015-03-16,,,,,,
2015-03-17,,,,,,
2015-03-18,192.0,192.0,185.0,185.25,181.99885600000002,44096.0
2015-03-19,,,,,,
2015-03-20,,,,,,
2015-03-23,185.0,185.550003,185.0,185.0,181.75325,37680.0
2015-03-24,,,,,,
2015-03-25,,,,,,
2015-03-26,,,,,,
2015-03-27,,,,,,
2015-03-30,,,,,,
2015-03-31,185.350006,195.800003,185.100006,190.199997,186.862,22637.0
2015-04-01,191.050003,197.0,188.350006,190.0,186.665497,42681.0
2015-04-06,,,,,,
