Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,20.35,21.0,20.299999,20.450001,20.450001,9289.0
2015-01-02,21.1,23.25,20.299999,21.700001,21.700001,84327.0
2015-01-05,21.4,22.5,21.299999,21.85,21.85,81581.0
2015-01-06,23.0,23.0,20.799999,21.25,21.25,143678.0
2015-01-07,22.5,23.0,21.5,22.15,22.15,260201.0
2015-01-08,22.75,23.4,21.799999,21.950001,21.950001,180561.0
2015-01-09,22.1,22.65,21.5,21.65,21.65,84517.0
2015-01-12,22.950001,22.950001,21.549999,21.85,21.85,28336.0
2015-01-13,22.0,22.950001,21.799999,22.299999,22.299999,80111.0
2015-01-14,22.799999,22.799999,21.549999,21.9,21.9,38089.0
2015-01-15,21.85,24.0,21.799999,23.15,23.15,101581.0
2015-01-16,23.1,27.75,22.6,27.75,27.75,996481.0
2015-01-19,28.549999,29.35,26.35,27.049999,27.049999,708052.0
2015-01-20,27.4,28.1,27.0,27.35,27.35,181143.0
2015-01-21,27.35,27.85,23.6,25.35,25.35,155415.0
2015-01-22,25.35,26.6,25.200001,25.950001,25.950001,118918.0
2015-01-23,25.200001,26.6,22.799999,23.9,23.9,154811.0
2015-01-27,23.9,25.450001,23.299999,24.15,24.15,69699.0
2015-01-28,23.75,24.450001,23.700001,23.85,23.85,37868.0
2015-01-29,23.700001,23.799999,23.049999,23.4,23.4,77056.0
2015-01-30,23.4,24.25,23.15,23.35,23.35,53269.0
2015-02-02,23.200001,24.0,22.9,23.450001,23.450001,43852.0
2015-02-03,23.5,26.6,23.299999,26.299999,26.299999,306938.0
2015-02-04,26.65,27.950001,26.0,26.450001,26.450001,178118.0
2015-02-05,26.5,26.700001,24.299999,24.9,24.9,77801.0
2015-02-06,25.4,25.4,23.799999,24.200001,24.200001,57245.0
2015-02-09,24.0,24.75,23.549999,23.65,23.65,20933.0
2015-02-10,24.0,25.4,22.35,23.35,23.35,76072.0
2015-02-11,24.0,25.0,24.0,24.5,24.5,55010.0
2015-02-12,24.5,25.5,23.35,24.5,24.5,45506.0
2015-02-13,24.25,24.950001,23.950001,24.15,24.15,32452.0
2015-02-16,23.0,24.0,22.9,23.049999,23.049999,64515.0
2015-02-18,23.049999,24.4,23.049999,23.9,23.9,57639.0
2015-02-19,24.0,24.4,22.6,23.200001,23.200001,98764.0
2015-02-20,23.299999,24.0,22.9,23.549999,23.549999,67165.0
2015-02-23,24.6,26.0,24.049999,25.200001,25.200001,364329.0
2015-02-24,25.700001,26.0,24.1,24.450001,24.450001,144076.0
2015-02-25,24.5,24.799999,23.6,23.950001,23.950001,63419.0
2015-02-26,24.0,26.200001,24.0,24.35,24.35,643709.0
2015-02-27,24.9,24.9,20.0,23.5,23.5,170132.0
2015-02-28,,,,,,
2015-03-02,23.25,23.299999,22.049999,22.299999,22.299999,75609.0
2015-03-03,23.0,23.200001,22.299999,22.75,22.75,82379.0
2015-03-04,22.75,24.0,21.75,21.950001,21.950001,68738.0
2015-03-05,22.0,22.700001,20.9,21.200001,21.200001,83319.0
2015-03-09,21.200001,22.049999,21.200001,21.799999,21.799999,50980.0
2015-03-10,21.75,22.35,20.450001,20.9,20.9,47880.0
2015-03-11,21.049999,21.4,19.9,20.1,20.1,53096.0
2015-03-12,20.700001,21.4,20.0,21.0,21.0,44506.0
2015-03-13,20.6,21.5,19.799999,20.15,20.15,36321.0
2015-03-16,19.85,20.25,19.0,19.65,19.65,36230.0
2015-03-17,20.0,20.6,19.25,19.700001,19.700001,52499.0
2015-03-18,20.0,20.200001,19.1,19.65,19.65,34119.0
2015-03-19,19.6,20.1,19.5,19.75,19.75,26057.0
2015-03-20,19.5,19.75,18.799999,18.950001,18.950001,31254.0
2015-03-23,19.0,19.4,18.0,18.35,18.35,44209.0
2015-03-24,18.200001,18.9,18.0,18.25,18.25,22549.0
2015-03-25,19.0,19.0,17.299999,17.65,17.65,49593.0
2015-03-26,17.5,18.25,17.0,17.35,17.35,23512.0
2015-03-27,17.1,18.0,16.5,17.25,17.25,42414.0
2015-03-30,16.65,18.299999,16.65,17.799999,17.799999,38290.0
2015-03-31,17.75,19.5,17.6,18.549999,18.549999,19712.0
2015-04-01,18.299999,20.25,18.1,19.85,19.85,40541.0
2015-04-06,19.85,21.049999,19.1,20.9,20.9,36074.0
2015-04-07,21.0,23.799999,20.799999,23.1,23.1,202555.0
2015-04-08,23.299999,24.5,22.5,23.15,23.15,151661.0
2015-04-09,23.0,24.950001,21.6,22.65,22.65,67184.0
2015-04-10,22.799999,22.85,21.9,22.049999,22.049999,41247.0
2015-04-13,22.799999,26.0,21.9,25.6,25.6,257468.0
2015-04-15,25.6,30.35,25.25,28.200001,28.200001,1860774.0
2015-04-16,28.299999,28.4,25.549999,26.200001,26.200001,186511.0
2015-04-17,26.299999,26.35,24.799999,25.0,25.0,93243.0
2015-04-20,25.15,26.35,23.5,23.950001,23.950001,77240.0
2015-04-21,25.5,25.5,23.200001,23.6,23.6,52600.0
2015-04-22,24.9,24.9,23.1,23.549999,23.549999,48570.0
2015-04-23,23.25,24.799999,22.6,22.9,22.9,62642.0
2015-04-24,22.6,23.0,21.799999,22.1,22.1,53712.0
2015-04-27,22.200001,23.5,22.0,22.049999,22.049999,32838.0
2015-04-28,22.049999,22.6,21.5,21.9,21.9,27106.0
2015-04-29,22.799999,22.950001,21.549999,22.75,22.75,51431.0
2015-04-30,22.5,23.0,22.0,22.1,22.1,18399.0
2015-05-04,22.1,23.25,22.1,23.0,23.0,22366.0
2015-05-05,24.5,25.1,23.5,24.4,24.4,227287.0
2015-05-06,24.0,24.700001,22.6,23.15,23.15,63133.0
2015-05-07,22.799999,22.799999,20.799999,21.049999,21.049999,72249.0
2015-05-08,21.549999,22.25,21.299999,21.700001,21.700001,31369.0
2015-05-11,21.049999,23.0,20.950001,21.65,21.65,49323.0
2015-05-12,21.5,21.950001,20.5,20.75,20.75,27108.0
2015-05-13,21.799999,21.799999,20.6,21.1,21.1,14922.0
2015-05-14,20.4,21.299999,20.4,21.049999,21.049999,22351.0
2015-05-15,20.65,21.299999,20.4,20.85,20.85,15790.0
2015-05-18,20.75,21.200001,20.65,20.85,20.85,12291.0
2015-05-19,20.799999,22.799999,20.799999,22.0,22.0,52517.0
2015-05-20,22.0,24.200001,21.0,23.799999,23.799999,185160.0
2015-05-21,24.15,24.700001,22.799999,23.950001,23.950001,67704.0
2015-05-22,23.5,24.4,22.799999,23.0,23.0,82935.0
2015-05-25,22.85,23.9,22.0,23.549999,23.549999,152852.0
2015-05-26,24.25,24.700001,23.049999,23.65,23.65,598842.0
2015-05-27,23.65,23.799999,22.700001,23.0,23.0,80573.0
2015-05-28,23.15,23.25,22.200001,22.35,22.35,37903.0
2015-05-29,22.35,22.799999,21.35,21.65,21.65,72086.0
2015-06-01,21.75,22.0,20.65,21.049999,21.049999,67926.0
2015-06-02,21.049999,21.6,19.799999,20.1,20.1,122968.0
2015-06-03,19.799999,19.950001,18.200001,18.799999,18.799999,117101.0
2015-06-04,19.1,19.1,18.049999,18.450001,18.450001,70869.0
2015-06-05,18.799999,19.0,18.25,18.450001,18.450001,34614.0
2015-06-08,18.5,18.700001,17.5,18.35,18.35,33078.0
2015-06-09,18.4,18.6,18.0,18.200001,18.200001,10465.0
2015-06-10,19.35,19.35,17.9,18.0,18.0,79749.0
2015-06-11,18.299999,18.6,16.85,17.049999,17.049999,74712.0
2015-06-12,17.5,19.0,17.200001,18.549999,18.549999,55957.0
2015-06-15,19.1,19.9,18.25,19.35,19.35,81642.0
2015-06-16,18.700001,19.799999,18.700001,19.4,19.4,40886.0
2015-06-17,19.85,20.0,19.0,19.5,19.5,27908.0
2015-06-18,19.799999,19.9,19.5,19.5,19.5,18814.0
2015-06-19,19.5,19.75,19.200001,19.35,19.35,14851.0
2015-06-22,19.200001,20.0,19.200001,19.25,19.25,25370.0
2015-06-23,19.75,19.75,19.299999,19.4,19.4,10884.0
2015-06-24,19.299999,19.950001,19.049999,19.25,19.25,29753.0
2015-06-25,18.700001,19.4,18.700001,19.049999,19.049999,10873.0
2015-06-26,19.049999,19.1,18.1,18.299999,18.299999,25562.0
2015-06-29,18.1,18.299999,17.1,17.549999,17.549999,63530.0
2015-06-30,17.299999,18.5,17.299999,17.799999,17.799999,55569.0
2015-07-01,17.25,18.5,17.25,18.299999,18.299999,38357.0
2015-07-02,18.85,18.85,17.75,18.049999,18.049999,20455.0
