Date,Open,High,Low,Close,Adj Close,Volume
2015-01-05,13.6,14.25,13.5,13.95,13.95,4400.0
2015-01-06,,,,,,
2015-01-07,13.25,13.55,13.2,13.5,13.5,4622.0
2015-01-08,,,,,,
2015-01-09,,,,,,
2015-01-12,,,,,,
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-27,12.85,14.0,12.8,13.25,13.25,3284.0
2015-01-28,13.0,13.0,12.3,12.95,12.95,13650.0
2015-01-29,13.0,13.5,12.55,12.85,12.85,2743.0
2015-01-30,12.4,13.5,12.1,13.0,13.0,1421.0
2015-02-02,14.25,14.5,13.25,13.7,13.7,23896.0
2015-02-03,13.25,14.2,13.0,13.05,13.05,7335.0
2015-02-04,13.05,13.6,13.05,13.4,13.4,5324.0
2015-02-05,13.4,13.85,13.25,13.4,13.4,10402.0
2015-02-06,13.75,13.95,13.0,13.1,13.1,4431.0
2015-02-09,,,,,,
2015-02-10,12.5,13.5,12.5,12.65,12.65,5555.0
2015-02-11,,,,,,
2015-02-12,12.25,12.7,12.15,12.35,12.35,24852.0
2015-02-13,,,,,,
2015-02-16,13.3,13.3,12.2,12.85,12.85,9580.0
2015-02-18,12.85,13.6,12.8,13.55,13.55,10807.0
2015-02-19,14.0,14.0,13.5,13.9,13.9,6945.0
2015-02-20,14.65,15.1,14.25,14.9,14.9,25908.0
2015-02-23,,,,,,
2015-02-24,14.7,15.0,14.35,14.6,14.6,11637.0
2015-02-25,,,,,,
2015-02-26,,,,,,
2015-02-27,14.2,14.6,14.2,14.6,14.6,7635.0
2015-02-28,,,,,,
2015-03-02,,,,,,
2015-03-03,15.85,15.85,12.05,14.0,14.0,6164.0
2015-03-04,,,,,,
2015-03-05,,,,,,
2015-03-09,13.1,14.1,13.0,13.9,13.9,10648.0
2015-03-10,13.35,14.0,13.35,13.5,13.5,4628.0
2015-03-11,13.45,13.6,13.0,13.05,13.05,27720.0
2015-03-12,,,,,,
2015-03-13,,,,,,
2015-03-16,,,,,,
2015-03-17,,,,,,
2015-03-18,,,,,,
2015-03-19,12.45,13.0,11.8,12.2,12.2,20599.0
2015-03-20,12.2,12.6,12.05,12.1,12.1,14296.0
2015-03-23,,,,,,
2015-03-24,11.65,11.65,11.3,11.55,11.55,2536.0
2015-03-25,11.2,12.25,11.2,11.5,11.5,3975.0
2015-03-26,12.9,12.9,11.4,11.4,11.4,1686.0
2015-03-27,,,,,,
2015-03-30,,,,,,
2015-03-31,,,,,,
2015-04-01,11.5,12.5,11.5,12.1,12.1,5169.0
2015-04-06,,,,,,
2015-04-07,12.55,13.45,12.55,13.45,13.45,4960.0
2015-04-08,,,,,,
2015-04-09,,,,,,
2015-04-10,13.5,14.75,13.5,14.4,14.4,11297.0
2015-04-13,14.1,15.9,14.1,15.55,15.55,29190.0
2015-04-15,,,,,,
2015-04-16,,,,,,
2015-04-17,15.45,15.5,14.55,14.7,14.7,3035.0
2015-04-20,,,,,,
2015-04-21,,,,,,
2015-04-22,15.0,15.7,14.75,15.3,15.3,5710.0
2015-04-23,,,,,,
2015-04-24,14.65,15.4,14.0,14.25,14.25,1643.0
2015-04-27,,,,,,
2015-04-28,,,,,,
2015-04-29,,,,,,
2015-04-30,,,,,,
2015-05-04,13.55,13.55,13.55,13.55,13.55,0.0
2015-05-05,,,,,,
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-05-08,,,,,,
2015-05-11,,,,,,
2015-05-12,,,,,,
2015-05-13,,,,,,
2015-05-14,12.8,14.2,12.55,13.25,13.25,3656.0
2015-05-15,13.3,13.85,13.25,13.25,13.25,1780.0
2015-05-18,14.0,14.65,13.7,13.9,13.9,5945.0
2015-05-19,14.0,14.0,13.8,13.95,13.95,5790.0
2015-05-20,13.9,13.9,13.55,13.6,13.6,4393.0
2015-05-21,13.55,14.0,13.55,13.6,13.6,10856.0
2015-05-22,14.0,15.9,13.35,13.85,13.85,13805.0
2015-05-25,13.9,14.0,13.55,13.55,13.55,1856.0
2015-05-26,13.9,13.9,13.25,13.3,13.3,3291.0
2015-05-27,13.0,13.45,13.0,13.3,13.3,1680.0
2015-05-28,13.0,13.4,13.0,13.4,13.4,154.0
2015-05-29,13.0,13.3,12.3,12.9,12.9,7354.0
2015-06-01,,,,,,
2015-06-02,13.0,13.0,12.35,12.45,12.45,8866.0
2015-06-03,12.5,12.85,11.4,11.85,11.85,6367.0
2015-06-04,12.0,12.7,11.6,11.95,11.95,3044.0
2015-06-05,,,,,,
2015-06-08,12.25,12.75,12.15,12.35,12.35,2913.0
2015-06-09,13.0,13.0,11.75,12.0,12.0,8533.0
2015-06-10,,,,,,
2015-06-11,13.0,13.0,11.55,12.45,12.45,820.0
2015-06-12,11.8,12.0,11.45,11.6,11.6,1406.0
2015-06-15,11.4,11.95,11.05,11.5,11.5,1330.0
2015-06-16,,,,,,
2015-06-17,11.7,12.0,11.6,11.95,11.95,312.0
2015-06-18,11.8,12.25,11.7,11.85,11.85,413.0
2015-06-19,,,,,,
2015-06-22,12.6,12.65,12.6,12.6,12.6,1080.0
2015-06-23,,,,,,
2015-06-24,,,,,,
2015-06-25,,,,,,
2015-06-26,13.9,14.0,13.2,13.35,13.35,43356.0
2015-06-29,13.5,13.5,12.8,13.5,13.5,1593.0
2015-06-30,,,,,,
2015-07-01,,,,,,
2015-07-02,14.0,14.35,13.8,13.9,13.9,53396.0
2015-07-03,14.0,14.2,13.8,13.8,13.8,5736.0
