Date,Open,High,Low,Close,Adj Close,Volume
2015-11-02,317.0,317.0,266.299988,270.450012,270.450012,18353828.0
2015-11-03,,,,,,
2015-11-04,277.450012,283.5,275.100006,281.600006,281.600006,1853793.0
2015-11-05,,,,,,
2015-11-06,,,,,,
2015-11-09,,,,,,
2015-11-10,276.100006,280.5,267.799988,269.799988,269.799988,564758.0
2015-11-13,269.799988,269.799988,269.799988,269.799988,269.799988,0.0
2015-11-16,,,,,,
2015-11-17,,,,,,
2015-11-18,265.899994,267.700012,260.25,261.299988,261.299988,236271.0
2015-11-19,,,,,,
2015-11-20,,,,,,
2015-11-23,,,,,,
2015-11-24,,,,,,
2015-11-26,268.399994,269.399994,264.0,266.299988,266.299988,172026.0
2015-11-27,,,,,,
2015-11-30,259.799988,261.75,254.0,254.5,254.5,447105.0
2015-12-01,,,,,,
2015-12-02,,,,,,
2015-12-03,,,,,,
2015-12-04,,,,,,
2015-12-07,,,,,,
2015-12-08,257.0,267.5,255.0,257.25,257.25,1238319.0
2015-12-09,,,,,,
2015-12-10,,,,,,
2015-12-11,,,,,,
2015-12-14,,,,,,
2015-12-15,,,,,,
2015-12-16,,,,,,
2015-12-17,,,,,,
2015-12-18,,,,,,
2015-12-21,,,,,,
2015-12-22,,,,,,
2015-12-23,,,,,,
2015-12-24,276.600006,283.5,275.0,279.200012,279.200012,183806.0
2015-12-28,279.200012,280.899994,275.0,275.899994,275.899994,135546.0
2015-12-29,276.200012,286.75,276.0,284.950012,284.950012,385285.0
2015-12-30,284.100006,297.350006,280.0,284.700012,284.700012,869774.0
2015-12-31,282.0,286.899994,281.799988,283.75,283.75,179009.0
2016-01-01,284.399994,291.200012,283.299988,288.049988,288.049988,215725.0
2016-01-04,287.799988,288.0,277.649994,280.450012,280.450012,162531.0
2016-01-05,282.0,288.0,278.100006,282.450012,282.450012,173477.0
2016-01-06,282.549988,286.0,272.200012,274.299988,274.299988,206553.0
2016-01-07,270.100006,273.799988,267.100006,269.850006,269.850006,187070.0
2016-01-08,272.299988,279.0,267.450012,273.0,273.0,271414.0
2016-01-11,269.950012,273.0,267.0,267.75,267.75,121689.0
2016-01-12,268.049988,271.950012,264.100006,265.799988,265.799988,113798.0
2016-01-13,268.399994,269.0,256.5,259.549988,259.549988,209649.0
2016-01-14,256.799988,260.100006,254.0,255.600006,255.600006,110285.0
2016-01-15,257.950012,261.850006,252.100006,253.75,253.75,134162.0
2016-01-18,251.0,251.850006,242.05000299999998,243.5,243.5,120840.0
2016-01-19,237.19999700000002,249.19999700000002,237.19999700000002,243.80000299999998,243.80000299999998,108272.0
2016-01-20,241.80000299999998,245.55000299999998,239.05000299999998,243.649994,243.649994,190503.0
2016-01-21,243.850006,248.350006,241.55000299999998,246.350006,246.350006,414907.0
2016-01-22,248.100006,254.899994,247.0,250.30000299999998,250.30000299999998,156258.0
2016-01-25,251.100006,254.19999700000002,242.5,248.649994,248.649994,49558.0
2016-01-27,248.649994,250.94999700000002,245.149994,247.55000299999998,247.55000299999998,60757.0
2016-01-28,248.0,254.5,244.0,252.80000299999998,252.80000299999998,318556.0
2016-01-29,251.94999700000002,267.0,249.0,263.299988,263.299988,1046979.0
2016-02-01,263.100006,265.0,258.100006,259.899994,259.899994,131637.0
2016-02-02,259.149994,259.549988,248.19999700000002,250.55000299999998,250.55000299999998,132354.0
