Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,93.5,99.900002,92.75,95.599998,87.881348,32706.0
2015-01-02,96.949997,99.800003,96.050003,97.349998,89.490051,28074.0
2015-01-05,98.699997,98.699997,95.0,96.400002,88.61676,24450.0
2015-01-06,96.0,97.0,92.5,93.800003,86.226677,14497.0
2015-01-07,93.449997,93.949997,92.5,92.949997,85.445297,26950.0
2015-01-08,93.900002,96.0,93.900002,95.800003,88.065201,22156.0
2015-01-09,97.0,97.349998,94.099998,94.650002,87.008057,10827.0
2015-01-12,93.199997,96.25,93.199997,95.550003,87.835388,2891.0
2015-01-13,96.25,99.5,95.0,95.849998,88.11116,16114.0
2015-01-14,96.0,96.099998,93.0,93.550003,85.996872,7175.0
2015-01-15,94.050003,95.0,91.75,92.800003,85.307426,37623.0
2015-01-16,93.5,97.800003,92.849998,96.5,88.708687,13772.0
2015-01-19,97.5,97.5,94.5,95.900002,88.157127,16311.0
2015-01-20,97.050003,102.849998,96.599998,97.449997,89.581978,37762.0
2015-01-21,98.800003,99.199997,95.599998,97.300003,89.444092,34362.0
2015-01-22,97.849998,98.5,96.449997,97.050003,89.214287,7445.0
2015-01-23,97.949997,98.199997,95.0,95.349998,87.651535,8486.0
2015-01-27,95.349998,96.949997,94.099998,94.650002,87.008057,7891.0
2015-01-28,94.599998,99.349998,93.0,98.900002,90.914909,24478.0
2015-01-29,98.199997,101.75,95.800003,98.550003,90.59317800000001,15220.0
2015-01-30,98.949997,99.550003,97.099998,98.849998,90.868942,11979.0
2015-02-02,98.0,99.0,95.5,95.949997,88.203079,5219.0
2015-02-03,96.199997,97.050003,94.0,94.150002,86.548424,10103.0
2015-02-04,93.75,94.5,93.650002,93.900002,86.318611,15936.0
2015-02-05,94.0,94.699997,92.300003,92.949997,85.445297,9291.0
2015-02-06,92.050003,95.400002,90.300003,91.0,83.652748,10727.0
2015-02-09,90.5,91.800003,88.0,89.099998,81.906151,7398.0
2015-02-10,88.949997,91.0,86.5,88.849998,81.676338,7633.0
2015-02-11,90.0,91.800003,89.0,91.150002,83.790642,4393.0
2015-02-12,90.849998,92.800003,90.099998,91.25,83.882568,14636.0
2015-02-13,91.0,94.0,91.0,93.099998,85.583199,14837.0
2015-02-16,93.300003,94.900002,90.0,90.900002,83.560829,19621.0
2015-02-18,90.900002,93.300003,85.599998,87.650002,80.573227,32894.0
2015-02-19,88.0,89.0,84.050003,86.099998,79.14836899999999,32120.0
2015-02-20,86.0,87.349998,84.699997,85.800003,78.872597,6666.0
2015-02-23,85.849998,86.75,81.550003,82.949997,76.25269300000001,19734.0
2015-02-24,83.050003,83.900002,82.099998,82.650002,75.97692099999999,5655.0
2015-02-25,83.5,83.5,80.099998,80.550003,74.046471,13466.0
2015-02-26,81.900002,81.900002,78.550003,79.050003,72.66758,7397.0
