Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,2565.0,2570.0,2565.0,2570.0,2570.0,56.0
2015-01-05,2585.0,2585.0,2585.0,2585.0,2585.0,5.0
2015-01-06,2560.0,2620.0,2560.0,2620.0,2620.0,60.0
2015-01-07,2620.0,2620.0,2620.0,2620.0,2620.0,11.0
2015-01-08,,,,,,
2015-01-09,2585.0,2589.0,2430.0,2589.0,2589.0,246.0
2015-01-12,2590.0,2605.0,2590.0,2600.0,2600.0,3135.0
2015-01-13,2615.0,2620.0,2615.0,2620.0,2620.0,50.0
2015-01-14,2598.0,2600.0,2598.0,2600.0,2600.0,3505.0
2015-01-15,,,,,,
2015-01-16,2650.0,2653.0,2648.0,2652.350098,2652.350098,50.0
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,2695.0,2720.0,2690.0,2716.0,2716.0,3175.0
2015-01-22,2685.0,2690.0,2685.0,2690.0,2690.0,15.0
2015-01-23,2695.0,2710.0,2692.0,2706.399902,2706.399902,3017.0
2015-01-27,,,,,,
2015-01-28,2685.0,2695.0,2685.0,2695.0,2695.0,21.0
2015-01-29,2682.0,2682.0,2682.0,2682.0,2682.0,4000.0
2015-01-30,,,,,,
2015-02-02,2695.0,2695.0,2695.0,2695.0,2695.0,50.0
2015-02-03,2680.0,2690.0,2680.0,2690.0,2690.0,106.0
2015-02-04,2660.0,2660.0,2660.0,2660.0,2660.0,5.0
2015-02-05,2677.0,2677.0,2670.0,2670.0,2670.0,5001.0
2015-02-06,,,,,,
2015-02-09,,,,,,
2015-02-10,2645.0,2650.0,2635.0,2635.0,2635.0,13.0
2015-02-11,2640.0,2640.0,2640.0,2640.0,2640.0,2.0
2015-02-12,2620.0,2620.0,2620.0,2620.0,2620.0,1.0
2015-02-13,2607.0,2607.0,2607.0,2607.0,2607.0,2000.0
2015-02-16,,,,,,
2015-02-18,,,,,,
2015-02-19,,,,,,
2015-02-20,2585.0,2585.0,2570.0,2575.0,2575.0,5055.0
2015-02-23,2575.0,2575.0,2565.0,2565.0,2565.0,16.0
2015-02-24,,,,,,
2015-02-25,2560.0,2560.0,2555.0,2555.0,2555.0,25.0
2015-02-26,2560.0,2560.0,2557.0,2560.0,2560.0,3050.0
2015-02-27,,,,,,
2015-02-28,,,,,,
2015-03-02,,,,,,
2015-03-03,2552.0,2552.0,2552.0,2552.0,2552.0,5000.0
2015-03-04,,,,,,
2015-03-05,,,,,,
2015-03-09,,,,,,
2015-03-10,2525.0,2525.0,2525.0,2525.0,2525.0,1.0
2015-03-11,2525.0,2535.0,2525.0,2535.0,2535.0,3.0
2015-03-12,2510.0,2510.0,2510.0,2510.0,2510.0,13.0
2015-03-13,2515.0,2515.0,2515.0,2515.0,2515.0,1.0
