Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,43.549999,45.150002,43.400002,44.75,42.228328999999995,30930.0
2015-01-02,45.049999,45.049999,42.25,43.599998,41.143131,25474.0
2015-01-05,44.5,47.599998,44.0,46.049999,43.455073999999996,71552.0
2015-01-06,45.650002,46.0,43.0,43.650002,41.190315000000005,29394.0
2015-01-07,44.349998,45.799999,42.5,44.0,41.520592,28965.0
2015-01-08,44.75,47.900002,44.25,46.900002,44.257183000000005,37172.0
2015-01-09,47.049999,48.25,45.049999,45.650002,43.077618,22533.0
2015-01-12,45.549999,47.150002,44.150002,45.950001,43.36071,13846.0
2015-01-13,46.650002,46.650002,44.75,44.900002,42.369881,20996.0
2015-01-14,46.0,46.25,43.799999,44.049999,41.567776,23592.0
2015-01-15,44.700001,45.450001,42.799999,43.25,40.812855,33284.0
2015-01-16,43.0,44.5,42.799999,44.0,41.520592,21390.0
2015-01-19,44.900002,47.849998,44.900002,47.099998,44.445908,46852.0
2015-01-20,47.650002,47.650002,45.099998,45.400002,42.841709,38238.0
2015-01-21,46.099998,46.400002,45.299999,45.599998,43.030434,14357.0
2015-01-22,45.0,46.700001,44.349998,45.299999,42.747337,5143.0
2015-01-23,45.400002,46.150002,45.0,45.299999,42.747337,14634.0
2015-01-27,45.299999,46.0,44.349998,45.0,42.464245,15868.0
2015-01-28,46.25,46.25,43.5,43.700001,41.237499,7929.0
2015-01-29,43.5,46.450001,42.25,43.450001,41.001583000000004,5631.0
2015-01-30,43.0,45.0,41.900002,42.599998,40.199486,9942.0
2015-02-02,43.200001,43.950001,42.0,42.849998,40.435398,6619.0
2015-02-03,41.599998,44.25,41.599998,42.950001,40.529762,11590.0
2015-02-04,43.950001,43.950001,41.25,41.950001,39.586109,6207.0
2015-02-05,42.400002,43.700001,42.0,42.599998,40.199486,8211.0
2015-02-06,37.5,40.5,36.349998,37.950001,35.811512,74901.0
2015-02-09,36.25,41.0,36.25,37.0,34.915043,27023.0
2015-02-10,36.049999,38.950001,35.5,36.049999,34.018578000000005,9324.0
2015-02-11,35.299999,39.5,35.099998,36.150002,34.112942,13170.0
2015-02-12,36.549999,38.0,35.5,37.400002,35.292503,12105.0
2015-02-13,37.0,39.799999,35.900002,37.049999,34.962227,13908.0
2015-02-16,39.0,39.0,36.200001,37.299999,35.198143,11342.0
2015-02-18,37.299999,39.0,37.0,37.099998,35.009411,23978.0
2015-02-19,37.0,38.0,35.0,36.700001,34.63195,6757.0
2015-02-20,36.299999,37.5,35.049999,35.900002,33.877029,17602.0
