Date,Open,High,Low,Close,Adj Close,Volume
2015-01-20,3.0,3.0,2.7,2.8,2.8,33484.0
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-27,2.7,2.85,2.7,2.85,2.85,2550.0
2015-01-28,2.6,2.7,2.6,2.6,2.6,2830.0
2015-01-29,2.4,2.55,2.35,2.35,2.35,16966.0
2015-01-30,2.35,2.35,2.15,2.15,2.15,7774.0
2015-02-02,2.25,2.25,2.05,2.25,2.25,70574.0
2015-02-03,2.35,2.35,2.15,2.35,2.35,27854.0
2015-02-04,2.45,2.45,2.25,2.3,2.3,16755.0
2015-02-05,2.4,2.4,2.2,2.4,2.4,22583.0
2015-02-06,2.4,2.5,2.3,2.5,2.5,22986.0
2015-02-09,2.4,2.55,2.4,2.45,2.45,11833.0
2015-02-10,2.55,2.55,2.35,2.4,2.4,10104.0
2015-02-11,2.5,2.5,2.5,2.5,2.5,324.0
2015-02-12,2.6,2.6,2.6,2.6,2.6,5368.0
2015-02-13,2.7,2.7,2.7,2.7,2.7,281.0
2015-02-16,2.8,2.8,2.8,2.8,2.8,5950.0
2015-02-18,2.8,2.9,2.8,2.9,2.9,5668.0
2015-02-19,3.0,3.0,3.0,3.0,3.0,6715.0
2015-02-20,3.15,3.15,3.15,3.15,3.15,1648.0
2015-02-23,3.3,3.3,3.3,3.3,3.3,6384.0
2015-02-24,3.45,3.45,3.15,3.15,3.15,36726.0
2015-02-25,3.3,3.3,3.0,3.2,3.2,54793.0
2015-02-26,,,,,,
2015-02-27,3.05,3.2,2.9,3.2,3.2,41824.0
2015-02-28,,,,,,
2015-03-02,3.5,3.5,3.45,3.5,3.5,86107.0
2015-03-03,,,,,,
2015-03-04,3.65,3.8,3.5,3.6,3.6,66248.0
2015-03-05,3.5,3.75,3.45,3.45,3.45,36491.0
2015-03-09,3.3,3.45,3.3,3.45,3.45,1581.0
2015-03-10,,,,,,
2015-03-11,3.5,3.55,3.35,3.4,3.4,16588.0
2015-03-12,,,,,,
2015-03-13,,,,,,
2015-03-16,3.15,3.15,3.15,3.15,3.15,2410.0
2015-03-17,,,,,,
2015-03-18,3.0,3.15,2.85,3.05,3.05,22499.0
2015-03-19,,,,,,
2015-03-20,,,,,,
2015-03-23,,,,,,
2015-03-24,,,,,,
2015-03-25,,,,,,
2015-03-26,,,,,,
2015-03-27,2.7,2.7,2.5,2.7,2.7,14489.0
2015-03-30,2.6,2.8,2.6,2.8,2.8,4716.0
2015-03-31,,,,,,
2015-04-01,2.85,3.0,2.85,3.0,3.0,3002.0
2015-04-06,3.1,3.15,3.0,3.05,3.05,20630.0
2015-04-07,,,,,,
2015-04-08,3.3,3.35,3.05,3.1,3.1,11941.0
2015-04-09,3.25,3.25,3.25,3.25,3.25,27731.0
2015-04-10,,,,,,
2015-04-13,,,,,,
2015-04-15,,,,,,
2015-04-16,,,,,,
2015-04-17,,,,,,
2015-04-20,3.85,4.0,3.85,3.9,3.9,82141.0
2015-04-21,,,,,,
2015-04-22,,,,,,
2015-04-23,,,,,,
2015-04-24,,,,,,
2015-04-27,,,,,,
2015-04-28,,,,,,
2015-04-29,,,,,,
2015-04-30,,,,,,
2015-05-04,,,,,,
2015-05-05,3.8,4.05,3.8,3.8,3.8,18703.0
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-05-08,,,,,,
2015-05-11,,,,,,
2015-05-12,,,,,,
2015-05-13,,,,,,
2015-05-14,3.25,3.55,3.25,3.35,3.35,2808.0
2015-05-15,3.2,3.45,3.2,3.45,3.45,4900.0
2015-05-18,3.35,3.6,3.3,3.4,3.4,10075.0
2015-05-19,3.35,3.35,3.25,3.25,3.25,7500.0
2015-05-20,3.1,3.1,3.1,3.1,3.1,100.0
2015-05-21,3.25,3.25,2.95,3.25,3.25,5120.0
2015-05-22,3.4,3.4,3.1,3.4,3.4,26935.0
2015-05-25,3.55,3.55,3.25,3.35,3.35,20472.0
2015-05-26,3.5,3.5,3.25,3.5,3.5,23824.0
2015-05-27,3.6,3.65,3.5,3.5,3.5,24639.0
2015-05-28,3.65,3.65,3.5,3.5,3.5,6309.0
2015-05-29,3.55,3.6,3.45,3.5,3.5,7520.0
2015-06-01,3.35,3.4,3.35,3.4,3.4,3240.0
2015-06-02,3.3,3.3,3.25,3.25,3.25,36087.0
2015-06-03,3.2,3.2,3.15,3.2,3.2,3825.0
2015-06-04,3.2,3.2,3.15,3.2,3.2,8121.0
2015-06-05,3.2,3.2,3.05,3.05,3.05,2380.0
2015-06-08,,,,,,
2015-06-09,3.0,3.0,2.9,2.9,2.9,2003.0
2015-06-10,2.8,3.0,2.8,2.85,2.85,3685.0
2015-06-11,2.85,2.95,2.75,2.75,2.75,7638.0
2015-06-12,2.7,2.85,2.65,2.85,2.85,2886.0
2015-06-15,2.85,2.9,2.85,2.9,2.9,5375.0
2015-06-16,,,,,,
2015-06-17,2.85,2.95,2.85,2.85,2.85,2850.0
2015-06-18,,,,,,
2015-06-19,2.85,3.05,2.85,3.05,3.05,3299.0
2015-06-22,,,,,,
2015-06-23,,,,,,
2015-06-24,3.5,3.5,3.4,3.5,3.5,7401.0
2015-06-25,3.35,3.6,3.35,3.35,3.35,5802.0
2015-06-26,,,,,,
2015-06-29,,,,,,
2015-06-30,,,,,,
2015-07-01,,,,,,
2015-07-02,,,,,,
2015-07-03,3.75,3.95,3.75,3.85,3.85,35860.0
2015-07-06,3.85,4.2,3.6,4.0,4.0,12036.0
2015-07-07,,,,,,
2015-07-08,,,,,,
2015-07-09,,,,,,
2015-07-10,,,,,,
2015-07-13,,,,,,
2015-07-14,4.7,5.0,4.55,4.7,4.7,41522.0
2015-07-15,,,,,,
2015-07-16,,,,,,
2015-07-17,,,,,,
2015-07-20,,,,,,
2015-07-21,4.0,4.5,4.0,4.4,4.4,31906.0
2015-07-22,,,,,,
2015-07-23,,,,,,
2015-07-24,5.4,5.4,5.25,5.4,5.4,74499.0
2015-07-27,,,,,,
2015-07-28,,,,,,
2015-07-29,6.05,6.15,6.05,6.15,6.15,43300.0
2015-07-30,,,,,,
2015-07-31,,,,,,
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,,,,,,
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-12,,,,,,
2015-08-13,,,,,,
2015-08-14,,,,,,
2015-08-17,,,,,,
2015-08-18,,,,,,
2015-08-19,,,,,,
2015-08-20,,,,,,
2015-08-21,,,,,,
2015-08-24,,,,,,
2015-08-25,6.9,7.45,6.9,6.9,6.9,27855.0
2015-08-26,6.6,6.95,6.6,6.7,6.7,275416.0
2015-08-27,7.0,7.0,6.7,7.0,7.0,32139.0
2015-08-28,7.3,7.35,7.1,7.35,7.35,26273.0
2015-08-31,7.1,7.7,7.0,7.2,7.2,37194.0
2015-09-01,6.85,7.2,6.85,7.05,7.05,32362.0
2015-09-02,6.9,7.3,6.7,6.95,6.95,51199.0
2015-09-03,6.8,7.25,6.7,7.25,7.25,31981.0
2015-09-04,7.6,7.6,7.0,7.6,7.6,31329.0
2015-09-07,7.45,7.95,7.45,7.95,7.95,23438.0
2015-09-08,8.3,8.3,7.6,8.3,8.3,110736.0
2015-09-09,8.7,8.7,8.3,8.7,8.7,26900.0
2015-09-10,9.1,9.1,8.7,9.1,9.1,70175.0
2015-09-11,9.55,9.55,9.55,9.55,9.55,22861.0
2015-09-14,10.0,10.0,9.7,10.0,10.0,58432.0
2015-09-15,10.5,10.5,10.5,10.5,10.5,8441.0
2015-09-16,11.0,11.0,11.0,11.0,11.0,30765.0
2015-09-18,11.0,11.55,11.0,11.55,11.55,3050.0
2015-09-21,12.1,12.1,12.1,12.1,12.1,16307.0
2015-09-22,12.7,12.7,12.5,12.7,12.7,113233.0
2015-09-23,,,,,,
2015-09-24,,,,,,
2015-09-28,,,,,,
2015-09-29,,,,,,
2015-09-30,15.8,15.8,15.75,15.8,15.8,68893.0
2015-10-01,16.549999,16.549999,15.55,16.549999,16.549999,352160.0
2015-10-05,17.35,17.35,16.950001,17.35,17.35,203526.0
2015-10-06,,,,,,
2015-10-07,18.200001,18.4,17.1,17.1,17.1,86270.0
2015-10-08,16.25,16.25,16.25,16.25,16.25,53918.0
2015-10-09,15.45,15.45,15.45,15.45,15.45,16755.0
2015-10-12,14.7,16.200001,14.7,16.200001,16.200001,92318.0
2015-10-13,,,,,,
2015-10-14,,,,,,
2015-10-15,,,,,,
2015-10-16,19.6,19.6,17.799999,19.6,19.6,319504.0
2015-10-19,,,,,,
2015-10-20,,,,,,
2015-10-21,,,,,,
2015-10-23,19.4,19.450001,18.6,19.450001,19.450001,81250.0
2015-10-26,,,,,,
2015-10-27,21.1,21.4,20.4,21.4,21.4,114872.0
2015-10-28,,,,,,
2015-10-29,,,,,,
2015-10-30,,,,,,
2015-11-02,,,,,,
2015-11-03,,,,,,
2015-11-04,,,,,,
2015-11-05,19.75,19.75,19.450001,19.450001,19.450001,14961.0
2015-11-06,,,,,,
2015-11-09,,,,,,
2015-11-10,,,,,,
2015-11-13,17.9,17.9,16.4,16.4,16.4,96243.0
2015-11-16,,,,,,
2015-11-17,14.85,16.35,14.85,16.35,16.35,61900.0
2015-11-18,,,,,,
2015-11-19,15.6,16.25,15.1,15.35,15.35,54840.0
2015-11-20,,,,,,
2015-11-23,14.05,15.3,13.95,14.1,14.1,82063.0
2015-11-24,,,,,,
2015-11-26,13.6,14.25,13.6,14.25,14.25,77518.0
2015-11-27,14.95,14.95,14.95,14.95,14.95,11043.0
2015-11-30,,,,,,
2015-12-01,16.4,16.4,16.4,16.4,16.4,5013.0
2015-12-02,,,,,,
2015-12-03,,,,,,
2015-12-04,,,,,,
2015-12-07,19.85,19.85,18.049999,18.200001,18.200001,128981.0
2015-12-08,,,,,,
2015-12-09,,,,,,
2015-12-10,,,,,,
2015-12-11,,,,,,
2015-12-14,,,,,,
2015-12-15,,,,,,
2015-12-16,,,,,,
2015-12-17,,,,,,
2015-12-18,,,,,,
2015-12-21,,,,,,
2015-12-22,,,,,,
2015-12-23,,,,,,
2015-12-24,19.299999,19.75,18.200001,18.200001,18.200001,90654.0
2015-12-28,18.200001,19.0,17.299999,17.35,17.35,103934.0
2015-12-29,17.35,17.35,16.5,16.6,16.6,88135.0
2015-12-30,17.25,17.25,15.8,16.9,16.9,84193.0
2015-12-31,17.049999,17.700001,16.549999,17.549999,17.549999,87385.0
2016-01-01,17.4,18.049999,16.549999,17.450001,17.450001,67008.0
2016-01-04,18.5,18.5,16.9,17.049999,17.049999,100846.0
2016-01-05,17.85,17.85,16.4,17.15,17.15,52848.0
2016-01-06,16.25,18.15,16.049999,17.049999,17.049999,98964.0
2016-01-07,16.85,18.200001,15.95,16.75,16.75,112494.0
2016-01-08,16.799999,17.75,16.5,17.0,17.0,64934.0
2016-01-11,17.549999,17.75,16.799999,17.049999,17.049999,65594.0
2016-01-12,16.85,17.5,16.6,17.0,17.0,56065.0
2016-01-13,17.1,17.700001,15.35,16.85,16.85,156591.0
2016-01-14,16.950001,17.4,16.0,16.299999,16.299999,155345.0
2016-01-15,16.200001,16.9,15.5,16.049999,16.049999,87466.0
2016-01-18,16.700001,16.700001,14.45,14.45,14.45,113343.0
2016-01-19,,,,,,
2016-01-20,16.0,16.4,15.4,15.8,15.8,115577.0
2016-01-21,15.7,16.85,15.7,16.15,16.15,107634.0
2016-01-22,16.15,17.0,15.5,15.8,15.8,99880.0
2016-01-25,16.15,16.65,15.7,15.95,15.95,32055.0
2016-01-27,15.95,17.5,15.75,17.5,17.5,110731.0
2016-01-28,,,,,,
2016-01-29,20.450001,20.450001,17.549999,18.25,18.25,180860.0
2016-02-01,18.9,18.9,17.049999,17.25,17.25,64877.0
2016-02-02,17.0,17.35,16.25,16.450001,16.450001,42831.0
2016-02-03,,,,,,
2016-02-04,,,,,,
2016-02-05,16.6,16.65,16.0,16.299999,16.299999,35010.0
2016-02-08,16.5,17.85,16.5,17.450001,17.450001,62132.0
2016-02-09,17.700001,17.700001,16.0,16.25,16.25,81272.0
2016-02-10,16.200001,16.450001,15.55,16.0,16.0,60553.0
2016-02-11,,,,,,
2016-02-12,,,,,,
2016-02-15,16.950001,17.0,15.85,16.65,16.65,90898.0
2016-02-16,16.799999,16.799999,15.15,15.85,15.85,47772.0
2016-02-17,15.85,15.85,13.5,15.2,15.2,143630.0
2016-02-18,16.1,16.200001,15.15,15.4,15.4,106504.0
2016-02-19,15.5,15.75,14.65,15.05,15.05,40160.0
2016-02-22,15.0,15.65,14.05,14.85,14.85,31989.0
2016-02-23,15.55,15.55,14.65,15.05,15.05,38787.0
2016-02-24,,,,,,
2016-02-25,,,,,,
2016-02-26,,,,,,
2016-02-29,,,,,,
2016-03-01,,,,,,
2016-03-02,14.25,15.0,12.6,14.55,14.55,64061.0
2016-03-03,,,,,,
2016-03-04,15.5,15.7,14.8,15.3,15.3,56321.0
2016-03-08,15.3,15.3,15.3,15.3,15.3,0.0
2016-03-09,,,,,,
2016-03-10,,,,,,
2016-03-11,,,,,,
2016-03-14,15.15,18.1,15.15,17.0,17.0,350810.0
2016-03-15,,,,,,
2016-03-16,,,,,,
2016-03-17,,,,,,
2016-03-18,,,,,,
2016-03-21,19.25,19.85,18.0,18.200001,18.200001,185456.0
2016-03-22,,,,,,
2016-03-23,18.0,18.299999,17.4,18.15,18.15,76252.0
2016-03-28,,,,,,
2016-03-29,,,,,,
2016-03-30,,,,,,
2016-03-31,17.200001,17.200001,15.85,16.25,16.25,68403.0
2016-04-01,16.700001,16.85,15.45,16.65,16.65,47236.0
2016-04-04,17.5,17.5,16.299999,16.549999,16.549999,44250.0
2016-04-05,16.549999,16.75,15.35,16.299999,16.299999,67951.0
2016-04-06,,,,,,
2016-04-07,,,,,,
2016-04-08,,,,,,
2016-04-11,,,,,,
2016-04-12,,,,,,
2016-04-13,,,,,,
2016-04-18,16.299999,16.299999,16.299999,16.299999,16.299999,0.0
2016-04-20,,,,,,
2016-04-21,,,,,,
2016-04-22,,,,,,
2016-04-25,,,,,,
2016-04-26,15.6,16.049999,15.3,15.75,15.75,31644.0
2016-04-27,16.65,16.700001,15.1,15.9,15.9,53610.0
2016-04-28,16.0,16.0,15.5,15.55,15.55,35870.0
2016-04-29,15.6,15.8,15.3,15.6,15.6,19182.0
2016-05-02,15.6,15.95,15.45,15.55,15.55,31612.0
2016-05-03,15.5,15.95,15.4,15.55,15.55,33709.0
2016-05-04,16.0,16.0,15.0,15.65,15.65,84299.0
2016-05-05,15.4,15.85,15.2,15.5,15.5,96421.0
2016-05-06,15.35,15.8,15.3,15.55,15.55,29638.0
2016-05-09,15.45,15.8,15.45,15.55,15.55,70748.0
2016-05-10,,,,,,
2016-05-11,15.4,15.7,15.15,15.35,15.35,84800.0
2016-05-12,15.3,15.4,14.8,15.05,15.05,24444.0
2016-05-13,14.85,15.0,14.35,14.5,14.5,38439.0
2016-05-16,15.45,15.45,14.1,14.85,14.85,15911.0
2016-05-17,15.0,15.15,14.6,14.9,14.9,13973.0
2016-05-18,15.05,15.05,14.4,14.75,14.75,20420.0
2016-05-19,15.65,15.65,14.5,14.7,14.7,19950.0
2016-05-20,14.15,15.25,14.15,15.15,15.15,18005.0
2016-05-23,14.55,15.3,14.55,14.8,14.8,25034.0
2016-05-24,14.9,15.15,13.5,15.1,15.1,25138.0
2016-05-25,15.1,15.9,14.8,14.85,14.85,28449.0
2016-05-26,15.05,15.25,14.2,14.85,14.85,21208.0
2016-05-27,14.8,15.5,14.55,15.2,15.2,25253.0
2016-05-30,15.2,16.6,15.2,16.25,16.25,61802.0
2016-05-31,16.4,17.299999,14.85,15.25,15.25,69908.0
2016-06-01,15.65,15.65,14.7,14.9,14.9,17505.0
2016-06-02,15.0,15.1,14.0,14.5,14.5,134344.0
2016-06-03,14.15,14.45,13.2,13.45,13.45,142699.0
2016-06-06,14.2,14.65,12.8,14.5,14.5,84773.0
2016-06-07,14.55,15.5,14.35,14.95,14.95,29198.0
2016-06-08,15.0,15.55,14.8,15.4,15.4,44388.0
2016-06-09,15.35,16.200001,15.35,15.7,15.7,40455.0
2016-06-10,15.8,16.200001,15.6,15.9,15.9,47648.0
2016-06-13,15.65,16.0,15.0,15.25,15.25,39779.0
2016-06-14,15.45,16.0,14.15,15.1,15.1,44426.0
2016-06-15,15.0,15.35,14.5,14.95,14.95,46057.0
2016-06-16,14.95,14.95,14.15,14.45,14.45,68872.0
2016-06-17,14.05,14.9,14.05,14.55,14.55,24773.0
2016-06-20,14.55,14.55,13.5,14.0,14.0,162100.0
2016-06-21,14.2,14.5,13.8,14.0,14.0,35937.0
2016-06-22,14.3,15.35,14.0,14.9,14.9,61676.0
2016-06-23,15.15,15.35,14.35,14.8,14.8,29948.0
2016-06-24,14.4,14.75,13.05,14.6,14.6,64538.0
2016-06-27,14.1,15.2,14.05,14.45,14.45,42779.0
2016-06-28,,,,,,
2016-06-29,,,,,,
2016-06-30,15.35,15.9,15.0,15.35,15.35,63906.0
2016-07-01,15.35,15.55,14.3,15.05,15.05,167971.0
2016-07-04,14.8,15.45,14.6,15.4,15.4,27746.0
2016-07-05,15.45,15.45,14.5,15.0,15.0,19530.0
2016-07-07,15.0,15.4,14.8,15.05,15.05,20061.0
2016-07-08,15.25,15.35,14.8,15.2,15.2,24938.0
2016-07-11,15.1,15.5,14.2,15.1,15.1,65431.0
2016-07-12,15.15,15.25,14.7,15.0,15.0,16549.0
2016-07-13,15.0,18.0,14.25,14.7,14.7,59291.0
