Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,56.0,57.0,51.450001,52.25,50.927532,1200.0
2015-01-02,52.200001,56.0,51.849998,51.849998,50.537655,1225.0
2015-01-05,49.799999,53.0,49.799999,52.450001,51.122467,4328.0
2015-01-06,58.200001,58.200001,47.700001,51.299999,50.001575,2335.0
2015-01-07,51.0,51.0,50.049999,51.0,49.709167,1189.0
2015-01-08,51.0,54.900002,51.0,52.299999,50.976265000000005,5307.0
2015-01-09,51.0,53.700001,51.0,53.650002,52.292095,2058.0
2015-01-12,52.299999,53.700001,52.299999,53.700001,52.340832,210.0
2015-01-13,52.450001,53.799999,52.0,52.0,50.683857,2855.0
2015-01-14,53.650002,53.849998,52.5,53.25,51.902218,1260.0
2015-01-15,52.200001,52.349998,49.5,50.75,49.465496,14712.0
2015-01-16,52.5,53.5,51.200001,51.950001,50.635128,11398.0
2015-01-19,53.349998,54.400002,51.700001,53.099998,51.756015999999995,7690.0
2015-01-20,53.5,55.0,52.950001,54.75,53.364254,2827.0
2015-01-21,55.0,57.0,53.150002,54.950001,53.55919300000001,10882.0
2015-01-22,54.0,56.950001,54.0,56.450001,55.021229000000005,6488.0
2015-01-23,56.0,56.900002,54.25,55.299999,53.900332999999996,9435.0
2015-01-27,55.299999,61.299999,54.0,56.25,54.82629,23386.0
2015-01-28,56.400002,59.75,53.75,54.849998,53.461723,2958.0
2015-01-29,52.650002,65.800003,51.450001,64.0,62.380134999999996,73873.0
2015-01-30,67.900002,68.0,60.5,62.150002,60.576962,26210.0
2015-02-02,60.75,63.700001,58.099998,61.900002,60.333286,19000.0
2015-02-03,62.0,62.0,58.349998,60.0,58.481377,5697.0
2015-02-04,58.599998,62.0,51.75,55.400002,53.997803000000005,25026.0
2015-02-05,58.650002,61.0,57.0,57.900002,56.434528,11494.0
2015-02-06,61.349998,61.349998,56.099998,56.299999,54.875023,7605.0
2015-02-09,56.0,56.200001,55.299999,56.099998,54.680083999999994,4080.0
2015-02-10,57.950001,60.0,54.0,56.25,54.82629,8226.0
2015-02-11,55.049999,61.900002,55.049999,58.099998,56.629463,8225.0
2015-02-12,55.650002,58.0,55.650002,56.400002,54.972492,1632.0
2015-02-13,62.799999,62.799999,56.049999,56.450001,55.021229000000005,33358.0
2015-02-16,59.0,60.099998,58.0,60.0,58.481377,6517.0
2015-02-18,60.0,63.799999,56.049999,58.799999,57.311749,4499.0
2015-02-19,56.349998,60.0,56.150002,57.900002,56.434528,6965.0
2015-02-20,57.599998,57.599998,57.599998,57.599998,56.142117000000006,300.0
2015-02-23,59.950001,59.950001,57.0,57.549999,56.093388,5439.0
2015-02-24,60.950001,60.950001,56.5,58.799999,57.311749,464.0
2015-02-25,56.75,57.900002,55.25,56.700001,55.2649,2622.0
2015-02-26,59.900002,59.900002,54.549999,55.950001,54.533882,8941.0
2015-02-27,55.0,57.799999,54.349998,57.349998,55.898449,38524.0
2015-02-28,,,,,,
2015-03-02,57.049999,57.049999,55.099998,55.549999,54.14400500000001,5268.0
2015-03-03,55.599998,57.75,55.099998,55.799999,54.387676,10652.0
2015-03-04,56.200001,59.799999,55.049999,55.450001,54.046539,6483.0
2015-03-05,55.049999,55.200001,55.049999,55.049999,53.656662,1296.0
2015-03-09,55.049999,55.049999,54.25,54.25,52.876911,866.0
2015-03-10,54.049999,55.0,54.049999,54.950001,53.55919300000001,1760.0
2015-03-11,55.5,57.0,53.049999,53.099998,51.756015999999995,4735.0
2015-03-12,54.0,54.0,53.0,53.0,51.65855,2693.0
2015-03-13,54.099998,54.950001,53.549999,53.700001,52.340832,5151.0
2015-03-16,54.0,54.450001,52.599998,53.0,51.65855,3015.0
2015-03-17,53.049999,53.5,51.299999,52.799999,51.463612,5698.0
2015-03-18,52.049999,52.900002,51.950001,52.0,50.683857,8248.0
2015-03-19,51.0,53.5,51.0,53.049999,51.707279,9911.0
2015-03-20,52.25,54.0,52.25,53.0,51.65855,1017.0
2015-03-23,51.349998,52.0,51.049999,51.099998,49.806637,4238.0
2015-03-24,49.299999,53.0,49.299999,50.450001,49.173092,1924.0
2015-03-25,50.5,52.0,50.099998,50.450001,49.173092,515.0
2015-03-26,50.25,60.5,50.25,56.099998,54.680083999999994,14640.0
2015-03-27,60.5,61.0,53.049999,55.099998,53.705394999999996,7159.0
2015-03-30,55.049999,59.0,55.049999,57.950001,56.483265,112.0
2015-03-31,57.0,59.900002,55.200001,57.950001,56.483265,6889.0
2015-04-01,58.0,61.0,58.0,60.549999,59.017452,9300.0
2015-04-06,60.549999,62.849998,60.0,61.75,60.187084,5944.0
2015-04-07,63.0,63.0,59.299999,60.950001,59.40733,3839.0
2015-04-08,61.950001,63.0,59.200001,61.450001,59.894676000000004,8420.0
2015-04-09,61.25,63.900002,61.0,63.200001,61.600384,7055.0
2015-04-10,66.0,66.0,60.150002,60.650002,59.114925,9408.0
2015-04-13,61.700001,61.700001,59.099998,60.200001,58.676315,867.0
