Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,4.9,4.95,4.9,4.95,4.95,350.0
2015-01-02,4.95,5.4,4.95,5.0,5.0,6111.0
2015-01-05,5.5,5.5,5.5,5.5,5.5,355.0
2015-01-06,5.0,6.05,5.0,6.0,6.0,1205.0
2015-01-07,6.1,6.6,5.75,6.6,6.6,5692.0
2015-01-08,6.3,6.75,6.3,6.3,6.3,4530.0
2015-01-09,6.3,6.3,6.3,6.3,6.3,0.0
2015-01-12,6.0,6.25,6.0,6.0,6.0,1165.0
2015-01-13,6.25,6.25,5.75,5.75,5.75,2351.0
2015-01-14,5.55,6.0,5.5,5.55,5.55,4656.0
2015-01-15,5.8,5.8,5.45,5.6,5.6,734.0
2015-01-16,5.85,5.85,5.35,5.45,5.45,17328.0
2015-01-19,5.5,5.7,5.2,5.2,5.2,21171.0
2015-01-20,5.45,5.45,4.95,5.45,5.45,14128.0
2015-01-21,5.2,5.65,5.2,5.45,5.45,11339.0
2015-01-22,5.7,5.7,5.2,5.2,5.2,26101.0
2015-01-23,5.45,5.45,4.95,5.15,5.15,7061.0
2015-01-27,5.15,5.4,5.05,5.05,5.05,10130.0
2015-01-28,5.2,5.25,4.95,5.25,5.25,2262.0
2015-01-29,5.25,5.3,5.05,5.1,5.1,5328.0
2015-01-30,5.0,5.0,4.95,5.0,5.0,2168.0
2015-02-02,5.0,5.0,4.75,4.75,4.75,3042.0
2015-02-03,4.95,4.95,4.55,4.9,4.9,2366.0
2015-02-04,5.1,5.1,4.9,5.05,5.05,952.0
2015-02-05,4.8,5.25,4.8,5.25,5.25,1702.0
2015-02-06,5.05,5.25,5.05,5.25,5.25,680.0
2015-02-09,5.5,5.5,5.0,5.5,5.5,434.0
2015-02-10,5.25,5.5,5.25,5.25,5.25,915.0
2015-02-11,5.25,5.4,5.05,5.2,5.2,1291.0
2015-02-12,5.2,5.2,4.95,4.95,4.95,2705.0
2015-02-13,5.1,5.15,5.1,5.15,5.15,1200.0
2015-02-16,5.15,5.15,4.9,4.9,4.9,422.0
2015-02-18,4.9,5.1,4.7,4.7,4.7,20531.0
2015-02-19,4.7,4.7,4.5,4.5,4.5,11968.0
2015-02-20,4.3,4.3,4.3,4.3,4.3,2155.0
2015-02-23,4.1,4.5,4.1,4.5,4.5,27528.0
2015-02-24,4.4,4.7,4.4,4.55,4.55,12076.0
2015-02-25,4.35,4.65,4.35,4.5,4.5,25402.0
2015-02-26,4.6,4.7,4.3,4.3,4.3,11601.0
2015-02-27,4.5,4.5,4.1,4.45,4.45,14851.0
2015-02-28,,,,,,
2015-03-02,4.6,4.8,4.4,4.5,4.5,6220.0
2015-03-03,4.55,4.7,4.55,4.7,4.7,8940.0
2015-03-04,4.85,4.9,4.5,4.85,4.85,43106.0
2015-03-05,4.65,5.05,4.65,5.05,5.05,2745.0
2015-03-09,5.05,5.3,5.05,5.3,5.3,1184.0
2015-03-10,5.1,5.55,5.1,5.55,5.55,17846.0
2015-03-11,5.7,5.75,5.4,5.45,5.45,13601.0
2015-03-12,5.7,5.7,5.4,5.7,5.7,11777.0
2015-03-13,5.8,5.95,5.6,5.95,5.95,12431.0
2015-03-16,5.7,6.2,5.7,6.2,6.2,9193.0
2015-03-17,6.5,6.5,6.5,6.5,6.5,770.0
2015-03-18,6.8,6.8,6.8,6.8,6.8,200.0
2015-03-19,7.1,7.1,7.1,7.1,7.1,2962.0
2015-03-20,7.45,7.45,7.45,7.45,7.45,1614.0
2015-03-23,7.8,7.8,7.45,7.8,7.8,16057.0
2015-03-24,8.1,8.15,8.1,8.15,8.15,5021.0
2015-03-25,8.55,8.55,7.8,8.55,8.55,12237.0
2015-03-26,8.8,8.95,8.15,8.15,8.15,42020.0
2015-03-27,7.75,8.0,7.75,7.75,7.75,3446.0
2015-03-30,7.4,7.7,7.4,7.7,7.7,9700.0
2015-03-31,7.7,7.7,7.35,7.35,7.35,4827.0
2015-04-01,7.7,7.7,7.0,7.0,7.0,4490.0
2015-04-06,7.0,7.35,7.0,7.0,7.0,8585.0
2015-04-07,7.0,7.35,6.65,6.75,6.75,14821.0
2015-04-08,6.8,7.05,6.45,7.0,7.0,16493.0
2015-04-09,7.05,7.1,6.65,7.1,7.1,3228.0
2015-04-10,6.9,6.9,6.85,6.85,6.85,2800.0
2015-04-13,7.0,7.0,6.6,6.65,6.65,1947.0
2015-04-15,6.65,6.95,6.65,6.95,6.95,2937.0
2015-04-16,6.95,6.95,6.65,6.65,6.65,3022.0
2015-04-17,6.4,6.45,6.35,6.45,6.45,3550.0
2015-04-20,6.45,6.75,6.35,6.75,6.75,1950.0
2015-04-21,7.05,7.05,6.85,7.05,7.05,450.0
2015-04-22,6.8,6.8,6.8,6.8,6.8,300.0
2015-04-23,6.7,6.7,6.7,6.7,6.7,1100.0
2015-04-24,6.4,6.4,6.4,6.4,6.4,25.0
2015-04-27,6.4,6.4,6.4,6.4,6.4,0.0
2015-04-28,6.7,6.7,6.7,6.7,6.7,20.0
2015-04-29,6.7,6.7,6.7,6.7,6.7,0.0
2015-04-30,6.7,6.7,6.7,6.7,6.7,0.0
2015-05-04,6.7,6.7,6.5,6.5,6.5,1307.0
2015-05-05,6.5,6.5,6.5,6.5,6.5,66.0
2015-05-06,6.5,6.5,6.45,6.45,6.45,1667.0
2015-05-07,6.2,6.2,6.15,6.15,6.15,205.0
2015-05-08,6.15,6.15,6.15,6.15,6.15,0.0
2015-05-11,5.85,6.15,5.85,6.15,6.15,395.0
2015-05-12,5.85,6.4,5.85,5.85,5.85,1837.0
2015-05-13,5.85,5.85,5.85,5.85,5.85,0.0
2015-05-14,5.85,5.85,5.65,5.65,5.65,65.0
2015-05-15,5.55,5.55,5.55,5.55,5.55,48.0
2015-05-18,5.55,5.55,5.55,5.55,5.55,0.0
2015-05-19,5.6,5.6,5.6,5.6,5.6,145.0
2015-05-20,5.85,5.85,5.85,5.85,5.85,247.0
2015-05-21,5.6,5.7,5.6,5.7,5.7,1288.0
2015-05-22,5.7,5.95,5.7,5.95,5.95,1911.0
2015-05-25,5.9,5.9,5.8,5.9,5.9,3100.0
2015-05-26,5.75,5.75,5.75,5.75,5.75,35.0
2015-05-27,5.75,5.75,5.5,5.5,5.5,6160.0
2015-05-28,5.25,5.25,5.25,5.25,5.25,3.0
2015-05-29,5.0,5.0,5.0,5.0,5.0,3070.0
2015-06-01,5.25,5.25,4.75,5.1,5.1,20608.0
2015-06-02,4.85,5.25,4.85,5.25,5.25,1716.0
2015-06-03,5.0,5.4,5.0,5.05,5.05,1700.0
2015-06-04,5.05,5.15,4.8,4.8,4.8,6018.0
2015-06-05,4.55,4.6,4.55,4.55,4.55,3451.0
2015-06-08,4.3,4.95,4.3,4.5,4.5,386.0
2015-06-09,4.9,4.95,4.9,4.95,4.95,7293.0
2015-06-10,5.35,5.4,4.55,4.85,4.85,17765.0
2015-06-11,4.95,5.25,4.6,5.05,5.05,1618.0
2015-06-12,4.9,4.9,4.55,4.85,4.85,1820.0
2015-06-15,4.4,4.9,4.4,4.55,4.55,3312.0
2015-06-16,4.5,4.85,4.5,4.7,4.7,5930.0
2015-06-17,4.55,4.85,4.3,4.7,4.7,1801.0
2015-06-18,4.45,4.8,4.45,4.55,4.55,2161.0
2015-06-19,4.3,4.7,4.1,4.5,4.5,13219.0
2015-06-22,4.8,4.9,4.75,4.75,4.75,3356.0
2015-06-23,4.4,5.2,4.4,4.7,4.7,8221.0
2015-06-24,5.1,5.1,4.85,5.0,5.0,2758.0
2015-06-25,5.45,5.45,4.8,5.1,5.1,3031.0
2015-06-26,5.3,5.3,4.9,4.9,4.9,1172.0
2015-06-29,5.3,5.3,4.55,5.25,5.25,1274.0
2015-06-30,5.7,5.75,5.0,5.75,5.75,8620.0
2015-07-01,6.3,6.3,6.3,6.3,6.3,5127.0
2015-07-02,6.6,6.6,6.6,6.6,6.6,963.0
2015-07-03,6.9,6.9,6.9,6.9,6.9,3476.0
2015-07-06,7.2,7.2,7.2,7.2,7.2,2100.0
2015-07-07,7.2,7.55,7.2,7.55,7.55,1505.0
2015-07-08,7.9,7.9,7.6,7.9,7.9,26366.0
2015-07-09,8.25,8.25,7.7,7.75,7.75,29468.0
2015-07-10,8.1,8.1,7.4,7.85,7.85,18825.0
2015-07-13,7.85,7.85,7.5,7.5,7.5,4001.0
2015-07-14,7.15,7.4,7.15,7.15,7.15,5778.0
2015-07-15,6.8,6.8,6.8,6.8,6.8,1251.0
2015-07-16,6.5,7.1,6.5,6.5,6.5,32625.0
2015-07-17,6.2,6.2,6.2,6.2,6.2,2052.0
2015-07-20,5.9,6.35,5.9,5.9,5.9,23987.0
2015-07-21,5.65,6.15,5.65,6.15,6.15,2300.0
2015-07-22,5.9,6.45,5.9,6.45,6.45,2250.0
2015-07-23,6.15,6.75,6.15,6.15,6.15,5000.0
2015-07-24,6.2,6.2,5.9,6.0,6.0,3205.0
2015-07-27,5.7,6.0,5.7,5.7,5.7,6227.0
2015-07-28,5.55,5.9,5.5,5.55,5.55,3267.0
2015-07-29,5.55,5.55,5.4,5.4,5.4,13734.0
2015-07-30,5.65,5.65,5.65,5.65,5.65,2000.0
2015-07-31,5.9,5.9,5.4,5.4,5.4,27330.0
2015-08-03,5.15,5.25,5.15,5.2,5.2,30121.0
2015-08-04,5.2,5.4,4.95,5.05,5.05,37736.0
2015-08-05,4.95,5.3,4.95,5.15,5.15,27281.0
2015-08-06,5.3,5.3,5.0,5.1,5.1,109599.0
2015-08-07,5.1,5.1,4.95,5.05,5.05,72431.0
2015-08-10,5.2,5.2,5.0,5.1,5.1,8517.0
2015-08-11,4.85,5.05,4.85,5.0,5.0,770.0
2015-08-12,4.75,4.9,4.75,4.9,4.9,1100.0
2015-08-13,5.1,5.1,4.7,4.8,4.8,10885.0
2015-08-14,4.8,4.8,4.65,4.7,4.7,2385.0
2015-08-17,4.7,4.7,4.55,4.7,4.7,4917.0
2015-08-18,4.9,4.9,4.5,4.5,4.5,4826.0
2015-08-19,4.5,4.7,4.4,4.55,4.55,7570.0
2015-08-20,4.6,4.75,4.55,4.75,4.75,17219.0
2015-08-21,4.75,4.95,4.75,4.85,4.85,4260.0
2015-08-24,4.65,4.65,4.65,4.65,4.65,7060.0
2015-08-25,4.85,4.85,4.45,4.6,4.6,25987.0
2015-08-26,4.4,4.6,4.4,4.4,4.4,2665.0
2015-08-27,4.25,4.5,4.2,4.25,4.25,2354.0
2015-08-28,4.45,4.45,4.15,4.15,4.15,2774.0
2015-08-31,4.35,4.35,4.15,4.35,4.35,10415.0
2015-09-01,4.15,4.35,4.15,4.3,4.3,1200.0
2015-09-02,4.3,4.3,4.3,4.3,4.3,0.0
2015-09-03,4.35,4.35,4.25,4.3,4.3,2100.0
2015-09-04,4.3,4.3,4.0,4.25,4.25,400.0
2015-09-07,4.25,4.25,3.85,4.15,4.15,1006.0
2015-09-08,4.15,4.15,4.15,4.15,4.15,0.0
2015-09-09,3.8,4.25,3.8,3.85,3.85,4330.0
2015-09-10,4.1,4.2,3.85,4.2,4.2,7206.0
2015-09-11,4.6,4.6,3.9,3.95,3.95,24163.0
2015-09-14,4.0,4.0,3.7,3.9,3.9,26849.0
2015-09-15,3.8,4.0,3.7,4.0,4.0,6888.0
2015-09-16,3.95,4.0,3.7,3.9,3.9,4010.0
2015-09-18,3.9,4.15,3.6,4.0,4.0,21184.0
2015-09-21,3.85,3.85,3.85,3.85,3.85,2000.0
2015-09-22,4.0,4.0,3.75,3.8,3.8,368.0
2015-09-23,3.95,4.05,3.7,3.8,3.8,125114.0
2015-09-24,4.0,4.0,3.75,3.8,3.8,1720.0
2015-09-28,3.8,4.0,3.7,3.7,3.7,1602.0
2015-09-29,3.7,3.9,3.5,3.65,3.65,17089.0
2015-09-30,3.85,4.0,3.85,3.95,3.95,18549.0
2015-10-01,3.9,3.95,3.7,3.7,3.7,1406.0
2015-10-05,3.7,4.0,3.55,3.75,3.75,12553.0
2015-10-06,4.0,4.5,3.1,3.85,3.85,197366.0
2015-10-07,4.45,4.45,3.75,3.75,3.75,25898.0
2015-10-08,3.95,3.95,3.6,3.75,3.75,6440.0
2015-10-09,3.9,3.95,3.2,3.6,3.6,17128.0
