Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,12.2,13.1,12.05,12.6,12.6,1766405.0
2015-01-02,12.6,13.0,12.45,12.65,12.65,1895041.0
2015-01-05,12.6,12.8,12.15,12.25,12.25,1381483.0
2015-01-06,12.1,12.3,11.55,11.7,11.7,1136650.0
2015-01-07,11.6,12.4,11.6,12.1,12.1,1714400.0
2015-01-08,12.25,12.45,11.9,12.2,12.2,865433.0
2015-01-09,12.3,12.75,12.15,12.25,12.25,1377016.0
2015-01-12,12.6,13.1,12.35,12.75,12.75,1885735.0
2015-01-13,12.9,13.5,12.5,12.75,12.75,2875020.0
2015-01-14,12.75,13.1,12.35,12.45,12.45,1050784.0
2015-01-15,12.85,12.95,12.45,12.55,12.55,1344467.0
2015-01-16,12.6,12.75,12.0,12.25,12.25,1527317.0
2015-01-19,12.25,12.5,11.8,11.95,11.95,1613471.0
2015-01-20,11.95,12.15,11.05,11.4,11.4,2063746.0
2015-01-21,11.35,12.5,11.25,12.25,12.25,2496183.0
2015-01-22,12.35,12.7,12.05,12.25,12.25,1134259.0
2015-01-23,12.3,12.6,11.5,12.1,12.1,1165244.0
2015-01-27,12.1,13.25,12.1,12.95,12.95,3900548.0
2015-01-28,13.05,13.85,12.65,13.5,13.5,5085836.0
2015-01-29,13.5,13.75,13.0,13.1,13.1,2133070.0
2015-01-30,13.3,13.55,12.9,13.35,13.35,2123180.0
2015-02-02,13.3,14.2,13.05,14.05,14.05,5588348.0
2015-02-03,14.25,14.7,13.95,14.3,14.3,6394268.0
2015-02-04,14.4,14.5,13.55,13.7,13.7,2135431.0
2015-02-05,13.7,14.25,13.15,13.45,13.45,1564387.0
2015-02-06,13.5,13.9,12.8,13.65,13.65,2022279.0
2015-02-09,13.55,14.0,13.1,13.2,13.2,1819077.0
2015-02-10,13.05,13.45,12.8,13.05,13.05,1140316.0
2015-02-11,13.0,13.6,12.95,13.4,13.4,974258.0
2015-02-12,13.4,13.75,13.1,13.35,13.35,813214.0
2015-02-13,13.3,13.75,13.3,13.45,13.45,855729.0
2015-02-16,13.25,14.0,13.05,13.7,13.7,1927030.0
2015-02-18,13.7,14.15,13.6,14.0,14.0,2338968.0
2015-02-19,14.1,15.4,14.05,15.15,15.15,7614331.0
2015-02-20,15.3,15.75,15.0,15.2,15.2,4077955.0
2015-02-23,15.25,15.7,14.55,14.65,14.65,2777088.0
2015-02-24,14.9,15.25,14.7,14.85,14.85,1836777.0
2015-02-25,15.05,15.05,14.1,14.25,14.25,1147217.0
2015-02-26,14.35,14.75,14.05,14.45,14.45,1252145.0
2015-02-27,14.65,14.65,13.95,14.05,14.05,1050082.0
2015-02-28,,,,,,
2015-03-02,14.45,14.6,13.95,14.3,14.3,1570717.0
2015-03-03,14.0,15.0,13.95,14.75,14.75,4250842.0
2015-03-04,14.75,15.35,14.2,14.35,14.35,5059237.0
2015-03-05,14.4,14.6,14.15,14.35,14.35,1035844.0
2015-03-09,14.35,14.6,14.0,14.15,14.15,3168238.0
2015-03-10,14.35,14.55,13.85,14.05,14.05,2401179.0
2015-03-11,14.1,14.6,14.05,14.15,14.15,2318633.0
2015-03-12,14.2,14.45,14.0,14.05,14.05,1939418.0
2015-03-13,14.2,14.2,13.2,13.35,13.35,2265807.0
2015-03-16,13.5,13.55,12.9,13.15,13.15,1357869.0
2015-03-17,13.35,13.4,12.95,13.2,13.2,862419.0
2015-03-18,13.2,13.45,12.6,12.8,12.8,1325709.0
2015-03-19,13.05,13.1,11.8,11.9,11.9,5865802.0
2015-03-20,11.9,12.45,11.75,11.85,11.85,1718938.0
2015-03-23,11.85,12.0,11.55,11.65,11.65,716948.0
2015-03-24,11.55,11.8,10.7,11.15,11.15,1674894.0
2015-03-25,11.05,11.4,10.5,10.75,10.75,1386691.0
2015-03-26,10.65,11.15,10.25,10.8,10.8,1950225.0
2015-03-27,11.2,11.3,10.75,11.1,11.1,1010662.0
2015-03-30,11.2,12.35,11.2,12.05,12.05,1596256.0
2015-03-31,12.3,12.7,12.05,12.1,12.1,1170593.0
2015-04-01,12.2,12.45,11.95,12.1,12.1,793910.0
2015-04-06,12.1,12.35,12.05,12.2,12.2,499311.0
2015-04-07,12.3,12.45,12.0,12.25,12.25,743069.0
2015-04-08,12.25,13.15,12.0,12.9,12.9,2038049.0
2015-04-09,13.1,13.5,12.8,13.2,13.2,2437239.0
2015-04-10,13.2,13.4,13.05,13.25,13.25,865495.0
2015-04-13,13.45,13.85,13.2,13.3,13.3,802999.0
2015-04-15,13.3,13.85,13.05,13.2,13.2,1781408.0
2015-04-16,,,,,,
2015-04-17,13.25,13.3,13.05,13.1,13.1,542231.0
2015-04-20,,,,,,
2015-04-21,12.6,12.65,12.3,12.5,12.5,424453.0
2015-04-22,12.7,12.7,12.1,12.35,12.35,459415.0
2015-04-23,12.5,12.65,12.1,12.4,12.4,457323.0
2015-04-24,12.25,12.6,11.6,11.75,11.75,614371.0
2015-04-27,12.0,12.0,11.2,11.35,11.35,752390.0
2015-04-28,11.4,11.75,11.3,11.55,11.55,363969.0
2015-04-29,11.5,11.75,11.15,11.25,11.25,651859.0
2015-04-30,,,,,,
2015-05-04,11.3,11.3,11.3,11.3,11.3,0.0
2015-05-05,,,,,,
2015-05-06,12.2,12.25,11.3,11.55,11.55,827359.0
2015-05-07,,,,,,
2015-05-08,11.35,11.6,11.35,11.4,11.4,436647.0
2015-05-11,11.5,11.65,11.4,11.45,11.45,307859.0
2015-05-12,,,,,,
2015-05-13,11.0,11.25,10.9,11.1,11.1,492244.0
2015-05-14,11.05,11.2,10.7,11.05,11.05,311320.0
2015-05-15,11.15,11.4,11.05,11.2,11.2,349020.0
2015-05-18,,,,,,
2015-05-19,,,,,,
2015-05-20,11.4,11.9,11.3,11.6,11.6,693290.0
2015-05-21,11.7,12.2,11.45,11.55,11.55,525929.0
2015-05-22,11.75,12.8,11.4,12.6,12.6,2096568.0
2015-05-25,,,,,,
2015-05-26,,,,,,
2015-05-27,12.15,12.3,12.1,12.25,12.25,225095.0
2015-05-28,12.2,12.35,11.9,11.95,11.95,296172.0
2015-05-29,,,,,,
2015-06-01,,,,,,
2015-06-02,,,,,,
2015-06-03,12.2,12.4,11.0,11.4,11.4,872428.0
2015-06-04,,,,,,
2015-06-05,11.3,11.55,11.15,11.2,11.2,355586.0
2015-06-08,11.15,11.4,11.15,11.2,11.2,172339.0
2015-06-09,,,,,,
2015-06-10,,,,,,
2015-06-11,11.35,11.5,11.1,11.15,11.15,291432.0
2015-06-12,,,,,,
2015-06-15,,,,,,
2015-06-16,,,,,,
2015-06-17,11.1,11.1,10.85,10.95,10.95,238271.0
2015-06-18,,,,,,
2015-06-19,,,,,,
2015-06-22,,,,,,
2015-06-23,12.1,13.35,12.05,13.25,13.25,2318164.0
2015-06-24,13.25,13.5,12.6,12.75,12.75,1303365.0
2015-06-25,12.55,13.1,12.3,12.8,12.8,611128.0
2015-06-26,,,,,,
2015-06-29,,,,,,
2015-06-30,,,,,,
2015-07-01,,,,,,
2015-07-02,,,,,,
2015-07-03,,,,,,
2015-07-06,,,,,,
2015-07-07,,,,,,
2015-07-08,15.05,15.65,14.8,15.0,15.0,1899748.0
2015-07-09,,,,,,
2015-07-10,,,,,,
2015-07-13,,,,,,
2015-07-14,,,,,,
2015-07-15,,,,,,
2015-07-16,15.6,15.85,15.05,15.4,15.4,1553065.0
2015-07-17,,,,,,
2015-07-20,,,,,,
2015-07-21,16.700001,17.0,15.8,15.95,15.95,2171320.0
2015-07-22,,,,,,
2015-07-23,,,,,,
2015-07-24,,,,,,
2015-07-27,16.299999,16.4,16.0,16.1,16.1,1306731.0
2015-07-28,,,,,,
2015-07-29,16.700001,17.700001,16.6,17.200001,17.200001,4113953.0
2015-07-30,,,,,,
2015-07-31,,,,,,
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,16.75,17.6,16.75,17.15,17.15,2022684.0
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-12,16.549999,16.799999,15.75,15.8,15.8,1494129.0
2015-08-13,16.0,16.35,14.9,15.15,15.15,1611946.0
2015-08-14,15.25,15.65,14.9,15.5,15.5,805297.0
2015-08-17,15.7,16.1,15.2,15.75,15.75,724637.0
2015-08-18,16.200001,16.9,16.0,16.700001,16.700001,1199108.0
2015-08-19,16.5,16.9,16.200001,16.450001,16.450001,841689.0
2015-08-20,16.450001,17.299999,16.450001,16.6,16.6,1925249.0
2015-08-21,16.35,16.450001,15.7,16.35,16.35,997584.0
2015-08-24,15.8,16.0,13.8,14.4,14.4,1887415.0
2015-08-25,14.0,15.0,12.8,13.95,13.95,2775861.0
2015-08-26,13.95,14.75,13.75,14.25,14.25,1395835.0
2015-08-27,14.7,14.9,14.4,14.5,14.5,1062050.0
2015-08-28,14.8,17.200001,14.65,16.25,16.25,4926929.0
2015-08-31,16.35,16.549999,15.85,16.049999,16.049999,965372.0
2015-09-01,16.049999,16.049999,15.25,15.6,15.6,974107.0
2015-09-02,15.55,15.9,14.75,15.0,15.0,1070178.0
2015-09-03,15.05,15.7,15.05,15.6,15.6,831526.0
2015-09-04,15.7,15.7,14.85,15.0,15.0,976107.0
2015-09-07,15.3,15.55,14.2,14.4,14.4,767383.0
2015-09-08,14.5,15.15,14.15,15.0,15.0,719266.0
2015-09-09,15.5,15.55,14.9,15.05,15.05,1179196.0
2015-09-10,14.9,15.25,14.65,15.1,15.1,515894.0
2015-09-11,15.15,15.55,15.0,15.2,15.2,513990.0
2015-09-14,15.2,15.8,15.2,15.65,15.65,376472.0
2015-09-15,15.75,15.75,15.15,15.3,15.3,267767.0
2015-09-16,15.6,15.75,15.15,15.25,15.25,389671.0
2015-09-18,15.25,17.0,13.95,15.85,15.85,52316463.0
2015-09-21,15.9,16.25,15.5,16.15,16.15,983504.0
2015-09-22,16.450001,16.450001,15.35,15.55,15.55,869006.0
2015-09-23,15.1,15.95,15.1,15.8,15.8,829856.0
2015-09-24,15.8,16.0,15.6,15.75,15.75,643167.0
2015-09-28,15.75,16.299999,15.25,15.4,15.4,1014113.0
2015-09-29,15.1,15.45,15.1,15.25,15.25,492951.0
2015-09-30,15.55,15.7,15.05,15.15,15.15,974332.0
2015-10-01,15.35,15.4,15.1,15.2,15.2,969623.0
