Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,0.4,0.4,0.35,0.35,0.35,356897.0
2015-09-23,,,,,,
2015-09-24,,,,,,
2015-09-28,,,,,,
2015-09-29,,,,,,
2015-09-30,,,,,,
2015-10-01,,,,,,
2015-10-05,,,,,,
2015-10-06,,,,,,
2015-10-07,,,,,,
2015-10-08,0.6,0.6,0.55,0.55,0.55,880120.0
2015-10-09,,,,,,
2015-10-12,,,,,,
2015-10-13,,,,,,
2015-10-14,,,,,,
2015-10-15,,,,,,
2015-10-16,0.4,0.4,0.35,0.4,0.4,567512.0
2015-10-19,,,,,,
2015-10-20,0.4,0.4,0.35,0.35,0.35,240223.0
2015-10-21,,,,,,
2015-10-23,,,,,,
2015-10-26,,,,,,
2015-10-27,,,,,,
2015-10-28,,,,,,
2015-10-29,,,,,,
2015-10-30,,,,,,
2015-11-02,,,,,,
2015-11-03,,,,,,
2015-11-04,,,,,,
2015-11-05,,,,,,
2015-11-06,,,,,,
2015-11-09,,,,,,
2015-11-10,,,,,,
2015-11-13,,,,,,
2015-11-16,,,,,,
2015-11-17,,,,,,
2015-11-18,,,,,,
2015-11-19,,,,,,
2015-11-20,,,,,,
2015-11-23,,,,,,
2015-11-24,,,,,,
2015-11-26,,,,,,
2015-11-27,,,,,,
2015-11-30,,,,,,
2015-12-01,,,,,,
2015-12-02,,,,,,
2015-12-03,,,,,,
2015-12-04,,,,,,
2015-12-07,,,,,,
2015-12-08,,,,,,
2015-12-09,,,,,,
2015-12-10,,,,,,
2015-12-11,,,,,,
2015-12-14,,,,,,
2015-12-15,,,,,,
2015-12-16,,,,,,
2015-12-17,,,,,,
2015-12-18,,,,,,
2015-12-21,,,,,,
2015-12-22,,,,,,
2015-12-23,,,,,,
2015-12-24,,,,,,
2015-12-28,,,,,,
2015-12-29,,,,,,
2015-12-30,,,,,,
2015-12-31,,,,,,
2016-01-01,,,,,,
2016-01-04,,,,,,
2016-01-05,,,,,,
2016-01-06,,,,,,
2016-01-07,,,,,,
2016-01-08,,,,,,
2016-01-11,,,,,,
2016-01-12,,,,,,
2016-01-13,0.55,0.6,0.55,0.55,0.55,398620.0
2016-01-14,0.5,0.55,0.5,0.5,0.5,359675.0
2016-01-15,0.5,0.5,0.45,0.45,0.45,166906.0
2016-01-18,0.5,0.5,0.4,0.45,0.45,2133652.0
2016-01-19,0.45,0.5,0.4,0.45,0.45,819088.0
2016-01-20,0.45,0.45,0.4,0.45,0.45,427551.0
2016-01-21,0.45,0.45,0.4,0.4,0.4,527167.0
2016-01-22,0.4,0.45,0.4,0.45,0.45,249470.0
2016-01-25,0.45,0.45,0.4,0.4,0.4,265309.0
2016-01-27,0.4,0.45,0.4,0.4,0.4,693379.0
2016-01-28,0.4,0.45,0.4,0.4,0.4,160426.0
2016-01-29,0.4,0.45,0.4,0.45,0.45,282087.0
2016-02-01,0.45,0.45,0.4,0.45,0.45,700377.0
2016-02-02,0.45,0.45,0.4,0.45,0.45,501961.0
2016-02-03,0.4,0.45,0.4,0.4,0.4,558841.0
2016-02-04,0.4,0.4,0.35,0.35,0.35,627829.0
2016-02-05,0.35,0.4,0.35,0.4,0.4,255907.0
2016-02-08,0.35,0.45,0.35,0.4,0.4,854782.0
2016-02-09,0.4,0.45,0.35,0.4,0.4,439817.0
2016-02-10,0.35,0.45,0.35,0.4,0.4,444572.0
2016-02-11,0.4,0.45,0.35,0.35,0.35,281388.0
2016-02-12,0.35,0.4,0.35,0.4,0.4,1742162.0
2016-02-15,0.4,0.45,0.35,0.4,0.4,431433.0
2016-02-16,0.35,0.45,0.35,0.4,0.4,124060.0
2016-02-17,0.35,0.4,0.35,0.35,0.35,415877.0
2016-02-18,0.4,0.4,0.35,0.4,0.4,926705.0
2016-02-19,0.4,0.4,0.35,0.4,0.4,35744.0
2016-02-22,0.4,0.4,0.35,0.4,0.4,152754.0
2016-02-23,0.35,0.4,0.35,0.35,0.35,109099.0
2016-02-24,0.35,0.4,0.35,0.4,0.4,235325.0
2016-02-25,0.4,0.4,0.35,0.35,0.35,160291.0
2016-02-26,0.35,0.4,0.35,0.4,0.4,173443.0
2016-02-29,0.4,0.4,0.35,0.35,0.35,1285890.0
2016-03-01,0.35,0.4,0.35,0.35,0.35,106591.0
2016-03-02,0.35,0.4,0.35,0.35,0.35,624407.0
2016-03-03,0.35,0.4,0.35,0.35,0.35,224815.0
2016-03-04,0.35,0.4,0.3,0.35,0.35,378681.0
2016-03-08,0.35,0.4,0.35,0.35,0.35,275283.0
2016-03-09,0.35,0.4,0.35,0.4,0.4,166072.0
2016-03-10,0.4,0.4,0.35,0.35,0.35,167207.0
2016-03-11,0.35,0.4,0.35,0.35,0.35,110853.0
2016-03-14,0.4,0.4,0.3,0.3,0.3,821100.0
2016-03-15,0.3,0.35,0.3,0.35,0.35,323749.0
2016-03-16,0.4,0.4,0.3,0.35,0.35,358507.0
2016-03-17,0.3,0.35,0.3,0.3,0.3,261656.0
2016-03-18,0.35,0.35,0.3,0.35,0.35,214845.0
2016-03-21,0.35,0.4,0.3,0.35,0.35,213791.0
2016-03-22,0.35,0.35,0.3,0.3,0.3,240402.0
2016-03-23,0.3,0.35,0.3,0.35,0.35,161139.0
2016-03-28,0.35,0.35,0.3,0.3,0.3,278883.0
2016-03-29,0.3,0.35,0.3,0.3,0.3,525481.0
2016-03-30,0.3,0.35,0.3,0.3,0.3,513683.0
2016-03-31,0.35,0.35,0.3,0.3,0.3,415192.0
2016-04-01,0.35,0.35,0.3,0.35,0.35,239507.0
2016-04-04,0.3,0.35,0.3,0.3,0.3,176868.0
2016-04-05,0.3,0.35,0.3,0.35,0.35,744478.0
2016-04-06,0.3,0.4,0.3,0.35,0.35,1725936.0
2016-04-07,0.4,0.4,0.35,0.35,0.35,238158.0
2016-04-08,0.3,0.4,0.3,0.4,0.4,380798.0
2016-04-11,0.35,0.4,0.35,0.4,0.4,246981.0
2016-04-12,0.35,0.4,0.35,0.4,0.4,166583.0
2016-04-13,0.4,0.4,0.35,0.4,0.4,165913.0
2016-04-18,0.4,0.4,0.35,0.35,0.35,190154.0
2016-04-20,0.35,0.4,0.35,0.35,0.35,244769.0
2016-04-21,0.35,0.4,0.35,0.35,0.35,388700.0
2016-04-22,0.4,0.4,0.35,0.35,0.35,195775.0
2016-04-25,0.35,0.4,0.3,0.35,0.35,51226.0
2016-04-26,0.35,0.4,0.3,0.35,0.35,1759828.0
2016-04-27,0.35,0.4,0.3,0.35,0.35,114982.0
2016-04-28,0.4,0.4,0.35,0.4,0.4,383168.0
2016-04-29,0.35,0.4,0.35,0.35,0.35,88447.0
2016-05-02,0.35,0.4,0.3,0.3,0.3,136324.0
2016-05-03,0.3,0.35,0.3,0.35,0.35,645165.0
2016-05-04,0.4,0.4,0.35,0.35,0.35,183673.0
2016-05-05,0.35,0.4,0.3,0.35,0.35,238882.0
2016-05-06,0.35,0.4,0.35,0.35,0.35,156489.0
2016-05-09,0.35,0.4,0.3,0.35,0.35,637783.0
2016-05-10,0.3,0.35,0.3,0.35,0.35,134005.0
2016-05-11,0.3,0.4,0.3,0.35,0.35,652647.0
2016-05-12,0.3,0.4,0.3,0.35,0.35,275171.0
2016-05-13,0.35,0.4,0.3,0.35,0.35,150384.0
2016-05-16,0.35,0.4,0.3,0.3,0.3,111824.0
2016-05-17,0.3,0.35,0.3,0.3,0.3,79994.0
2016-05-18,0.35,0.35,0.3,0.35,0.35,209839.0
2016-05-19,0.35,0.35,0.3,0.3,0.3,73797.0
2016-05-20,0.3,0.35,0.3,0.3,0.3,54766.0
2016-05-23,0.35,0.35,0.3,0.3,0.3,147613.0
2016-05-24,0.35,0.35,0.3,0.3,0.3,61311.0
2016-05-25,0.3,0.35,0.3,0.3,0.3,89692.0
2016-05-26,0.3,0.35,0.3,0.35,0.35,135942.0
2016-05-27,0.3,0.35,0.3,0.3,0.3,281225.0
2016-05-30,0.35,0.35,0.3,0.35,0.35,320547.0
2016-05-31,0.3,0.35,0.3,0.3,0.3,178174.0
2016-06-01,0.35,0.35,0.25,0.3,0.3,1289315.0
2016-06-02,0.25,0.35,0.25,0.3,0.3,491199.0
2016-06-03,0.25,0.35,0.25,0.3,0.3,348472.0
2016-06-06,0.3,0.35,0.25,0.25,0.25,423576.0
