Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,1.55,1.55,1.55,1.55,1.55,500.0
2015-01-02,1.55,1.55,1.55,1.55,1.55,50.0
2015-01-05,1.7,1.7,1.5,1.5,1.5,6915.0
2015-01-06,1.45,1.65,1.35,1.4,1.4,11001.0
2015-01-07,1.4,1.5,1.3,1.3,1.3,1376.0
2015-01-08,1.3,1.3,1.25,1.25,1.25,400.0
2015-01-09,1.35,1.35,1.35,1.35,1.35,1000.0
2015-01-12,1.35,1.35,1.35,1.35,1.35,0.0
2015-01-13,1.35,1.35,1.35,1.35,1.35,0.0
2015-01-14,1.4,1.45,1.4,1.4,1.4,51000.0
2015-01-15,1.4,1.4,1.4,1.4,1.4,0.0
2015-01-16,1.4,1.4,1.4,1.4,1.4,0.0
2015-01-19,1.35,1.35,1.35,1.35,1.35,6000.0
2015-01-20,1.35,1.35,1.35,1.35,1.35,0.0
2015-01-21,1.35,1.35,1.35,1.35,1.35,0.0
2015-01-22,1.35,1.35,1.35,1.35,1.35,0.0
2015-01-23,1.35,1.35,1.35,1.35,1.35,1000.0
2015-01-27,1.35,1.4,1.3,1.4,1.4,1100.0
2015-01-28,1.35,1.35,1.35,1.35,1.35,3250.0
2015-01-29,1.35,1.35,1.35,1.35,1.35,216.0
2015-01-30,1.3,1.3,1.3,1.3,1.3,1000.0
2015-02-02,1.3,1.3,1.3,1.3,1.3,0.0
2015-02-03,1.3,1.3,1.3,1.3,1.3,0.0
2015-02-04,1.3,1.3,1.3,1.3,1.3,0.0
2015-02-05,1.35,1.35,1.35,1.35,1.35,6250.0
2015-02-06,1.35,1.35,1.35,1.35,1.35,650.0
2015-02-09,1.4,1.4,1.3,1.4,1.4,1015.0
2015-02-10,1.35,1.35,1.35,1.35,1.35,1500.0
2015-02-11,1.35,1.35,1.35,1.35,1.35,0.0
2015-02-12,1.35,1.35,1.35,1.35,1.35,0.0
2015-02-13,1.35,1.35,1.35,1.35,1.35,0.0
2015-02-16,1.3,1.3,1.3,1.3,1.3,1000.0
2015-02-18,1.3,1.3,1.25,1.25,1.25,3495.0
2015-02-19,1.25,1.25,1.25,1.25,1.25,0.0
2015-02-20,1.3,1.3,1.3,1.3,1.3,10.0
2015-02-23,1.25,1.25,1.25,1.25,1.25,415.0
2015-02-24,1.2,1.2,1.2,1.2,1.2,4600.0
2015-02-25,1.15,1.15,1.15,1.15,1.15,585.0
2015-02-26,1.2,1.2,1.1,1.2,1.2,1200.0
2015-02-27,1.15,1.15,1.15,1.15,1.15,600.0
2015-02-28,,,,,,
