Date,Open,High,Low,Close,Adj Close,Volume
2015-01-27,700.900024,749.900024,694.650024,724.549988,721.196655,300962.0
2015-01-28,726.849976,740.700012,716.849976,724.450012,721.097107,90014.0
2015-01-29,722.0,724.0,690.0,712.450012,709.152649,31740.0
2015-01-30,710.0,721.0,694.599976,698.799988,695.565796,35082.0
2015-02-02,698.5,710.200012,690.099976,698.099976,694.8690190000001,29775.0
2015-02-03,699.0,703.5,691.599976,694.950012,691.7336429999999,34098.0
2015-02-04,697.700012,711.200012,692.0,698.75,695.516052,20300.0
2015-02-05,701.0,702.650024,671.0,678.450012,675.3099980000001,26444.0
2015-02-06,676.950012,682.0,670.099976,675.25,672.124817,21902.0
2015-02-09,,,,,,
2015-02-10,662.900024,681.049988,655.099976,670.75,667.64563,12930.0
2015-02-11,673.0,700.0,672.349976,689.900024,686.7070309999999,30597.0
2015-02-12,,,,,,
2015-02-13,725.0,748.549988,721.0,727.799988,724.4315799999999,40000.0
2015-02-16,729.0,748.549988,727.349976,729.599976,726.223267,47057.0
2015-02-18,730.5,751.0,730.299988,740.0,736.5751339999999,75173.0
2015-02-19,743.0,762.0,737.0,739.700012,736.27655,46587.0
2015-02-20,,,,,,
2015-02-23,750.0,772.0,696.099976,716.0,712.6862179999999,110111.0
2015-02-24,711.0,714.0,673.150024,679.349976,676.205811,63917.0
2015-02-25,677.0,689.0,670.0,676.0,672.871338,34622.0
2015-02-26,,,,,,
2015-02-27,660.0,682.200012,660.0,669.75,666.6502690000001,107294.0
2015-02-28,,,,,,
2015-03-02,,,,,,
2015-03-03,709.0,712.0,696.450012,702.450012,699.198975,25402.0
2015-03-04,,,,,,
2015-03-05,712.0,730.0,704.349976,713.25,709.948975,93380.0
2015-03-09,713.25,725.900024,704.349976,706.5,703.230164,39889.0
2015-03-10,,,,,,
2015-03-11,700.0,703.900024,686.5,695.450012,692.2313230000001,31224.0
2015-03-12,,,,,,
2015-03-13,704.900024,714.0,693.200012,702.25,698.9998780000001,40696.0
2015-03-16,705.0,705.0,695.200012,700.049988,696.810059,12357.0
2015-03-17,,,,,,
2015-03-18,,,,,,
2015-03-19,,,,,,
2015-03-20,,,,,,
