Date,Open,High,Low,Close,Adj Close,Volume
2015-01-06,68.0,68.0,66.0,66.0,66.0,3221.0
2015-01-07,,,,,,
2015-01-08,,,,,,
2015-01-09,,,,,,
2015-01-12,,,,,,
2015-01-13,,,,,,
2015-01-14,68.400002,68.5,65.0,65.75,65.75,11599.0
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-27,65.800003,65.800003,63.549999,64.449997,64.449997,2340.0
2015-01-28,64.650002,65.849998,63.700001,63.950001,63.950001,1075.0
2015-01-29,65.5,65.5,63.0,63.700001,63.700001,1571.0
2015-01-30,63.849998,65.800003,63.75,63.75,63.75,600.0
2015-02-02,64.0,64.5,62.849998,63.150002,63.150002,1310.0
2015-02-03,64.099998,66.949997,64.099998,65.699997,65.699997,2000.0
2015-02-04,66.75,74.400002,64.199997,65.650002,65.650002,6700.0
2015-02-05,65.0,66.949997,64.449997,64.849998,64.849998,2735.0
2015-02-06,62.150002,64.150002,62.150002,63.25,63.25,913.0
2015-02-09,63.0,63.900002,63.0,63.099998,63.099998,567.0
2015-02-10,64.849998,64.849998,61.549999,62.25,62.25,1525.0
2015-02-11,,,,,,
2015-02-12,62.25,64.0,62.150002,62.650002,62.650002,892.0
2015-02-13,,,,,,
2015-02-16,,,,,,
2015-02-18,64.849998,64.849998,61.0,61.900002,61.900002,1062.0
2015-02-19,63.450001,63.450001,61.0,61.150002,61.150002,1716.0
2015-02-20,62.349998,62.950001,61.549999,62.150002,62.150002,7371.0
2015-02-23,62.099998,62.200001,60.700001,61.5,61.5,2771.0
2015-02-24,,,,,,
2015-02-25,62.900002,62.900002,61.049999,61.549999,61.549999,2367.0
2015-02-26,,,,,,
2015-02-27,61.0,61.549999,58.75,60.150002,60.150002,1997.0
2015-02-28,,,,,,
2015-03-02,62.150002,62.150002,59.5,60.849998,60.849998,457.0
2015-03-03,60.0,60.900002,57.799999,58.799999,58.799999,5526.0
2015-03-04,60.0,60.599998,58.599998,59.0,59.0,2465.0
2015-03-05,,,,,,
2015-03-09,,,,,,
2015-03-10,,,,,,
2015-03-11,58.5,58.5,57.150002,57.549999,57.549999,1355.0
2015-03-12,,,,,,
2015-03-13,,,,,,
2015-03-16,,,,,,
2015-03-17,,,,,,
2015-03-18,55.849998,55.849998,52.25,53.099998,53.099998,3237.0
2015-03-19,,,,,,
2015-03-20,,,,,,
2015-03-23,52.549999,52.799999,51.099998,51.349998,51.349998,2490.0
2015-03-24,,,,,,
2015-03-25,52.0,52.0,49.599998,51.0,51.0,5456.0
2015-03-26,52.0,52.799999,51.0,51.650002,51.650002,17331.0
2015-03-27,,,,,,
2015-03-30,,,,,,
2015-03-31,52.200001,54.0,51.650002,52.75,52.75,2850.0
2015-04-01,54.400002,60.0,53.150002,58.849998,58.849998,26004.0
2015-04-06,58.849998,58.849998,58.849998,58.849998,58.849998,0.0
2015-04-07,,,,,,
2015-04-08,,,,,,
2015-04-09,,,,,,
2015-04-10,,,,,,
2015-04-13,,,,,,
2015-04-15,60.450001,60.450001,60.450001,60.450001,60.450001,0.0
2015-04-16,,,,,,
2015-04-17,,,,,,
2015-04-20,,,,,,
2015-04-21,,,,,,
2015-04-22,,,,,,
2015-04-23,,,,,,
2015-04-24,,,,,,
2015-04-27,,,,,,
2015-04-28,,,,,,
2015-04-29,,,,,,
2015-04-30,,,,,,
2015-05-04,57.25,57.25,57.25,57.25,57.25,0.0
2015-05-05,,,,,,
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-05-08,,,,,,
2015-05-11,,,,,,
2015-05-12,,,,,,
2015-05-13,,,,,,
2015-05-14,59.349998,59.349998,55.299999,56.75,56.75,431.0
2015-05-15,57.0,57.0,55.5,56.950001,56.950001,710.0
2015-05-18,56.5,59.700001,55.549999,57.950001,57.950001,3402.0
2015-05-19,58.700001,59.700001,57.549999,59.450001,59.450001,1030.0
2015-05-20,59.0,59.0,57.599998,58.0,58.0,255.0
2015-05-21,59.400002,59.400002,57.299999,57.549999,57.549999,467.0
2015-05-22,59.5,59.5,57.75,57.75,57.75,4538.0
2015-05-25,58.049999,59.0,57.049999,57.75,57.75,10979.0
2015-05-26,,,,,,
2015-05-27,58.0,58.0,56.650002,56.849998,56.849998,570.0
2015-05-28,58.799999,58.799999,58.0,58.0,58.0,152.0
2015-05-29,59.849998,60.0,56.0,56.299999,56.299999,3988.0
2015-06-01,55.0,55.0,49.599998,51.849998,51.849998,10319.0
2015-06-02,51.099998,54.349998,51.099998,51.549999,51.549999,2304.0
2015-06-03,,,,,,
2015-06-04,50.099998,50.450001,49.5,49.599998,49.599998,670.0
2015-06-05,50.200001,50.299999,49.450001,49.900002,49.900002,2577.0
2015-06-08,50.0,50.650002,48.099998,49.799999,49.799999,722.0
2015-06-09,,,,,,
2015-06-10,48.0,49.200001,47.25,48.150002,48.150002,15000.0
2015-06-11,,,,,,
2015-06-12,,,,,,
2015-06-15,47.75,50.5,47.75,49.950001,49.950001,11988.0
2015-06-16,50.0,50.0,47.0,47.549999,47.549999,4852.0
2015-06-17,48.75,48.75,47.5,47.549999,47.549999,1365.0
2015-06-18,47.549999,47.75,47.549999,47.700001,47.700001,212.0
2015-06-19,,,,,,
2015-06-22,47.549999,49.200001,47.299999,49.200001,49.200001,2864.0
2015-06-23,48.5,48.75,47.150002,47.700001,47.700001,3263.0
2015-06-24,,,,,,
2015-06-25,50.0,50.200001,48.200001,49.25,49.25,680.0
2015-06-26,48.5,48.5,47.099998,47.299999,47.299999,1722.0
2015-06-29,47.299999,47.549999,45.599998,47.450001,47.450001,1320.0
2015-06-30,,,,,,
2015-07-01,,,,,,
2015-07-02,,,,,,
2015-07-03,53.5,53.799999,51.299999,52.400002,52.400002,7101.0
2015-07-06,52.0,52.400002,49.0,51.450001,51.450001,6043.0
2015-07-07,,,,,,
2015-07-08,,,,,,
2015-07-09,,,,,,
2015-07-10,61.900002,62.0,58.0,58.5,58.5,29477.0
2015-07-13,,,,,,
2015-07-14,,,,,,
2015-07-15,,,,,,
2015-07-16,,,,,,
2015-07-17,61.0,61.0,59.200001,60.0,60.0,10538.0
2015-07-20,,,,,,
2015-07-21,60.0,60.400002,58.400002,59.150002,59.150002,8643.0
2015-07-22,,,,,,
2015-07-23,,,,,,
2015-07-24,,,,,,
2015-07-27,,,,,,
2015-07-28,,,,,,
2015-07-29,,,,,,
2015-07-30,,,,,,
2015-07-31,,,,,,
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,,,,,,
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-12,,,,,,
2015-08-13,,,,,,
2015-08-14,,,,,,
2015-08-17,62.5,62.5,56.25,59.400002,59.400002,10297.0
2015-08-18,,,,,,
2015-08-19,,,,,,
2015-08-20,,,,,,
2015-08-21,,,,,,
2015-08-24,,,,,,
2015-08-25,48.299999,51.0,47.599998,50.549999,50.549999,10462.0
2015-08-26,49.0,52.5,48.0,52.5,52.5,2427.0
2015-08-27,51.150002,54.0,51.0,51.25,51.25,10363.0
2015-08-28,52.200001,54.799999,52.200001,53.0,53.0,1985.0
2015-08-31,53.0,55.0,52.299999,53.650002,53.650002,1992.0
