Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,2.25,2.25,2.25,2.25,2.25,0.0
2015-01-02,2.2,2.2,2.2,2.2,2.2,62.0
2015-01-05,2.2,2.2,2.2,2.2,2.2,500.0
2015-01-06,2.2,2.2,2.2,2.2,2.2,0.0
2015-01-07,2.15,2.15,2.1,2.15,2.15,475.0
2015-01-08,2.15,2.1,2.1,2.1,2.1,176.0
2015-01-09,2.1,2.1,2.1,2.1,2.1,735.0
2015-01-12,2.1,2.1,2.1,2.1,2.1,0.0
2015-01-13,2.05,2.05,2.05,2.05,2.05,500.0
2015-01-14,1.95,1.95,1.95,1.95,1.95,500.0
2015-01-15,2.0,2.0,2.0,2.0,2.0,250.0
2015-01-16,2.0,2.0,2.0,2.0,2.0,0.0
2015-01-19,2.1,2.1,2.1,2.1,2.1,500.0
2015-01-20,2.1,2.1,2.1,2.1,2.1,0.0
2015-01-21,2.2,2.2,2.2,2.2,2.2,1837.0
2015-01-22,2.3,2.3,2.3,2.3,2.3,187.0
2015-01-23,2.3,2.3,2.3,2.3,2.3,0.0
2015-01-27,2.3,2.3,2.3,2.3,2.3,0.0
2015-01-28,2.4,2.4,2.4,2.4,2.4,62.0
2015-01-29,2.4,2.4,2.4,2.4,2.4,0.0
2015-01-30,2.35,2.5,2.5,2.5,2.5,62.0
2015-02-02,2.5,2.5,2.5,2.5,2.5,0.0
2015-02-03,2.5,2.5,2.5,2.5,2.5,0.0
2015-02-04,2.5,2.5,2.5,2.5,2.5,0.0
2015-02-05,2.6,2.6,2.6,2.6,2.6,1.0
2015-02-06,2.4,2.35,2.35,2.35,2.35,20.0
2015-02-09,2.35,2.35,2.35,2.35,2.35,0.0
2015-02-10,2.35,2.35,2.35,2.35,2.35,0.0
2015-02-11,2.35,2.35,2.35,2.35,2.35,0.0
2015-02-12,2.35,2.35,2.35,2.35,2.35,0.0
2015-02-13,2.35,2.35,2.35,2.35,2.35,0.0
2015-02-16,2.35,2.35,2.35,2.35,2.35,0.0
2015-02-18,2.35,2.35,2.35,2.35,2.35,0.0
2015-02-19,2.35,2.35,2.35,2.35,2.35,0.0
2015-02-20,2.35,2.35,2.35,2.35,2.35,0.0
2015-02-23,2.35,2.35,2.35,2.35,2.35,0.0
2015-02-24,2.35,2.35,2.35,2.35,2.35,0.0
2015-02-25,2.35,2.35,2.35,2.35,2.35,0.0
2015-02-26,2.35,2.35,2.35,2.35,2.35,0.0
2015-02-27,2.35,2.35,2.35,2.35,2.35,0.0
2015-02-28,,,,,,
2015-03-02,2.35,2.35,2.35,2.35,2.35,0.0
2015-03-03,2.35,2.35,2.35,2.35,2.35,0.0
2015-03-04,2.35,2.35,2.35,2.35,2.35,0.0
2015-03-05,2.35,2.35,2.35,2.35,2.35,0.0
2015-03-09,2.35,2.35,2.35,2.35,2.35,0.0
2015-03-10,2.35,2.35,2.35,2.35,2.35,0.0
2015-03-11,2.35,2.35,2.35,2.35,2.35,0.0
2015-03-12,2.55,2.55,2.55,2.55,2.55,1250.0
2015-03-13,2.6,2.6,2.6,2.6,2.6,1500.0
2015-03-16,2.6,2.6,2.6,2.6,2.6,0.0
2015-03-17,2.6,2.6,2.6,2.6,2.6,0.0
2015-03-18,2.35,2.35,2.35,2.35,2.35,1000.0
2015-03-19,2.15,2.3,2.15,2.15,2.15,475.0
2015-03-20,2.05,2.05,2.05,2.05,2.05,500.0
2015-03-23,2.0,2.0,2.0,2.0,2.0,500.0
2015-03-24,2.0,2.0,2.0,2.0,2.0,0.0
2015-03-25,2.0,2.0,2.0,2.0,2.0,0.0
2015-03-26,1.9,2.0,1.9,1.9,1.9,287.0
2015-03-27,1.9,1.9,1.9,1.9,1.9,0.0
2015-03-30,1.9,1.9,1.9,1.9,1.9,0.0
2015-03-31,1.9,1.9,1.9,1.9,1.9,0.0
2015-04-01,1.9,1.9,1.9,1.9,1.9,0.0
2015-04-06,1.9,1.9,1.9,1.9,1.9,3000.0
2015-04-07,1.9,1.9,1.9,1.9,1.9,0.0
2015-04-08,2.0,2.0,2.0,2.0,2.0,200.0
2015-04-09,2.05,2.05,2.05,2.05,2.05,285.0
2015-04-10,2.0,2.0,2.0,2.0,2.0,600.0
2015-04-13,2.2,2.2,2.2,2.2,2.2,187.0
2015-04-15,2.2,2.2,2.2,2.2,2.2,0.0
2015-04-16,,,,,,
2015-04-17,2.25,2.25,2.25,2.25,2.25,0.0
2015-04-20,2.05,2.05,2.05,2.05,2.05,375.0
2015-04-21,2.05,2.05,2.05,2.05,2.05,0.0
2015-04-22,2.05,2.05,2.05,2.05,2.05,0.0
2015-04-23,2.05,2.05,2.05,2.05,2.05,0.0
2015-04-24,1.85,1.85,1.85,1.85,1.85,425.0
2015-04-27,1.85,1.85,1.85,1.85,1.85,0.0
2015-04-28,1.85,1.85,1.85,1.85,1.85,0.0
2015-04-29,1.85,1.85,1.85,1.85,1.85,0.0
2015-04-30,,,,,,
2015-05-04,1.85,1.85,1.85,1.85,1.85,0.0
2015-05-05,1.85,1.85,1.85,1.85,1.85,0.0
2015-05-06,1.85,1.85,1.85,1.85,1.85,0.0
2015-05-07,1.85,1.85,1.85,1.85,1.85,0.0
2015-05-08,1.85,1.85,1.85,1.85,1.85,0.0
2015-05-11,1.85,1.85,1.85,1.85,1.85,0.0
2015-05-12,1.85,1.85,1.85,1.85,1.85,0.0
2015-05-13,,,,,,
2015-05-14,,,,,,
2015-05-15,,,,,,
2015-05-18,1.9,1.9,1.9,1.9,1.9,0.0
2015-05-19,1.9,1.9,1.9,1.9,1.9,0.0
2015-05-20,1.9,1.9,1.9,1.9,1.9,0.0
2015-05-21,1.95,1.95,1.95,1.95,1.95,187.0
2015-05-22,,,,,,
2015-05-25,1.95,1.95,1.95,1.95,1.95,0.0
2015-05-26,1.95,1.95,1.95,1.95,1.95,0.0
2015-05-27,1.9,1.9,1.9,1.9,1.9,50.0
2015-05-28,,,,,,
2015-05-29,1.85,1.85,1.85,1.85,1.85,0.0
2015-06-01,,,,,,
2015-06-02,1.9,1.9,1.9,1.9,1.9,0.0
2015-06-03,1.9,1.9,1.9,1.9,1.9,0.0
2015-06-04,,,,,,
2015-06-05,,,,,,
2015-06-08,,,,,,
2015-06-09,,,,,,
2015-06-10,1.9,1.9,1.9,1.9,1.9,0.0
2015-06-11,1.9,1.9,1.9,1.9,1.9,100.0
2015-06-12,,,,,,
2015-06-15,1.9,1.9,1.9,1.9,1.9,0.0
2015-06-16,1.9,1.9,1.9,1.9,1.9,0.0
2015-06-17,1.9,1.9,1.9,1.9,1.9,0.0
2015-06-18,,,,,,
2015-06-19,,,,,,
2015-06-22,1.9,1.9,1.9,1.9,1.9,0.0
2015-06-23,1.9,1.9,1.9,1.9,1.9,0.0
2015-06-24,,,,,,
2015-06-25,,,,,,
2015-06-26,,,,,,
2015-06-29,,,,,,
2015-06-30,1.85,1.85,1.85,1.85,1.85,0.0
2015-07-01,,,,,,
2015-07-02,,,,,,
2015-07-03,,,,,,
2015-07-06,1.85,1.85,1.85,1.85,1.85,0.0
2015-07-07,,,,,,
2015-07-08,1.85,1.85,1.85,1.85,1.85,0.0
2015-07-09,,,,,,
2015-07-10,1.85,1.85,1.85,1.85,1.85,0.0
2015-07-13,,,,,,
2015-07-14,,,,,,
2015-07-15,,,,,,
2015-07-16,1.8,1.8,1.8,1.8,1.8,0.0
2015-07-17,1.75,1.75,1.75,1.75,1.75,5000.0
2015-07-20,,,,,,
2015-07-21,,,,,,
2015-07-22,,,,,,
2015-07-23,,,,,,
2015-07-24,,,,,,
2015-07-27,,,,,,
2015-07-28,,,,,,
2015-07-29,,,,,,
2015-07-30,,,,,,
2015-07-31,,,,,,
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,,,,,,
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-12,1.7,1.7,1.7,1.7,1.7,0.0
2015-08-13,1.7,1.7,1.7,1.7,1.7,1500.0
2015-08-14,1.7,1.7,1.7,1.7,1.7,0.0
2015-08-17,1.7,1.7,1.7,1.7,1.7,0.0
2015-08-18,1.7,1.7,1.7,1.7,1.7,0.0
2015-08-19,1.7,1.7,1.7,1.7,1.7,0.0
2015-08-20,1.7,1.7,1.7,1.7,1.7,0.0
2015-08-21,1.7,1.7,1.7,1.7,1.7,0.0
2015-08-24,1.7,1.7,1.7,1.7,1.7,0.0
2015-08-25,1.7,1.7,1.7,1.7,1.7,0.0
2015-08-26,1.7,1.7,1.7,1.7,1.7,0.0
2015-08-27,1.7,1.7,1.7,1.7,1.7,200.0
2015-08-28,1.7,1.7,1.7,1.7,1.7,0.0
2015-08-31,1.65,1.65,1.65,1.65,1.65,200.0
2015-09-01,1.65,1.65,1.65,1.65,1.65,0.0
2015-09-02,1.65,1.65,1.65,1.65,1.65,0.0
2015-09-03,1.65,1.65,1.65,1.65,1.65,0.0
2015-09-04,1.65,1.65,1.65,1.65,1.65,0.0
2015-09-07,1.65,1.65,1.65,1.65,1.65,0.0
2015-09-08,1.6,1.6,1.6,1.6,1.6,25.0
2015-09-09,1.6,1.6,1.6,1.6,1.6,0.0
2015-09-10,1.6,1.6,1.6,1.6,1.6,0.0
2015-09-11,1.6,1.6,1.6,1.6,1.6,0.0
2015-09-14,1.6,1.6,1.6,1.6,1.6,0.0
2015-09-15,1.6,1.6,1.6,1.6,1.6,0.0
2015-09-16,1.6,1.6,1.6,1.6,1.6,0.0
2015-09-18,1.6,1.6,1.6,1.6,1.6,0.0
2015-09-21,1.6,1.6,1.6,1.6,1.6,0.0
2015-09-22,1.55,1.55,1.55,1.55,1.55,2500.0
2015-09-23,1.55,1.55,1.55,1.55,1.55,0.0
2015-09-24,1.5,1.5,1.5,1.5,1.5,2000.0
2015-09-28,1.5,1.5,1.5,1.5,1.5,0.0
2015-09-29,1.5,1.5,1.5,1.5,1.5,0.0
2015-09-30,1.5,1.5,1.5,1.5,1.5,0.0
2015-10-01,1.5,1.5,1.5,1.5,1.5,0.0
2015-10-05,1.5,1.5,1.5,1.5,1.5,0.0
2015-10-06,1.5,1.5,1.5,1.5,1.5,0.0
2015-10-07,1.45,1.45,1.45,1.45,1.45,6000.0
2015-10-08,1.45,1.45,1.45,1.45,1.45,0.0
2015-10-09,1.45,1.45,1.45,1.45,1.45,0.0
2015-10-12,1.45,1.45,1.45,1.45,1.45,0.0
2015-10-13,1.45,1.45,1.45,1.45,1.45,0.0
2015-10-14,1.45,1.45,1.45,1.45,1.45,0.0
2015-10-15,1.45,1.45,1.45,1.45,1.45,0.0
2015-10-16,1.45,1.45,1.45,1.45,1.45,0.0
2015-10-19,1.45,1.45,1.45,1.45,1.45,0.0
2015-10-20,1.45,1.5,1.45,1.45,1.45,228.0
2015-10-21,1.45,1.45,1.45,1.45,1.45,0.0
2015-10-23,1.45,1.45,1.45,1.45,1.45,0.0
2015-10-26,1.45,1.45,1.45,1.45,1.45,0.0
2015-10-27,1.45,1.45,1.45,1.45,1.45,0.0
2015-10-28,1.45,1.45,1.45,1.45,1.45,0.0
2015-10-29,1.4,1.4,1.4,1.4,1.4,2500.0
2015-10-30,1.35,1.35,1.35,1.35,1.35,2500.0
2015-11-02,1.3,1.3,1.3,1.3,1.3,2181.0
2015-11-03,1.3,1.3,1.3,1.3,1.3,0.0
2015-11-04,1.25,1.25,1.25,1.25,1.25,2500.0
2015-11-05,1.25,1.25,1.25,1.25,1.25,0.0
2015-11-06,1.25,1.25,1.25,1.25,1.25,200.0
2015-11-09,1.25,1.25,1.25,1.25,1.25,0.0
2015-11-10,1.25,1.25,1.25,1.25,1.25,0.0
2015-11-13,1.25,1.25,1.25,1.25,1.25,0.0
2015-11-16,1.25,1.25,1.25,1.25,1.25,0.0
2015-11-17,1.25,1.25,1.25,1.25,1.25,0.0
2015-11-18,1.25,1.25,1.25,1.25,1.25,0.0
2015-11-19,1.25,1.25,1.25,1.25,1.25,0.0
2015-11-20,1.3,1.3,1.3,1.3,1.3,200.0
2015-11-23,1.35,1.35,1.35,1.35,1.35,437.0
2015-11-24,1.35,1.35,1.35,1.35,1.35,0.0
2015-11-26,1.35,1.35,1.35,1.35,1.35,0.0
2015-11-27,1.4,1.4,1.4,1.4,1.4,587.0
2015-11-30,1.45,1.45,1.45,1.45,1.45,100.0
2015-12-01,1.45,1.45,1.45,1.45,1.45,100.0
2015-12-02,1.4,1.4,1.4,1.4,1.4,800.0
2015-12-03,1.35,1.35,1.35,1.35,1.35,375.0
2015-12-04,1.35,1.35,1.35,1.35,1.35,0.0
2015-12-07,1.35,1.35,1.35,1.35,1.35,0.0
2015-12-08,1.35,1.35,1.35,1.35,1.35,0.0
2015-12-09,1.35,1.35,1.35,1.35,1.35,0.0
2015-12-10,1.35,1.35,1.35,1.35,1.35,0.0
2015-12-11,1.4,1.4,1.4,1.4,1.4,1000.0
2015-12-14,1.4,1.4,1.4,1.4,1.4,0.0
2015-12-15,1.4,1.4,1.4,1.4,1.4,0.0
2015-12-16,1.4,1.4,1.4,1.4,1.4,0.0
2015-12-17,1.35,1.35,1.35,1.35,1.35,1000.0
2015-12-18,1.35,1.35,1.35,1.35,1.35,0.0
2015-12-21,1.35,1.35,1.35,1.35,1.35,0.0
2015-12-22,1.35,1.35,1.35,1.35,1.35,0.0
2015-12-23,1.35,1.35,1.35,1.35,1.35,0.0
2015-12-24,1.35,1.35,1.35,1.35,1.35,0.0
2015-12-28,1.35,1.35,1.35,1.35,1.35,0.0
2015-12-29,1.35,1.35,1.35,1.35,1.35,0.0
2015-12-30,1.35,1.35,1.35,1.35,1.35,0.0
2015-12-31,1.35,1.35,1.35,1.35,1.35,0.0
2016-01-01,1.35,1.35,1.35,1.35,1.35,0.0
2016-01-04,1.4,1.4,1.4,1.4,1.4,2500.0
2016-01-05,1.4,1.4,1.4,1.4,1.4,0.0
2016-01-06,1.45,1.45,1.4,1.45,1.45,6350.0
2016-01-07,1.5,1.5,1.5,1.5,1.5,4498.0
2016-01-08,1.5,1.5,1.5,1.5,1.5,0.0
2016-01-11,1.5,1.5,1.5,1.5,1.5,0.0
2016-01-12,1.55,1.55,1.55,1.55,1.55,100.0
2016-01-13,1.55,1.55,1.55,1.55,1.55,300.0
2016-01-14,1.55,1.55,1.55,1.55,1.55,0.0
2016-01-15,1.55,1.55,1.55,1.55,1.55,35.0
2016-01-18,1.6,1.6,1.6,1.6,1.6,1000.0
2016-01-19,1.6,1.6,1.6,1.6,1.6,0.0
2016-01-20,1.6,1.6,1.6,1.6,1.6,0.0
2016-01-21,1.6,1.6,1.6,1.6,1.6,0.0
2016-01-22,1.6,1.6,1.6,1.6,1.6,0.0
2016-01-25,1.6,1.6,1.6,1.6,1.6,0.0
2016-01-27,1.6,1.6,1.6,1.6,1.6,0.0
2016-01-28,1.65,1.65,1.65,1.65,1.65,0.0
2016-01-29,1.65,1.65,1.65,1.65,1.65,0.0
2016-02-01,1.65,1.65,1.65,1.65,1.65,0.0
2016-02-02,1.65,1.65,1.65,1.65,1.65,0.0
2016-02-03,1.65,1.65,1.65,1.65,1.65,0.0
2016-02-04,1.7,1.7,1.7,1.7,1.7,187.0
2016-02-05,1.7,1.7,1.7,1.7,1.7,1.0
2016-02-08,1.7,1.7,1.7,1.7,1.7,0.0
2016-02-09,1.7,1.7,1.7,1.7,1.7,0.0
2016-02-10,1.7,1.7,1.7,1.7,1.7,0.0
2016-02-11,1.7,1.7,1.7,1.7,1.7,0.0
2016-02-12,1.7,1.7,1.7,1.7,1.7,0.0
2016-02-15,1.7,1.7,1.7,1.7,1.7,0.0
2016-02-16,1.7,1.7,1.7,1.7,1.7,0.0
2016-02-17,1.75,1.75,1.75,1.75,1.75,250.0
2016-02-18,1.8,1.8,1.8,1.8,1.8,125.0
2016-02-19,1.8,1.8,1.8,1.8,1.8,0.0
2016-02-22,1.8,1.8,1.8,1.8,1.8,0.0
2016-02-23,1.85,1.85,1.85,1.85,1.85,300.0
2016-02-24,1.9,1.9,1.9,1.9,1.9,2.0
2016-02-25,1.9,1.9,1.9,1.9,1.9,0.0
2016-02-26,1.95,1.95,1.95,1.95,1.95,25.0
2016-02-29,2.0,2.0,2.0,2.0,2.0,187.0
2016-03-01,2.1,2.0,2.0,2.0,2.0,2000.0
2016-03-02,2.0,2.0,2.0,2.0,2.0,0.0
2016-03-03,2.1,2.1,2.1,2.1,2.1,25.0
