Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,68.0,68.849998,66.349998,67.550003,67.550003,1283.0
2015-01-02,68.949997,74.300003,67.199997,74.050003,74.050003,75540.0
2015-01-05,74.0,76.900002,67.550003,69.75,69.75,29039.0
2015-01-06,69.0,70.75,66.5,66.949997,66.949997,14125.0
2015-01-07,67.849998,69.099998,65.150002,66.550003,66.550003,3856.0
2015-01-08,68.949997,71.800003,67.0,68.099998,68.099998,6943.0
2015-01-09,71.0,71.0,65.5,66.75,66.75,11341.0
2015-01-12,66.0,66.849998,63.950001,64.25,64.25,9653.0
2015-01-13,63.049999,68.0,63.049999,65.5,65.5,4060.0
2015-01-14,65.099998,68.5,65.099998,66.449997,66.449997,7032.0
2015-01-15,68.75,68.75,62.700001,66.25,66.25,10415.0
2015-01-16,67.5,67.5,65.0,65.550003,65.550003,3136.0
2015-01-19,63.049999,67.0,63.049999,64.699997,64.699997,10657.0
2015-01-20,66.550003,66.75,63.099998,63.200001,63.200001,3692.0
2015-01-21,63.599998,63.599998,61.150002,62.200001,62.200001,6080.0
2015-01-22,64.849998,64.849998,61.25,62.150002,62.150002,2464.0
2015-01-23,61.75,62.700001,61.0,61.450001,61.450001,1996.0
2015-01-27,61.450001,61.950001,60.200001,61.049999,61.049999,3081.0
2015-01-28,62.049999,63.75,55.25,57.099998,57.099998,5064.0
2015-01-29,62.799999,62.799999,53.0,58.400002,58.400002,4921.0
2015-01-30,57.049999,61.150002,57.0,59.349998,59.349998,3066.0
2015-02-02,62.799999,62.799999,56.0,58.400002,58.400002,1460.0
2015-02-03,59.900002,60.799999,57.0,57.799999,57.799999,13553.0
2015-02-04,57.849998,63.549999,57.599998,63.549999,63.549999,43527.0
2015-02-05,65.900002,65.900002,57.200001,57.25,57.25,25777.0
2015-02-06,57.200001,58.200001,52.049999,54.099998,54.099998,7684.0
2015-02-09,55.900002,59.799999,54.099998,54.799999,54.799999,4757.0
2015-02-10,54.5,58.450001,54.5,57.900002,57.900002,6325.0
2015-02-11,53.549999,53.849998,46.900002,48.299999,48.299999,73900.0
2015-02-12,50.75,50.75,44.200001,47.099998,47.099998,25068.0
2015-02-13,49.799999,49.799999,44.650002,45.099998,45.099998,9286.0
2015-02-16,46.900002,53.0,43.299999,50.5,50.5,48257.0
2015-02-18,50.5,53.0,48.0,49.950001,49.950001,12073.0
2015-02-19,50.0,52.0,48.049999,49.900002,49.900002,17185.0
2015-02-20,48.549999,52.75,48.200001,48.900002,48.900002,8702.0
2015-02-23,49.25,54.75,49.099998,49.950001,49.950001,17449.0
2015-02-24,50.0,50.0,46.099998,47.349998,47.349998,3263.0
2015-02-25,47.299999,49.799999,47.299999,47.950001,47.950001,4482.0
2015-02-26,47.099998,49.450001,46.25,46.700001,46.700001,2201.0
2015-02-27,47.049999,48.900002,46.75,47.75,47.75,3946.0
2015-02-28,,,,,,
2015-03-02,46.549999,48.950001,45.150002,45.450001,45.450001,2156.0
2015-03-03,45.299999,47.950001,45.099998,46.0,46.0,4476.0
2015-03-04,45.450001,46.0,44.400002,45.049999,45.049999,14264.0
2015-03-05,45.200001,46.299999,45.0,45.599998,45.599998,453.0
2015-03-09,45.599998,47.799999,44.049999,45.900002,45.900002,5587.0
2015-03-10,45.5,48.0,45.0,45.599998,45.599998,4573.0
2015-03-11,48.5,48.5,45.0,45.200001,45.200001,4760.0
2015-03-12,47.0,47.0,44.799999,45.049999,45.049999,6365.0
2015-03-13,49.400002,49.400002,45.0,45.700001,45.700001,4158.0
2015-03-16,44.799999,46.450001,44.650002,45.599998,45.599998,4486.0
2015-03-17,44.650002,46.200001,44.099998,44.150002,44.150002,4514.0
2015-03-18,45.75,46.5,44.0,44.0,44.0,4286.0
2015-03-19,43.299999,45.900002,43.299999,44.049999,44.049999,3344.0
2015-03-20,43.549999,45.950001,43.099998,45.25,45.25,11206.0
2015-03-23,45.5,45.700001,43.5,43.5,43.5,1823.0
2015-03-24,44.549999,44.700001,42.799999,43.400002,43.400002,1941.0
2015-03-25,41.75,44.5,40.5,40.849998,40.849998,9335.0
2015-03-26,40.700001,42.0,40.200001,40.549999,40.549999,8039.0
2015-03-27,40.200001,41.0,40.0,40.099998,40.099998,7228.0
2015-03-30,41.400002,44.0,41.400002,43.450001,43.450001,7281.0
2015-03-31,42.0,43.0,41.150002,41.349998,41.349998,6822.0
2015-04-01,42.950001,43.599998,41.349998,42.700001,42.700001,2856.0
2015-04-06,42.700001,43.5,42.099998,43.450001,43.450001,3388.0
2015-04-07,,,,,,
2015-04-08,46.700001,46.700001,44.5,45.0,45.0,4631.0
2015-04-09,44.299999,45.299999,43.349998,43.450001,43.450001,3408.0
2015-04-10,44.049999,47.299999,44.049999,46.400002,46.400002,15289.0
2015-04-13,46.049999,50.099998,46.0,48.450001,48.450001,30062.0
2015-04-15,48.450001,48.450001,48.450001,48.450001,48.450001,0.0
2015-04-16,51.0,54.450001,51.0,53.799999,53.799999,27058.0
2015-04-17,54.5,55.5,51.0,52.549999,52.549999,5220.0
2015-04-20,52.5,52.5,49.5,50.700001,50.700001,4137.0
2015-04-21,,,,,,
2015-04-22,48.25,51.650002,45.0,46.75,46.75,6383.0
2015-04-23,46.099998,49.349998,45.650002,47.200001,47.200001,1338.0
2015-04-24,,,,,,
2015-04-27,,,,,,
2015-04-28,,,,,,
2015-04-29,45.0,48.0,45.0,46.299999,46.299999,889.0
2015-04-30,,,,,,
2015-05-04,47.400002,52.0,46.549999,48.549999,48.549999,10913.0
2015-05-05,,,,,,
2015-05-06,48.150002,48.150002,46.25,46.349998,46.349998,4462.0
2015-05-07,45.599998,49.0,45.5,45.950001,45.950001,964.0
2015-05-08,,,,,,
