Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,16.9,17.299999,15.7,16.450001,16.450001,6769.0
2015-01-02,17.15,18.0,16.15,16.950001,16.950001,10165.0
2015-01-05,17.5,18.0,16.25,16.6,16.6,4867.0
2015-01-06,16.4,16.9,15.4,16.0,16.0,6088.0
2015-01-07,16.4,16.9,15.8,16.0,16.0,2792.0
2015-01-08,16.4,17.700001,16.0,17.549999,17.549999,10024.0
2015-01-09,17.5,17.75,17.0,17.75,17.75,4852.0
2015-01-12,17.0,17.75,16.5,17.6,17.6,315.0
2015-01-13,17.4,18.0,17.0,17.700001,17.700001,9063.0
2015-01-14,17.5,18.0,16.700001,17.200001,17.200001,1789.0
2015-01-15,17.0,17.1,16.5,16.6,16.6,3128.0
2015-01-16,17.0,18.0,17.0,17.4,17.4,10125.0
2015-01-19,17.200001,17.200001,17.200001,17.200001,17.200001,21.0
2015-01-20,17.1,17.75,17.0,17.200001,17.200001,6842.0
2015-01-21,19.0,19.0,17.15,17.5,17.5,630.0
2015-01-22,17.0,18.4,16.700001,17.65,17.65,253710.0
2015-01-23,19.4,19.450001,17.0,18.25,18.25,6700.0
2015-01-27,18.25,18.25,17.1,17.35,17.35,1211.0
2015-01-28,17.25,17.25,16.35,17.0,17.0,8754.0
2015-01-29,16.9,18.25,16.299999,16.75,16.75,2263.0
2015-01-30,16.799999,16.9,16.200001,16.5,16.5,3362.0
2015-02-02,16.6,17.0,16.549999,16.950001,16.950001,740.0
2015-02-03,16.85,17.450001,16.5,17.450001,17.450001,1408.0
2015-02-04,17.1,17.1,16.5,16.6,16.6,1006.0
2015-02-05,16.6,17.0,16.6,16.6,16.6,485.0
2015-02-06,18.0,18.6,16.799999,17.700001,17.700001,825.0
2015-02-09,17.4,17.4,16.299999,16.6,16.6,1868.0
2015-02-10,16.299999,16.35,16.1,16.299999,16.299999,1166.0
2015-02-11,16.049999,16.950001,16.049999,16.950001,16.950001,488.0
2015-02-12,16.9,17.700001,16.25,16.5,16.5,1322.0
2015-02-13,16.5,16.5,16.4,16.4,16.4,918.0
2015-02-16,16.200001,16.450001,15.5,16.0,16.0,1569.0
2015-02-18,16.0,18.450001,15.15,16.200001,16.200001,1447.0
2015-02-19,16.1,16.799999,15.25,16.049999,16.049999,1418.0
2015-02-20,16.1,16.1,15.6,15.65,15.65,7853.0
2015-02-23,15.65,15.8,14.55,15.4,15.4,50843.0
2015-02-24,15.9,15.95,15.4,15.5,15.5,1797.0
2015-02-25,16.9,17.0,15.25,15.6,15.6,12635.0
2015-02-26,15.95,15.95,15.95,15.95,15.95,201.0
2015-02-27,16.25,16.25,15.1,15.5,15.5,2164.0
2015-02-28,,,,,,
2015-03-02,16.450001,17.0,15.5,15.55,15.55,2619.0
2015-03-03,16.450001,16.450001,15.6,15.8,15.8,810.0
2015-03-04,16.25,16.25,15.6,15.65,15.65,12038.0
2015-03-05,15.5,15.75,15.45,15.5,15.5,19747.0
2015-03-09,15.5,16.0,15.5,15.95,15.95,2039.0
2015-03-10,16.25,16.25,15.95,16.0,16.0,835.0
2015-03-11,15.95,16.200001,15.7,15.7,15.7,259.0
2015-03-12,15.4,15.95,14.65,15.8,15.8,802.0
2015-03-13,15.5,15.75,15.5,15.5,15.5,1331.0
2015-03-16,15.4,15.95,15.1,15.65,15.65,21570.0
2015-03-17,18.0,18.0,14.45,15.05,15.05,3736.0
2015-03-18,17.5,17.5,14.25,14.4,14.4,783.0
2015-03-19,15.0,15.0,14.5,14.55,14.55,1360.0
2015-03-20,13.95,15.4,13.0,13.55,13.55,6777.0
2015-03-23,13.55,13.8,12.3,13.3,13.3,1123.0
2015-03-24,13.5,13.6,13.5,13.6,13.6,616.0
2015-03-25,13.55,14.35,12.7,13.2,13.2,2255.0
2015-03-26,12.8,13.0,12.35,12.55,12.55,4923.0
2015-03-27,12.5,13.7,12.5,12.55,12.55,660.0
2015-03-30,12.55,14.6,12.5,14.4,14.4,4534.0
2015-03-31,14.4,15.25,13.75,14.9,14.9,4784.0
2015-04-01,16.25,16.25,14.0,14.95,14.95,7421.0
2015-04-06,14.95,17.25,14.25,15.4,15.4,7186.0
2015-04-07,15.4,16.200001,15.4,15.6,15.6,3083.0
2015-04-08,15.5,15.85,15.3,15.5,15.5,1643.0
2015-04-09,16.0,16.0,15.0,15.8,15.8,5387.0
2015-04-10,15.7,15.75,15.15,15.7,15.7,5535.0
2015-04-13,15.9,15.9,15.5,15.8,15.8,1555.0
2015-04-15,15.8,16.4,15.0,15.3,15.3,8680.0
2015-04-16,18.35,18.35,15.1,15.25,15.25,2482.0
2015-04-17,15.75,15.75,15.15,15.25,15.25,1005.0
2015-04-20,15.0,15.7,14.25,15.0,15.0,2569.0
2015-04-21,14.55,15.5,14.55,15.05,15.05,389.0
2015-04-22,17.799999,17.799999,14.6,15.2,15.2,1199.0
2015-04-23,17.0,17.0,14.55,14.9,14.9,2383.0
2015-04-24,15.35,15.35,14.55,14.9,14.9,109.0
2015-04-27,14.7,15.0,14.5,14.95,14.95,1797.0
2015-04-28,14.8,15.3,14.4,14.6,14.6,518.0
2015-04-29,14.3,15.5,14.05,14.95,14.95,216.0
2015-04-30,14.6,15.3,14.5,15.0,15.0,5435.0
2015-05-04,15.0,15.0,14.5,15.0,15.0,360.0
2015-05-05,14.8,15.0,14.0,15.0,15.0,1270.0
2015-05-06,14.8,14.8,14.0,14.4,14.4,5040.0
2015-05-07,15.45,15.45,14.2,14.25,14.25,1155.0
2015-05-08,14.3,15.5,13.85,15.4,15.4,8617.0
2015-05-11,15.4,15.4,14.25,14.6,14.6,2642.0
2015-05-12,15.2,15.2,14.6,14.65,14.65,2328.0
2015-05-13,14.65,14.65,14.65,14.65,14.65,0.0
2015-05-14,15.0,15.0,15.0,15.0,15.0,5.0
2015-05-15,15.2,15.2,14.5,14.5,14.5,436.0
2015-05-18,14.55,15.5,13.5,14.7,14.7,6591.0
