Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,5.8,6.2,5.75,5.9,5.9,9496.0
2015-01-02,6.1,6.15,5.95,6.0,6.0,6432.0
2015-01-05,6.45,6.65,6.0,6.35,6.35,10600.0
2015-01-06,6.4,6.4,5.55,6.15,6.15,6351.0
2015-01-07,6.4,6.6,5.85,6.6,6.6,2282.0
2015-01-08,6.3,6.55,6.0,6.3,6.3,6745.0
2015-01-09,6.7,6.7,6.15,6.4,6.4,2710.0
2015-01-12,6.05,6.9,5.8,6.2,6.2,17293.0
2015-01-13,6.1,6.35,5.75,6.3,6.3,1979.0
2015-01-14,6.75,6.85,6.3,6.7,6.7,17822.0
2015-01-15,6.5,7.25,6.5,7.15,7.15,6718.0
2015-01-16,7.4,8.5,7.0,7.15,7.15,38968.0
2015-01-19,7.5,7.85,7.0,7.4,7.4,6793.0
2015-01-20,7.75,7.75,7.05,7.15,7.15,3883.0
2015-01-21,7.1,7.1,6.65,6.95,6.95,6925.0
2015-01-22,6.8,7.1,6.6,7.1,7.1,6775.0
2015-01-23,6.8,6.95,6.6,6.75,6.75,5974.0
2015-01-27,6.75,6.8,6.6,6.8,6.8,4564.0
2015-01-28,6.7,6.9,6.35,6.5,6.5,4205.0
2015-01-29,6.45,6.85,6.2,6.55,6.55,7423.0
2015-01-30,6.45,6.65,6.1,6.3,6.3,4628.0
2015-02-02,6.15,6.5,6.15,6.25,6.25,2078.0
2015-02-03,6.1,6.5,6.1,6.1,6.1,4588.0
2015-02-04,6.0,6.4,6.0,6.15,6.15,3955.0
2015-02-05,6.45,6.45,6.2,6.2,6.2,762.0
2015-02-06,6.3,6.35,6.3,6.35,6.35,715.0
2015-02-09,6.35,6.45,5.55,6.2,6.2,1751.0
2015-02-10,6.0,6.65,5.8,6.05,6.05,6730.0
2015-02-11,6.0,6.0,5.6,5.65,5.65,4384.0
2015-02-12,6.75,6.75,5.55,5.75,5.75,3754.0
2015-02-13,5.6,6.2,5.6,5.75,5.75,2765.0
2015-02-16,5.75,5.75,5.75,5.75,5.75,1.0
2015-02-18,5.75,6.2,5.6,5.7,5.7,12195.0
2015-02-19,5.7,6.0,5.7,5.95,5.95,1606.0
2015-02-20,5.85,6.0,5.75,5.9,5.9,2610.0
2015-02-23,6.0,6.0,5.65,5.75,5.75,6424.0
2015-02-24,5.8,5.8,5.75,5.75,5.75,3683.0
2015-02-25,5.65,6.0,5.15,5.7,5.7,5117.0
2015-02-26,5.65,5.9,5.65,5.9,5.9,2101.0
2015-02-27,5.75,5.95,5.35,5.95,5.95,4901.0
2015-02-28,,,,,,
2015-03-02,5.6,5.75,5.5,5.6,5.6,9309.0
2015-03-03,5.5,5.85,5.4,5.85,5.85,4998.0
2015-03-04,5.95,5.95,5.55,5.85,5.85,4517.0
2015-03-05,5.7,5.95,5.2,5.5,5.5,4099.0
2015-03-09,5.5,6.15,5.5,5.6,5.6,5717.0
2015-03-10,5.55,5.85,5.2,5.85,5.85,6683.0
2015-03-11,5.7,5.7,5.3,5.45,5.45,8294.0
2015-03-12,5.4,5.5,5.4,5.4,5.4,4708.0
2015-03-13,5.75,5.75,5.05,5.35,5.35,10704.0
2015-03-16,5.5,5.5,5.2,5.35,5.35,2124.0
2015-03-17,5.4,5.5,5.05,5.3,5.3,4410.0
2015-03-18,5.5,5.5,4.95,5.1,5.1,28881.0
2015-03-19,5.3,5.4,4.4,5.05,5.05,12054.0
2015-03-20,5.0,6.0,4.3,5.3,5.3,3522.0
2015-03-23,5.0,5.45,4.65,4.95,4.95,1145.0
2015-03-24,4.85,5.25,4.4,5.1,5.1,216.0
2015-03-25,4.85,4.95,4.3,4.95,4.95,2247.0
2015-03-26,4.85,4.9,4.3,4.85,4.85,2380.0
2015-03-27,5.15,5.15,4.4,4.55,4.55,1828.0
2015-03-30,4.4,4.9,4.4,4.65,4.65,4539.0
2015-03-31,5.55,5.55,4.55,4.75,4.75,1200.0
2015-04-01,5.3,5.7,4.65,5.5,5.5,8645.0
2015-04-06,5.5,5.8,5.15,5.45,5.45,5830.0
2015-04-07,5.3,5.5,4.8,5.3,5.3,10142.0
2015-04-08,5.85,6.2,5.35,6.0,6.0,14319.0
2015-04-09,5.9,6.6,5.4,5.7,5.7,12348.0
2015-04-10,5.6,5.65,5.6,5.6,5.6,2303.0
2015-04-13,5.5,6.5,5.5,6.15,6.15,4149.0
2015-04-15,6.15,6.2,6.15,6.2,6.2,5300.0
2015-04-16,6.0,6.35,5.85,6.1,6.1,3487.0
2015-04-17,5.9,6.0,5.65,6.0,6.0,2597.0
2015-04-20,5.8,6.0,5.45,5.65,5.65,5909.0
2015-04-21,5.65,5.9,5.65,5.85,5.85,618.0
2015-04-22,5.7,5.8,5.35,5.8,5.8,1563.0
2015-04-23,5.7,5.7,5.5,5.55,5.55,1951.0
2015-04-24,5.4,5.4,5.25,5.35,5.35,1078.0
2015-04-27,5.2,5.85,5.0,5.3,5.3,351.0
2015-04-28,5.1,5.25,5.1,5.2,5.2,3100.0
2015-04-29,5.1,5.95,5.1,5.2,5.2,2350.0
2015-04-30,5.1,5.45,4.85,4.9,4.9,8683.0
2015-05-04,4.9,5.1,4.9,5.0,5.0,3100.0
2015-05-05,4.9,5.05,4.85,5.0,5.0,6400.0
2015-05-06,5.0,5.15,4.7,4.7,4.7,3704.0
2015-05-07,4.5,5.6,4.45,5.4,5.4,3710.0
2015-05-08,5.5,5.5,4.8,4.85,4.85,752.0
2015-05-11,5.7,5.7,4.95,4.95,4.95,1562.0
2015-05-12,5.45,5.45,4.65,5.15,5.15,6776.0
2015-05-13,4.95,5.0,4.65,4.85,4.85,6675.0
2015-05-14,4.85,5.1,4.85,4.85,4.85,2459.0
2015-05-15,4.7,5.0,4.65,4.8,4.8,551.0
2015-05-18,4.7,4.8,4.7,4.8,4.8,714.0
2015-05-19,4.75,5.45,4.75,4.9,4.9,2594.0
2015-05-20,5.0,5.3,5.0,5.0,5.0,250.0
2015-05-21,5.0,5.45,4.85,5.05,5.05,2436.0
2015-05-22,4.85,5.4,4.85,5.0,5.0,1870.0
2015-05-25,4.85,4.85,4.8,4.8,4.8,3599.0
2015-05-26,4.8,5.2,4.2,4.4,4.4,3254.0
2015-05-27,4.4,4.95,4.4,4.95,4.95,3829.0
2015-05-28,4.95,4.95,4.55,4.8,4.8,3396.0
2015-05-29,4.7,4.7,4.55,4.7,4.7,2561.0
2015-06-01,4.95,4.95,4.75,4.8,4.8,1674.0
2015-06-02,4.75,4.9,4.2,4.8,4.8,11859.0
2015-06-03,4.75,4.75,4.15,4.2,4.2,3371.0
2015-06-04,4.0,4.55,3.65,4.2,4.2,1113.0
2015-06-05,4.0,4.6,3.65,4.45,4.45,2626.0
2015-06-08,4.4,4.4,4.15,4.15,4.15,1130.0
2015-06-09,4.1,4.45,3.6,4.1,4.1,13055.0
2015-06-10,4.55,4.55,3.95,4.5,4.5,2259.0
2015-06-11,4.1,4.9,3.85,4.4,4.4,7685.0
2015-06-12,4.1,4.1,4.0,4.1,4.1,106.0
2015-06-15,4.0,4.5,3.7,4.5,4.5,2121.0
2015-06-16,4.5,4.75,4.5,4.75,4.75,345.0
2015-06-17,4.6,4.95,4.6,4.95,4.95,2674.0
2015-06-18,4.85,4.85,4.5,4.5,4.5,510.0
2015-06-19,4.5,4.55,4.5,4.5,4.5,10139.0
2015-06-22,4.5,4.85,4.5,4.85,4.85,1925.0
2015-06-23,4.7,4.7,4.7,4.7,4.7,97.0
2015-06-24,4.6,4.85,4.55,4.85,4.85,2797.0
2015-06-25,4.6,5.5,4.55,5.0,5.0,4593.0
2015-06-26,4.95,5.0,4.65,4.65,4.65,5048.0
2015-06-29,4.6,5.0,4.1,4.85,4.85,7114.0
2015-06-30,4.65,5.0,4.65,4.9,4.9,1657.0
2015-07-01,4.65,4.8,4.6,4.65,4.65,1444.0
2015-07-02,4.65,4.65,4.65,4.65,4.65,500.0
2015-07-03,4.6,5.4,4.6,5.0,5.0,14170.0
2015-07-06,4.8,5.4,4.75,5.4,5.4,1202.0
2015-07-07,5.4,6.45,5.15,6.35,6.35,29467.0
2015-07-08,6.3,7.4,6.3,6.5,6.5,31296.0
2015-07-09,6.9,6.9,6.15,6.5,6.5,7404.0
2015-07-10,6.5,6.5,6.05,6.5,6.5,2937.0
2015-07-13,5.95,6.7,5.95,5.95,5.95,7353.0
2015-07-14,5.85,5.95,5.85,5.85,5.85,4560.0
2015-07-15,5.65,5.65,5.6,5.65,5.65,2735.0
2015-07-16,5.8,5.8,5.8,5.8,5.8,3010.0
2015-07-17,6.0,6.0,5.85,6.0,6.0,5506.0
2015-07-20,5.8,5.8,5.8,5.8,5.8,5502.0
2015-07-21,5.8,5.8,5.6,5.8,5.8,6006.0
2015-07-22,5.65,5.7,5.65,5.65,5.65,5624.0
2015-07-23,5.5,5.5,5.5,5.5,5.5,1000.0
2015-07-24,5.8,5.8,5.5,5.8,5.8,555.0
2015-07-27,5.7,6.0,5.7,5.7,5.7,2824.0
2015-07-28,5.7,5.7,5.7,5.7,5.7,0.0
2015-07-29,5.7,5.7,5.6,5.7,5.7,1184.0
2015-07-30,5.65,5.65,5.65,5.65,5.65,50.0
2015-07-31,5.9,5.9,5.9,5.9,5.9,2.0
2015-08-03,6.0,6.0,5.6,6.0,6.0,1600.0
2015-08-04,6.0,6.0,6.0,6.0,6.0,1850.0
2015-08-05,6.6,6.6,6.55,6.6,6.6,8570.0
2015-08-06,6.55,6.55,6.05,6.55,6.55,4525.0
2015-08-07,6.3,6.55,6.3,6.3,6.3,6530.0
2015-08-10,5.85,6.4,5.85,5.85,5.85,2407.0
2015-08-11,6.05,6.05,6.05,6.05,6.05,3000.0
2015-08-12,5.7,5.7,5.7,5.7,5.7,100.0
2015-08-13,5.95,6.15,5.95,5.95,5.95,7490.0
2015-08-14,5.95,5.95,5.95,5.95,5.95,0.0
2015-08-17,5.95,5.95,5.95,5.95,5.95,0.0
2015-08-18,5.75,6.0,5.75,5.75,5.75,3600.0
2015-08-19,6.3,6.3,5.5,6.3,6.3,559.0
2015-08-20,5.6,5.6,5.6,5.6,5.6,600.0
2015-08-21,5.65,5.8,5.65,5.65,5.65,2560.0
2015-08-24,5.25,5.25,5.25,5.25,5.25,5050.0
2015-08-25,5.0,5.3,5.0,5.0,5.0,8340.0
2015-08-26,5.0,5.0,5.0,5.0,5.0,3000.0
2015-08-27,5.0,5.0,4.85,5.0,5.0,2400.0
2015-08-28,4.75,4.75,4.75,4.75,4.75,150.0
2015-08-31,4.95,4.95,4.8,4.95,4.95,400.0
2015-09-01,5.0,5.0,5.0,5.0,5.0,1771.0
2015-09-02,5.05,5.05,5.05,5.05,5.05,2107.0
2015-09-03,5.05,5.5,5.05,5.05,5.05,51.0
2015-09-04,4.05,5.0,4.05,5.0,5.0,5.0
2015-09-07,5.0,5.0,5.0,5.0,5.0,1166.0
2015-09-08,5.0,5.0,4.25,5.0,5.0,7906.0
2015-09-09,5.0,5.0,5.0,5.0,5.0,25.0
2015-09-10,5.0,5.0,5.0,5.0,5.0,0.0
2015-09-11,4.6,4.6,4.6,4.6,4.6,100.0
2015-09-14,4.6,4.6,4.6,4.6,4.6,0.0
2015-09-15,4.6,4.6,4.6,4.6,4.6,0.0
2015-09-16,5.45,5.45,4.25,5.45,5.45,4500.0
2015-09-18,5.45,5.45,5.45,5.45,5.45,100.0
2015-09-21,5.45,5.45,5.45,5.45,5.45,0.0
2015-09-22,5.45,5.45,5.45,5.45,5.45,0.0
2015-09-23,4.65,4.65,4.65,4.65,4.65,1066.0
2015-09-24,5.5,5.55,4.7,5.5,5.5,1235.0
2015-09-28,5.5,5.5,4.55,4.6,4.6,1405.0
2015-09-29,4.5,4.5,4.5,4.5,4.5,25.0
2015-09-30,4.5,4.5,4.5,4.5,4.5,0.0
2015-10-01,4.5,4.5,4.5,4.5,4.5,0.0
2015-10-05,4.5,4.5,4.3,4.5,4.5,1170.0
2015-10-06,4.7,4.7,4.7,4.7,4.7,1240.0
2015-10-07,4.75,4.75,4.75,4.75,4.75,495.0
2015-10-08,4.75,4.75,4.75,4.75,4.75,0.0
2015-10-09,4.85,4.85,4.75,4.85,4.85,1600.0
2015-10-12,4.85,4.85,4.85,4.85,4.85,3763.0
2015-10-13,4.65,4.65,4.65,4.65,4.65,200.0
2015-10-14,4.5,4.5,4.45,4.5,4.5,125.0
2015-10-15,4.65,4.65,4.6,4.65,4.65,4000.0
2015-10-16,4.75,4.75,4.75,4.75,4.75,685.0
2015-10-19,4.75,4.75,4.75,4.75,4.75,500.0
2015-10-20,4.75,4.75,4.75,4.75,4.75,100.0
2015-10-21,4.75,4.75,4.75,4.75,4.75,1151.0
2015-10-23,4.75,4.85,4.75,4.85,4.85,350.0
2015-10-26,4.75,4.8,4.75,4.75,4.75,1500.0
2015-10-27,4.75,4.75,4.75,4.75,4.75,0.0
2015-10-28,4.75,4.75,4.75,4.75,4.75,0.0
2015-10-29,4.75,4.75,4.75,4.75,4.75,0.0
2015-10-30,4.55,4.55,4.55,4.55,4.55,200.0
2015-11-02,4.55,4.55,4.55,4.55,4.55,0.0
