Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,12.95,12.95,12.2,12.5,12.5,150.0
2015-01-02,14.0,14.0,11.9,11.95,11.95,1436.0
2015-01-05,12.15,12.15,12.1,12.1,12.1,461.0
2015-01-06,12.25,12.55,11.5,11.55,11.55,1399.0
2015-01-07,11.25,12.25,11.25,12.2,12.2,1500.0
2015-01-08,11.5,11.8,11.5,11.65,11.65,727.0
2015-01-09,11.5,11.8,11.2,11.8,11.8,1471.0
2015-01-12,11.5,11.5,11.5,11.5,11.5,14.0
2015-01-13,11.65,11.95,11.6,11.95,11.95,2040.0
2015-01-14,12.0,12.5,11.5,11.5,11.5,103.0
2015-01-15,11.5,12.5,11.5,12.5,12.5,580.0
2015-01-16,11.8,12.0,11.5,11.9,11.9,2214.0
2015-01-19,11.6,13.3,11.55,13.1,13.1,2531.0
2015-01-20,13.1,13.45,12.7,13.0,13.0,5364.0
2015-01-21,12.1,12.75,12.1,12.7,12.7,2391.0
2015-01-22,12.0,12.0,11.8,12.0,12.0,815.0
2015-01-23,12.1,14.0,12.1,12.6,12.6,2134.0
2015-01-27,12.6,12.6,12.1,12.15,12.15,40.0
2015-01-28,11.9,12.2,11.5,11.6,11.6,863.0
2015-01-29,11.0,12.0,11.0,12.0,12.0,694.0
2015-01-30,11.25,14.0,11.25,12.7,12.7,2638.0
2015-02-02,12.0,12.2,12.0,12.2,12.2,192.0
2015-02-03,11.4,12.0,11.4,12.0,12.0,115.0
2015-02-04,11.25,11.3,11.25,11.25,11.25,805.0
2015-02-05,12.0,13.5,11.9,11.9,11.9,6632.0
2015-02-06,11.5,12.65,11.5,12.55,12.55,3926.0
2015-02-09,11.2,12.8,10.6,12.8,12.8,103.0
2015-02-10,11.55,11.55,11.55,11.55,11.55,14.0
2015-02-11,11.75,12.3,11.1,11.25,11.25,1020.0
2015-02-12,11.1,11.5,11.0,11.5,11.5,1582.0
2015-02-13,11.15,11.8,11.1,11.2,11.2,791.0
2015-02-16,11.0,11.5,11.0,11.0,11.0,1216.0
2015-02-18,11.0,12.3,10.85,11.1,11.1,33.0
2015-02-19,11.4,11.4,11.4,11.4,11.4,200.0
2015-02-20,11.5,12.25,11.5,12.0,12.0,740.0
2015-02-23,11.3,11.4,11.3,11.3,11.3,8700.0
2015-02-24,11.5,11.6,9.3,9.75,9.75,61557.0
2015-02-25,9.75,10.25,9.75,10.2,10.2,5306.0
2015-02-26,9.65,10.2,9.65,9.7,9.7,1515.0
2015-02-27,9.85,10.15,9.85,10.1,10.1,138.0
2015-02-28,,,,,,
2015-03-02,9.5,9.9,9.5,9.9,9.9,420.0
2015-03-03,9.6,10.2,9.6,10.15,10.15,909.0
2015-03-04,9.75,10.15,9.75,10.15,10.15,348.0
2015-03-05,9.8,9.8,9.5,9.6,9.6,67.0
2015-03-09,9.6,11.0,7.85,10.0,10.0,2912.0
2015-03-10,10.0,10.2,10.0,10.2,10.2,45.0
2015-03-11,9.8,9.85,8.2,8.9,8.9,9315.0
2015-03-12,9.0,9.05,9.0,9.05,9.05,432.0
2015-03-13,9.8,9.8,9.0,9.1,9.1,64.0
2015-03-16,9.1,9.1,9.1,9.1,9.1,0.0
2015-03-17,9.5,9.5,9.15,9.15,9.15,62.0
2015-03-18,9.3,9.3,9.3,9.3,9.3,14.0
2015-03-19,9.0,9.0,9.0,9.0,9.0,14.0
2015-03-20,8.4,8.4,8.25,8.25,8.25,3.0
2015-03-23,8.05,8.1,8.05,8.1,8.1,40.0
2015-03-24,8.2,9.5,8.2,9.5,9.5,165.0
2015-03-25,9.5,9.5,8.3,9.5,9.5,402.0
2015-03-26,9.9,9.9,9.45,9.45,9.45,10.0
2015-03-27,9.0,9.0,8.5,8.6,8.6,79.0
2015-03-30,9.75,9.75,8.5,8.5,8.5,115.0
2015-03-31,8.1,9.8,8.1,9.45,9.45,1203.0
2015-04-01,8.9,8.9,8.5,8.6,8.6,3360.0
2015-04-06,8.6,8.6,8.6,8.6,8.6,200.0
2015-04-07,7.75,9.95,7.3,8.75,8.75,3307.0
2015-04-08,8.5,8.5,8.5,8.5,8.5,500.0
2015-04-09,9.3,9.3,9.3,9.3,9.3,14.0
2015-04-10,9.5,11.1,9.1,11.1,11.1,1973.0
2015-04-13,10.2,11.6,9.45,11.2,11.2,2316.0
2015-04-15,11.2,11.2,9.45,10.9,10.9,1622.0
2015-04-16,10.25,10.35,10.25,10.35,10.35,243.0
2015-04-17,10.1,10.25,10.0,10.0,10.0,632.0
2015-04-20,10.25,10.7,10.05,10.5,10.5,1862.0
2015-04-21,10.25,10.7,10.25,10.7,10.7,143.0
2015-04-22,10.9,12.25,10.9,12.2,12.2,2871.0
2015-04-23,13.5,13.5,11.4,12.8,12.8,9500.0
2015-04-24,13.4,13.4,12.25,12.25,12.25,93.0
2015-04-27,11.4,12.9,10.85,12.4,12.4,1027.0
2015-04-28,12.3,12.4,11.5,11.6,11.6,262.0
2015-04-29,11.6,11.6,11.6,11.6,11.6,0.0
2015-04-30,11.6,11.6,11.6,11.6,11.6,0.0
2015-05-04,11.6,12.3,11.0,11.1,11.1,601.0
2015-05-05,11.25,11.25,11.25,11.25,11.25,56.0
2015-05-06,11.25,11.95,10.6,11.95,11.95,594.0
2015-05-07,10.85,11.75,10.8,11.75,11.75,432.0
2015-05-08,11.05,11.05,11.0,11.0,11.0,550.0
2015-05-11,11.0,11.45,10.35,11.45,11.45,2618.0
2015-05-12,11.05,11.05,11.05,11.05,11.05,14.0
2015-05-13,11.0,11.0,11.0,11.0,11.0,100.0
2015-05-14,11.5,11.5,11.0,11.0,11.0,801.0
2015-05-15,10.15,11.0,10.15,11.0,11.0,2.0
2015-05-18,11.0,11.0,11.0,11.0,11.0,801.0
2015-05-19,11.0,11.0,11.0,11.0,11.0,300.0
2015-05-20,11.0,11.0,11.0,11.0,11.0,400.0
2015-05-21,11.0,11.8,11.0,11.8,11.8,1000.0
2015-05-22,11.05,11.25,11.05,11.25,11.25,789.0
2015-05-25,11.25,11.25,11.25,11.25,11.25,50.0
2015-05-26,10.7,10.7,10.7,10.7,10.7,200.0
2015-05-27,10.7,10.7,10.7,10.7,10.7,0.0
2015-05-28,10.7,10.7,10.7,10.7,10.7,0.0
2015-05-29,9.8,10.5,9.8,10.5,10.5,212.0
2015-06-01,10.4,10.4,10.0,10.0,10.0,81.0
2015-06-02,10.0,10.5,10.0,10.45,10.45,7039.0
2015-06-03,9.85,10.95,9.5,10.1,10.1,1920.0
2015-06-04,9.3,10.0,9.25,9.4,9.4,1093.0
2015-06-05,9.25,9.25,9.1,9.1,9.1,41.0
2015-06-08,9.1,9.1,9.1,9.1,9.1,0.0
2015-06-09,9.35,9.5,9.3,9.5,9.5,128.0
2015-06-10,10.0,10.0,10.0,10.0,10.0,170.0
2015-06-11,10.0,10.0,10.0,10.0,10.0,0.0
2015-06-12,10.0,10.8,9.15,9.65,9.65,485.0
2015-06-15,9.65,9.65,9.65,9.65,9.65,0.0
2015-06-16,9.7,10.5,9.45,10.0,10.0,1042.0
2015-06-17,10.0,10.25,9.8,9.8,9.8,2012.0
2015-06-18,9.8,9.8,9.8,9.8,9.8,0.0
2015-06-19,9.4,9.4,9.4,9.4,9.4,96.0
2015-06-22,10.1,10.2,10.1,10.2,10.2,1368.0
2015-06-23,10.2,10.5,9.6,10.1,10.1,1326.0
2015-06-24,10.0,10.9,10.0,10.9,10.9,638.0
2015-06-25,10.15,10.2,10.15,10.15,10.15,1480.0
2015-06-26,9.65,11.0,9.65,10.9,10.9,1331.0
2015-06-29,10.6,10.6,10.6,10.6,10.6,2.0
2015-06-30,10.6,10.6,10.5,10.6,10.6,787.0
2015-07-01,10.6,10.6,10.6,10.6,10.6,0.0
2015-07-02,10.3,10.3,10.3,10.3,10.3,14.0
2015-07-03,10.8,10.8,10.35,10.8,10.8,600.0
2015-07-06,10.95,11.3,10.95,11.3,11.3,1530.0
2015-07-07,11.85,11.85,11.85,11.85,11.85,750.0
2015-07-08,12.1,12.4,12.1,12.25,12.25,2796.0
2015-07-09,12.4,12.8,12.0,12.0,12.0,135.0
2015-07-10,12.0,12.5,11.5,11.5,11.5,222.0
2015-07-13,12.05,12.05,11.25,11.6,11.6,510.0
2015-07-14,11.35,12.0,11.25,12.0,12.0,550.0
2015-07-15,11.8,12.6,11.8,12.1,12.1,2006.0
2015-07-16,12.0,12.25,12.0,12.25,12.25,1301.0
2015-07-17,12.5,12.5,11.7,12.4,12.4,1300.0
2015-07-20,12.4,12.4,11.85,12.0,12.0,615.0
