Date,Open,High,Low,Close,Adj Close,Volume
2017-07-04,170.0,175.0,162.0,171.649994,170.413773,14138363
2017-07-05,170.199997,172.300003,167.300003,169.899994,168.676376,779615
2017-07-06,171.0,176.0,168.350006,171.75,170.513046,1181250
2017-07-07,172.0,183.25,168.0,179.199997,177.909393,3137606
2017-07-10,178.0,184.699997,175.0,183.199997,181.880585,575129
2017-07-11,183.5,190.449997,176.300003,177.350006,176.072723,1780195
2017-07-12,179.149994,183.899994,178.0,180.75,179.448227,838264
2017-07-13,182.399994,185.5,178.5,180.100006,178.80291699999998,907601
2017-07-14,181.0,184.899994,164.050003,170.800003,169.569901,1203937
2017-07-17,171.100006,174.0,169.100006,170.0,168.77565,302605
2017-07-18,169.100006,171.949997,166.199997,167.149994,165.946182,188357
2017-07-19,168.149994,170.0,167.199997,168.050003,166.839706,114062
2017-07-20,169.399994,169.800003,165.050003,166.600006,165.400146,194347
2017-07-21,165.199997,168.949997,163.0,163.399994,162.223175,298067
2017-07-24,163.300003,164.449997,155.649994,156.800003,155.67073100000002,203695
2017-07-25,155.649994,161.0,150.0,155.0,153.883682,422546
2017-07-26,155.699997,158.0,155.699997,156.399994,155.27358999999998,197420
2017-07-27,156.899994,161.800003,155.600006,156.800003,155.67073100000002,173457
2017-07-28,154.149994,159.399994,154.149994,156.600006,155.47216799999998,129568
2017-07-31,156.0,158.949997,156.0,157.550003,156.415329,130338
2017-08-01,157.550003,157.649994,147.75,151.75,150.65708899999998,97587
2017-08-02,152.0,155.0,150.199997,151.800003,150.706741,110713
2017-08-03,151.100006,153.0,145.0,147.350006,146.28878799999998,96801
2017-08-04,148.649994,148.649994,141.25,142.449997,141.424072,266775
2017-08-07,142.199997,148.5,142.199997,146.149994,145.09741200000002,205690
2017-08-08,148.199997,150.0,142.600006,143.850006,142.813995,109122
2017-08-09,147.0,150.0,141.100006,144.199997,143.16146899999998,490616
2017-08-10,144.75,149.300003,142.600006,147.449997,146.38806200000002,160537
2017-08-11,144.0,146.0,141.0,141.949997,140.927673,69578
2017-08-14,143.050003,143.5,139.0,141.25,140.23271200000002,80830
2017-08-16,141.25,150.649994,141.050003,146.199997,145.147064,273610
2017-08-17,146.0,146.600006,141.0,141.800003,140.778763,87350
2017-08-18,141.199997,142.899994,141.0,141.899994,140.878021,75974
2017-08-21,142.5,142.800003,135.0,137.149994,136.16223100000002,503003
2017-08-22,136.550003,138.350006,130.25,131.899994,130.950043,116382
2017-08-23,133.75,133.75,127.0,127.949997,127.02849599999999,127098
2017-08-24,126.25,133.199997,126.25,131.899994,130.950043,187918
2017-08-28,131.899994,136.600006,131.899994,134.649994,133.680237,88637
2017-08-29,134.0,134.0,129.75,130.850006,129.907623,54591
2017-08-30,131.149994,134.0,131.149994,133.550003,132.588165,30318
