Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,3.0,3.1,3.0,3.0,3.0,33744.0
2015-01-02,2.9,3.1,2.9,3.1,3.1,28072.0
2015-01-05,3.0,3.15,3.0,3.0,3.0,30878.0
2015-01-06,3.0,3.15,2.85,2.9,2.9,29912.0
2015-01-07,3.0,3.0,2.7,2.75,2.75,142051.0
2015-01-08,2.95,2.95,2.7,2.9,2.9,27125.0
2015-01-09,2.9,3.0,2.85,2.85,2.85,15198.0
2015-01-12,2.85,2.95,2.75,2.95,2.95,11350.0
2015-01-13,2.95,3.0,2.6,2.65,2.65,89518.0
2015-01-14,2.6,2.8,2.6,2.8,2.8,53439.0
2015-01-15,2.8,2.95,2.7,2.8,2.8,89803.0
2015-01-16,2.65,2.8,2.65,2.8,2.8,47490.0
2015-01-19,2.65,2.85,2.65,2.8,2.8,46307.0
2015-01-20,2.7,2.85,2.7,2.8,2.8,24888.0
2015-01-21,2.7,2.85,2.7,2.8,2.8,17833.0
2015-01-22,2.7,2.85,2.65,2.7,2.7,85006.0
2015-01-23,2.7,2.75,2.65,2.75,2.75,23018.0
2015-01-27,2.75,2.9,2.6,2.75,2.75,28754.0
2015-01-28,2.65,2.8,2.65,2.75,2.75,40852.0
2015-01-29,2.7,2.8,2.55,2.65,2.65,48834.0
2015-01-30,2.65,3.15,2.65,2.95,2.95,55531.0
2015-02-02,2.65,3.1,2.65,3.05,3.05,56525.0
2015-02-03,3.0,3.0,2.85,2.85,2.85,24053.0
2015-02-04,2.7,3.05,2.7,2.95,2.95,7213.0
2015-02-05,3.15,3.3,2.8,2.8,2.8,50610.0
2015-02-06,3.2,3.2,2.8,2.8,2.8,13761.0
2015-02-09,2.65,3.0,2.55,2.6,2.6,184525.0
2015-02-10,2.6,2.75,2.55,2.65,2.65,83978.0
2015-02-11,2.55,3.1,2.55,2.8,2.8,97042.0
2015-02-12,2.65,2.85,2.6,2.75,2.75,41395.0
2015-02-13,2.95,2.95,2.65,2.7,2.7,56042.0
2015-02-16,2.65,2.7,2.55,2.65,2.65,65480.0
2015-02-18,2.65,3.1,2.55,2.7,2.7,195971.0
2015-02-19,2.65,3.2,2.65,3.2,3.2,373647.0
2015-02-20,3.7,3.8,3.1,3.7,3.7,606789.0
2015-02-23,3.95,3.95,3.5,3.55,3.55,416256.0
2015-02-24,3.35,3.7,3.2,3.3,3.3,480868.0
2015-02-25,3.2,3.5,3.2,3.25,3.25,336795.0
2015-02-26,3.2,3.35,3.1,3.15,3.15,166669.0
2015-02-27,3.15,3.45,3.05,3.3,3.3,317752.0
2015-02-28,,,,,,
2015-03-02,3.3,3.35,3.1,3.2,3.2,116268.0
2015-03-03,3.0,3.35,3.0,3.3,3.3,42371.0
2015-03-04,3.15,3.25,3.0,3.1,3.1,94034.0
2015-03-05,3.2,3.2,3.0,3.0,3.0,35572.0
2015-03-09,3.0,3.25,2.85,3.15,3.15,88803.0
2015-03-10,3.05,3.35,2.95,3.2,3.2,59564.0
2015-03-11,3.05,3.35,3.05,3.2,3.2,76212.0
2015-03-12,3.05,3.3,3.05,3.2,3.2,19510.0
2015-03-13,3.25,3.25,3.1,3.1,3.1,13594.0
2015-03-16,3.1,3.15,2.95,3.05,3.05,35289.0
2015-03-17,2.95,3.1,2.95,3.05,3.05,73553.0
2015-03-18,2.9,3.15,2.9,3.0,3.0,37859.0
2015-03-19,2.9,3.15,2.9,2.9,2.9,69276.0
2015-03-20,2.9,3.05,2.9,2.95,2.95,120804.0
2015-03-23,3.05,3.05,2.75,2.8,2.8,136874.0
2015-03-24,2.85,2.9,2.65,2.75,2.75,124788.0
2015-03-25,2.65,2.8,2.65,2.8,2.8,104892.0
2015-03-26,2.65,2.85,2.65,2.85,2.85,51691.0
2015-03-27,2.9,2.9,2.7,2.8,2.8,24791.0
2015-03-30,2.65,2.9,2.65,2.7,2.7,58644.0
2015-03-31,2.7,3.15,2.7,3.05,3.05,87284.0
2015-04-01,3.35,3.35,3.0,3.1,3.1,39649.0
2015-04-06,3.1,3.15,3.0,3.1,3.1,28972.0
2015-04-07,3.2,3.2,3.05,3.05,3.05,13835.0
2015-04-08,3.1,3.15,3.0,3.1,3.1,26477.0
2015-04-09,3.25,3.65,3.15,3.2,3.2,360439.0
2015-04-10,3.4,3.4,3.1,3.15,3.15,95818.0
2015-04-13,3.0,3.3,3.0,3.25,3.25,14367.0
2015-04-15,3.25,3.25,3.1,3.15,3.15,103863.0
2015-04-16,3.05,3.3,3.05,3.1,3.1,78909.0
2015-04-17,3.1,3.15,3.0,3.0,3.0,52799.0
2015-04-20,3.15,3.2,3.0,3.05,3.05,35104.0
2015-04-21,3.0,3.1,3.0,3.05,3.05,20385.0
2015-04-22,3.25,3.25,2.9,3.1,3.1,32675.0
2015-04-23,3.15,3.15,2.95,3.0,3.0,22713.0
2015-04-24,3.0,3.1,2.95,2.95,2.95,20093.0
2015-04-27,2.95,3.0,2.9,2.95,2.95,18125.0
2015-04-28,2.95,3.0,2.8,2.85,2.85,14436.0
2015-04-29,2.75,3.05,2.75,3.05,3.05,10448.0
2015-04-30,3.0,3.05,2.85,2.95,2.95,14300.0
2015-05-04,2.95,3.15,2.9,3.0,3.0,9712.0
2015-05-05,2.85,3.15,2.85,3.0,3.0,13153.0
2015-05-06,2.9,2.95,2.85,2.9,2.9,5289.0
2015-05-07,2.75,3.0,2.7,2.9,2.9,26544.0
2015-05-08,2.9,3.4,2.9,3.15,3.15,195926.0
2015-05-11,3.1,3.15,3.0,3.05,3.05,10155.0
2015-05-12,3.1,3.1,2.8,2.95,2.95,22237.0
2015-05-13,3.0,3.1,2.9,2.9,2.9,8412.0
2015-05-14,2.9,3.05,2.9,2.95,2.95,2170.0
2015-05-15,2.95,2.95,2.85,2.95,2.95,9929.0
2015-05-18,3.05,3.05,2.85,3.0,3.0,8075.0
2015-05-19,3.1,3.1,2.85,2.9,2.9,1337.0
2015-05-20,2.9,3.15,2.85,2.95,2.95,36547.0
2015-05-21,2.9,3.05,2.85,2.9,2.9,14671.0
2015-05-22,2.9,3.0,2.85,2.95,2.95,17104.0
2015-05-25,2.8,3.0,2.8,2.9,2.9,21293.0
2015-05-26,2.8,3.05,2.65,2.85,2.85,58377.0
2015-05-27,2.85,3.0,2.75,2.9,2.9,51383.0
2015-05-28,3.05,3.05,2.8,2.85,2.85,8422.0
2015-05-29,2.75,2.9,2.75,2.8,2.8,15191.0
2015-06-01,2.8,2.9,2.75,2.85,2.85,12723.0
2015-06-02,2.8,2.9,2.7,2.75,2.75,13820.0
