Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,275.75,277.399994,273.549988,276.299988,269.161346,1042050.0
2015-01-02,276.299988,277.899994,273.5,275.100006,267.992371,1471143.0
2015-01-05,275.899994,280.75,274.549988,277.799988,270.62262000000004,2167401.0
2015-01-06,277.399994,277.399994,260.299988,262.649994,255.86402900000002,2786525.0
2015-01-07,263.0,268.450012,256.100006,266.25,259.371033,2122221.0
2015-01-08,267.299988,274.5,267.299988,273.799988,266.725952,1570782.0
2015-01-09,275.700012,275.700012,269.200012,273.100006,266.044037,1733358.0
2015-01-12,274.899994,274.899994,268.100006,270.850006,263.852203,1060034.0
2015-01-13,271.0,273.299988,268.5,270.350006,263.365143,1623957.0
2015-01-14,269.0,270.899994,258.950012,263.649994,256.838196,2123170.0
2015-01-15,265.0,268.799988,263.100006,266.25,259.371033,2913614.0
2015-01-16,266.0,274.149994,265.0,271.649994,264.631531,1758970.0
2015-01-19,273.100006,277.899994,269.450012,271.600006,264.582794,1211700.0
2015-01-20,272.299988,274.299988,270.0,271.299988,264.29055800000003,769630.0
2015-01-21,272.200012,273.600006,268.25,272.100006,265.069885,1133422.0
2015-01-22,273.0,281.5,272.0,280.200012,272.960632,2371577.0
2015-01-23,284.0,284.899994,275.0,280.200012,272.960632,2536747.0
2015-01-27,280.200012,283.0,273.0,276.299988,269.161346,1147451.0
2015-01-28,277.0,278.899994,264.0,268.450012,261.51419100000004,2231856.0
2015-01-29,264.0,266.799988,259.25,263.100006,256.302429,4001604.0
2015-01-30,265.0,265.5,257.350006,258.450012,251.772568,1672149.0
2015-02-02,258.5,259.399994,249.5,250.25,243.78442400000003,3067615.0
2015-02-03,251.19999700000002,251.600006,242.19999700000002,247.649994,241.251587,4337167.0
2015-02-04,248.899994,254.399994,243.0,250.649994,244.17407200000002,3557301.0
2015-02-05,251.899994,255.899994,246.19999700000002,249.0,242.56672700000001,2565696.0
2015-02-06,249.399994,250.69999700000002,243.0,244.399994,238.085556,2025770.0
2015-02-09,244.399994,251.899994,240.05000299999998,246.850006,240.47226,1814927.0
2015-02-10,246.399994,252.80000299999998,244.5,249.850006,243.39476000000002,1711428.0
2015-02-11,251.100006,261.649994,250.69999700000002,260.5,253.769592,1697080.0
2015-02-12,261.899994,266.350006,258.0,261.850006,255.08471699999998,3366830.0
2015-02-13,263.0,271.0,263.0,269.700012,262.731903,1477640.0
2015-02-16,271.25,272.299988,264.5,267.149994,260.247772,860832.0
2015-02-18,267.149994,270.0,264.649994,268.850006,261.90387000000004,627863.0
2015-02-19,270.0,273.799988,268.0,272.700012,265.654388,1138597.0
2015-02-20,273.100006,276.899994,269.700012,271.450012,264.436676,1182074.0
2015-02-23,271.75,272.899994,265.649994,268.700012,261.757721,986044.0
2015-02-24,268.700012,275.0,267.200012,274.450012,267.359161,1506429.0
2015-02-25,276.600006,278.649994,265.549988,268.200012,261.27066,2216601.0
2015-02-26,267.950012,268.649994,262.850006,263.799988,256.98431400000004,1549534.0
2015-02-27,265.450012,274.700012,265.450012,273.899994,266.823395,1105777.0
2015-02-28,,,,,,
2015-03-02,272.5,280.25,270.049988,278.549988,271.353241,1334769.0
2015-03-03,279.75,288.5,276.200012,283.0,275.688263,2032666.0
2015-03-04,285.899994,289.950012,271.899994,278.25,271.06100499999997,1938459.0
2015-03-05,279.0,281.899994,273.399994,276.75,269.599762,571934.0
2015-03-09,276.75,285.649994,271.5,284.399994,277.05212400000005,1597199.0
2015-03-10,285.0,290.899994,281.950012,286.649994,279.243958,1154212.0
2015-03-11,288.0,291.299988,281.399994,283.100006,275.785706,1603729.0
2015-03-12,284.5,294.899994,283.5,294.200012,286.598907,1468191.0
2015-03-13,295.5,299.299988,289.299988,294.25,286.64761400000003,2694057.0
2015-03-16,294.0,301.350006,286.549988,295.149994,287.52435299999996,2217917.0
2015-03-17,296.899994,299.850006,292.600006,298.700012,290.982666,1631895.0
2015-03-18,298.700012,299.25,291.700012,296.799988,289.131683,2291214.0
2015-03-19,299.899994,305.75,297.799988,299.649994,291.908081,1786061.0
2015-03-20,299.0,302.0,294.100006,300.399994,292.638702,1328149.0
2015-03-23,300.399994,315.850006,299.899994,313.75,305.643829,2728886.0
2015-03-24,314.5,315.700012,302.75,304.549988,296.681488,1572199.0
2015-03-25,305.799988,308.649994,299.100006,303.600006,295.756073,1690102.0
2015-03-26,303.5,313.0,300.0,308.850006,300.870392,1905101.0
2015-03-27,309.850006,310.399994,298.899994,303.25,295.4151,1870496.0
2015-03-30,305.0,309.5,303.600006,308.649994,300.675568,795726.0
