Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,83.900002,85.199997,83.5,83.800003,82.460274,162841.0
2015-01-05,,,,,,
2015-01-06,,,,,,
2015-01-07,,,,,,
2015-01-08,,,,,,
2015-01-09,,,,,,
2015-01-12,,,,,,
2015-01-13,80.849998,89.0,80.449997,85.5,84.133095,1522874.0
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-27,88.0,89.400002,86.300003,86.650002,85.264709,163857.0
2015-01-28,87.0,88.5,85.0,86.199997,84.821899,204151.0
2015-01-29,88.5,88.5,86.150002,87.050003,85.65831800000001,310114.0
2015-01-30,88.0,89.900002,87.5,88.150002,86.74073,290081.0
2015-02-02,88.650002,89.300003,86.050003,87.699997,86.29791999999999,199515.0
2015-02-03,88.900002,89.0,87.5,88.449997,87.035927,160056.0
2015-02-04,88.5,88.75,85.0,86.400002,85.01870699999999,115687.0
2015-02-05,87.0,88.400002,85.0,85.800003,84.428299,116814.0
2015-02-06,86.0,86.0,80.199997,81.5,80.19704399999999,189058.0
2015-02-09,,,,,,
2015-02-10,80.400002,80.400002,76.949997,77.400002,76.16259000000001,218645.0
2015-02-11,78.0,78.949997,77.099998,77.849998,76.60539200000001,159862.0
2015-02-12,,,,,,
2015-02-13,,,,,,
2015-02-16,,,,,,
2015-02-18,81.199997,83.949997,80.0,82.5,81.181053,202838.0
2015-02-19,,,,,,
2015-02-20,83.400002,83.650002,80.099998,81.050003,79.754242,161479.0
2015-02-23,82.699997,83.300003,78.650002,79.400002,78.130615,232365.0
2015-02-24,80.5,80.550003,78.199997,78.75,77.491005,124988.0
2015-02-25,78.800003,80.5,78.0,78.25,76.999001,91349.0
2015-02-26,,,,,,
2015-02-27,,,,,,
2015-02-28,,,,,,
2015-03-02,,,,,,
2015-03-03,84.949997,87.300003,84.300003,85.400002,84.03469100000001,557619.0
2015-03-04,86.199997,87.25,83.0,83.599998,82.26346600000001,491342.0
2015-03-05,84.650002,85.25,83.599998,84.400002,83.050682,280745.0
2015-03-09,84.400002,85.400002,79.800003,80.5,79.21302800000001,263956.0
2015-03-10,,,,,,
2015-03-11,79.25,80.5,77.199997,77.599998,76.35939,219771.0
2015-03-12,,,,,,
