Date,Open,High,Low,Close,Adj Close,Volume
2016-01-13,17.75,18.65,14.25,15.9,15.9,901813.0
2016-01-14,15.0,15.9,14.25,15.15,15.15,138708.0
2016-01-15,15.25,15.65,14.4,14.5,14.5,101465.0
2016-01-18,14.3,14.7,13.2,13.35,13.35,159178.0
2016-01-19,13.7,14.4,13.15,13.9,13.9,295115.0
2016-01-20,13.8,14.0,12.8,13.2,13.2,171333.0
2016-01-21,13.6,13.85,12.65,12.75,12.75,133538.0
2016-01-22,13.2,13.85,13.05,13.65,13.65,63969.0
2016-01-25,13.95,14.8,13.75,14.2,14.2,115219.0
2016-01-27,14.2,14.2,14.2,14.2,14.2,0.0
2016-01-28,14.75,14.75,13.2,13.65,13.65,68619.0
2016-01-29,13.8,14.25,13.6,13.95,13.95,60486.0
2016-02-01,13.8,14.7,13.3,14.1,14.1,88749.0
2016-02-02,14.45,14.65,13.65,13.75,13.75,85475.0
2016-02-03,13.7,13.7,12.7,12.85,12.85,159234.0
2016-02-04,13.4,13.4,12.75,12.85,12.85,48219.0
2016-02-05,13.0,13.25,12.6,13.1,13.1,60849.0
2016-02-08,13.2,13.5,12.65,12.8,12.8,42867.0
2016-02-09,12.75,12.9,12.4,12.6,12.6,68744.0
2016-02-10,12.65,13.0,12.15,12.3,12.3,52695.0
2016-02-11,12.2,12.5,11.1,11.3,11.3,121823.0
2016-02-12,11.3,11.95,10.7,11.8,11.8,61464.0
2016-02-15,12.5,12.5,11.55,11.85,11.85,123866.0
2016-02-16,12.0,12.0,11.2,11.3,11.3,30543.0
2016-02-17,11.95,11.95,10.3,10.7,10.7,346289.0
2016-02-18,10.8,10.8,10.3,10.65,10.65,227871.0
2016-02-19,10.85,11.45,10.3,10.6,10.6,101579.0
2016-02-22,11.0,11.4,10.6,10.7,10.7,101199.0
2016-02-23,11.2,11.2,10.1,10.5,10.5,58991.0
2016-02-24,10.95,10.95,9.5,9.9,9.9,150738.0
2016-02-25,10.1,10.35,9.9,9.95,9.95,35025.0
2016-02-26,10.0,10.0,9.2,9.3,9.3,73589.0
2016-02-29,9.9,9.9,9.1,9.4,9.4,36559.0
2016-03-01,9.95,10.35,9.5,10.25,10.25,85233.0
2016-03-02,10.5,10.95,10.35,10.75,10.75,126744.0
2016-03-03,10.9,11.2,10.6,11.15,11.15,88359.0
2016-03-04,11.25,11.4,10.8,11.1,11.1,130780.0
2016-03-08,11.1,11.5,10.75,11.1,11.1,31507.0
2016-03-09,11.3,11.3,10.8,11.0,11.0,45224.0
2016-03-10,11.2,11.3,10.65,10.7,10.7,61106.0
2016-03-11,11.0,11.0,10.75,10.8,10.8,54595.0
2016-03-14,11.2,11.2,10.4,10.6,10.6,35764.0
2016-03-15,11.0,11.0,9.95,10.15,10.15,54837.0
2016-03-16,10.15,10.4,10.0,10.3,10.3,7740.0
2016-03-17,10.35,11.0,10.35,10.7,10.7,41631.0
2016-03-18,11.1,11.1,10.4,10.55,10.55,34603.0
2016-03-21,11.1,11.1,10.0,10.05,10.05,100384.0
2016-03-22,10.05,10.55,10.0,10.25,10.25,49342.0
2016-03-23,10.45,10.45,10.1,10.25,10.25,17332.0
2016-03-28,10.25,10.5,10.0,10.05,10.05,99508.0
2016-03-29,10.0,10.2,9.9,10.0,10.0,94469.0
2016-03-30,10.35,11.25,10.0,10.8,10.8,101984.0
