Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,7.8,8.15,7.6,7.9,7.9,116441.0
2015-01-02,7.8,8.4,7.8,8.05,8.05,279495.0
2015-01-05,8.1,8.3,8.0,8.15,8.15,123612.0
2015-01-06,8.0,8.15,7.75,7.8,7.8,233608.0
2015-01-07,7.85,7.95,7.6,7.65,7.65,123553.0
2015-01-08,7.8,8.05,7.8,7.85,7.85,142361.0
2015-01-09,7.85,7.95,7.7,7.75,7.75,74853.0
2015-01-12,7.6,8.0,7.6,7.95,7.95,68686.0
2015-01-13,8.0,8.0,7.75,7.85,7.85,49931.0
2015-01-14,7.8,8.05,7.8,7.9,7.9,113511.0
2015-01-15,8.1,8.15,7.9,7.95,7.95,176488.0
2015-01-16,7.9,8.3,7.8,8.05,8.05,637226.0
2015-01-19,7.9,8.1,7.9,8.0,8.0,97959.0
2015-01-20,8.0,8.0,7.8,7.85,7.85,95466.0
2015-01-21,7.9,8.1,7.8,7.9,7.9,103357.0
2015-01-22,7.8,8.2,7.75,7.85,7.85,221779.0
2015-01-23,7.85,8.0,7.7,7.85,7.85,114072.0
2015-01-27,7.85,7.9,7.7,7.8,7.8,58299.0
2015-01-28,7.75,7.9,7.55,7.6,7.6,93442.0
2015-01-29,7.55,7.75,7.45,7.55,7.55,104538.0
2015-01-30,7.6,7.75,7.55,7.6,7.6,78405.0
2015-02-02,7.55,7.75,7.5,7.6,7.6,170880.0
2015-02-03,7.65,7.7,7.55,7.6,7.6,53024.0
2015-02-04,7.5,8.0,7.35,7.7,7.7,201760.0
2015-02-05,7.75,7.75,7.5,7.5,7.5,66545.0
2015-02-06,7.6,7.6,7.3,7.35,7.35,86608.0
2015-02-09,7.45,7.5,7.05,7.2,7.2,71530.0
2015-02-10,7.2,7.4,7.05,7.25,7.25,63245.0
2015-02-11,7.25,7.4,7.15,7.15,7.15,71350.0
2015-02-12,7.1,7.3,7.0,7.1,7.1,206204.0
2015-02-13,7.05,7.25,7.0,7.1,7.1,159657.0
2015-02-16,7.05,7.25,7.05,7.1,7.1,92068.0
2015-02-18,7.1,7.7,7.0,7.55,7.55,263812.0
2015-02-19,7.55,8.45,7.35,8.15,8.15,948810.0
2015-02-20,8.1,8.15,7.6,7.8,7.8,135454.0
2015-02-23,8.3,8.7,7.85,8.15,8.15,1068165.0
2015-02-24,8.15,8.4,7.85,8.0,8.0,212463.0
2015-02-25,8.0,8.2,7.9,7.95,7.95,114349.0
2015-02-26,8.1,8.1,7.5,7.95,7.95,148809.0
2015-02-27,7.85,8.0,7.65,7.9,7.9,108708.0
2015-02-28,,,,,,
2015-03-02,8.25,8.25,7.65,7.75,7.75,155250.0
2015-03-03,7.75,7.9,7.6,7.7,7.7,174930.0
2015-03-04,7.65,7.85,7.45,7.5,7.5,187604.0
2015-03-05,7.55,7.55,7.3,7.4,7.4,132523.0
2015-03-09,7.4,7.5,7.1,7.2,7.2,125924.0
2015-03-10,7.2,7.45,7.1,7.15,7.15,258962.0
2015-03-11,7.15,7.25,6.95,7.1,7.1,202744.0
2015-03-12,7.2,7.35,7.05,7.15,7.15,152840.0
2015-03-13,7.2,7.2,7.0,7.05,7.05,192818.0
2015-03-16,7.0,7.1,6.9,6.95,6.95,173713.0
2015-03-17,6.95,7.1,6.75,6.8,6.8,113396.0
2015-03-18,6.75,7.0,6.7,6.8,6.8,156146.0
2015-03-19,6.9,7.15,6.75,6.8,6.8,136366.0
2015-03-20,6.75,6.95,6.5,6.6,6.6,149543.0
2015-03-23,6.6,6.85,6.45,6.5,6.5,123715.0
2015-03-24,6.6,6.6,6.0,6.1,6.1,207773.0
2015-03-25,6.2,6.3,6.0,6.2,6.2,242629.0
2015-03-26,6.05,6.2,6.0,6.05,6.05,151833.0
2015-03-27,6.1,6.25,6.0,6.0,6.0,151688.0
2015-03-30,6.0,6.3,6.0,6.1,6.1,204049.0
2015-03-31,6.25,6.4,6.15,6.25,6.25,100112.0
2015-04-01,6.2,6.85,6.05,6.75,6.75,251879.0
2015-04-06,6.75,6.95,6.7,6.9,6.9,126812.0
2015-04-07,,,,,,
2015-04-08,7.05,7.4,6.9,7.2,7.2,172038.0
2015-04-09,7.2,7.2,7.0,7.1,7.1,77231.0
2015-04-10,,,,,,
2015-04-13,7.0,7.55,7.0,7.25,7.25,147828.0
2015-04-15,7.25,7.5,7.15,7.25,7.25,157478.0
2015-04-16,7.35,7.35,7.0,7.15,7.15,101240.0
2015-04-17,,,,,,
2015-04-20,6.85,7.2,6.65,6.75,6.75,124600.0
2015-04-21,,,,,,
2015-04-22,6.95,7.0,6.7,6.75,6.75,70742.0
2015-04-23,6.85,6.9,6.65,6.75,6.75,75971.0
2015-04-24,6.8,6.8,6.45,6.55,6.55,76496.0
2015-04-27,,,,,,
2015-04-28,6.3,6.75,6.2,6.5,6.5,160825.0
2015-04-29,6.55,7.8,6.3,7.55,7.55,1435893.0
2015-04-30,7.8,8.0,7.55,7.6,7.6,701492.0
2015-05-04,7.6,7.85,7.25,7.35,7.35,188159.0
2015-05-05,,,,,,
2015-05-06,7.0,7.15,6.8,6.85,6.85,132706.0
2015-05-07,6.6,6.9,6.5,6.6,6.6,169064.0
2015-05-08,,,,,,
2015-05-11,7.2,7.4,6.85,6.95,6.95,46430.0
2015-05-12,7.1,7.2,6.75,6.8,6.8,75849.0
2015-05-13,6.9,7.0,6.75,6.85,6.85,74070.0
2015-05-14,6.8,6.9,6.75,6.9,6.9,32687.0
2015-05-15,,,,,,
2015-05-18,6.9,6.95,6.75,6.9,6.9,89020.0
2015-05-19,7.0,7.25,6.55,6.7,6.7,361593.0
2015-05-20,,,,,,
2015-05-21,6.8,6.9,6.7,6.75,6.75,38716.0
2015-05-22,6.8,7.1,6.7,6.85,6.85,196100.0
2015-05-25,,,,,,
2015-05-26,,,,,,
2015-05-27,,,,,,
2015-05-28,6.75,6.8,6.65,6.7,6.7,55360.0
2015-05-29,6.65,6.95,6.65,6.7,6.7,117959.0
2015-06-01,,,,,,
2015-06-02,,,,,,
2015-06-03,,,,,,
2015-06-04,6.0,6.2,5.75,6.05,6.05,158696.0
2015-06-05,,,,,,
2015-06-08,6.1,6.15,5.85,5.9,5.9,56131.0
2015-06-09,,,,,,
2015-06-10,6.1,6.25,5.85,5.95,5.95,85295.0
2015-06-11,5.95,6.05,5.7,5.8,5.8,101775.0
2015-06-12,5.95,6.0,5.65,5.75,5.75,79427.0
2015-06-15,5.7,5.85,5.65,5.75,5.75,47424.0
2015-06-16,,,,,,
2015-06-17,5.85,6.1,5.7,6.0,6.0,167743.0
2015-06-18,,,,,,
2015-06-19,6.2,6.35,6.05,6.05,6.05,110086.0
2015-06-22,,,,,,
2015-06-23,,,,,,
2015-06-24,,,,,,
2015-06-25,,,,,,
2015-06-26,,,,,,
2015-06-29,5.95,5.95,5.75,5.8,5.8,77694.0
2015-06-30,5.85,6.15,5.75,5.95,5.95,58547.0
2015-07-01,,,,,,
2015-07-02,5.9,6.15,5.9,6.05,6.05,54772.0
2015-07-03,,,,,,
2015-07-06,6.1,6.2,5.95,6.15,6.15,68172.0
2015-07-07,,,,,,
2015-07-08,,,,,,
2015-07-09,6.25,6.5,6.2,6.5,6.5,119110.0
2015-07-10,6.35,6.65,6.1,6.2,6.2,112296.0
2015-07-13,,,,,,
2015-07-14,6.25,6.25,6.1,6.2,6.2,99296.0
2015-07-15,,,,,,
2015-07-16,,,,,,
2015-07-17,,,,,,
2015-07-20,6.65,6.95,6.45,6.8,6.8,193749.0
2015-07-21,6.95,6.95,6.25,6.35,6.35,202003.0
2015-07-22,,,,,,
2015-07-23,,,,,,
2015-07-24,,,,,,
2015-07-27,,,,,,
2015-07-28,,,,,,
2015-07-29,,,,,,
2015-07-30,,,,,,
2015-07-31,,,,,,
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,9.5,10.2,8.75,10.2,10.2,4428246.0
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-12,9.2,9.2,8.8,8.9,8.9,321751.0
2015-08-13,9.0,9.4,8.15,8.3,8.3,316417.0
2015-08-14,8.35,8.75,8.0,8.45,8.45,378760.0
2015-08-17,8.6,9.1,8.4,8.85,8.85,293943.0
2015-08-18,8.85,9.9,8.7,9.1,9.1,689516.0
2015-08-19,9.0,9.45,8.8,9.05,9.05,262763.0
2015-08-20,9.0,9.0,8.2,8.6,8.6,211336.0
2015-08-21,8.5,8.6,7.85,8.35,8.35,444926.0
2015-08-24,7.6,8.1,6.7,6.8,6.8,853796.0
2015-08-25,7.0,7.3,6.3,7.15,7.15,350851.0
2015-08-26,6.75,7.45,6.65,6.75,6.75,399605.0
2015-08-27,6.85,7.1,6.85,7.0,7.0,285322.0
2015-08-28,7.3,7.5,7.0,7.2,7.2,220267.0
2015-08-31,7.0,7.25,7.0,7.15,7.15,96253.0
2015-09-01,7.0,7.15,6.75,6.8,6.8,169573.0
2015-09-02,6.85,7.1,6.6,6.7,6.7,173161.0
2015-09-03,6.75,7.0,6.7,6.9,6.9,168971.0
2015-09-04,6.9,6.95,6.55,6.75,6.75,147620.0
