Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,47.799999,48.400002,46.0,47.549999,47.549999,274982.0
2015-01-02,48.400002,52.700001,47.700001,50.450001,50.450001,1142475.0
2015-01-05,50.900002,53.0,50.599998,51.900002,51.900002,539914.0
2015-01-06,52.950001,59.900002,52.0,55.599998,55.599998,4380494.0
2015-01-07,56.0,58.0,54.650002,55.5,55.5,1056717.0
2015-01-08,56.599998,66.599998,56.150002,64.75,64.75,5901572.0
2015-01-09,65.349998,65.650002,60.549999,61.099998,61.099998,1371445.0
2015-01-12,61.400002,66.5,60.799999,65.550003,65.550003,2436616.0
2015-01-13,66.599998,74.349998,66.0,71.900002,71.900002,6610693.0
2015-01-14,72.349998,77.75,72.150002,74.650002,74.650002,4787206.0
2015-01-15,77.0,77.5,70.650002,71.25,71.25,1744578.0
2015-01-16,71.5,73.900002,69.349998,71.0,71.0,1283158.0
2015-01-19,71.599998,73.75,70.400002,71.699997,71.699997,970498.0
2015-01-20,72.150002,72.800003,68.300003,68.900002,68.900002,585329.0
2015-01-21,69.349998,69.5,64.400002,65.449997,65.449997,835211.0
2015-01-22,65.25,68.800003,65.25,66.599998,66.599998,1003743.0
2015-01-23,67.199997,67.949997,65.050003,65.650002,65.650002,422877.0
2015-01-27,65.650002,66.25,62.200001,62.799999,62.799999,390076.0
2015-01-28,62.950001,65.800003,62.099998,63.75,63.75,761578.0
2015-01-29,64.300003,68.699997,63.950001,66.349998,66.349998,1062919.0
2015-01-30,67.0,67.25,64.0,64.400002,64.400002,342303.0
2015-02-02,64.199997,66.5,63.400002,65.650002,65.650002,535669.0
2015-02-03,66.0,66.699997,63.549999,64.0,64.0,333815.0
2015-02-04,64.599998,66.800003,62.799999,64.349998,64.349998,566504.0
2015-02-05,64.550003,64.550003,60.25,60.849998,60.849998,368906.0
2015-02-06,61.0,61.950001,57.099998,57.650002,57.650002,396479.0
2015-02-09,57.75,58.0,55.150002,55.549999,55.549999,287830.0
2015-02-10,54.849998,57.450001,54.0,56.099998,56.099998,309389.0
2015-02-11,56.0,61.200001,56.0,59.400002,59.400002,478433.0
2015-02-12,59.799999,64.5,59.799999,62.450001,62.450001,916970.0
2015-02-13,62.75,63.299999,60.549999,61.200001,61.200001,291848.0
2015-02-16,61.5,61.700001,58.5,59.150002,59.150002,222794.0
2015-02-18,59.150002,63.599998,59.150002,61.900002,61.900002,529837.0
2015-02-19,61.900002,67.75,61.700001,64.300003,64.300003,1530369.0
2015-02-20,64.699997,64.699997,62.049999,62.599998,62.599998,414477.0
2015-02-23,63.049999,64.0,60.549999,61.099998,61.099998,348537.0
2015-02-24,61.5,63.5,59.299999,61.200001,61.200001,490314.0
2015-02-25,61.599998,63.0,60.799999,61.200001,61.200001,289921.0
2015-02-26,61.450001,61.599998,58.599998,59.25,59.25,248358.0
2015-02-27,59.599998,67.449997,59.450001,66.099998,66.099998,2042092.0
2015-02-28,,,,,,
2015-03-02,60.75,61.25,57.900002,58.200001,58.200001,588063.0
2015-03-03,58.5,60.799999,57.599998,59.200001,59.200001,569954.0
2015-03-04,59.700001,60.0,56.25,57.099998,57.099998,384871.0
2015-03-05,57.200001,58.5,56.599998,57.150002,57.150002,286213.0
2015-03-09,57.150002,57.150002,53.400002,54.150002,54.150002,274539.0
2015-03-10,54.700001,56.0,54.099998,54.549999,54.549999,459158.0
2015-03-11,54.5,54.799999,47.299999,48.200001,48.200001,992182.0
2015-03-12,49.0,49.450001,46.5,47.700001,47.700001,494432.0
2015-03-13,47.5,50.599998,47.5,48.099998,48.099998,550592.0
2015-03-16,48.5,48.650002,44.950001,45.349998,45.349998,246654.0
2015-03-17,45.799999,46.299999,40.0,42.049999,42.049999,523577.0
2015-03-18,42.25,50.450001,42.25,49.549999,49.549999,1839264.0
2015-03-19,51.549999,53.5,50.0,50.549999,50.549999,1249335.0
2015-03-20,49.0,49.0,42.5,44.450001,44.450001,1482520.0
2015-03-23,45.400002,45.599998,42.400002,42.799999,42.799999,289483.0
2015-03-24,42.5,46.900002,41.299999,43.599998,43.599998,628145.0
2015-03-25,44.0,44.700001,42.200001,42.549999,42.549999,204683.0
2015-03-26,42.299999,42.549999,40.849998,41.349998,41.349998,229056.0
2015-03-27,41.5,43.049999,39.200001,39.75,39.75,327379.0
2015-03-30,39.75,42.0,39.75,41.450001,41.450001,284565.0
2015-03-31,42.700001,44.349998,41.549999,41.950001,41.950001,387337.0
2015-04-01,42.25,43.799999,41.700001,43.049999,43.049999,249325.0
2015-04-06,43.049999,44.25,42.700001,43.450001,43.450001,264472.0
2015-04-07,43.599998,45.25,43.099998,44.400002,44.400002,542248.0
2015-04-08,44.700001,46.0,44.5,45.0,45.0,322291.0
2015-04-09,45.400002,47.400002,44.099998,46.5,46.5,511708.0
2015-04-10,47.0,48.700001,46.549999,47.349998,47.349998,414075.0
2015-04-13,47.650002,48.299999,46.799999,47.299999,47.299999,199400.0
2015-04-15,47.299999,48.599998,45.799999,46.450001,46.450001,247313.0
2015-04-16,49.0,50.400002,46.900002,48.099998,48.099998,833529.0
2015-04-17,48.0,48.200001,46.099998,46.650002,46.650002,175115.0
2015-04-20,46.650002,50.200001,44.75,45.400002,45.400002,591662.0
2015-04-21,45.5,46.75,44.349998,44.799999,44.799999,161144.0
2015-04-22,45.0,46.099998,44.150002,44.700001,44.700001,218247.0
2015-04-23,45.0,45.799999,44.5,44.950001,44.950001,122258.0
2015-04-24,45.099998,45.150002,42.549999,42.900002,42.900002,134763.0
2015-04-27,43.0,43.0,41.099998,41.450001,41.450001,133496.0
2015-04-28,41.0,42.799999,40.799999,41.599998,41.599998,126241.0
2015-04-29,41.25,42.799999,41.25,42.150002,42.150002,105300.0
2015-04-30,42.099998,42.150002,41.099998,41.349998,41.349998,92970.0
2015-05-04,41.349998,43.0,40.25,42.400002,42.400002,97163.0
2015-05-05,42.75,43.0,41.549999,41.849998,41.849998,50320.0
2015-05-06,41.950001,42.200001,40.5,40.650002,40.650002,71081.0
2015-05-07,40.150002,41.25,39.0,39.299999,39.299999,112408.0
2015-05-08,40.200001,41.0,39.75,40.099998,40.099998,69095.0
2015-05-11,39.849998,42.299999,39.849998,41.299999,41.299999,138378.0
2015-05-12,41.650002,42.900002,40.349998,40.599998,40.599998,79875.0
2015-05-13,41.150002,44.5,40.349998,42.400002,42.400002,516180.0
2015-05-14,41.700001,41.700001,41.049999,41.299999,41.299999,86515.0
2015-05-15,41.099998,42.799999,40.549999,41.0,41.0,98137.0
2015-05-18,41.700001,41.700001,41.0,41.25,41.25,63951.0
2015-05-19,41.75,42.5,40.799999,41.349998,41.349998,86851.0
2015-05-20,41.799999,44.349998,41.0,42.75,42.75,404437.0
2015-05-21,42.049999,43.0,41.400002,41.650002,41.650002,86076.0
2015-05-22,41.900002,42.099998,40.5,40.75,40.75,83148.0
2015-05-25,40.200001,41.200001,40.200001,40.700001,40.700001,45048.0
2015-05-26,40.75,40.900002,40.099998,40.200001,40.200001,33188.0
2015-05-27,40.0,40.849998,39.75,40.049999,40.049999,68648.0
2015-05-28,40.0,41.400002,39.849998,40.099998,40.099998,72679.0
2015-05-29,40.599998,40.599998,39.099998,39.650002,39.650002,61308.0
2015-06-01,39.950001,40.950001,39.5,40.099998,40.099998,101873.0
2015-06-02,39.650002,40.299999,38.299999,38.549999,38.549999,67498.0
2015-06-03,38.150002,38.849998,35.099998,36.950001,36.950001,106249.0
2015-06-04,37.799999,38.200001,36.200001,36.599998,36.599998,60717.0
2015-06-05,35.200001,37.900002,35.200001,36.799999,36.799999,58158.0
2015-06-08,37.400002,37.400002,35.25,35.400002,35.400002,41223.0
2015-06-09,35.25,35.549999,33.5,33.75,33.75,76536.0
2015-06-10,33.849998,37.200001,33.849998,35.549999,35.549999,168375.0
2015-06-11,35.25,37.0,34.5,34.700001,34.700001,67184.0
2015-06-12,34.5,36.400002,34.299999,34.599998,34.599998,61173.0
2015-06-15,34.900002,36.299999,34.900002,35.5,35.5,40686.0
2015-06-16,35.200001,35.5,34.599998,35.0,35.0,27862.0
2015-06-17,35.5,36.700001,35.049999,35.650002,35.650002,103597.0
2015-06-18,35.150002,39.099998,35.150002,37.5,37.5,235567.0
2015-06-19,38.0,42.200001,36.549999,40.849998,40.849998,834147.0
2015-06-22,40.349998,41.25,39.200001,40.049999,40.049999,221718.0
2015-06-23,40.650002,42.0,39.650002,40.450001,40.450001,167999.0
2015-06-24,40.5,41.849998,40.0,40.75,40.75,276602.0
2015-06-25,40.75,43.5,40.75,42.900002,42.900002,830642.0
2015-06-26,44.0,44.950001,41.700001,42.400002,42.400002,579020.0
2015-06-29,41.75,41.75,38.700001,40.150002,40.150002,172132.0
2015-06-30,40.799999,41.450001,40.0,40.799999,40.799999,123475.0
2015-07-01,42.0,43.299999,41.599998,41.900002,41.900002,230331.0
2015-07-02,41.900002,43.200001,41.0,41.450001,41.450001,262481.0
2015-07-03,41.700001,44.400002,41.5,42.049999,42.049999,380812.0
2015-07-06,41.0,42.450001,40.75,41.849998,41.849998,70784.0
2015-07-07,42.5,42.799999,41.0,41.900002,41.900002,111902.0
2015-07-08,42.0,42.150002,40.5,40.799999,40.799999,101841.0
2015-07-09,40.799999,41.5,40.549999,40.799999,40.799999,92282.0
2015-07-10,41.0,41.599998,40.599998,40.849998,40.849998,71564.0
2015-07-13,41.5,47.450001,41.049999,46.950001,46.950001,1237661.0
2015-07-14,49.799999,51.099998,48.5,49.150002,49.150002,2050374.0
2015-07-15,48.599998,49.849998,47.200001,47.599998,47.599998,307889.0
2015-07-16,47.150002,48.349998,46.650002,46.900002,46.900002,176313.0
2015-07-17,46.950001,47.25,44.599998,44.849998,44.849998,188696.0
2015-07-20,44.0,53.799999,44.0,51.799999,51.799999,1312393.0
2015-07-21,50.5,51.75,46.700001,47.5,47.5,543186.0
2015-07-22,47.0,49.799999,46.599998,49.049999,49.049999,384258.0
2015-07-23,48.700001,49.900002,47.5,47.849998,47.849998,234528.0
2015-07-24,47.849998,49.5,46.150002,46.549999,46.549999,212917.0
2015-07-27,49.0,49.75,47.049999,48.150002,48.150002,506470.0
2015-07-28,47.650002,48.5,46.650002,47.150002,47.150002,132186.0
2015-07-29,47.150002,49.0,47.150002,47.549999,47.549999,223365.0
2015-07-30,48.0,48.650002,47.299999,47.849998,47.849998,115447.0
2015-07-31,48.099998,49.400002,47.099998,47.349998,47.349998,249486.0
2015-08-03,47.700001,50.599998,47.450001,48.950001,48.950001,523643.0
2015-08-04,48.549999,49.900002,47.799999,48.5,48.5,322256.0
2015-08-05,49.5,49.549999,48.0,48.75,48.75,257042.0
2015-08-06,48.849998,49.75,48.25,48.549999,48.549999,135758.0
2015-08-07,48.849998,49.5,47.150002,47.599998,47.599998,279813.0
2015-08-10,47.75,50.799999,47.549999,48.75,48.75,599585.0
2015-08-11,48.5,51.299999,48.0,49.75,49.75,914638.0
2015-08-12,49.0,49.5,44.0,45.650002,45.650002,234130.0
2015-08-13,46.5,47.349998,42.700001,44.049999,44.049999,179471.0
2015-08-14,44.400002,45.900002,43.299999,45.549999,45.549999,138736.0
2015-08-17,46.0,46.200001,45.0,45.200001,45.200001,61208.0
2015-08-18,45.75,47.150002,45.299999,45.599998,45.599998,166763.0
2015-08-19,45.900002,46.299999,45.0,45.25,45.25,60851.0
2015-08-20,45.25,45.5,43.200001,43.700001,43.700001,92806.0
2015-08-21,43.200001,43.200001,41.799999,42.950001,42.950001,61570.0
2015-08-24,42.200001,42.200001,35.200001,36.549999,36.549999,155606.0
2015-08-25,37.900002,39.0,35.099998,37.950001,37.950001,124107.0
2015-08-26,37.5,40.0,36.5,38.099998,38.099998,110982.0
2015-08-27,39.75,39.75,38.799999,39.150002,39.150002,90318.0
2015-08-28,39.650002,40.599998,39.0,39.200001,39.200001,110539.0
2015-08-31,39.0,40.099998,38.650002,39.150002,39.150002,66855.0
2015-09-01,38.700001,39.400002,36.549999,37.099998,37.099998,92145.0
2015-09-02,37.549999,38.400002,36.450001,36.849998,36.849998,95858.0
2015-09-03,37.400002,38.299999,37.150002,37.650002,37.650002,52386.0
2015-09-04,37.950001,37.950001,35.400002,35.950001,35.950001,62217.0
2015-09-07,36.799999,36.900002,35.099998,35.299999,35.299999,41933.0
2015-09-08,35.25,36.200001,34.299999,35.299999,35.299999,70401.0
2015-09-09,35.950001,37.650002,35.599998,37.0,37.0,125547.0
2015-09-10,36.700001,36.799999,35.450001,36.5,36.5,37934.0
2015-09-11,36.549999,37.650002,36.5,36.700001,36.700001,54118.0
2015-09-14,36.049999,37.900002,36.049999,36.900002,36.900002,50271.0
