Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,20.4,21.4,20.25,21.200001,21.200001,370883.0
2015-01-02,21.35,21.700001,21.1,21.35,21.35,461705.0
2015-01-05,21.200001,23.4,21.200001,22.450001,22.450001,1310711.0
2015-01-06,22.25,22.25,21.0,21.1,21.1,414506.0
2015-01-07,21.5,21.549999,20.5,20.65,20.65,466614.0
2015-01-08,20.9,21.6,20.799999,20.85,20.85,497991.0
2015-01-09,21.0,21.5,20.75,20.950001,20.950001,255071.0
2015-01-12,21.0,21.4,20.700001,20.799999,20.799999,174664.0
2015-01-13,20.950001,21.15,20.549999,20.65,20.65,222901.0
2015-01-14,20.549999,21.1,20.5,20.65,20.65,266115.0
2015-01-15,20.700001,21.1,20.549999,20.85,20.85,248253.0
2015-01-16,20.85,21.65,20.6,20.950001,20.950001,493428.0
2015-01-19,20.9,21.4,20.75,20.85,20.85,181208.0
2015-01-20,20.799999,21.200001,20.700001,20.9,20.9,185971.0
2015-01-21,20.9,21.5,20.9,21.049999,21.049999,391997.0
2015-01-22,20.9,23.4,20.6,22.549999,22.549999,1800202.0
2015-01-23,22.549999,23.15,22.4,22.65,22.65,705505.0
2015-01-27,22.65,23.1,22.5,22.6,22.6,251645.0
2015-01-28,22.6,23.35,22.4,22.75,22.75,499642.0
2015-01-29,22.75,23.200001,22.549999,23.0,23.0,300883.0
2015-01-30,22.6,23.299999,22.549999,22.65,22.65,222263.0
2015-02-02,22.5,23.15,22.299999,22.65,22.65,576448.0
2015-02-03,22.700001,23.15,22.549999,23.0,23.0,388162.0
2015-02-04,23.1,24.0,22.700001,23.6,23.6,722224.0
2015-02-05,23.65,23.9,22.799999,22.9,22.9,247883.0
2015-02-06,22.65,22.9,22.15,22.25,22.25,241868.0
2015-02-09,22.0,22.200001,21.5,21.6,21.6,166308.0
2015-02-10,21.5,21.75,20.85,20.950001,20.950001,194535.0
2015-02-11,21.0,21.450001,21.0,21.15,21.15,147418.0
2015-02-12,21.299999,21.65,21.0,21.200001,21.200001,183761.0
2015-02-13,21.35,22.25,21.35,21.799999,21.799999,420190.0
2015-02-16,22.0,22.0,21.0,21.15,21.15,184618.0
2015-02-18,21.15,21.85,21.0,21.15,21.15,245970.0
2015-02-19,21.200001,21.5,21.0,21.299999,21.299999,155137.0
2015-02-20,21.35,22.200001,21.15,21.6,21.6,386586.0
2015-02-23,21.799999,21.799999,21.1,21.200001,21.200001,130815.0
2015-02-24,21.15,21.6,20.9,21.1,21.1,233053.0
2015-02-25,21.25,21.450001,21.049999,21.15,21.15,72883.0
2015-02-26,21.1,21.549999,21.0,21.049999,21.049999,136929.0
2015-02-27,21.25,24.9,21.049999,22.1,22.1,597599.0
2015-02-28,,,,,,
2015-03-02,21.700001,22.0,21.15,21.450001,21.450001,142521.0
2015-03-03,22.0,24.200001,22.0,23.049999,23.049999,3663781.0
2015-03-04,22.65,23.299999,22.0,22.1,22.1,465524.0
2015-03-05,22.049999,22.5,21.6,21.9,21.9,380837.0
2015-03-09,21.9,22.0,21.35,21.549999,21.549999,219157.0
2015-03-10,21.5,22.5,21.5,21.799999,21.799999,559327.0
2015-03-11,21.6,22.0,21.1,21.200001,21.200001,255885.0
2015-03-12,21.200001,21.9,21.0,21.200001,21.200001,303712.0
2015-03-13,21.200001,21.450001,21.049999,21.25,21.25,143425.0
2015-03-16,21.4,21.4,20.75,20.950001,20.950001,198602.0
2015-03-17,21.0,21.4,20.700001,20.799999,20.799999,134993.0
2015-03-18,20.6,21.0,20.049999,20.15,20.15,406906.0
2015-03-19,20.9,20.9,19.75,19.950001,19.950001,614487.0
2015-03-20,20.25,20.25,19.5,19.65,19.65,339750.0
2015-03-23,19.700001,20.450001,19.5,19.85,19.85,462182.0
2015-03-24,19.85,19.85,19.200001,19.35,19.35,163460.0
2015-03-25,19.700001,19.700001,18.549999,18.75,18.75,305544.0
2015-03-26,18.6,18.950001,17.6,18.15,18.15,620923.0
2015-03-27,18.200001,18.5,17.6,17.799999,17.799999,458952.0
2015-03-30,18.25,18.65,18.1,18.450001,18.450001,226421.0
2015-03-31,18.65,19.200001,18.6,18.65,18.65,222409.0
2015-04-01,18.75,19.35,18.75,19.0,19.0,189137.0
2015-04-06,19.0,19.5,19.0,19.35,19.35,138019.0
2015-04-07,19.4,19.450001,19.0,19.200001,19.200001,184664.0
2015-04-08,19.299999,19.75,19.299999,19.6,19.6,249999.0
2015-04-09,19.65,19.85,19.5,19.65,19.65,107574.0
2015-04-10,19.6,20.9,19.4,20.299999,20.299999,737041.0
2015-04-13,20.65,20.799999,20.15,20.4,20.4,122307.0
2015-04-15,20.4,21.4,20.4,20.549999,20.549999,373718.0
2015-04-16,20.549999,20.6,20.0,20.1,20.1,172580.0
2015-04-17,20.4,20.4,19.65,19.75,19.75,160983.0
2015-04-20,20.4,20.4,19.5,19.549999,19.549999,131137.0
2015-04-21,19.5,19.75,19.200001,19.299999,19.299999,100085.0
2015-04-22,19.4,19.65,18.700001,18.9,18.9,220969.0
2015-04-23,19.049999,19.25,18.6,18.700001,18.700001,195989.0
2015-04-24,18.549999,18.9,18.5,18.6,18.6,134387.0
2015-04-27,19.0,19.15,18.0,18.25,18.25,370808.0
2015-04-28,18.25,18.35,18.049999,18.15,18.15,208412.0
2015-04-29,18.4,18.4,18.049999,18.25,18.25,93047.0
2015-04-30,18.4,18.4,18.0,18.15,18.15,155741.0
2015-05-04,18.15,18.9,18.15,18.5,18.5,205419.0
2015-05-05,18.549999,18.799999,18.5,18.6,18.6,88266.0
2015-05-06,18.6,18.75,18.0,18.0,18.0,170776.0
2015-05-07,18.1,18.25,17.5,17.75,17.75,165784.0
2015-05-08,17.950001,18.200001,17.75,17.950001,17.950001,43782.0
2015-05-11,18.450001,18.450001,18.0,18.049999,18.049999,75310.0
2015-05-12,18.4,18.4,17.6,17.65,17.65,49199.0
2015-05-13,17.6,18.200001,17.549999,17.65,17.65,135987.0
2015-05-14,17.65,17.85,17.549999,17.700001,17.700001,66333.0
2015-05-15,17.85,17.9,17.65,17.700001,17.700001,60115.0
2015-05-18,17.85,18.200001,17.65,18.0,18.0,115018.0
2015-05-19,18.25,18.25,17.799999,17.9,17.9,74810.0
2015-05-20,17.950001,18.5,17.799999,18.0,18.0,60774.0
2015-05-21,18.0,18.15,17.6,17.75,17.75,51023.0
