Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,55.849998,56.049999,53.549999,55.450001,54.098324,7821.0
2015-01-02,54.25,58.299999,54.25,56.849998,55.464195,10299.0
2015-01-05,55.0,57.0,55.0,55.049999,53.708073,6097.0
2015-01-06,54.0,56.450001,54.0,55.0,53.659293999999996,5320.0
2015-01-07,55.200001,55.200001,51.650002,52.200001,50.927551,20916.0
2015-01-08,52.25,54.700001,51.099998,53.049999,51.756824,7566.0
2015-01-09,53.0,54.0,52.799999,53.349998,52.049515,5121.0
2015-01-12,54.799999,59.0,54.0,56.900002,55.512981,14440.0
2015-01-13,58.5,58.5,56.049999,57.0,55.610542,5011.0
2015-01-14,58.150002,58.349998,54.549999,56.299999,54.927601,4072.0
2015-01-15,57.849998,57.849998,55.799999,56.549999,55.171513,4117.0
2015-01-16,56.200001,56.950001,54.049999,55.099998,53.756855,7974.0
2015-01-19,55.099998,57.0,54.549999,55.900002,54.53735699999999,13377.0
2015-01-20,55.599998,56.75,55.049999,56.349998,54.976379,11921.0
2015-01-21,55.5,56.75,55.049999,55.650002,54.293449,6678.0
2015-01-22,55.400002,56.349998,54.400002,54.700001,53.36660799999999,9850.0
2015-01-23,56.0,56.5,52.150002,52.650002,51.366577,8851.0
2015-01-27,52.650002,53.799999,52.049999,52.450001,51.171452,2314.0
2015-01-28,51.25,52.5,50.5,51.700001,50.439739,5263.0
2015-01-29,50.5,53.0,50.5,51.349998,50.098267,3775.0
2015-01-30,53.5,53.75,50.5,50.75,49.512896999999995,7283.0
2015-02-02,50.0,50.400002,46.0,48.549999,47.36652,17973.0
2015-02-03,53.0,53.0,48.5,50.25,49.025082,12485.0
2015-02-04,48.0,52.0,47.650002,50.200001,48.976299,8266.0
2015-02-05,49.0,52.0,47.200001,48.849998,47.659206,13421.0
2015-02-06,49.599998,50.900002,48.5,48.650002,47.464088000000004,2530.0
2015-02-09,48.799999,49.0,46.950001,48.25,47.073833,6108.0
2015-02-10,48.0,49.0,40.049999,42.5,41.464001,25187.0
2015-02-11,50.599998,50.599998,42.599998,44.400002,43.317688000000004,30128.0
2015-02-12,42.150002,45.099998,42.150002,43.400002,42.34206,8576.0
2015-02-13,43.049999,45.5,42.0,43.099998,42.04937,10128.0
2015-02-16,43.099998,43.700001,41.049999,41.799999,40.781063,5530.0
2015-02-18,41.799999,49.799999,40.0,48.650002,47.464088000000004,28014.0
2015-02-19,50.5,53.5,46.450001,48.650002,47.464088000000004,3766.0
2015-02-20,48.0,49.700001,46.0,46.450001,45.317710999999996,7608.0
2015-02-23,47.0,48.75,45.200001,46.5,45.366493,2197.0
2015-02-24,46.549999,49.349998,45.549999,47.950001,46.781147,10389.0
2015-02-25,49.549999,52.0,49.549999,50.0,48.781174,12584.0
2015-02-26,48.099998,51.0,48.099998,51.0,49.756802,7953.0
2015-02-27,50.099998,51.5,49.599998,50.099998,48.878738,8393.0
2015-02-28,,,,,,
2015-03-02,48.25,50.0,48.0,48.75,47.561646,3511.0
