Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,4.2,4.2,4.05,4.2,4.2,23514.0
2015-01-02,4.2,4.35,4.1,4.25,4.25,56721.0
2015-01-05,4.35,4.45,4.2,4.45,4.45,101655.0
2015-01-06,4.35,4.55,4.3,4.45,4.45,54561.0
2015-01-07,4.3,4.65,4.25,4.65,4.65,66461.0
2015-01-08,4.55,4.85,4.55,4.85,4.85,130183.0
2015-01-09,5.05,5.05,4.85,5.05,5.05,84973.0
2015-01-12,4.85,5.25,4.8,4.8,4.8,57392.0
2015-01-13,4.8,5.0,4.65,4.9,4.9,64222.0
2015-01-14,4.95,5.1,4.8,5.05,5.05,62975.0
2015-01-15,5.1,5.25,5.0,5.15,5.15,59528.0
2015-01-16,5.15,5.4,5.0,5.4,5.4,224602.0
2015-01-19,5.65,5.65,5.5,5.65,5.65,293426.0
2015-01-20,5.8,5.9,5.6,5.75,5.75,336474.0
2015-01-21,5.5,5.95,5.5,5.55,5.55,155436.0
2015-01-22,5.4,5.75,5.3,5.6,5.6,125596.0
2015-01-23,5.5,5.8,5.4,5.6,5.6,94347.0
2015-01-27,5.6,5.85,5.45,5.75,5.75,148853.0
2015-01-28,5.6,5.85,5.5,5.55,5.55,134917.0
2015-01-29,5.35,5.75,5.3,5.6,5.6,192168.0
2015-01-30,5.8,5.85,5.5,5.7,5.7,64207.0
2015-02-02,5.5,5.7,5.45,5.45,5.45,95995.0
2015-02-03,5.2,5.3,5.2,5.2,5.2,80928.0
2015-02-04,5.45,5.45,4.95,5.15,5.15,116655.0
2015-02-05,4.95,5.4,4.95,5.4,5.4,132801.0
2015-02-06,5.65,5.65,5.15,5.3,5.3,106652.0
2015-02-09,5.15,5.45,5.05,5.2,5.2,51536.0
2015-02-10,4.95,5.15,4.95,4.95,4.95,71408.0
2015-02-11,4.75,4.95,4.75,4.85,4.85,20524.0
2015-02-12,4.7,5.0,4.65,4.85,4.85,23616.0
2015-02-13,4.7,5.05,4.7,4.85,4.85,33147.0
2015-02-16,4.95,5.05,4.95,5.05,5.05,17532.0
2015-02-18,5.05,5.3,5.05,5.3,5.3,11253.0
2015-02-19,5.55,5.55,5.55,5.55,5.55,23895.0
2015-02-20,5.8,5.8,5.8,5.8,5.8,95566.0
2015-02-23,6.05,6.05,6.05,6.05,6.05,32058.0
2015-02-24,6.35,6.35,6.35,6.35,6.35,61129.0
2015-02-25,6.65,6.65,6.05,6.2,6.2,260472.0
2015-02-26,6.2,6.3,5.9,6.2,6.2,202076.0
2015-02-27,6.25,6.25,5.9,5.95,5.95,132659.0
2015-02-28,,,,,,
2015-03-02,5.95,5.95,5.45,5.45,5.45,51128.0
2015-03-03,5.45,5.45,5.2,5.2,5.2,27466.0
2015-03-04,5.45,5.45,4.95,4.95,4.95,102393.0
2015-03-05,5.0,5.0,4.75,4.95,4.95,121880.0
2015-03-09,4.95,5.15,4.9,5.1,5.1,40804.0
2015-03-10,4.95,5.35,4.9,5.25,5.25,61257.0
2015-03-11,5.35,5.35,5.0,5.0,5.0,40734.0
2015-03-12,4.95,5.15,4.8,4.9,4.9,26702.0
2015-03-13,5.05,5.05,4.7,4.7,4.7,58706.0
2015-03-16,4.75,4.85,4.55,4.65,4.65,35725.0
2015-03-17,4.5,4.8,4.5,4.7,4.7,45208.0
2015-03-18,4.6,4.8,4.5,4.75,4.75,45087.0
2015-03-19,4.85,4.9,4.65,4.8,4.8,17917.0
2015-03-20,4.95,4.95,4.6,4.6,4.6,68543.0
2015-03-23,4.45,4.7,4.4,4.4,4.4,33362.0
2015-03-24,4.35,4.5,4.2,4.45,4.45,28267.0
2015-03-25,4.35,4.5,4.25,4.25,4.25,27474.0
2015-03-26,4.1,4.4,4.05,4.2,4.2,38600.0
2015-03-27,4.05,4.3,4.0,4.05,4.05,105122.0
2015-03-30,4.05,4.25,4.05,4.1,4.1,47847.0
2015-03-31,4.2,4.3,4.2,4.3,4.3,36998.0
2015-04-01,4.5,4.5,4.3,4.5,4.5,37437.0
2015-04-06,4.5,4.6,4.3,4.5,4.5,38438.0
2015-04-07,4.5,4.65,4.4,4.6,4.6,30797.0
2015-04-08,4.6,4.7,4.4,4.6,4.6,54471.0
2015-04-09,4.45,4.8,4.45,4.8,4.8,95008.0
2015-04-10,4.9,5.0,4.9,5.0,5.0,43983.0
2015-04-13,5.25,5.25,5.0,5.2,5.2,85956.0
2015-04-15,5.2,5.2,5.2,5.2,5.2,0.0
2015-04-16,5.7,5.7,5.7,5.7,5.7,69150.0
2015-04-17,,,,,,
2015-04-20,6.2,6.2,6.05,6.2,6.2,144504.0
2015-04-21,6.45,6.5,5.9,5.9,5.9,217561.0
2015-04-22,,,,,,
2015-04-23,5.45,5.45,5.4,5.4,5.4,18995.0
2015-04-24,5.15,5.2,5.15,5.15,5.15,45405.0
2015-04-27,4.9,5.0,4.9,4.9,4.9,18456.0
2015-04-28,4.7,5.1,4.7,5.05,5.05,51405.0
2015-04-29,4.85,5.25,4.85,5.15,5.15,37555.0
2015-04-30,5.0,5.4,4.95,5.4,5.4,91737.0
2015-05-04,5.4,5.4,5.4,5.4,5.4,0.0
2015-05-05,5.3,5.5,5.25,5.25,5.25,21514.0
2015-05-06,5.15,5.4,5.0,5.0,5.0,73884.0
2015-05-07,4.75,5.0,4.75,4.8,4.8,62345.0
2015-05-08,,,,,,
2015-05-11,4.8,4.95,4.6,4.85,4.85,30323.0
2015-05-12,4.85,4.85,4.65,4.65,4.65,29075.0
2015-05-13,,,,,,
2015-05-14,4.75,4.8,4.55,4.75,4.75,12533.0
2015-05-15,4.95,4.95,4.55,4.7,4.7,32586.0
2015-05-18,,,,,,
2015-05-19,4.65,4.9,4.65,4.7,4.7,58869.0
2015-05-20,4.55,4.75,4.55,4.65,4.65,14599.0
2015-05-21,4.55,4.8,4.45,4.65,4.65,52807.0
