Date,Open,High,Low,Close,Adj Close,Volume
2015-04-09,400.0,448.85000599999995,400.0,438.39999400000005,438.39999400000005,37276199.0
2015-04-10,441.89999400000005,452.0,433.5,439.60000599999995,439.60000599999995,4920286.0
2015-04-13,437.5,442.75,423.60000599999995,430.25,430.25,1636434.0
2015-04-15,430.25,464.39999400000005,422.5,439.14999400000005,439.14999400000005,4703486.0
2015-04-16,,,,,,
2015-04-17,475.39999400000005,494.39999400000005,466.299988,473.89999400000005,473.89999400000005,3528516.0
2015-04-20,474.799988,477.60000599999995,446.64999400000005,450.700012,450.700012,1418441.0
2015-04-21,453.39999400000005,459.0,436.60000599999995,440.799988,440.799988,1155631.0
2015-04-22,443.299988,449.5,418.350006,441.85000599999995,441.85000599999995,1177867.0
2015-04-23,,,,,,
2015-04-24,,,,,,
2015-04-27,,,,,,
2015-04-28,417.950012,434.89999400000005,412.799988,429.64999400000005,429.64999400000005,668062.0
2015-04-29,429.0,429.14999400000005,413.0,417.450012,417.450012,1125210.0
2015-04-30,416.299988,428.799988,416.149994,426.35000599999995,426.35000599999995,525000.0
2015-05-04,426.35000599999995,436.64999400000005,423.0,432.700012,432.700012,323518.0
2015-05-05,,,,,,
2015-05-06,422.549988,422.549988,400.100006,404.950012,404.950012,387624.0
2015-05-07,402.0,414.299988,401.0,406.149994,406.149994,367788.0
2015-05-08,410.0,425.0,410.0,417.75,417.75,357288.0
2015-05-11,418.0,442.39999400000005,418.0,434.60000599999995,434.60000599999995,522455.0
2015-05-12,436.0,437.25,421.0,423.549988,423.549988,319958.0
2015-05-13,,,,,,
2015-05-14,,,,,,
2015-05-15,450.799988,471.700012,450.35000599999995,467.10000599999995,467.10000599999995,1116014.0
2015-05-18,,,,,,
2015-05-19,446.700012,458.700012,444.700012,456.39999400000005,456.39999400000005,493880.0
2015-05-20,456.0,461.25,434.0,438.200012,438.200012,523768.0
2015-05-21,439.0,448.5,429.950012,441.5,441.5,469992.0
2015-05-22,441.5,448.700012,437.25,440.25,440.25,309097.0
2015-05-25,443.0,446.5,434.799988,436.049988,436.049988,171174.0
2015-05-26,,,,,,
2015-05-27,,,,,,
2015-05-28,437.0,443.35000599999995,435.10000599999995,438.950012,438.950012,475036.0
2015-05-29,,,,,,
2015-06-01,438.0,438.89999400000005,426.200012,428.950012,428.950012,120112.0
2015-06-02,,,,,,
2015-06-03,,,,,,
2015-06-04,418.200012,422.0,410.100006,419.450012,419.450012,361777.0
2015-06-05,,,,,,
2015-06-08,418.799988,419.5,408.5,414.950012,414.950012,101058.0
2015-06-09,,,,,,
2015-06-10,414.899994,416.0,405.0,407.350006,407.350006,176276.0
2015-06-11,,,,,,
2015-06-12,394.0,415.600006,388.299988,410.149994,410.149994,1000566.0
2015-06-15,411.899994,421.75,403.399994,413.350006,413.350006,327279.0
2015-06-16,410.850006,415.899994,410.100006,411.950012,411.950012,86122.0
2015-06-17,415.100006,418.0,411.0,413.700012,413.700012,214132.0
2015-06-18,414.649994,427.89999400000005,413.5,419.049988,419.049988,373510.0
2015-06-19,,,,,,
2015-06-22,,,,,,
2015-06-23,,,,,,
2015-06-24,,,,,,
2015-06-25,,,,,,
2015-06-26,,,,,,
2015-06-29,,,,,,
2015-06-30,,,,,,
2015-07-01,424.0,431.299988,422.14999400000005,425.64999400000005,425.64999400000005,110627.0
2015-07-02,,,,,,
2015-07-03,,,,,,
2015-07-06,,,,,,
2015-07-07,,,,,,
2015-07-08,,,,,,
2015-07-09,,,,,,
2015-07-10,451.0,454.0,446.0,451.950012,451.950012,85827.0
2015-07-13,450.10000599999995,466.0,450.10000599999995,463.450012,463.450012,164396.0
2015-07-14,,,,,,
2015-07-15,,,,,,
2015-07-16,,,,,,
2015-07-17,,,,,,
2015-07-20,448.549988,451.0,444.0,447.39999400000005,447.39999400000005,55765.0
2015-07-21,,,,,,
2015-07-22,,,,,,
2015-07-23,,,,,,
2015-07-24,,,,,,
2015-07-27,,,,,,
2015-07-28,,,,,,
2015-07-29,,,,,,
2015-07-30,,,,,,
2015-07-31,,,,,,
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,415.0,420.700012,412.0,415.649994,415.649994,155077.0
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-12,400.0,405.75,390.0,391.399994,391.399994,94091.0
2015-08-13,391.399994,398.0,371.399994,374.700012,374.700012,265925.0
2015-08-14,379.899994,404.049988,375.049988,399.450012,399.450012,351626.0
2015-08-17,401.399994,401.5,389.700012,395.799988,395.799988,88371.0
2015-08-18,398.0,402.950012,393.399994,398.149994,398.149994,82832.0
2015-08-19,399.950012,404.700012,395.0,400.700012,400.700012,100070.0
2015-08-20,400.350006,409.450012,391.200012,394.399994,394.399994,91521.0
2015-08-21,390.799988,390.799988,380.25,386.149994,386.149994,134173.0
2015-08-24,378.5,378.5,336.25,342.450012,342.450012,162381.0
2015-08-25,346.0,358.25,315.049988,346.75,346.75,310043.0
2015-08-26,345.0,352.0,335.600006,343.299988,343.299988,193328.0
2015-08-27,348.0,360.0,345.75,355.899994,355.899994,121991.0
2015-08-28,363.950012,393.799988,358.0,359.0,359.0,278290.0
2015-08-31,361.75,369.0,358.0,366.049988,366.049988,56653.0
2015-09-01,364.899994,388.0,360.049988,374.299988,374.299988,298132.0
2015-09-02,383.700012,385.049988,376.100006,380.149994,380.149994,104821.0
2015-09-03,385.950012,389.450012,380.0,382.299988,382.299988,86439.0
2015-09-04,382.0,384.0,370.0,377.100006,377.100006,71707.0
2015-09-07,377.0,381.0,361.100006,364.5,364.5,64444.0
2015-09-08,366.049988,375.0,359.75,372.299988,372.299988,98851.0
2015-09-09,379.200012,402.799988,374.100006,392.350006,392.350006,413767.0
2015-09-10,385.799988,385.799988,375.100006,380.5,380.5,94368.0
2015-09-11,384.0,389.200012,373.200012,375.399994,375.399994,80812.0
2015-09-14,377.299988,382.799988,372.200012,376.200012,376.200012,373637.0
2015-09-15,376.0,380.0,370.100006,373.450012,373.450012,301811.0
2015-09-16,374.450012,378.0,372.100006,376.0,376.0,110126.0
2015-09-18,376.0,380.0,371.0,371.950012,371.950012,54953.0
2015-09-21,363.049988,372.0,363.049988,369.549988,369.549988,50885.0
2015-09-22,371.0,376.0,362.149994,363.450012,363.450012,59314.0
2015-09-23,360.0,363.799988,356.149994,357.649994,357.649994,81500.0
2015-09-24,360.75,362.950012,354.0,357.450012,357.450012,56235.0
2015-09-28,357.450012,369.899994,347.0,349.100006,349.100006,72820.0
2015-09-29,346.049988,354.799988,341.100006,346.5,346.5,148888.0
2015-09-30,346.200012,362.299988,343.299988,358.799988,358.799988,345589.0
2015-10-01,364.399994,365.0,353.950012,356.600006,356.600006,281952.0
2015-10-05,356.600006,365.0,356.600006,361.399994,361.399994,51812.0
2015-10-06,362.0,371.5,350.0,367.5,367.5,1356910.0
2015-10-07,370.899994,377.399994,363.0,365.350006,365.350006,375799.0
2015-10-08,366.0,368.899994,360.0,364.049988,364.049988,83243.0
2015-10-09,365.899994,371.899994,361.200012,366.149994,366.149994,60535.0
2015-10-12,369.0,379.299988,360.049988,373.299988,373.299988,742301.0
2015-10-13,378.0,384.649994,366.549988,381.950012,381.950012,97914.0
2015-10-14,381.950012,387.600006,378.0,380.799988,380.799988,82390.0
2015-10-15,380.850006,388.0,377.25,387.5,387.5,142968.0
2015-10-16,390.399994,402.700012,385.5,395.299988,395.299988,285428.0
2015-10-19,400.549988,406.0,393.549988,395.950012,395.950012,77713.0
2015-10-20,396.649994,408.700012,396.450012,402.149994,402.149994,438106.0
2015-10-21,403.75,403.75,395.0,400.399994,400.399994,139439.0
2015-10-23,400.399994,403.100006,392.700012,396.950012,396.950012,111097.0
2015-10-26,399.0,411.399994,381.149994,389.549988,389.549988,912233.0
2015-10-27,398.899994,406.0,396.100006,403.399994,403.399994,494638.0
2015-10-28,406.799988,407.5,398.350006,401.5,401.5,230150.0
2015-10-29,402.049988,404.5,395.25,401.399994,401.399994,91862.0
2015-10-30,401.149994,402.950012,390.299988,397.0,397.0,107791.0
2015-11-02,395.5,399.0,388.200012,389.899994,389.899994,102866.0
2015-11-03,395.0,395.0,384.0,388.600006,388.600006,139342.0
2015-11-04,391.450012,394.899994,385.049988,388.299988,388.299988,73257.0
2015-11-05,389.0,389.950012,382.5,383.799988,383.799988,45685.0
2015-11-06,388.0,390.0,376.0,377.649994,377.649994,37342.0
2015-11-09,365.0,382.0,365.0,368.950012,368.950012,135409.0
2015-11-10,369.0,374.399994,365.5,367.350006,367.350006,53324.0
2015-11-13,367.350006,375.0,358.5,359.799988,359.799988,168955.0
2015-11-16,364.950012,369.799988,361.100006,365.899994,365.899994,207910.0
2015-11-17,368.0,369.899994,362.5,364.200012,364.200012,57277.0
2015-11-18,365.450012,366.75,356.799988,359.649994,359.649994,74311.0
2015-11-19,360.100006,375.299988,360.100006,369.649994,369.649994,173819.0
2015-11-20,369.0,374.0,363.100006,366.350006,366.350006,72622.0
2015-11-23,371.700012,371.700012,361.049988,365.549988,365.549988,30690.0
2015-11-24,367.0,368.899994,361.100006,366.5,366.5,56183.0
2015-11-26,366.5,368.450012,359.399994,360.450012,360.450012,75466.0
2015-11-27,364.0,364.0,358.0,361.399994,361.399994,157518.0
2015-11-30,361.0,364.200012,359.299988,361.450012,361.450012,84466.0
2015-12-01,364.899994,367.0,359.75,363.149994,363.149994,114519.0
2015-12-02,363.450012,366.0,361.049988,362.399994,362.399994,43642.0
2015-12-03,362.0,366.0,358.700012,360.799988,360.799988,69833.0
2015-12-04,360.0,361.649994,355.799988,357.799988,357.799988,92647.0
2015-12-07,363.350006,369.0,355.799988,356.899994,356.899994,115452.0
2015-12-08,356.049988,359.450012,348.25,349.600006,349.600006,67423.0
2015-12-09,349.0,352.0,340.0,347.950012,347.950012,99643.0
2015-12-10,353.5,354.950012,348.399994,350.600006,350.600006,89791.0
2015-12-11,353.0,353.0,340.399994,342.299988,342.299988,63568.0
2015-12-14,348.0,348.0,340.049988,341.950012,341.950012,38589.0
2015-12-15,343.0,353.899994,343.0,348.5,348.5,90417.0
2015-12-16,352.0,356.399994,349.25,351.75,351.75,60857.0
2015-12-17,353.950012,358.399994,348.799988,351.799988,351.799988,241100.0
