Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,11.95,11.95,11.55,11.55,11.55,3919.0
2015-01-02,11.6,12.0,11.6,11.65,11.65,3969.0
2015-01-05,11.8,11.9,11.6,11.65,11.65,8607.0
2015-01-06,11.75,11.75,11.65,11.7,11.7,2139.0
2015-01-07,11.7,11.9,11.65,11.65,11.65,9760.0
2015-01-08,11.6,11.9,11.6,11.6,11.6,1248.0
2015-01-09,11.55,11.7,11.4,11.5,11.5,5647.0
2015-01-12,11.65,11.65,11.1,11.25,11.25,16763.0
2015-01-13,11.3,11.35,11.3,11.35,11.35,2911.0
2015-01-14,10.55,11.4,10.55,11.35,11.35,1108.0
2015-01-15,11.2,13.0,11.2,12.15,12.15,10010.0
2015-01-16,12.95,13.5,12.35,12.95,12.95,32698.0
2015-01-19,13.2,13.2,12.2,12.85,12.85,16621.0
2015-01-20,13.1,13.1,12.3,12.3,12.3,1955.0
2015-01-21,13.0,13.0,12.25,12.35,12.35,3715.0
2015-01-22,12.5,12.5,11.85,11.95,11.95,1419.0
2015-01-23,12.95,12.95,11.2,11.8,11.8,3692.0
2015-01-27,11.8,12.55,11.6,11.85,11.85,726.0
2015-01-28,12.05,12.2,12.05,12.2,12.2,259.0
2015-01-29,12.3,12.6,12.3,12.6,12.6,33607.0
2015-01-30,12.8,12.95,12.2,12.4,12.4,30095.0
2015-02-02,12.95,12.95,12.1,12.55,12.55,208882.0
2015-02-03,12.85,13.0,12.4,12.5,12.5,9351.0
2015-02-04,12.1,12.25,11.9,11.95,11.95,6794.0
2015-02-05,11.8,12.0,11.55,11.65,11.65,3469.0
2015-02-06,11.5,11.75,11.5,11.5,11.5,4240.0
2015-02-09,11.5,11.5,11.0,11.0,11.0,14026.0
2015-02-10,11.45,11.5,10.55,10.85,10.85,9062.0
2015-02-11,10.6,11.65,10.55,11.1,11.1,247969.0
2015-02-12,11.0,11.4,11.0,11.2,11.2,14039.0
2015-02-13,11.0,11.4,11.0,11.0,11.0,217267.0
2015-02-16,11.0,12.0,11.0,11.45,11.45,92527.0
2015-02-18,11.45,12.0,11.15,11.45,11.45,222450.0
2015-02-19,11.15,11.95,10.5,11.4,11.4,176422.0
2015-02-20,11.05,11.65,11.05,11.25,11.25,131470.0
2015-02-23,11.75,11.85,10.8,10.85,10.85,194717.0
2015-02-24,10.5,13.0,10.5,12.5,12.5,633724.0
2015-02-25,12.9,13.0,11.75,11.75,11.75,28925.0
2015-02-26,11.75,12.1,11.25,12.05,12.05,2367.0
2015-02-27,12.5,12.5,10.7,11.4,11.4,134326.0
2015-02-28,,,,,,
2015-03-02,10.8,11.4,10.5,11.25,11.25,164436.0
2015-03-03,11.1,11.8,11.1,11.8,11.8,3952.0
2015-03-04,11.9,11.95,11.05,11.25,11.25,10498.0
2015-03-05,11.65,11.65,11.35,11.55,11.55,11192.0
2015-03-09,11.55,11.6,11.1,11.55,11.55,1981.0
2015-03-10,11.15,12.5,11.15,11.95,11.95,200306.0
2015-03-11,11.6,12.0,11.6,12.0,12.0,18481.0
2015-03-12,11.8,11.95,11.25,11.7,11.7,5194.0
2015-03-13,11.25,12.0,11.25,11.55,11.55,6407.0
2015-03-16,11.25,11.75,11.25,11.4,11.4,432.0
2015-03-17,11.25,11.95,11.0,11.25,11.25,70316.0
2015-03-18,11.25,11.25,10.65,11.05,11.05,50000.0
2015-03-19,11.05,11.2,10.8,10.9,10.9,52121.0
2015-03-20,11.0,11.1,10.8,10.8,10.8,8144.0
2015-03-23,11.0,11.7,10.8,10.8,10.8,1435.0
2015-03-24,11.0,11.8,10.75,11.55,11.55,79750.0
2015-03-25,11.6,11.8,11.0,11.1,11.1,111446.0
2015-03-26,11.1,11.3,10.9,11.05,11.05,5819.0
2015-03-27,10.85,11.5,10.55,10.65,10.65,2289.0
2015-03-30,10.75,11.5,10.75,11.3,11.3,2416.0
2015-03-31,11.0,11.15,11.0,11.15,11.15,1512.0
2015-04-01,11.1,11.15,11.05,11.15,11.15,960.0
2015-04-06,11.15,11.5,10.95,11.3,11.3,23991.0
2015-04-07,11.2,11.25,10.85,11.05,11.05,10421.0
2015-04-08,11.05,11.55,11.0,11.2,11.2,287299.0
2015-04-09,11.0,11.4,11.0,11.1,11.1,3579.0
2015-04-10,11.0,11.35,11.0,11.1,11.1,242480.0
2015-04-13,11.2,11.25,11.1,11.25,11.25,1195.0
2015-04-15,11.25,11.35,10.95,11.2,11.2,412973.0
2015-04-16,11.1,11.5,11.05,11.05,11.05,2172.0
2015-04-17,11.2,11.4,11.1,11.25,11.25,2278.0
2015-04-20,11.1,11.3,10.75,11.15,11.15,410895.0
2015-04-21,11.0,11.4,11.0,11.15,11.15,241616.0
2015-04-22,11.1,11.25,11.0,11.15,11.15,2943.0
2015-04-23,11.05,11.6,11.05,11.3,11.3,13354.0
2015-04-24,11.0,11.3,11.0,11.15,11.15,1233.0
2015-04-27,11.1,11.2,10.75,10.9,10.9,2394.0
2015-04-28,11.0,11.1,10.95,11.1,11.1,539.0
2015-04-29,11.1,11.2,11.0,11.1,11.1,1510.0
2015-04-30,11.1,11.1,10.9,10.95,10.95,1753.0
2015-05-04,10.95,11.1,10.8,11.1,11.1,151.0
2015-05-05,10.85,11.15,10.8,11.05,11.05,1546.0
2015-05-06,10.95,11.25,10.9,11.0,11.0,3217.0
2015-05-07,10.95,10.95,10.75,10.8,10.8,6408.0
2015-05-08,11.0,11.0,10.8,10.85,10.85,451.0
2015-05-11,11.0,11.1,10.95,11.05,11.05,3198.0
2015-05-12,10.85,11.3,10.8,11.3,11.3,2376.0
2015-05-13,10.8,11.45,10.8,11.35,11.35,4635.0
