Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,41.099998,42.75,40.75,42.450001,42.450001,4019.0
2015-01-02,43.599998,45.900002,42.25,43.400002,43.400002,37899.0
2015-01-05,44.099998,46.799999,42.5,44.75,44.75,19908.0
2015-01-06,44.75,45.599998,41.049999,43.099998,43.099998,10524.0
2015-01-07,44.900002,44.900002,42.5,43.349998,43.349998,106375.0
2015-01-08,45.0,47.650002,43.349998,47.450001,47.450001,25589.0
2015-01-09,48.5,52.150002,45.799999,51.099998,51.099998,27638.0
2015-01-12,51.5,52.650002,49.5,51.349998,51.349998,21818.0
2015-01-13,52.950001,53.900002,50.75,52.5,52.5,27536.0
2015-01-14,53.0,53.650002,52.0,52.700001,52.700001,43912.0
2015-01-15,53.0,54.5,51.099998,53.75,53.75,35181.0
2015-01-16,54.799999,55.5,51.5,53.5,53.5,17950.0
2015-01-19,53.5,54.400002,50.0,52.349998,52.349998,26528.0
2015-01-20,53.0,53.799999,51.0,52.650002,52.650002,25263.0
2015-01-21,52.75,53.700001,50.549999,51.650002,51.650002,15583.0
2015-01-22,51.650002,53.799999,50.049999,51.650002,51.650002,22984.0
2015-01-23,51.650002,52.349998,47.0,49.799999,49.799999,17096.0
2015-01-27,49.799999,52.400002,49.25,50.700001,50.700001,11012.0
2015-01-28,50.5,51.0,46.599998,48.049999,48.049999,26129.0
2015-01-29,48.25,49.150002,46.200001,47.700001,47.700001,16516.0
2015-01-30,48.0,49.5,46.25,47.5,47.5,10323.0
2015-02-02,48.25,48.25,43.650002,44.75,44.75,21188.0
2015-02-03,44.099998,48.0,43.700001,44.349998,44.349998,11556.0
2015-02-04,45.25,46.799999,43.5,44.650002,44.650002,7925.0
2015-02-05,44.700001,44.700001,40.650002,41.599998,41.599998,15165.0
2015-02-06,41.900002,49.400002,33.299999,47.799999,47.799999,115143.0
2015-02-09,47.75,52.150002,42.900002,51.349998,51.349998,192944.0
2015-02-10,51.349998,51.400002,43.549999,47.25,47.25,148712.0
2015-02-11,47.0,47.0,44.5,45.849998,45.849998,58889.0
2015-02-12,46.349998,46.799999,42.5,44.0,44.0,28865.0
