Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,16.549999,18.1,16.549999,17.450001,17.450001,33679.0
2015-01-02,17.85,19.0,17.299999,18.25,18.25,196059.0
2015-01-05,,,,,,
2015-01-06,,,,,,
2015-01-07,,,,,,
2015-01-08,,,,,,
2015-01-09,,,,,,
2015-01-12,,,,,,
2015-01-13,16.950001,17.0,16.299999,16.4,16.4,76147.0
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-27,17.049999,17.049999,15.25,15.4,15.4,110241.0
2015-01-28,15.25,15.7,14.8,15.0,15.0,78062.0
2015-01-29,14.7,15.45,14.7,14.95,14.95,38086.0
2015-01-30,15.95,15.95,14.85,15.0,15.0,68126.0
2015-02-02,14.8,15.15,14.8,14.9,14.9,42724.0
2015-02-03,14.85,15.35,14.4,14.55,14.55,87281.0
2015-02-04,14.65,15.2,14.35,15.1,15.1,62741.0
2015-02-05,14.85,15.7,14.65,14.8,14.8,77709.0
2015-02-06,15.1,15.1,14.0,14.1,14.1,39980.0
2015-02-09,13.05,14.35,13.05,13.45,13.45,31518.0
2015-02-10,13.9,14.1,13.35,13.5,13.5,26270.0
2015-02-11,13.4,14.0,11.0,13.15,13.15,111456.0
2015-02-12,,,,,,
2015-02-13,13.45,13.65,12.9,13.05,13.05,181150.0
2015-02-16,13.05,13.05,11.8,12.05,12.05,193841.0
2015-02-18,12.05,12.05,12.05,12.05,12.05,0.0
2015-02-19,11.8,13.65,11.25,12.2,12.2,749172.0
2015-02-20,12.6,12.6,11.9,12.05,12.05,240717.0
2015-02-23,12.15,12.4,11.7,11.9,11.9,88881.0
2015-02-24,,,,,,
2015-02-25,12.65,12.65,12.0,12.15,12.15,150862.0
2015-02-26,12.0,12.0,11.05,11.75,11.75,73399.0
2015-02-27,,,,,,
2015-02-28,,,,,,
2015-03-02,11.7,11.9,11.35,11.45,11.45,48152.0
2015-03-03,11.45,11.75,11.3,11.65,11.65,56063.0
2015-03-04,,,,,,
2015-03-05,11.55,11.8,11.4,11.6,11.6,42634.0
2015-03-09,,,,,,
2015-03-10,,,,,,
2015-03-11,,,,,,
2015-03-12,,,,,,
2015-03-13,,,,,,
2015-03-16,,,,,,
2015-03-17,9.65,10.15,9.3,9.4,9.4,42901.0
2015-03-18,,,,,,
2015-03-19,,,,,,
2015-03-20,,,,,,
2015-03-23,9.4,9.4,8.15,8.85,8.85,348915.0
2015-03-24,,,,,,
2015-03-25,,,,,,
2015-03-26,,,,,,
2015-03-27,8.95,9.2,8.7,8.8,8.8,251150.0
2015-03-30,,,,,,
2015-03-31,9.25,9.3,8.9,8.95,8.95,30769.0
2015-04-01,,,,,,
2015-04-06,10.4,11.15,10.05,10.75,10.75,92072.0
2015-04-07,,,,,,
2015-04-08,,,,,,
2015-04-09,11.3,12.1,10.35,11.1,11.1,425900.0
2015-04-10,,,,,,
2015-04-13,,,,,,
2015-04-15,12.95,14.0,12.8,12.95,12.95,257840.0
2015-04-16,,,,,,
2015-04-17,,,,,,
2015-04-20,,,,,,
2015-04-21,,,,,,
2015-04-22,,,,,,
2015-04-23,,,,,,
2015-04-24,,,,,,
2015-04-27,,,,,,
2015-04-28,9.9,9.9,9.3,9.8,9.8,33378.0
2015-04-29,,,,,,
2015-04-30,,,,,,
2015-05-04,,,,,,
2015-05-05,9.25,9.55,9.15,9.2,9.2,123671.0
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-05-08,,,,,,
2015-05-11,,,,,,
2015-05-12,,,,,,
2015-05-13,,,,,,
2015-05-14,9.0,9.2,8.65,9.05,9.05,31560.0
2015-05-15,9.1,9.5,8.8,9.2,9.2,45037.0
2015-05-18,9.3,9.35,8.95,9.2,9.2,33331.0
2015-05-19,9.0,9.3,9.0,9.0,9.0,38557.0
2015-05-20,9.05,9.2,8.9,8.95,8.95,40699.0
2015-05-21,9.0,9.0,8.8,8.9,8.9,21384.0
2015-05-22,8.9,8.95,8.8,8.85,8.85,10538.0
2015-05-25,8.8,8.95,8.55,8.75,8.75,39995.0
2015-05-26,8.7,9.0,8.6,8.75,8.75,17987.0
2015-05-27,8.8,8.85,8.6,8.6,8.6,23333.0
2015-05-28,8.75,8.8,8.65,8.7,8.7,10203.0
2015-05-29,8.75,9.2,8.75,9.1,9.1,55002.0
2015-06-01,,,,,,
2015-06-02,9.0,9.45,8.6,9.0,9.0,22174.0
2015-06-03,,,,,,
2015-06-04,8.45,8.85,8.15,8.4,8.4,22761.0
2015-06-05,8.5,8.75,8.05,8.7,8.7,17636.0
2015-06-08,,,,,,
2015-06-09,8.45,8.45,8.05,8.05,8.05,20675.0
2015-06-10,8.1,8.6,7.95,8.1,8.1,42629.0
2015-06-11,,,,,,
2015-06-12,8.0,8.15,7.95,8.05,8.05,16229.0
2015-06-15,8.0,8.4,8.0,8.3,8.3,19267.0
2015-06-16,,,,,,
2015-06-17,8.6,8.8,8.2,8.65,8.65,19413.0
2015-06-18,,,,,,
2015-06-19,9.0,9.05,8.6,8.9,8.9,26098.0
2015-06-22,8.8,9.1,8.7,8.95,8.95,32497.0
2015-06-23,,,,,,
2015-06-24,,,,,,
2015-06-25,8.7,9.0,8.7,8.95,8.95,10199.0
2015-06-26,,,,,,
2015-06-29,,,,,,
2015-06-30,,,,,,
2015-07-01,,,,,,
2015-07-02,8.5,9.0,8.5,8.75,8.75,17955.0
2015-07-03,,,,,,
2015-07-06,,,,,,
2015-07-07,,,,,,
2015-07-08,,,,,,
2015-07-09,,,,,,
2015-07-10,9.5,9.5,9.2,9.25,9.25,22168.0
2015-07-13,,,,,,
2015-07-14,,,,,,
2015-07-15,,,,,,
2015-07-16,,,,,,
2015-07-17,,,,,,
2015-07-20,9.6,9.75,9.45,9.55,9.55,68318.0
2015-07-21,,,,,,
2015-07-22,,,,,,
2015-07-23,9.35,9.5,9.3,9.45,9.45,33386.0
2015-07-24,,,,,,
2015-07-27,,,,,,
2015-07-28,,,,,,
2015-07-29,,,,,,
2015-07-30,,,,,,
2015-07-31,8.8,9.2,8.75,8.9,8.9,43554.0
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,9.3,10.5,9.25,10.25,10.25,245514.0
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-12,,,,,,
2015-08-13,,,,,,
2015-08-14,,,,,,
2015-08-17,,,,,,
2015-08-18,8.75,9.15,8.55,8.95,8.95,23579.0
2015-08-19,,,,,,
2015-08-20,,,,,,
2015-08-21,,,,,,
2015-08-24,,,,,,
2015-08-25,8.4,8.4,7.5,7.65,7.65,39438.0
2015-08-26,7.65,8.15,7.65,7.85,7.85,14995.0
2015-08-27,7.9,8.45,7.75,7.9,7.9,53684.0
2015-08-28,8.4,8.4,7.6,7.75,7.75,31712.0
2015-08-31,7.75,7.95,7.25,7.55,7.55,19165.0
2015-09-01,7.3,7.5,7.0,7.3,7.3,26849.0
2015-09-02,7.3,7.75,7.1,7.2,7.2,11246.0
2015-09-03,7.25,7.65,7.25,7.3,7.3,13357.0
2015-09-04,7.3,7.45,6.95,7.25,7.25,19283.0
2015-09-07,7.05,7.35,7.0,7.0,7.0,15118.0
2015-09-08,7.15,7.25,7.0,7.2,7.2,15368.0
2015-09-09,7.4,7.45,7.1,7.35,7.35,26430.0
2015-09-10,7.35,7.35,7.05,7.25,7.25,14386.0
2015-09-11,7.3,7.3,7.1,7.25,7.25,15115.0
2015-09-14,7.1,7.65,7.1,7.35,7.35,16096.0
2015-09-15,7.4,7.5,7.2,7.2,7.2,17029.0
2015-09-16,7.45,7.6,7.2,7.25,7.25,14913.0
2015-09-18,7.25,7.55,7.2,7.25,7.25,3226.0
2015-09-21,7.2,7.75,7.1,7.65,7.65,20815.0
2015-09-22,7.85,7.85,7.25,7.4,7.4,9861.0
2015-09-23,7.3,7.4,7.0,7.3,7.3,7596.0
2015-09-24,7.15,7.5,7.15,7.45,7.45,4313.0
2015-09-28,7.45,7.85,7.0,7.0,7.0,28779.0
2015-09-29,,,,,,
2015-09-30,7.2,7.6,7.2,7.3,7.3,12415.0
2015-10-01,7.5,7.6,7.2,7.4,7.4,32212.0
2015-10-05,7.4,7.55,7.25,7.45,7.45,21001.0
2015-10-06,7.65,7.8,7.35,7.45,7.45,57636.0
2015-10-07,,,,,,
