Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,19.049999,20.0,18.75,20.0,20.0,25284.0
2015-01-02,20.950001,23.0,20.950001,21.6,21.6,27614.0
2015-01-05,23.0,23.0,20.65,21.049999,21.049999,5272.0
2015-01-06,21.5,22.0,19.4,20.6,20.6,28219.0
2015-01-07,20.799999,21.299999,19.65,20.1,20.1,8803.0
2015-01-08,20.1,21.9,20.0,21.049999,21.049999,18244.0
2015-01-09,21.9,22.0,20.1,20.75,20.75,9714.0
2015-01-12,20.9,20.9,19.5,19.700001,19.700001,22707.0
2015-01-13,20.0,20.9,19.799999,20.85,20.85,9200.0
2015-01-14,20.6,21.4,19.5,21.049999,21.049999,42813.0
2015-01-15,22.1,22.9,20.950001,22.5,22.5,40125.0
2015-01-16,22.15,23.5,21.65,23.1,23.1,19977.0
2015-01-19,23.0,24.049999,22.5,23.75,23.75,15182.0
2015-01-20,23.700001,24.0,23.049999,23.200001,23.200001,9306.0
2015-01-21,23.0,23.0,21.700001,21.950001,21.950001,20337.0
2015-01-22,21.700001,23.5,21.700001,22.049999,22.049999,5853.0
2015-01-23,22.299999,22.75,21.6,22.15,22.15,8838.0
2015-01-27,22.15,26.549999,21.75,25.549999,25.549999,188234.0
2015-01-28,26.1,27.0,23.799999,24.049999,24.049999,73861.0
2015-01-29,24.75,28.799999,24.75,27.700001,27.700001,186376.0
2015-01-30,29.4,30.0,26.5,27.35,27.35,140332.0
2015-02-02,27.299999,28.450001,26.0,26.450001,26.450001,39677.0
2015-02-03,26.049999,28.25,25.200001,27.799999,27.799999,26711.0
2015-02-04,29.0,29.0,25.700001,27.049999,27.049999,33461.0
2015-02-05,26.6,28.65,26.049999,26.450001,26.450001,20311.0
2015-02-06,26.35,27.200001,24.0,26.25,26.25,60284.0
2015-02-09,26.049999,26.049999,24.299999,25.35,25.35,16127.0
2015-02-10,26.65,26.65,24.1,24.549999,24.549999,18987.0
2015-02-11,24.299999,26.5,24.049999,25.700001,25.700001,48467.0
2015-02-12,26.0,28.0,25.5,27.65,27.65,42500.0
2015-02-13,27.299999,27.9,26.25,26.4,26.4,18500.0
2015-02-16,26.1,27.700001,26.1,26.799999,26.799999,16559.0
2015-02-18,26.799999,27.6,26.1,26.9,26.9,34643.0
2015-02-19,27.9,27.950001,26.299999,26.450001,26.450001,15546.0
2015-02-20,27.450001,27.5,26.25,26.450001,26.450001,20435.0
2015-02-23,27.25,27.75,26.5,26.950001,26.950001,37395.0
2015-02-24,26.700001,27.25,26.700001,27.0,27.0,45030.0
2015-02-25,28.9,32.400002,26.700001,32.400002,32.400002,456903.0
2015-02-26,35.0,38.349998,33.75,34.900002,34.900002,871897.0
2015-02-27,36.25,41.849998,36.0,41.849998,41.849998,389356.0
2015-02-28,,,,,,
2015-03-02,50.599998,50.599998,50.599998,50.599998,50.599998,121492.0
2015-03-03,55.650002,55.650002,55.650002,55.650002,55.650002,65979.0
2015-03-04,58.400002,58.400002,55.700001,57.799999,57.799999,788214.0
2015-03-05,59.450001,59.450001,54.950001,54.950001,54.950001,777846.0
2015-03-09,54.950001,54.950001,52.25,52.25,52.25,67557.0
2015-03-10,49.650002,54.849998,49.650002,49.75,49.75,793396.0
2015-03-11,51.5,51.75,47.299999,47.400002,47.400002,147789.0
2015-03-12,48.0,49.75,46.75,47.450001,47.450001,338767.0
2015-03-13,48.049999,49.0,45.099998,45.099998,45.099998,74810.0
2015-03-16,46.150002,46.150002,42.849998,42.849998,42.849998,66022.0
2015-03-17,42.849998,42.950001,40.75,40.75,40.75,55357.0
2015-03-18,38.75,42.75,38.75,42.75,42.75,170410.0
2015-03-19,44.849998,44.849998,42.0,43.900002,43.900002,160037.0
2015-03-20,45.400002,45.900002,42.599998,44.700001,44.700001,142538.0
2015-03-23,46.0,46.0,42.5,42.5,42.5,57638.0
2015-03-24,42.0,43.5,40.400002,40.400002,40.400002,39310.0
2015-03-25,38.75,40.400002,38.400002,38.400002,38.400002,73653.0
2015-03-26,38.650002,38.650002,36.5,36.5,36.5,76580.0
2015-03-27,36.0,38.299999,35.0,38.299999,38.299999,102960.0
2015-03-30,40.200001,40.200001,39.5,40.200001,40.200001,26012.0
2015-03-31,41.900002,42.200001,40.0,42.200001,42.200001,153304.0
2015-04-01,42.900002,44.299999,41.5,44.299999,44.299999,82587.0
2015-04-06,44.299999,46.5,44.299999,46.5,46.5,194201.0
2015-04-07,48.0,49.400002,42.049999,48.0,48.0,113621.0
2015-04-08,48.900002,48.900002,45.150002,46.200001,46.200001,63420.0
2015-04-09,47.799999,47.799999,44.150002,44.900002,44.900002,37413.0
2015-04-10,,,,,,
2015-04-13,52.700001,52.700001,46.75,47.599998,47.599998,81885.0
2015-04-15,48.0,51.900002,47.0,48.799999,48.799999,128019.0
2015-04-16,,,,,,
2015-04-17,47.049999,48.0,44.0,44.950001,44.950001,49154.0
2015-04-20,45.5,49.0,44.75,46.700001,46.700001,60510.0
2015-04-21,46.5,48.0,45.0,45.25,45.25,37506.0
2015-04-22,,,,,,
2015-04-23,,,,,,
2015-04-24,44.5,45.700001,41.25,42.299999,42.299999,23022.0
2015-04-27,,,,,,
2015-04-28,40.0,43.5,39.299999,42.549999,42.549999,22409.0
2015-04-29,42.049999,42.400002,40.5,41.099998,41.099998,62192.0
2015-04-30,40.049999,41.200001,39.799999,40.25,40.25,15419.0
2015-05-04,,,,,,
2015-05-05,,,,,,
2015-05-06,47.450001,48.75,43.549999,44.150002,44.150002,82098.0
2015-05-07,,,,,,
2015-05-08,42.0,48.950001,41.25,48.599998,48.599998,470452.0
2015-05-11,50.650002,50.650002,45.0,46.75,46.75,206406.0
2015-05-12,47.549999,47.549999,45.0,46.5,46.5,79029.0
2015-05-13,46.5,49.349998,46.5,47.650002,47.650002,78851.0
2015-05-14,,,,,,
2015-05-15,49.5,49.5,47.099998,48.049999,48.049999,52726.0
2015-05-18,47.5,49.0,46.950001,47.400002,47.400002,36545.0
2015-05-19,48.0,48.400002,46.599998,47.150002,47.150002,43107.0
2015-05-20,47.0,51.75,46.349998,48.700001,48.700001,118598.0
2015-05-21,49.349998,49.700001,47.25,47.700001,47.700001,32766.0
2015-05-22,48.25,53.700001,47.599998,50.849998,50.849998,357039.0
2015-05-25,51.049999,54.400002,50.0,52.400002,52.400002,272731.0
2015-05-26,,,,,,
2015-05-27,48.0,50.150002,48.0,49.0,49.0,42192.0
2015-05-28,47.650002,49.799999,47.599998,48.25,48.25,42369.0
2015-05-29,48.700001,50.700001,48.099998,48.400002,48.400002,45647.0
2015-06-01,46.950001,46.950001,38.75,38.75,38.75,522195.0
2015-06-02,38.75,39.450001,33.599998,36.549999,36.549999,99338.0
2015-06-03,,,,,,
2015-06-04,,,,,,
2015-06-05,,,,,,
2015-06-08,,,,,,
2015-06-09,,,,,,
2015-06-10,36.900002,38.25,34.0,38.25,38.25,70500.0
2015-06-11,,,,,,
2015-06-12,,,,,,
2015-06-15,38.5,39.799999,37.099998,37.650002,37.650002,30563.0
2015-06-16,,,,,,
2015-06-17,,,,,,
2015-06-18,,,,,,
2015-06-19,,,,,,
2015-06-22,38.5,42.450001,38.25,41.349998,41.349998,59996.0
2015-06-23,,,,,,
2015-06-24,40.0,41.5,39.200001,39.849998,39.849998,22399.0
2015-06-25,,,,,,
2015-06-26,,,,,,
2015-06-29,36.299999,37.950001,36.0,37.049999,37.049999,23178.0
2015-06-30,,,,,,
2015-07-01,,,,,,
2015-07-02,40.099998,42.099998,40.099998,41.200001,41.200001,38167.0
2015-07-03,,,,,,
2015-07-06,42.549999,43.200001,40.0,42.400002,42.400002,24737.0
2015-07-07,,,,,,
2015-07-08,,,,,,
2015-07-09,,,,,,
2015-07-10,45.599998,52.25,44.700001,50.599998,50.599998,222595.0
2015-07-13,,,,,,
2015-07-14,,,,,,
2015-07-15,,,,,,
2015-07-16,,,,,,
2015-07-17,,,,,,
2015-07-20,59.900002,65.449997,56.099998,64.25,64.25,138259.0
2015-07-21,,,,,,
2015-07-22,,,,,,
2015-07-23,,,,,,
2015-07-24,,,,,,
2015-07-27,75.0,79.349998,69.0,77.0,77.0,685362.0
2015-07-28,78.900002,82.400002,78.0,80.949997,80.949997,320751.0
2015-07-29,,,,,,
2015-07-30,,,,,,
2015-07-31,,,,,,
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,71.800003,73.349998,68.050003,68.599998,68.599998,101786.0
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-12,72.0,73.400002,67.599998,67.599998,67.599998,84617.0
