Date,Open,High,Low,Close,Adj Close,Volume
2015-01-12,12.5,12.7,11.0,12.05,12.05,77434.0
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-27,11.8,12.0,11.75,11.85,11.85,61908.0
2015-01-28,12.05,12.05,11.05,11.2,11.2,105989.0
2015-01-29,11.5,11.5,11.1,11.15,11.15,51919.0
2015-01-30,11.15,11.5,11.15,11.25,11.25,30270.0
2015-02-02,11.05,11.6,11.05,11.2,11.2,85990.0
2015-02-03,11.1,11.5,11.1,11.4,11.4,25715.0
2015-02-04,11.6,11.8,11.25,11.5,11.5,64844.0
2015-02-05,11.6,11.65,11.1,11.2,11.2,42849.0
2015-02-06,11.2,11.6,11.05,11.15,11.15,54877.0
2015-02-09,11.2,11.3,10.8,10.9,10.9,31359.0
2015-02-10,11.15,11.5,10.9,11.1,11.1,45328.0
2015-02-11,11.0,11.3,11.0,11.2,11.2,45067.0
2015-02-12,11.45,12.25,11.2,11.95,11.95,90979.0
2015-02-13,12.0,12.45,11.1,11.15,11.15,133765.0
2015-02-16,11.0,11.45,10.75,10.85,10.85,72111.0
2015-02-18,10.85,11.5,10.85,11.4,11.4,134508.0
2015-02-19,11.45,12.4,11.05,12.0,12.0,241335.0
2015-02-20,12.1,12.85,11.65,12.15,12.15,329318.0
2015-02-23,12.15,12.15,11.1,11.25,11.25,172668.0
2015-02-24,,,,,,
2015-02-25,11.4,11.4,10.85,10.9,10.9,64885.0
2015-02-26,11.0,11.0,10.35,10.6,10.6,94923.0
2015-02-27,10.2,11.0,10.2,10.55,10.55,87580.0
2015-02-28,,,,,,
2015-03-02,,,,,,
2015-03-03,10.45,10.55,10.05,10.3,10.3,85455.0
2015-03-04,10.75,11.45,10.4,10.65,10.65,417245.0
2015-03-05,10.45,10.5,10.2,10.25,10.25,109776.0
2015-03-09,,,,,,
2015-03-10,11.0,11.3,10.45,10.55,10.55,105070.0
2015-03-11,,,,,,
2015-03-12,,,,,,
2015-03-13,,,,,,
2015-03-16,,,,,,
2015-03-17,9.95,10.0,9.75,9.95,9.95,36295.0
2015-03-18,9.8,9.9,9.3,9.35,9.35,75281.0
2015-03-19,,,,,,
2015-03-20,9.0,9.15,8.7,8.75,8.75,70498.0
2015-03-23,,,,,,
2015-03-24,,,,,,
2015-03-25,8.3,8.6,8.05,8.25,8.25,85489.0
2015-03-26,,,,,,
2015-03-27,,,,,,
2015-03-30,,,,,,
2015-03-31,,,,,,
2015-04-01,8.0,8.85,8.0,8.75,8.75,59354.0
2015-04-06,8.75,8.75,8.75,8.75,8.75,0.0
2015-04-07,,,,,,
2015-04-08,,,,,,
2015-04-09,9.7,10.4,9.4,10.2,10.2,128318.0
2015-04-10,,,,,,
2015-04-13,,,,,,
2015-04-15,10.25,10.25,10.25,10.25,10.25,0.0
2015-04-16,,,,,,
2015-04-17,,,,,,
2015-04-20,,,,,,
