Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,8.95,8.95,8.5,8.5,8.5,200.0
2015-01-02,8.9,8.9,8.25,8.5,8.5,2191.0
2015-01-05,8.1,8.9,8.1,8.9,8.9,1251.0
2015-01-06,8.9,9.3,8.9,9.3,9.3,1007.0
2015-01-07,8.85,8.85,8.85,8.85,8.85,69.0
2015-01-08,8.85,8.85,8.85,8.85,8.85,0.0
2015-01-09,8.5,8.85,8.45,8.85,8.85,900.0
2015-01-12,8.85,8.85,8.85,8.85,8.85,0.0
2015-01-13,8.85,8.85,8.85,8.85,8.85,0.0
2015-01-14,8.45,8.45,8.45,8.45,8.45,10.0
2015-01-15,8.4,8.4,8.4,8.4,8.4,200.0
2015-01-16,8.4,8.4,8.4,8.4,8.4,0.0
2015-01-19,8.4,8.4,8.4,8.4,8.4,0.0
2015-01-20,8.0,8.0,8.0,8.0,8.0,3100.0
2015-01-21,7.6,7.65,7.6,7.6,7.6,5100.0
2015-01-22,7.3,7.75,7.3,7.5,7.5,2800.0
2015-01-23,7.3,7.3,7.3,7.3,7.3,33.0
2015-01-27,7.3,7.3,7.1,7.15,7.15,6784.0
2015-01-28,7.0,7.5,7.0,7.5,7.5,450.0
2015-01-29,7.15,7.65,7.15,7.65,7.65,1840.0
2015-01-30,7.6,7.6,7.55,7.6,7.6,353.0
2015-02-02,7.4,7.4,7.4,7.4,7.4,500.0
2015-02-03,7.75,7.75,7.75,7.75,7.75,2000.0
2015-02-04,7.4,7.45,7.4,7.4,7.4,700.0
2015-02-05,7.05,7.5,7.05,7.05,7.05,5701.0
2015-02-06,6.7,7.0,6.7,6.7,6.7,9754.0
2015-02-09,6.4,6.55,6.4,6.5,6.5,4127.0
2015-02-10,6.5,6.5,6.5,6.5,6.5,0.0
2015-02-11,6.5,6.5,6.5,6.5,6.5,0.0
2015-02-12,6.2,6.2,6.2,6.2,6.2,410.0
2015-02-13,6.2,6.2,6.2,6.2,6.2,0.0
2015-02-16,6.2,6.2,6.2,6.2,6.2,100.0
2015-02-18,6.2,6.5,6.1,6.5,6.5,3666.0
2015-02-19,6.8,6.8,6.8,6.8,6.8,3875.0
2015-02-20,7.1,7.1,7.1,7.1,7.1,10100.0
2015-02-23,7.45,7.45,7.45,7.45,7.45,6000.0
2015-02-24,7.8,7.8,7.8,7.8,7.8,727.0
2015-02-25,7.8,7.8,7.8,7.8,7.8,0.0
2015-02-26,7.8,7.8,7.8,7.8,7.8,0.0
2015-02-27,7.8,7.8,7.8,7.8,7.8,0.0
2015-02-28,,,,,,
2015-03-02,7.8,7.8,7.8,7.8,7.8,0.0
2015-03-03,7.8,7.8,7.8,7.8,7.8,0.0
2015-03-04,7.8,7.8,7.8,7.8,7.8,0.0
2015-03-05,7.8,7.8,7.8,7.8,7.8,0.0
2015-03-09,7.8,7.8,7.8,7.8,7.8,0.0
2015-03-10,7.8,7.8,7.8,7.8,7.8,0.0
2015-03-11,7.8,7.8,7.8,7.8,7.8,0.0
2015-03-12,7.8,7.8,7.8,7.8,7.8,0.0
2015-03-13,7.8,7.8,7.8,7.8,7.8,0.0
2015-03-16,7.8,7.8,7.8,7.8,7.8,0.0
2015-03-17,7.8,7.8,7.8,7.8,7.8,0.0
2015-03-18,7.8,7.8,7.8,7.8,7.8,0.0
2015-03-19,7.8,7.8,7.8,7.8,7.8,0.0
2015-03-20,7.8,7.8,7.8,7.8,7.8,0.0
2015-03-23,7.8,7.8,7.8,7.8,7.8,0.0
2015-03-24,7.8,7.8,7.8,7.8,7.8,0.0
2015-03-25,7.8,7.8,7.8,7.8,7.8,0.0
2015-03-26,7.8,7.8,7.8,7.8,7.8,0.0
2015-03-27,7.8,7.8,7.8,7.8,7.8,0.0
2015-03-30,8.1,8.15,8.1,8.15,8.15,3374.0
2015-03-31,8.15,8.15,8.15,8.15,8.15,0.0
2015-04-01,8.15,8.15,8.15,8.15,8.15,0.0
2015-04-06,8.15,8.55,8.15,8.55,8.55,3101.0
2015-04-07,8.55,8.55,8.55,8.55,8.55,0.0
2015-04-08,8.55,8.55,8.55,8.55,8.55,0.0
2015-04-09,8.55,8.55,8.55,8.55,8.55,0.0
2015-04-10,8.55,8.55,8.55,8.55,8.55,0.0
2015-04-13,,,,,,
2015-04-15,8.95,8.95,8.95,8.95,8.95,0.0
2015-04-16,,,,,,
2015-04-17,8.95,8.95,8.95,8.95,8.95,0.0
2015-04-20,,,,,,
2015-04-21,9.35,9.35,9.35,9.35,9.35,0.0
2015-04-22,9.35,9.35,9.35,9.35,9.35,0.0
2015-04-23,9.35,9.35,9.35,9.35,9.35,0.0
2015-04-24,,,,,,
2015-04-27,9.8,9.8,9.8,9.8,9.8,48630.0
2015-04-28,9.8,9.8,9.8,9.8,9.8,0.0
2015-04-29,9.8,9.8,9.8,9.8,9.8,0.0
2015-04-30,9.8,9.8,9.8,9.8,9.8,0.0
2015-05-04,9.8,10.25,9.8,10.25,10.25,58730.0
2015-05-05,10.25,10.25,10.25,10.25,10.25,0.0
2015-05-06,10.25,10.25,10.25,10.25,10.25,0.0
2015-05-07,10.25,10.25,10.25,10.25,10.25,0.0
2015-05-08,10.25,10.25,10.25,10.25,10.25,0.0
2015-05-11,10.75,10.75,9.75,10.1,10.1,312244.0
2015-05-12,10.1,10.1,10.1,10.1,10.1,0.0
2015-05-13,10.1,10.1,10.1,10.1,10.1,0.0
2015-05-14,10.1,10.1,10.1,10.1,10.1,0.0
2015-05-15,,,,,,
2015-05-18,,,,,,
2015-05-19,9.6,9.6,9.6,9.6,9.6,0.0
2015-05-20,9.6,9.6,9.6,9.6,9.6,0.0
2015-05-21,,,,,,
2015-05-22,9.6,9.6,9.6,9.6,9.6,0.0
2015-05-25,9.4,9.6,9.4,9.6,9.6,45000.0
2015-05-26,9.6,9.6,9.6,9.6,9.6,0.0
2015-05-27,9.6,9.6,9.6,9.6,9.6,0.0
2015-05-28,9.6,9.6,9.6,9.6,9.6,0.0
2015-05-29,9.6,9.6,9.6,9.6,9.6,0.0
2015-06-01,9.6,9.6,9.6,9.6,9.6,0.0
2015-06-02,9.6,9.6,9.6,9.6,9.6,0.0
2015-06-03,,,,,,
2015-06-04,9.6,9.6,9.6,9.6,9.6,0.0
2015-06-05,,,,,,
2015-06-08,9.6,9.6,9.6,9.6,9.6,0.0
2015-06-09,9.6,9.6,9.6,9.6,9.6,0.0
2015-06-10,,,,,,
2015-06-11,,,,,,
2015-06-12,9.6,9.6,9.6,9.6,9.6,0.0
2015-06-15,,,,,,
2015-06-16,,,,,,
2015-06-17,,,,,,
2015-06-18,,,,,,
2015-06-19,,,,,,
2015-06-22,,,,,,
2015-06-23,9.6,9.6,9.6,9.6,9.6,0.0
2015-06-24,9.6,9.6,9.6,9.6,9.6,0.0
2015-06-25,9.6,9.6,9.6,9.6,9.6,0.0
2015-06-26,,,,,,
2015-06-29,9.9,10.0,9.15,9.35,9.35,11560.0
2015-06-30,,,,,,
2015-07-01,,,,,,
2015-07-02,9.35,9.35,9.35,9.35,9.35,0.0
2015-07-03,9.35,9.35,9.35,9.35,9.35,0.0
2015-07-06,,,,,,
2015-07-07,,,,,,
2015-07-08,,,,,,
2015-07-09,,,,,,
2015-07-10,,,,,,
2015-07-13,,,,,,
2015-07-14,,,,,,
2015-07-15,,,,,,
2015-07-16,,,,,,
2015-07-17,,,,,,
2015-07-20,,,,,,
2015-07-21,,,,,,
2015-07-22,,,,,,
2015-07-23,10.75,10.75,10.75,10.75,10.75,0.0
2015-07-24,,,,,,
2015-07-27,,,,,,
2015-07-28,,,,,,
2015-07-29,,,,,,
2015-07-30,,,,,,
2015-07-31,,,,,,
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,11.8,11.8,11.8,11.8,11.8,0.0
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-12,12.35,12.35,12.35,12.35,12.35,0.0
2015-08-13,12.35,12.35,12.35,12.35,12.35,0.0
2015-08-14,12.35,12.35,12.35,12.35,12.35,0.0
2015-08-17,12.95,12.95,12.95,12.95,12.95,1000.0
2015-08-18,12.95,12.95,12.95,12.95,12.95,0.0
2015-08-19,12.95,12.95,12.95,12.95,12.95,0.0
2015-08-20,12.95,12.95,12.95,12.95,12.95,0.0
2015-08-21,12.95,12.95,12.95,12.95,12.95,0.0
2015-08-24,13.55,13.55,12.35,12.35,12.35,252215.0
2015-08-25,12.35,12.35,12.35,12.35,12.35,0.0
2015-08-26,12.35,12.35,12.35,12.35,12.35,0.0
2015-08-27,12.35,12.35,12.35,12.35,12.35,0.0
2015-08-28,12.35,12.35,12.35,12.35,12.35,0.0
2015-08-31,12.95,12.95,12.95,12.95,12.95,21100.0
2015-09-01,12.95,12.95,12.95,12.95,12.95,0.0
2015-09-02,12.95,12.95,12.95,12.95,12.95,0.0
2015-09-03,12.95,12.95,12.95,12.95,12.95,0.0
2015-09-04,12.95,12.95,12.95,12.95,12.95,0.0
2015-09-07,13.2,13.55,12.4,12.55,12.55,164249.0
2015-09-08,12.55,12.55,12.55,12.55,12.55,0.0
2015-09-09,12.55,12.55,12.55,12.55,12.55,0.0
2015-09-10,12.55,12.55,12.55,12.55,12.55,0.0
