Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,152.0,158.350006,150.5,156.550003,156.550003,6913722.0
2015-01-02,158.0,164.600006,157.600006,161.949997,161.949997,8169041.0
2015-01-05,164.800003,166.75,161.199997,162.850006,162.850006,12103749.0
2015-01-06,160.949997,163.399994,151.050003,152.649994,152.649994,9730592.0
2015-01-07,154.199997,154.75,148.600006,150.350006,150.350006,5299465.0
2015-01-08,152.699997,158.5,152.100006,157.899994,157.899994,6049252.0
2015-01-09,159.100006,161.449997,151.5,152.850006,152.850006,6935232.0
2015-01-12,152.100006,153.149994,147.899994,149.399994,149.399994,4015320.0
2015-01-13,150.5,155.850006,147.5,148.75,148.75,6560402.0
2015-01-14,149.699997,152.0,145.199997,146.850006,146.850006,5640225.0
2015-01-15,149.300003,153.699997,147.199997,151.800003,151.800003,7036088.0
2015-01-16,150.949997,154.300003,148.75,150.850006,150.850006,5230710.0
2015-01-19,150.949997,153.600006,149.600006,151.649994,151.649994,3156454.0
2015-01-20,152.800003,157.600006,152.300003,155.350006,155.350006,6752913.0
2015-01-21,156.600006,157.149994,151.100006,152.800003,152.800003,5694164.0
2015-01-22,152.800003,155.100006,151.300003,153.649994,153.649994,6123257.0
2015-01-23,156.0,160.25,151.949997,158.399994,158.399994,6530249.0
2015-01-27,158.399994,160.949997,156.550003,159.0,159.0,6069112.0
2015-01-28,158.600006,158.600006,154.100006,155.100006,155.100006,3970022.0
2015-01-29,154.600006,159.0,151.300003,157.399994,157.399994,11319602.0
2015-01-30,156.800003,160.800003,154.199997,158.649994,158.649994,4080173.0
2015-02-02,158.5,160.300003,153.550003,154.75,154.75,2895611.0
2015-02-03,155.449997,155.75,150.75,152.100006,152.100006,2936509.0
2015-02-04,151.5,159.100006,149.75,153.800003,153.800003,9302887.0
2015-02-05,154.0,154.350006,144.5,146.300003,146.300003,4196240.0
2015-02-06,146.100006,147.350006,140.0,142.050003,142.050003,4937771.0
2015-02-09,140.0,145.600006,138.050003,141.949997,141.949997,5872054.0
2015-02-10,140.350006,144.899994,140.100006,142.699997,142.699997,4284793.0
2015-02-11,142.699997,154.199997,141.600006,151.199997,151.199997,10619398.0
2015-02-12,154.0,154.800003,145.399994,146.75,146.75,6514194.0
2015-02-13,148.050003,153.300003,146.649994,152.25,152.25,4261357.0
2015-02-16,152.949997,154.649994,149.25,152.149994,152.149994,5493106.0
2015-02-18,152.149994,157.75,151.0,155.350006,155.350006,6370662.0
2015-02-19,155.5,200.5,153.699997,195.350006,195.350006,68648559.0
2015-02-20,206.550003,208.0,185.399994,194.25,194.25,57545881.0
2015-02-23,190.0,194.25,186.449997,190.850006,190.850006,13311692.0
2015-02-24,190.0,190.75,180.5,182.75,182.75,7878063.0
2015-02-25,183.0,187.75,182.0,182.899994,182.899994,5981834.0
2015-02-26,183.850006,186.800003,181.699997,184.300003,184.300003,7300109.0
2015-02-27,185.0,209.899994,185.0,193.850006,193.850006,28561146.0
2015-02-28,,,,,,
2015-03-02,192.800003,194.600006,182.649994,188.699997,188.699997,8512932.0
2015-03-03,189.5,195.600006,188.300003,193.399994,193.399994,7098665.0
2015-03-04,196.899994,201.100006,184.300003,188.550003,188.550003,15468255.0
2015-03-05,188.800003,192.300003,182.100006,185.5,185.5,7760617.0
2015-03-09,185.5,201.0,185.5,194.600006,194.600006,13528386.0
2015-03-10,195.949997,200.0,182.100006,190.050003,190.050003,10825621.0
2015-03-11,188.0,192.899994,186.0,190.850006,190.850006,6414497.0
2015-03-12,192.600006,196.399994,192.0,194.600006,194.600006,5321593.0
2015-03-13,195.399994,196.199997,185.0,186.300003,186.300003,6056356.0
2015-03-16,187.600006,192.699997,176.199997,190.449997,190.449997,9295910.0
2015-03-17,186.600006,187.800003,156.600006,174.0,174.0,31629739.0
2015-03-18,176.800003,183.899994,173.100006,175.149994,175.149994,13787371.0
2015-03-19,176.0,177.149994,171.550003,173.899994,173.899994,7347702.0
2015-03-20,174.100006,175.199997,162.149994,164.550003,164.550003,8832192.0
2015-03-23,150.0,156.399994,140.0,154.399994,154.399994,28075463.0
2015-03-24,159.449997,160.050003,154.100006,156.649994,156.649994,9496630.0
2015-03-25,155.800003,156.5,152.25,153.0,153.0,5454208.0
2015-03-26,151.899994,153.649994,149.800003,150.25,150.25,13358728.0
2015-03-27,159.0,159.850006,154.350006,157.199997,157.199997,8747632.0
2015-03-30,159.899994,160.449997,154.0,155.699997,155.699997,5125187.0
2015-03-31,159.699997,161.5,155.199997,156.800003,156.800003,6887458.0
2015-04-01,156.699997,157.300003,154.5,155.550003,155.550003,2562581.0
2015-04-06,155.550003,156.600006,152.649994,154.300003,154.300003,3232815.0
2015-04-07,154.449997,169.600006,153.449997,165.5,165.5,11597714.0
2015-04-08,166.5,168.050003,162.600006,163.850006,163.850006,4929518.0
2015-04-09,164.5,164.5,159.050003,161.0,161.0,4463353.0
2015-04-10,161.600006,162.899994,156.199997,157.449997,157.449997,6287496.0
2015-04-13,156.899994,164.899994,154.699997,158.25,158.25,7549543.0
2015-04-15,158.25,161.550003,157.300003,158.350006,158.350006,2793736.0
2015-04-16,159.0,163.5,155.850006,157.449997,157.449997,4302701.0
2015-04-17,161.5,161.800003,158.399994,159.199997,159.199997,3669268.0
2015-04-20,159.199997,161.699997,152.699997,154.850006,154.850006,4302660.0
2015-04-21,155.0,157.300003,151.350006,152.350006,152.350006,3570618.0
2015-04-22,153.0,155.149994,148.5,152.75,152.75,4294785.0
2015-04-23,153.949997,156.600006,152.550003,154.050003,154.050003,3772240.0
2015-04-24,153.649994,154.699997,146.75,148.399994,148.399994,3041075.0
2015-04-27,149.399994,150.899994,145.0,145.800003,145.800003,4121122.0
2015-04-28,146.350006,147.800003,141.899994,143.300003,143.300003,5752844.0
2015-04-29,143.449997,147.399994,143.449997,145.75,145.75,3690841.0
2015-04-30,135.0,142.800003,135.0,139.600006,139.600006,9896184.0
2015-05-04,139.600006,143.5,139.600006,142.050003,142.050003,2557279.0
2015-05-05,142.5,147.699997,141.649994,146.699997,146.699997,3508024.0
2015-05-06,145.899994,148.5,132.300003,134.850006,134.850006,5646508.0
2015-05-07,131.699997,138.0,128.649994,137.0,137.0,5289069.0
2015-05-08,138.399994,140.199997,132.0,133.649994,133.649994,3201406.0
2015-05-11,135.0,137.899994,133.600006,135.600006,135.600006,2538158.0
2015-05-12,135.899994,136.399994,129.050003,130.100006,130.100006,3346304.0
2015-05-13,131.949997,136.5,130.899994,134.699997,134.699997,3070373.0
2015-05-14,134.149994,142.149994,133.399994,138.850006,138.850006,5784303.0
2015-05-15,139.100006,142.100006,135.0,136.399994,136.399994,3475423.0
2015-05-18,136.899994,138.25,135.25,137.300003,137.300003,2078927.0
2015-05-19,137.0,140.350006,136.600006,138.149994,138.149994,2183005.0
2015-05-20,138.199997,139.300003,135.050003,137.050003,137.050003,1643528.0
2015-05-21,137.699997,137.699997,134.199997,136.300003,136.300003,1971412.0
2015-05-22,136.600006,142.350006,135.449997,137.75,137.75,3708166.0
2015-05-25,137.5,138.600006,134.149994,135.199997,135.199997,3269182.0
2015-05-26,136.899994,137.0,133.649994,134.5,134.5,2492089.0
