Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,635.0,645.400024,630.25,643.75,630.643372,24211.0
2015-01-02,648.0,649.950012,637.200012,643.400024,630.300476,311691.0
2015-01-05,643.150024,648.0,632.150024,638.900024,625.892151,23888.0
2015-01-06,635.0,638.400024,605.099976,612.349976,599.882629,22260.0
2015-01-07,612.0,616.0,593.0,598.400024,586.2167360000001,40158.0
2015-01-08,608.0,619.0,603.549988,610.75,598.315247,10744.0
2015-01-09,622.400024,623.75,598.099976,603.200012,590.918945,20304.0
2015-01-12,609.200012,610.0,601.0,608.650024,596.258057,31204.0
2015-01-13,608.0,635.900024,604.099976,628.25,615.458923,245334.0
2015-01-14,629.0,665.849976,629.0,659.900024,646.4646,235212.0
2015-01-15,663.0,677.0,655.049988,667.200012,653.615906,142565.0
2015-01-16,661.150024,668.799988,656.0,660.5,647.052368,20178.0
2015-01-19,658.0,679.5,654.099976,664.299988,650.774963,50613.0
2015-01-20,663.700012,674.0,663.700012,670.650024,656.995667,23176.0
2015-01-21,676.349976,699.0,670.0,684.099976,670.1718139999999,76250.0
2015-01-22,690.5,724.400024,680.0,715.549988,700.981506,122982.0
2015-01-23,720.950012,723.75,700.0,715.25,700.6876219999999,80878.0
2015-01-27,715.25,720.0,690.0,693.900024,679.772339,28734.0
2015-01-28,696.0,716.0,691.0,701.549988,687.266541,35403.0
2015-01-29,705.0,712.0,698.849976,707.349976,692.948486,20871.0
2015-01-30,710.0,710.0,686.700012,697.049988,682.8580929999999,17507.0
2015-02-02,699.950012,709.799988,685.400024,699.25,685.013367,18773.0
2015-02-03,693.5,717.700012,693.5,708.900024,694.4669190000001,43648.0
2015-02-04,714.950012,740.0,701.200012,709.200012,694.760803,76547.0
2015-02-05,711.950012,715.0,701.099976,711.599976,697.111938,19569.0
2015-02-06,709.0,716.400024,687.0,695.450012,681.290833,17742.0
2015-02-09,693.0,710.0,670.0,676.950012,663.167419,16882.0
2015-02-10,671.0,693.0,671.0,684.950012,671.004578,26252.0
2015-02-11,683.0,698.400024,674.849976,678.950012,665.126709,30357.0
2015-02-12,685.650024,698.0,683.849976,690.150024,676.098694,12044.0
2015-02-13,693.0,697.900024,686.400024,690.400024,676.3436280000001,22414.0
2015-02-16,697.950012,710.849976,685.049988,707.0,692.6055299999999,91353.0
2015-02-18,707.0,734.950012,705.049988,726.700012,711.90448,66365.0
2015-02-19,734.0,756.0,711.599976,731.400024,716.50885,128536.0
2015-02-20,727.950012,740.900024,704.0,731.099976,716.2148440000001,40058.0
2015-02-23,734.25,737.049988,714.200012,717.0,702.401978,18140.0
2015-02-24,717.0,730.849976,712.0,717.900024,703.283691,16895.0
2015-02-25,721.0,724.950012,712.099976,715.799988,701.22644,14589.0
2015-02-26,716.25,725.549988,702.25,713.700012,699.169189,115333.0
2015-02-27,712.0,726.0,695.549988,708.450012,694.026062,27507.0
2015-02-28,,,,,,
2015-03-02,702.349976,738.0,702.0,734.599976,719.6436769999999,64585.0
2015-03-03,736.0,740.0,707.400024,733.599976,718.664001,40341.0
2015-03-04,731.0,739.900024,719.049988,730.099976,715.235229,38510.0
2015-03-05,730.0,730.0,709.0,710.799988,696.3281860000001,24283.0
2015-03-09,710.799988,710.799988,695.0,699.0,684.768555,44882.0
2015-03-10,702.0,719.0,696.0,706.049988,691.6749269999999,19864.0
2015-03-11,703.0,703.0,693.0,695.0,680.849915,14975.0
2015-03-12,694.5,695.0,672.799988,677.299988,663.510254,33130.0
2015-03-13,680.0,700.0,673.0,696.5,682.319397,27205.0
2015-03-16,697.0,697.0,681.799988,683.599976,669.682007,42862.0
2015-03-17,686.0,699.549988,673.75,677.799988,664.0001219999999,21017.0
2015-03-18,677.799988,690.0,672.0,677.099976,663.3143309999999,12870.0
2015-03-19,671.099976,690.0,671.099976,679.950012,666.1063230000001,356526.0
2015-03-20,690.0,690.0,676.25,683.599976,669.682007,31751.0
2015-03-23,688.900024,688.900024,658.0,661.700012,648.227905,90605.0
2015-03-24,670.0,670.0,656.950012,659.950012,646.51355,35565.0
2015-03-25,662.0,680.0,654.25,655.150024,641.8113400000001,15437.0
2015-03-26,655.5,658.049988,640.0,643.299988,630.2025150000001,11175.0
2015-03-27,636.099976,651.049988,636.099976,643.5,630.398499,6740.0
2015-03-30,645.0,673.799988,633.049988,668.799988,655.18335,77699.0
2015-03-31,675.0,680.0,663.150024,666.099976,652.53833,22477.0
2015-04-01,675.049988,695.049988,673.799988,688.799988,674.7761230000001,17757.0
2015-04-06,688.799988,692.0,678.650024,682.950012,669.045227,21938.0
2015-04-07,686.799988,692.0,679.950012,683.349976,669.437073,58612.0
2015-04-08,673.0,703.0,673.0,696.400024,682.221436,7687.0
2015-04-09,709.799988,720.0,686.099976,692.75,678.645691,67426.0
2015-04-10,697.349976,704.5,690.0,693.099976,678.988586,46278.0
2015-04-13,693.0,699.0,688.400024,697.200012,683.005066,40055.0
2015-04-15,697.200012,699.700012,685.099976,694.049988,679.919189,16003.0
2015-04-16,694.0,694.0,635.549988,649.75,636.521179,65458.0
2015-04-17,645.099976,658.0,637.200012,649.0,635.786499,11347.0
2015-04-20,635.0,660.0,635.0,640.950012,627.900391,4163.0
2015-04-21,625.0,670.0,625.0,663.650024,650.138245,5769.0
2015-04-22,668.0,669.200012,636.0,646.150024,632.994507,40367.0
2015-04-23,650.5,664.299988,626.950012,630.049988,617.222229,12328.0
2015-04-24,632.0,650.0,615.200012,636.950012,623.9818730000001,12033.0
2015-04-27,631.049988,649.0,621.0,633.0,620.112244,12596.0
2015-04-28,633.0,648.0,625.049988,631.549988,618.691711,3648.0
2015-04-29,632.0,640.0,625.799988,635.150024,622.218445,24817.0
