Date,Open,High,Low,Close,Adj Close,Volume
2015-03-16,230.0,236.0,218.5,225.05000299999998,211.296387,35498.0
2015-03-17,229.350006,229.350006,213.80000299999998,213.80000299999998,200.733917,3757.0
2015-03-18,203.199997,203.199997,203.149994,203.149994,190.734787,794.0
2015-03-19,193.100006,202.649994,193.0,193.0,181.20507800000001,11281.0
2015-03-20,184.0,185.050003,183.350006,183.350006,172.144836,7345.0
2015-03-23,175.0,186.5,175.0,178.800003,167.872894,12028.0
2015-03-24,170.050003,184.800003,169.899994,170.0,159.610687,1333.0
2015-03-25,169.0,172.5,161.5,161.800003,151.911835,3120.0
2015-03-26,158.300003,159.149994,155.5,159.149994,149.42378200000002,1344.0
2015-03-27,159.5,160.0,151.199997,159.949997,150.174896,1520.0
2015-03-30,165.0,168.0,155.5,156.25,146.701019,806.0
2015-03-31,155.0,180.100006,155.0,179.399994,168.436218,7322.0
2015-04-01,184.949997,185.0,174.25,181.699997,170.595673,15887.0
2015-04-06,181.699997,187.949997,175.300003,180.100006,169.093445,1695.0
2015-04-07,180.0,185.0,180.0,184.850006,173.55316200000001,4475.0
2015-04-08,185.0,194.0,181.0,193.5,181.67453,13317.0
2015-04-09,187.949997,209.94999700000002,181.149994,197.649994,185.570892,4652.0
2015-04-10,200.0,201.0,191.100006,194.699997,182.80119299999998,1822.0
2015-04-13,192.0,200.0,191.25,197.75,185.664795,2753.0
2015-04-15,197.0,204.0,195.0,195.899994,183.92785600000002,15166.0
2015-04-16,195.899994,207.0,180.0,201.25,188.950897,19607.0
2015-04-17,206.600006,206.600006,191.0,192.050003,180.313141,8704.0
2015-04-20,200.899994,200.899994,192.0,192.600006,180.829529,4535.0
2015-04-21,188.050003,195.5,188.050003,190.199997,178.576202,3759.0
2015-04-22,190.149994,192.949997,187.75,190.600006,178.951767,1580.0
2015-04-23,186.75,194.5,186.75,190.5,178.85788,1965.0
2015-04-24,193.899994,195.75,192.0,193.600006,181.768417,2126.0
2015-04-27,185.550003,194.0,185.550003,189.75,178.153717,1842.0
2015-04-28,188.0,197.0,188.0,192.75,180.97036699999998,2760.0
2015-04-29,200.0,200.0,192.5,193.050003,181.252029,1149.0
2015-04-30,190.300003,196.949997,182.399994,183.600006,172.379547,2941.0
2015-05-04,183.600006,190.949997,183.600006,190.800003,179.139526,192.0
2015-05-05,,,,,,
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-05-08,184.0,184.0,182.0,182.0,170.87733500000002,132.0
2015-05-11,182.0,182.0,178.050003,179.350006,168.389297,210.0
2015-05-12,,,,,,
2015-05-13,175.0,179.899994,175.0,178.800003,167.872894,390.0
2015-05-14,,,,,,
2015-05-15,175.0,179.850006,170.0,170.550003,160.12708999999998,248.0
2015-05-18,175.0,178.0,169.0,175.350006,164.63374299999998,1750.0
2015-05-19,177.899994,177.899994,172.199997,172.550003,162.004868,274.0
2015-05-20,,,,,,
2015-05-21,180.800003,180.800003,157.149994,161.5,151.630157,3001.0
