Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,25.0,26.25,24.9,25.950001,25.950001,23924069.0
2015-01-02,26.0,27.85,26.0,27.6,27.6,39252338.0
2015-01-05,27.5,27.950001,26.700001,27.1,27.1,27014193.0
2015-01-06,26.549999,27.049999,25.700001,26.0,26.0,33780348.0
2015-01-07,26.049999,26.5,24.9,25.450001,25.450001,28170297.0
2015-01-08,25.9,27.15,25.85,26.799999,26.799999,29696160.0
2015-01-09,27.049999,27.700001,26.0,26.299999,26.299999,24726711.0
2015-01-12,26.299999,26.6,25.35,25.6,25.6,26179257.0
2015-01-13,25.549999,25.65,24.299999,24.65,24.65,26601720.0
2015-01-14,24.65,25.1,23.75,23.85,23.85,27111991.0
2015-01-15,24.799999,26.1,24.200001,25.85,25.85,45687839.0
2015-01-16,25.700001,27.200001,25.299999,26.799999,26.799999,40939365.0
2015-01-19,26.799999,27.450001,26.299999,26.799999,26.799999,30029368.0
2015-01-20,27.0,27.299999,26.35,26.700001,26.700001,17205779.0
2015-01-21,26.9,26.950001,25.5,25.700001,25.700001,25452479.0
2015-01-22,25.65,26.4,25.15,25.700001,25.700001,22786905.0
2015-01-23,26.0,26.799999,25.200001,26.6,26.6,29477358.0
2015-01-27,26.6,27.0,26.049999,26.299999,26.299999,15680812.0
2015-01-28,26.1,27.25,25.75,26.25,26.25,32768970.0
2015-01-29,26.200001,26.85,25.799999,26.1,26.1,29084536.0
2015-01-30,26.25,28.950001,26.1,28.549999,28.549999,58918765.0
2015-02-02,28.549999,29.25,27.85,28.549999,28.549999,33353317.0
2015-02-03,28.700001,29.1,27.0,27.25,27.25,24145239.0
2015-02-04,27.4,29.4,26.85,28.5,28.5,39659455.0
2015-02-05,28.6,28.75,25.700001,26.5,26.5,26610479.0
2015-02-06,26.25,26.700001,25.5,25.799999,25.799999,27569099.0
2015-02-09,25.5,26.1,24.4,24.5,24.5,28724575.0
2015-02-10,24.299999,25.049999,23.65,23.9,23.9,31384167.0
2015-02-11,23.1,24.15,23.1,23.450001,23.450001,44972675.0
2015-02-12,23.700001,24.4,23.6,24.200001,24.200001,23721314.0
2015-02-13,24.4,24.799999,23.950001,24.35,24.35,18546283.0
2015-02-16,24.6,25.1,24.0,24.65,24.65,22305675.0
2015-02-18,24.65,26.15,24.65,25.299999,25.299999,29824835.0
2015-02-19,25.5,25.700001,24.6,25.549999,25.549999,23029206.0
2015-02-20,25.6,25.950001,25.35,25.5,25.5,15407956.0
2015-02-23,25.799999,25.950001,24.9,25.1,25.1,20162502.0
2015-02-24,25.200001,25.299999,24.65,24.75,24.75,12790186.0
2015-02-25,25.200001,25.35,24.75,25.200001,25.200001,20441846.0
2015-02-26,25.25,25.299999,24.549999,24.75,24.75,14552701.0
2015-02-27,25.0,26.9,24.85,25.9,25.9,37389260.0
2015-02-28,,,,,,
2015-03-02,25.65,26.450001,24.950001,26.0,26.0,24111636.0
2015-03-03,26.1,26.35,25.4,26.0,26.0,19156122.0
2015-03-04,26.5,28.75,26.299999,28.0,28.0,89518875.0
2015-03-05,28.0,29.35,27.549999,28.799999,28.799999,56481894.0
2015-03-09,28.799999,28.799999,27.049999,27.549999,27.549999,31347359.0
2015-03-10,27.75,28.0,26.65,26.85,26.85,24374180.0
2015-03-11,26.950001,27.6,26.700001,27.299999,27.299999,22165637.0
2015-03-12,27.5,28.950001,27.299999,28.65,28.65,43171986.0
2015-03-13,28.799999,29.0,26.65,26.799999,26.799999,35120661.0
2015-03-16,27.0,27.5,26.700001,26.85,26.85,21273857.0
2015-03-17,27.200001,27.200001,25.75,26.200001,26.200001,23830154.0
2015-03-18,26.4,26.6,25.75,25.9,25.9,19928331.0
2015-03-19,26.299999,26.700001,25.35,25.6,25.6,24543408.0
2015-03-20,25.799999,25.799999,24.549999,24.950001,24.950001,24647368.0
2015-03-23,25.15,25.4,24.1,24.299999,24.299999,19650458.0
2015-03-24,24.200001,24.75,24.0,24.35,24.35,18962993.0
2015-03-25,24.5,24.6,23.85,23.950001,23.950001,17399443.0
2015-03-26,23.700001,24.35,23.6,23.75,23.75,30183436.0
2015-03-27,24.1,24.799999,23.4,24.5,24.5,26173400.0
