Date,Open,High,Low,Close,Adj Close,Volume
2015-01-06,22.200001,22.35,21.299999,21.4,21.4,797741.0
2015-01-07,,,,,,
2015-01-08,,,,,,
2015-01-09,,,,,,
2015-01-12,,,,,,
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,21.299999,21.450001,20.799999,20.9,20.9,1087966.0
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-27,20.4,20.4,19.799999,20.0,20.0,595140.0
2015-01-28,20.0,20.35,19.9,20.0,20.0,589382.0
2015-01-29,20.25,20.25,19.75,19.950001,19.950001,950806.0
2015-01-30,20.200001,21.5,19.950001,20.700001,20.700001,2686439.0
2015-02-02,20.799999,21.35,20.6,20.700001,20.700001,2829028.0
2015-02-03,20.700001,20.950001,20.200001,20.35,20.35,740285.0
2015-02-04,20.299999,21.65,20.1,21.299999,21.299999,3032281.0
2015-02-05,21.85,22.1,19.5,20.25,20.25,3703803.0
2015-02-06,20.4,20.75,19.700001,20.15,20.15,1392502.0
2015-02-09,,,,,,
2015-02-10,20.0,20.700001,19.549999,19.799999,19.799999,1260304.0
2015-02-11,19.799999,19.950001,18.9,19.35,19.35,3606161.0
2015-02-12,,,,,,
2015-02-13,19.950001,20.200001,19.35,19.450001,19.450001,1251780.0
2015-02-16,,,,,,
2015-02-18,19.450001,19.450001,19.450001,19.450001,19.450001,0.0
2015-02-19,20.4,20.4,19.65,20.0,20.0,1052493.0
2015-02-20,20.049999,20.35,19.85,20.0,20.0,1228641.0
2015-02-23,20.15,20.35,19.65,19.75,19.75,923235.0
2015-02-24,,,,,,
2015-02-25,19.6,19.75,19.549999,19.65,19.65,650676.0
2015-02-26,19.75,19.799999,19.299999,19.450001,19.450001,627498.0
2015-02-27,,,,,,
2015-02-28,,,,,,
2015-03-02,20.85,21.5,20.450001,20.9,20.9,4966020.0
2015-03-03,21.200001,21.200001,20.35,20.5,20.5,1193672.0
2015-03-04,,,,,,
2015-03-05,,,,,,
2015-03-09,19.950001,20.1,19.049999,19.200001,19.200001,1567394.0
2015-03-10,,,,,,
2015-03-11,,,,,,
2015-03-12,19.0,19.4,18.9,19.25,19.25,992111.0
2015-03-13,,,,,,
2015-03-16,,,,,,
2015-03-17,,,,,,
2015-03-18,19.5,19.700001,19.0,19.049999,19.049999,2266166.0
2015-03-19,,,,,,
2015-03-20,,,,,,
2015-03-23,,,,,,
2015-03-24,,,,,,
2015-03-25,17.25,17.5,16.950001,17.0,17.0,2214359.0
2015-03-26,16.950001,17.299999,16.75,16.85,16.85,1676114.0
2015-03-27,,,,,,
2015-03-30,,,,,,
2015-03-31,,,,,,
2015-04-01,,,,,,
2015-04-06,17.200001,17.200001,17.200001,17.200001,17.200001,0.0
2015-04-07,,,,,,
2015-04-08,,,,,,
2015-04-09,,,,,,
2015-04-10,,,,,,
2015-04-13,19.4,19.6,19.1,19.15,19.15,1061562.0
2015-04-15,,,,,,
2015-04-16,,,,,,
2015-04-17,,,,,,
2015-04-20,,,,,,
2015-04-21,,,,,,
2015-04-22,,,,,,
2015-04-23,,,,,,
2015-04-24,,,,,,
2015-04-27,,,,,,
2015-04-28,,,,,,
2015-04-29,,,,,,
2015-04-30,,,,,,
2015-05-04,,,,,,
2015-05-05,,,,,,
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-05-08,,,,,,
2015-05-11,,,,,,
2015-05-12,,,,,,
2015-05-13,,,,,,
2015-05-14,16.15,16.25,15.85,16.0,16.0,569106.0
2015-05-15,16.049999,16.200001,15.4,15.5,15.5,788794.0
2015-05-18,15.55,15.65,15.1,15.3,15.3,724546.0
2015-05-19,15.5,15.85,15.5,15.65,15.65,700439.0
2015-05-20,15.7,15.7,15.3,15.35,15.35,491458.0
2015-05-21,15.3,15.45,14.9,15.0,15.0,878088.0
2015-05-22,15.1,15.2,14.7,14.8,14.8,622058.0
2015-05-25,14.8,14.8,14.35,14.45,14.45,708619.0
2015-05-26,14.6,14.6,14.05,14.1,14.1,569386.0
2015-05-27,14.05,14.3,13.8,14.2,14.2,704252.0
2015-05-28,14.45,14.65,14.25,14.35,14.35,590490.0
2015-05-29,,,,,,
2015-06-01,,,,,,
2015-06-02,15.8,16.0,14.85,15.0,15.0,897166.0
2015-06-03,15.05,15.05,12.6,13.95,13.95,3847001.0
2015-06-04,14.1,14.65,13.6,14.1,14.1,1137688.0
2015-06-05,14.1,14.2,13.55,13.65,13.65,682736.0
2015-06-08,14.2,14.2,13.05,13.45,13.45,691032.0
2015-06-09,,,,,,
