Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,22.5,22.5,22.5,22.5,22.5,0.0
2015-01-02,22.5,22.5,22.049999,22.049999,22.049999,1150.0
2015-01-05,21.5,24.0,21.5,22.35,22.35,17025.0
2015-01-06,21.75,21.75,21.75,21.75,21.75,100.0
2015-01-07,21.75,21.75,21.75,21.75,21.75,0.0
2015-01-08,23.549999,23.6,22.0,22.5,22.5,3680.0
2015-01-09,22.049999,24.4,22.049999,24.25,24.25,307.0
2015-01-12,25.0,25.5,23.049999,24.6,24.6,385.0
2015-01-13,25.0,26.75,25.0,25.299999,25.299999,472.0
2015-01-14,25.450001,26.75,24.5,26.450001,26.450001,239.0
2015-01-15,26.450001,26.450001,25.450001,25.65,25.65,360.0
2015-01-16,25.0,25.0,24.5,24.5,24.5,500.0
2015-01-19,23.35,23.75,23.35,23.75,23.75,185.0
2015-01-20,24.85,24.85,24.85,24.85,24.85,10.0
2015-01-21,25.85,26.049999,23.85,26.049999,26.049999,155.0
2015-01-22,27.049999,27.049999,25.1,26.35,26.35,405.0
2015-01-23,25.1,26.75,25.049999,25.049999,25.049999,230.0
2015-01-27,25.049999,25.049999,24.0,24.0,24.0,335.0
2015-01-28,24.0,24.0,24.0,24.0,24.0,100.0
2015-01-29,25.0,25.0,23.049999,24.75,24.75,1107.0
2015-01-30,23.549999,24.700001,23.549999,24.700001,24.700001,55.0
2015-02-02,24.65,24.65,23.5,23.5,23.5,26.0
2015-02-03,23.5,23.5,23.5,23.5,23.5,0.0
2015-02-04,24.15,24.15,24.15,24.15,24.15,7.0
2015-02-05,24.9,24.9,22.950001,22.950001,22.950001,1766.0
2015-02-06,25.0,25.0,21.450001,21.450001,21.450001,105.0
2015-02-09,20.700001,20.700001,20.700001,20.700001,20.700001,1.0
2015-02-10,20.700001,20.700001,20.700001,20.700001,20.700001,0.0
2015-02-11,20.049999,20.049999,20.049999,20.049999,20.049999,2.0
2015-02-12,22.0,22.0,22.0,22.0,22.0,500.0
2015-02-13,24.200001,24.200001,21.549999,23.0,23.0,1310.0
2015-02-16,22.200001,23.9,22.200001,23.75,23.75,180.0
2015-02-18,23.75,24.75,22.25,22.299999,22.299999,384.0
2015-02-19,22.299999,22.299999,22.299999,22.299999,22.299999,0.0
2015-02-20,21.5,23.450001,20.1,20.1,20.1,17312.0
2015-02-23,20.0,20.950001,19.75,20.4,20.4,1314.0
2015-02-24,20.0,20.0,19.700001,19.700001,19.700001,100.0
2015-02-25,21.549999,21.549999,18.799999,20.0,20.0,529.0
2015-02-26,20.0,20.0,20.0,20.0,20.0,100.0
2015-02-27,18.6,18.700001,18.6,18.700001,18.700001,250.0
2015-02-28,,,,,,
2015-03-02,19.1,19.950001,18.549999,18.700001,18.700001,8761.0
2015-03-03,17.299999,20.549999,17.299999,20.549999,20.549999,730.0
2015-03-04,20.549999,20.549999,20.549999,20.549999,20.549999,0.0
2015-03-05,20.549999,20.549999,20.549999,20.549999,20.549999,0.0
2015-03-09,20.549999,23.35,20.549999,21.700001,21.700001,51.0
2015-03-10,21.700001,21.700001,21.700001,21.700001,21.700001,0.0
2015-03-11,21.700001,21.700001,21.700001,21.700001,21.700001,0.0
2015-03-12,19.700001,23.0,19.700001,22.9,22.9,1901.0
2015-03-13,22.0,23.35,20.5,21.9,21.9,7220.0
2015-03-16,20.4,21.0,19.549999,19.549999,19.549999,1620.0
2015-03-17,18.5,21.5,18.5,19.0,19.0,1401.0
2015-03-18,19.0,19.700001,17.25,18.0,18.0,2386.0
2015-03-19,20.950001,20.950001,17.25,18.950001,18.950001,2462.0
2015-03-20,17.200001,18.950001,17.200001,18.950001,18.950001,12.0
2015-03-23,18.0,19.450001,18.0,18.1,18.1,164.0
2015-03-24,19.35,19.35,17.5,19.0,19.0,600.0
2015-03-25,17.35,17.35,17.0,17.0,17.0,433.0
2015-03-26,16.9,18.0,16.9,18.0,18.0,390.0
2015-03-27,17.049999,18.0,15.7,16.799999,16.799999,535.0
2015-03-30,16.4,18.0,15.4,16.75,16.75,49.0
2015-03-31,16.549999,17.15,16.450001,16.5,16.5,760.0
2015-04-01,16.5,17.5,16.450001,17.5,17.5,211.0
2015-04-06,17.5,18.5,16.5,18.0,18.0,301.0
2015-04-07,21.15,21.15,16.6,17.1,17.1,6005.0
2015-04-08,18.0,18.85,16.950001,18.85,18.85,1337.0
2015-04-09,18.799999,19.0,18.799999,18.9,18.9,819.0
2015-04-10,19.5,19.5,18.6,18.9,18.9,1267.0
2015-04-13,18.65,19.75,18.5,19.450001,19.450001,2941.0
2015-04-15,19.450001,19.75,18.200001,18.25,18.25,5595.0
2015-04-16,17.799999,19.0,17.5,18.950001,18.950001,702.0
2015-04-17,18.0,19.25,18.0,18.049999,18.049999,1167.0
2015-04-20,18.049999,18.049999,18.049999,18.049999,18.049999,100.0
2015-04-21,17.799999,17.9,17.0,17.6,17.6,1202.0
2015-04-22,17.6,17.6,17.6,17.6,17.6,0.0
2015-04-23,18.0,18.0,18.0,18.0,18.0,200.0
2015-04-24,17.799999,18.0,16.25,17.35,17.35,1405.0
2015-04-27,17.799999,17.799999,16.4,16.4,16.4,1404.0
2015-04-28,18.950001,18.950001,15.1,16.5,16.5,1455.0
2015-04-29,17.950001,18.9,16.75,16.85,16.85,406.0
2015-04-30,19.5,19.5,16.6,17.700001,17.700001,452.0
2015-05-04,17.700001,18.5,17.0,17.25,17.25,160.0
2015-05-05,16.5,16.5,16.5,16.5,16.5,100.0
2015-05-06,16.5,16.5,16.5,16.5,16.5,484.0
2015-05-07,18.5,18.5,15.3,16.0,16.0,746.0
2015-05-08,16.0,16.0,16.0,16.0,16.0,0.0
2015-05-11,15.4,15.4,15.2,15.25,15.25,251.0
2015-05-12,15.25,15.25,15.25,15.25,15.25,0.0
2015-05-13,17.5,17.5,16.0,16.4,16.4,814.0
2015-05-14,16.4,16.4,16.4,16.4,16.4,0.0
2015-05-15,16.4,16.4,16.4,16.4,16.4,0.0
2015-05-18,16.4,16.4,16.4,16.4,16.4,0.0
2015-05-19,15.5,17.0,15.5,17.0,17.0,101.0
2015-05-20,18.9,18.9,16.4,16.75,16.75,1474.0
2015-05-21,16.0,16.75,15.1,15.45,15.45,1156.0
2015-05-22,15.8,15.8,15.8,15.8,15.8,100.0
2015-05-25,16.0,16.0,15.05,15.05,15.05,449.0
2015-05-26,15.1,16.25,14.65,15.7,15.7,1959.0
2015-05-27,15.05,16.5,15.05,16.450001,16.450001,212.0
2015-05-28,16.450001,16.450001,16.450001,16.450001,16.450001,0.0
2015-05-29,14.25,17.0,14.25,16.9,16.9,4541.0
2015-06-01,17.1,17.1,17.1,17.1,17.1,400.0
2015-06-02,17.1,17.1,17.1,17.1,17.1,0.0
2015-06-03,17.1,18.9,16.4,17.15,17.15,10658.0
2015-06-04,16.049999,16.049999,16.049999,16.049999,16.049999,200.0
2015-06-05,15.0,17.65,15.0,17.65,17.65,1100.0
2015-06-08,16.450001,18.85,16.450001,17.6,17.6,4095.0
2015-06-09,16.5,16.6,16.0,16.1,16.1,805.0
2015-06-10,16.950001,17.5,16.5,17.049999,17.049999,3182.0
2015-06-11,17.049999,17.049999,17.049999,17.049999,17.049999,0.0
2015-06-12,15.35,15.35,15.35,15.35,15.35,40.0
2015-06-15,16.1,16.1,15.15,15.15,15.15,3510.0
2015-06-16,15.15,15.15,15.15,15.15,15.15,0.0
2015-06-17,15.0,15.35,14.0,14.15,14.15,20859.0
2015-06-18,15.0,15.0,14.45,14.5,14.5,942.0
2015-06-19,14.5,15.0,14.1,14.5,14.5,477.0
2015-06-22,14.4,14.4,14.4,14.4,14.4,200.0
2015-06-23,14.6,14.6,14.6,14.6,14.6,500.0
2015-06-24,13.35,15.15,13.35,14.1,14.1,559.0
2015-06-25,14.05,14.1,14.0,14.1,14.1,613.0
2015-06-26,14.1,14.1,14.1,14.1,14.1,0.0
2015-06-29,13.75,13.75,13.75,13.75,13.75,23.0
2015-06-30,14.0,14.0,12.95,13.9,13.9,23346.0
2015-07-01,12.65,13.35,12.6,13.2,13.2,16957.0
2015-07-02,13.3,13.3,13.1,13.3,13.3,1406.0
2015-07-03,13.4,13.95,13.4,13.5,13.5,260.0
2015-07-06,13.2,14.2,13.1,14.2,14.2,3173.0
2015-07-07,14.2,14.2,14.2,14.2,14.2,0.0
2015-07-08,13.7,13.7,13.5,13.5,13.5,100.0
2015-07-09,13.5,14.0,13.1,13.55,13.55,400.0
2015-07-10,14.6,15.75,13.8,13.8,13.8,6432.0
2015-07-13,15.4,15.45,14.4,14.75,14.75,3349.0
2015-07-14,14.6,15.0,14.25,14.8,14.8,3132.0
2015-07-15,14.55,14.55,14.55,14.55,14.55,750.0
2015-07-16,14.55,14.55,14.55,14.55,14.55,0.0
2015-07-17,14.55,14.55,14.55,14.55,14.55,240.0
2015-07-20,14.25,15.0,14.25,14.3,14.3,2124.0
2015-07-21,15.4,15.45,14.5,14.5,14.5,185.0
2015-07-22,14.0,15.5,14.0,15.5,15.5,405.0
2015-07-23,16.15,16.15,15.0,15.45,15.45,140.0
2015-07-24,15.45,15.45,13.9,14.2,14.2,782.0
2015-07-27,15.4,15.45,14.5,15.35,15.35,3650.0
2015-07-28,15.5,15.5,14.8,15.4,15.4,201.0
2015-07-29,14.3,14.3,14.3,14.3,14.3,2.0
2015-07-30,14.25,15.45,14.25,15.1,15.1,1111.0
2015-07-31,15.45,15.45,14.45,15.4,15.4,547.0
2015-08-03,15.95,15.95,14.3,15.45,15.45,1413.0
2015-08-04,15.5,15.5,14.45,14.45,14.45,160.0
